H-Vector3X,H-Vector3Y,H-Vector3Z,H-QuaternionX,H-QuaternionY,H-QuaternionZ,H-QuaternionW
-1.363711,1.187729,0.00424929,0.03448388,-0.02714092,-0.7102848,0.7025452
-1.363776,1.187825,0.004269645,0.03450453,-0.02728814,-0.7103595,0.7024631
-1.363512,1.187733,0.004339918,0.03433338,-0.02737516,-0.7098545,0.7029784
-1.363377,1.187862,0.00441356,0.03401536,-0.02708188,-0.7094603,0.703403
-1.363361,1.187827,0.004414678,0.03396609,-0.02683809,-0.7094502,0.7034249
-1.363386,1.187799,0.004403666,0.03389341,-0.02661836,-0.7095102,0.7033762
-1.363411,1.187753,0.004457012,0.03367478,-0.02646032,-0.7095347,0.7033681
-1.363545,1.187715,0.004462793,0.03355506,-0.02597484,-0.7096972,0.7032279
-1.363756,1.187805,0.00448516,0.03337502,-0.02569526,-0.7098674,0.7030749
-1.363758,1.187805,0.004522935,0.03334206,-0.02557084,-0.7097009,0.703249
-1.363712,1.187888,0.004532367,0.03368893,-0.02554283,-0.7092015,0.7037373
-1.363644,1.187909,0.004570842,0.03381425,-0.02576816,-0.7089431,0.7039833
-1.363612,1.187933,0.004600018,0.03399116,-0.02591601,-0.7088204,0.7040929
-1.363566,1.187894,0.004625276,0.03412372,-0.02608609,-0.7086869,0.7042145
-1.363598,1.187853,0.004732847,0.03414124,-0.0262818,-0.7085923,0.7043017
-1.363576,1.187834,0.004717141,0.03433183,-0.02613255,-0.7084879,0.7044029
-1.363576,1.187834,0.004717141,0.03433183,-0.02613255,-0.7084879,0.7044029
-1.363576,1.187834,0.004717141,0.03433183,-0.02613255,-0.7084879,0.7044029
-1.363576,1.187834,0.004717141,0.03433183,-0.02613255,-0.7084879,0.7044029
-1.363576,1.187834,0.004717141,0.03433183,-0.02613255,-0.7084879,0.7044029
-1.363576,1.187834,0.004717141,0.03433183,-0.02613255,-0.7084879,0.7044029
-1.363576,1.187834,0.004717141,0.03433183,-0.02613255,-0.7084879,0.7044029
-1.363576,1.187834,0.004717141,0.03433183,-0.02613255,-0.7084879,0.7044029
-1.363576,1.187834,0.004717141,0.03433183,-0.02613255,-0.7084879,0.7044029
-1.363576,1.187834,0.004717141,0.03433183,-0.02613255,-0.7084879,0.7044029
-1.363576,1.187834,0.004717141,0.03433183,-0.02613255,-0.7084879,0.7044029
-1.363576,1.187834,0.004717141,0.03433183,-0.02613255,-0.7084879,0.7044029
-1.363576,1.187834,0.004717141,0.03433183,-0.02613255,-0.7084879,0.7044029
-1.363551,1.187866,0.004883111,0.03437492,-0.02569067,-0.7080851,0.7048221
-1.363506,1.187808,0.004725888,0.03443506,-0.02543339,-0.7080581,0.7048554
-1.363493,1.187789,0.004594982,0.03469694,-0.02516067,-0.7080585,0.704852
-1.363347,1.187731,0.004476756,0.03470713,-0.02531934,-0.7078986,0.7050065
