H-Vector3X,H-Vector3Y,H-Vector3Z,H-QuaternionX,H-QuaternionY,H-QuaternionZ,H-QuaternionW
-1.033737,1.18625,-0.07777081,0.02305368,-0.006760269,-0.6743171,0.7380511
-1.033699,1.18619,-0.07784136,0.02219453,-0.006992668,-0.6743791,0.7380186
-1.033735,1.186218,-0.07789366,0.02205709,-0.006865084,-0.6745098,0.7379045
-1.033739,1.186234,-0.07798304,0.02181181,-0.006555974,-0.6745074,0.7379169
-1.033705,1.186225,-0.07801984,0.02166602,-0.006392032,-0.6744205,0.7380019
-1.033587,1.186217,-0.07809058,0.02144733,-0.006215096,-0.6741666,0.7382419
-1.033572,1.186225,-0.07810248,0.02129355,-0.006179363,-0.6741881,0.7382269
-1.033562,1.18622,-0.07811677,0.02120331,-0.006207436,-0.6742171,0.7382028
-1.033551,1.186225,-0.07815564,0.02116784,-0.006190568,-0.6743413,0.7380905
-1.033558,1.186242,-0.07818526,0.02124098,-0.006256819,-0.6744276,0.738009
-1.033517,1.186253,-0.07823142,0.02144781,-0.006379902,-0.6744106,0.7380176
-1.033454,1.186259,-0.07829294,0.02166533,-0.006434292,-0.6743004,0.7381114
-1.033375,1.186237,-0.07836796,0.02180943,-0.006637543,-0.6742146,0.7381836
-1.03336,1.186226,-0.0783771,0.0217427,-0.00674963,-0.6742383,0.738163
-1.033347,1.186271,-0.07841109,0.02176708,-0.006838828,-0.6743181,0.7380886
-1.033357,1.186302,-0.07844925,0.02181599,-0.00685057,-0.6743898,0.7380215
-1.033354,1.186309,-0.07847749,0.02176765,-0.006875336,-0.6744441,0.7379731
-1.033334,1.186309,-0.07852526,0.02170843,-0.006798089,-0.6744482,0.7379718
-1.033311,1.186321,-0.07855837,0.0214287,-0.006669343,-0.6743928,0.7380317
-1.033249,1.186308,-0.07856673,0.02109617,-0.006549627,-0.6742436,0.7381787
-1.033225,1.186301,-0.07857984,0.02096504,-0.00648737,-0.6742817,0.7381483
-1.033207,1.186276,-0.0786071,0.02088475,-0.006444514,-0.6743364,0.7381009
-1.033177,1.186262,-0.07866809,0.0207825,-0.006383002,-0.6743523,0.7380897
-1.033162,1.186272,-0.07868518,0.02068368,-0.006451339,-0.6743267,0.7381153
-1.033154,1.186251,-0.07869205,0.02036926,-0.006590545,-0.6742899,0.7381564
-1.033163,1.186233,-0.07870594,0.02021223,-0.006573051,-0.6742962,0.7381552
-1.033178,1.186242,-0.0787781,0.02016473,-0.006443977,-0.6742869,0.7381662
-1.033185,1.186261,-0.07881907,0.02020115,-0.006350219,-0.674255,0.7381951
-1.033186,1.18629,-0.07888478,0.020273,-0.006349683,-0.6741117,0.7383239
-1.033199,1.186297,-0.07890061,0.02031606,-0.006408215,-0.6740701,0.7383603
-1.033301,1.186295,-0.07893014,0.02045706,-0.006670743,-0.6741014,0.7383255
-1.033327,1.186298,-0.07895625,0.0205768,-0.006773978,-0.6740348,0.738382
-1.033308,1.186291,-0.07898669,0.02070197,-0.006938666,-0.6738741,0.7385236
-1.033312,1.186283,-0.07899718,0.02071816,-0.007149905,-0.6736829,0.7386956
-1.03337,1.186279,-0.07900563,0.02082631,-0.007241011,-0.6736764,0.7386976
-1.033529,1.186287,-0.07901338,0.02110639,-0.007374763,-0.6737069,0.7386606
-1.033556,1.18632,-0.07905704,0.02136216,-0.007404745,-0.6736137,0.7387378
-1.033536,1.186348,-0.07911447,0.02173451,-0.007643938,-0.6732107,0.7390917
-1.033534,1.18634,-0.07908922,0.02179986,-0.007888138,-0.673032,0.7392499
-1.033476,1.186346,-0.07916549,0.0225049,-0.008615971,-0.6725045,0.7397007
-1.033469,1.186362,-0.07908647,0.02261204,-0.009266943,-0.6722747,0.7398984
-1.033487,1.186392,-0.07901168,0.02280864,-0.009862244,-0.6721054,0.7400386
-1.033512,1.186461,-0.07895564,0.02369776,-0.01092312,-0.6718044,0.7402689
-1.033485,1.186478,-0.07894549,0.02433336,-0.01151246,-0.6715373,0.7404818
-1.033364,1.186487,-0.07888888,0.0257476,-0.01306775,-0.6707803,0.741094
-1.033331,1.186498,-0.07880555,0.02641436,-0.01404652,-0.6705011,0.7413052
-1.033365,1.186518,-0.07857768,0.02791384,-0.01603711,-0.6702631,0.7414252
-1.033354,1.186549,-0.07851817,0.02891549,-0.01707849,-0.6700741,0.7415344
-1.033276,1.186579,-0.07849747,0.03016135,-0.01821586,-0.6697458,0.7417542
-1.033147,1.186602,-0.07829714,0.03258067,-0.02099314,-0.6690948,0.7421659
-1.033119,1.186591,-0.07820019,0.03387925,-0.0224843,-0.668925,0.7422171
-1.033111,1.18659,-0.07809536,0.03710434,-0.02579269,-0.6686945,0.7421629
-1.033105,1.186583,-0.07800788,0.03880203,-0.02774855,-0.6685588,0.7421278
-1.033062,1.18667,-0.07783206,0.04236647,-0.03195867,-0.6681905,0.7420952
-1.032994,1.18667,-0.07771063,0.04412806,-0.03415537,-0.6678875,0.7421675
-1.032894,1.186731,-0.07751378,0.04790241,-0.0386686,-0.6672794,0.742259
-1.032783,1.186766,-0.07741602,0.04986107,-0.0411236,-0.6667249,0.7424965
-1.032547,1.186848,-0.07728012,0.05184224,-0.04385719,-0.6657183,0.7431072
-1.031849,1.186946,-0.07678318,0.05568936,-0.05039346,-0.6628635,0.744964
-1.031558,1.186987,-0.07653148,0.0575054,-0.05411339,-0.6615033,0.7457737
-1.031015,1.187121,-0.07598487,0.06114873,-0.06136528,-0.6588522,0.7472677
-1.030638,1.187185,-0.0756724,0.06308404,-0.06517503,-0.6571969,0.7482413
-1.029884,1.187232,-0.07513593,0.06707081,-0.07296368,-0.653963,0.750007
-1.029616,1.187246,-0.07477337,0.06881624,-0.07676181,-0.6526339,0.7506272
-1.029166,1.187389,-0.07413273,0.07312062,-0.08420965,-0.6498082,0.7518721
-1.028822,1.187515,-0.07390004,0.07589063,-0.0882917,-0.648031,0.7526627
-1.028437,1.187586,-0.07363573,0.07868505,-0.09256732,-0.646175,0.7534574
-1.027857,1.187696,-0.07301417,0.08364671,-0.1009319,-0.6429815,0.7545799
-1.027579,1.187803,-0.07272165,0.08637181,-0.1048907,-0.6413002,0.7551637
-1.026929,1.187907,-0.07206549,0.09196386,-0.1133554,-0.6375179,0.7564815
-1.026684,1.187922,-0.07181115,0.094836,-0.1175097,-0.6359321,0.7568277
-1.026494,1.187943,-0.07154748,0.09757304,-0.1215527,-0.6344312,0.7571008
-1.025871,1.188142,-0.07094629,0.1029702,-0.129708,-0.6306834,0.7581634
-1.025096,1.188283,-0.07018472,0.1075443,-0.1378463,-0.6264571,0.7595948
-1.025096,1.188283,-0.07018472,0.1075443,-0.1378463,-0.6264571,0.7595948
-1.024669,1.188393,-0.06936403,0.1113217,-0.1450396,-0.6234057,0.7602214
-1.024459,1.188503,-0.06875582,0.1149601,-0.1512506,-0.6210279,0.7604157
-1.024372,1.188591,-0.0685598,0.1168393,-0.1539252,-0.620016,0.7604183
-1.024191,1.188616,-0.06818941,0.1204875,-0.1587683,-0.6182889,0.7602594
-1.024164,1.188589,-0.06799737,0.122113,-0.1611196,-0.6176317,0.7600396
-1.024237,1.188663,-0.06772301,0.1251383,-0.1655195,-0.6166739,0.7593794
-1.024269,1.188781,-0.06758356,0.126383,-0.1672994,-0.616314,0.7590754
-1.024278,1.188861,-0.06740718,0.1275091,-0.1689695,-0.6157654,0.7589624
-1.023966,1.188958,-0.06706914,0.1305376,-0.1724858,-0.6134841,0.7595038
-1.023664,1.189047,-0.06691049,0.1321064,-0.1745872,-0.6117923,0.7601169
-1.023279,1.189176,-0.06654087,0.1341882,-0.1783881,-0.6091005,0.7610309
-1.023175,1.189226,-0.06637597,0.1348658,-0.1798549,-0.6081937,0.761291
-1.023056,1.189296,-0.06595589,0.1356886,-0.1825932,-0.6066489,0.7617254
-1.023033,1.189363,-0.06581649,0.1359358,-0.1837426,-0.6060277,0.7618994
-1.02322,1.189535,-0.06552556,0.1358602,-0.1847507,-0.6055799,0.7620252
-1.023329,1.189534,-0.06552851,0.1358847,-0.1848478,-0.6057028,0.7618996
-1.023356,1.189456,-0.06565244,0.1363175,-0.1848425,-0.6057379,0.7617956
-1.023489,1.189425,-0.06591748,0.1372271,-0.1846122,-0.6058679,0.7615848
-1.023699,1.18942,-0.06602535,0.1371573,-0.1840737,-0.6064409,0.7612716
