H-Vector3X,H-Vector3Y,H-Vector3Z,H-QuaternionX,H-QuaternionY,H-QuaternionZ,H-QuaternionW
-1.099267,1.187049,-0.02563423,0.02360904,-0.04851723,-0.6822715,0.7291052
-1.09917,1.186988,-0.02565008,0.02359587,-0.04841834,-0.6819322,0.7294296
-1.099121,1.186945,-0.02563904,0.02360466,-0.04835984,-0.68177,0.7295849
-1.098968,1.18681,-0.0256056,0.02371365,-0.04835209,-0.6813495,0.7299746
-1.098867,1.186741,-0.02557008,0.02376229,-0.04842636,-0.6810508,0.7302467
-1.098671,1.186607,-0.02548005,0.02382243,-0.04881003,-0.6803239,0.7308965
-1.098574,1.186526,-0.02542466,0.02382541,-0.0489333,-0.6799988,0.7311907
-1.098351,1.186397,-0.02535899,0.0238767,-0.04899228,-0.6795149,0.7316347
-1.098227,1.18625,-0.02529886,0.02380145,-0.04902256,-0.6791707,0.7319547
-1.098106,1.186078,-0.02523725,0.02370858,-0.04906732,-0.6788076,0.7322915
-1.097912,1.185843,-0.02509643,0.02345631,-0.04916462,-0.6782764,0.7327851
-1.097863,1.185851,-0.02505247,0.02338156,-0.04910457,-0.6781592,0.7328999
-1.097751,1.185842,-0.02500127,0.02330399,-0.04893664,-0.6777687,0.7332748
-1.097715,1.185835,-0.02494659,0.02316368,-0.04886076,-0.6775716,0.7334664
-1.097588,1.185905,-0.0247231,0.02291575,-0.04868618,-0.677243,0.7337892
-1.097527,1.185943,-0.02458072,0.0227778,-0.04867586,-0.677185,0.7338477
-1.097527,1.185943,-0.02458072,0.0227778,-0.04867586,-0.677185,0.7338477
-1.097463,1.186024,-0.02406375,0.02179891,-0.04883808,-0.6773453,0.7337186
-1.097429,1.186094,-0.02370115,0.02106214,-0.04887787,-0.6774349,0.7336549
-1.097397,1.186113,-0.02352937,0.02082607,-0.0487245,-0.6773831,0.7337197
-1.097338,1.186154,-0.0231951,0.02027509,-0.0484291,-0.6772499,0.7338775
-1.097318,1.186165,-0.02303247,0.02000108,-0.04819638,-0.6771816,0.7339634
-1.097242,1.186174,-0.02277786,0.01971799,-0.04787973,-0.6769558,0.7342001
-1.097218,1.186182,-0.0226341,0.01955077,-0.04780546,-0.6768662,0.734292
-1.09723,1.186203,-0.02248178,0.01941669,-0.04778728,-0.6768475,0.734314
-1.097262,1.186216,-0.02216254,0.0192028,-0.0477936,-0.6767774,0.7343838
-1.09723,1.18621,-0.02201638,0.01909596,-0.04784945,-0.6766372,0.7345121
-1.097109,1.186173,-0.02173787,0.01893002,-0.04788467,-0.6762866,0.7348369
-1.097096,1.18615,-0.02164236,0.01895395,-0.04779947,-0.6761831,0.7349371
-1.097115,1.186116,-0.02154948,0.01897216,-0.04767355,-0.6761326,0.7349913
-1.097133,1.186027,-0.02133507,0.01881999,-0.04767492,-0.6760225,0.7350963
-1.097142,1.185997,-0.02122739,0.01870903,-0.04774299,-0.6759992,0.7351162
-1.097155,1.185958,-0.02112076,0.01861247,-0.0477643,-0.6759713,0.7351429
-1.097163,1.185888,-0.02093557,0.01841247,-0.04777282,-0.6758774,0.7352337
-1.097126,1.185827,-0.02087043,0.01837152,-0.04753572,-0.6756039,0.7355015
-1.097132,1.18592,-0.02084182,0.01825055,-0.04739124,-0.6755526,0.735561
-1.097129,1.185912,-0.02081147,0.01811081,-0.04723847,-0.6754499,0.7356685
-1.097169,1.185855,-0.020789,0.01789767,-0.04706335,-0.6754127,0.7357191
-1.097207,1.185841,-0.02077201,0.01775146,-0.04703698,-0.6754513,0.7356889
-1.097197,1.185838,-0.02080129,0.01758477,-0.04701862,-0.6753353,0.7358006
-1.097188,1.185852,-0.02080916,0.01747483,-0.04702851,-0.6752329,0.7358965
-1.097214,1.1859,-0.02084483,0.01727137,-0.04702502,-0.6751286,0.7359973
-1.097244,1.185915,-0.02085565,0.01719189,-0.04697198,-0.675105,0.7360241
-1.097291,1.185921,-0.02084595,0.01710013,-0.04684415,-0.6751103,0.7360295
-1.09733,1.18592,-0.02086163,0.01701659,-0.0466426,-0.6750888,0.736064
-1.09733,1.185924,-0.02087209,0.01698115,-0.04659086,-0.6751252,0.7360347
-1.097366,1.185914,-0.02089411,0.01696983,-0.04654804,-0.6752294,0.735942
-1.097406,1.185895,-0.02091514,0.01704946,-0.04651329,-0.6753283,0.7358518
-1.097443,1.185865,-0.02093956,0.01717177,-0.04656911,-0.6754267,0.7357549
-1.097478,1.18584,-0.02097484,0.01735243,-0.04677907,-0.6754827,0.7356859
-1.097551,1.185809,-0.02100547,0.01741755,-0.04707751,-0.6756478,0.7355138
-1.097612,1.185795,-0.02102242,0.01742798,-0.04718518,-0.6758111,0.7353567
-1.097654,1.185781,-0.02104805,0.01745,-0.04727262,-0.6759087,0.7352608
-1.097711,1.185808,-0.02110595,0.01731905,-0.04738176,-0.6759915,0.7351806
-1.097717,1.185793,-0.02113287,0.01728034,-0.04739133,-0.675985,0.7351869
-1.097751,1.185778,-0.02113174,0.01722732,-0.04734042,-0.6760182,0.7351609
-1.097816,1.185763,-0.02115367,0.01714778,-0.04715315,-0.6760967,0.7351027
-1.097819,1.185742,-0.02119185,0.01697716,-0.04707077,-0.6761018,0.7351073
-1.097829,1.185739,-0.02120928,0.0169737,-0.04700607,-0.6761034,0.73511
-1.09783,1.185736,-0.02126214,0.01708066,-0.04696283,-0.6761001,0.7351133
-1.097815,1.185703,-0.02129865,0.01699638,-0.04704469,-0.6760718,0.7351362
-1.097797,1.185669,-0.02128717,0.01679775,-0.04718769,-0.6760443,0.7351567
-1.097836,1.185679,-0.02117315,0.01623559,-0.04741427,-0.676192,0.735019
-1.097863,1.185688,-0.0211769,0.01622674,-0.04729071,-0.6762336,0.7349887
-1.097899,1.185702,-0.021176,0.0162071,-0.04677805,-0.676179,0.7350723
-1.097877,1.18568,-0.02115773,0.01618525,-0.04662102,-0.6760182,0.7352306
-1.097891,1.185661,-0.02107042,0.01614437,-0.04636958,-0.67591,0.7353469
-1.097914,1.185652,-0.02102245,0.01621416,-0.04631808,-0.6759136,0.7353454
-1.097958,1.185647,-0.02097148,0.01630816,-0.0463258,-0.6759864,0.7352759
-1.098042,1.18568,-0.02090417,0.0166162,-0.04652888,-0.6761338,0.7351207
-1.098063,1.185687,-0.02084392,0.016747,-0.04673567,-0.6761385,0.7351002
-1.098111,1.1857,-0.02078508,0.01692346,-0.04681519,-0.6762221,0.7350141
-1.098185,1.18567,-0.02066934,0.01728183,-0.04706821,-0.6763595,0.7348633
-1.098299,1.185634,-0.02059907,0.01779336,-0.04727435,-0.6766093,0.7346078
-1.098364,1.185611,-0.02054642,0.01802728,-0.04748419,-0.6767707,0.7344398
-1.0984,1.185575,-0.02046646,0.01823914,-0.04764333,-0.6768417,0.7343589
