H-Vector3X,H-Vector3Y,H-Vector3Z,H-QuaternionX,H-QuaternionY,H-QuaternionZ,H-QuaternionW
-1.102553,1.033217,-0.02669011,0.02125922,-0.01712576,-0.6472325,0.7618037
-1.102553,1.033217,-0.02669011,0.02125922,-0.01712576,-0.6472325,0.7618037
-1.102553,1.033217,-0.02669011,0.02125922,-0.01712576,-0.6472325,0.7618037
-1.102553,1.033217,-0.02669011,0.02125922,-0.01712576,-0.6472325,0.7618037
-1.102553,1.033217,-0.02669011,0.02125922,-0.01712576,-0.6472325,0.7618037
-1.102553,1.033217,-0.02669011,0.02125922,-0.01712576,-0.6472325,0.7618037
-1.102553,1.033217,-0.02669011,0.02125922,-0.01712576,-0.6472325,0.7618037
-1.102553,1.033217,-0.02669011,0.02125922,-0.01712576,-0.6472325,0.7618037
-1.102553,1.033217,-0.02669011,0.02125922,-0.01712576,-0.6472325,0.7618037
-1.102553,1.033217,-0.02669011,0.02125922,-0.01712576,-0.6472325,0.7618037
-1.102553,1.033217,-0.02669011,0.02125922,-0.01712576,-0.6472325,0.7618037
-1.102553,1.033217,-0.02669011,0.02125922,-0.01712576,-0.6472325,0.7618037
-1.102553,1.033217,-0.02669011,0.02125922,-0.01712576,-0.6472325,0.7618037
-1.102553,1.033217,-0.02669011,0.02125922,-0.01712576,-0.6472325,0.7618037
-1.102553,1.033217,-0.02669011,0.02125922,-0.01712576,-0.6472325,0.7618037
-1.102553,1.033217,-0.02669011,0.02125922,-0.01712576,-0.6472325,0.7618037
-1.102432,1.033647,-0.02606797,0.03522462,-0.02881041,-0.6415103,0.7657636
-1.10235,1.033699,-0.02590291,0.03681484,-0.03113681,-0.6406444,0.7663224
-1.102212,1.033817,-0.02584155,0.04110804,-0.03555197,-0.6386614,0.7675663
-1.102134,1.033882,-0.02580194,0.04365745,-0.03820086,-0.6376375,0.7681493
-1.102062,1.034024,-0.02544555,0.04846713,-0.04506075,-0.6356199,0.7691605
-1.102039,1.034054,-0.02523084,0.05073357,-0.04863092,-0.6345888,0.7696482
-1.101978,1.034158,-0.02508815,0.05602327,-0.05502081,-0.632332,0.7707079
-1.101886,1.034237,-0.0250898,0.05926472,-0.05827358,-0.6309342,0.7713716
-1.101825,1.034327,-0.02499051,0.06249076,-0.06201795,-0.6295047,0.7719927
-1.101805,1.03449,-0.02442087,0.06816086,-0.07089812,-0.6266656,0.7730575
-1.101805,1.034549,-0.02419509,0.07116249,-0.07531464,-0.6251725,0.7735782
-1.101683,1.034808,-0.02397336,0.07819059,-0.08371598,-0.6217812,0.7747684
-1.10159,1.034934,-0.02382091,0.08200464,-0.08835974,-0.6199218,0.7753483
-1.101392,1.035067,-0.02325302,0.08964369,-0.09904569,-0.615932,0.7763903
-1.101373,1.035226,-0.02292491,0.09344485,-0.1046085,-0.6140137,0.776732
-1.101272,1.035542,-0.02246466,0.1021912,-0.1162134,-0.6097521,0.7773378
-1.1012,1.035692,-0.02214357,0.1067607,-0.1225011,-0.6074059,0.7775949
-1.101139,1.035828,-0.02177602,0.1113283,-0.1292816,-0.6049452,0.7777748
