NoseWrinklerR,CheekRaiserR,LidTightenerR,UpperLipRaiserR,EyesClosedR,UpperLidRaiserR
-1.0,-1.0,-1.0,-1.0,0.003418594,8.991585e-22
-1.0,-1.0,-1.0,-1.0,0.003418594,8.991585e-22
-1.0,-1.0,-1.0,-1.0,0.007010788,6.337098e-22
-1.0,-1.0,-1.0,-1.0,0.005280458,4.4662660000000005e-22
-1.0,-1.0,-1.0,-1.0,0.005280458,4.4662660000000005e-22
-1.0,-1.0,-1.0,-1.0,0.005280458,4.4662660000000005e-22
-1.0,-1.0,-1.0,-1.0,0.003976354,2.218442e-22
-1.0,-1.0,-1.0,-1.0,0.003976354,2.218442e-22
-1.0,-1.0,-1.0,-1.0,0.003733918,1.563504e-22
-1.0,-1.0,-1.0,-1.0,0.003733918,1.563504e-22
-1.0,-1.0,-1.0,-1.0,0.003597192,1.10192e-22
-1.0,-1.0,-1.0,-1.0,0.00351751,7.766143e-23
-1.0,-1.0,-1.0,-1.0,0.00351751,7.766143e-23
-1.0,-1.0,-1.0,-1.0,0.003469725,5.473369e-23
-1.0,-1.0,-1.0,-1.0,0.003469725,5.473369e-23
-1.0,-1.0,-1.0,-1.0,0.003440352,3.8575340000000005e-23
-1.0,-1.0,-1.0,-1.0,0.003440352,3.8575340000000005e-23
-1.0,-1.0,-1.0,-1.0,0.003421909,2.71872e-23
-1.0,-1.0,-1.0,-1.0,0.003410116,1.9160930000000002e-23
-1.0,-1.0,-1.0,-1.0,0.003410116,1.9160930000000002e-23
-1.0,-1.0,-1.0,-1.0,0.003402456,1.3504250000000002e-23
-1.0,-1.0,-1.0,-1.0,0.003402456,1.3504250000000002e-23
-1.0,-1.0,-1.0,-1.0,0.003397415,9.517506999999999e-24
-1.0,-1.0,-1.0,-1.0,0.00339406,6.707743e-24
-1.0,-1.0,-1.0,-1.0,0.00339406,6.707743e-24
-1.0,-1.0,-1.0,-1.0,0.003391805,4.727467e-24
-1.0,-1.0,-1.0,-1.0,0.003391805,4.727467e-24
-1.0,-1.0,-1.0,-1.0,0.003390279,3.33181e-24
-1.0,-1.0,-1.0,-1.0,0.003390279,3.33181e-24
-1.0,-1.0,-1.0,-1.0,0.003389238,2.348203e-24
-1.0,-1.0,-1.0,-1.0,0.007526517,1.654968e-24
-1.0,-1.0,-1.0,-1.0,0.007526517,1.654968e-24
-1.0,-1.0,-1.0,-1.0,0.005954521,1.166389e-24
-1.0,-1.0,-1.0,-1.0,0.005954521,1.166389e-24
-1.0,-1.0,-1.0,-1.0,0.008482126,8.220451e-25
-1.0,-1.0,-1.0,-1.0,0.2161975,5.793586e-25
-1.0,-1.0,-1.0,-1.0,0.5164202,4.083221e-25
-1.0,-1.0,-1.0,-1.0,0.5164202,4.083221e-25
-1.0,-1.0,-1.0,-1.0,0.3352805,2.877767e-25
-1.0,-1.0,-1.0,-1.0,0.3352805,2.877767e-25
