NoseWrinklerR,CheekRaiserR,LidTightenerR,UpperLipRaiserR,EyesClosedR,UpperLidRaiserR
-1.0,-1.0,-1.0,-1.0,0.009352555,0.0
-1.0,-1.0,-1.0,-1.0,0.009352555,0.0
-1.0,-1.0,-1.0,-1.0,0.009405139,0.0
-1.0,-1.0,-1.0,-1.0,0.009418435,0.0
-1.0,-1.0,-1.0,-1.0,0.009418435,0.0
-1.0,-1.0,-1.0,-1.0,0.009418435,0.0
-1.0,-1.0,-1.0,-1.0,0.009422192,0.0
-1.0,-1.0,-1.0,-1.0,0.009423369,0.0
-1.0,-1.0,-1.0,-1.0,0.009423773,0.0
-1.0,-1.0,-1.0,-1.0,0.009423773,0.0
-1.0,-1.0,-1.0,-1.0,0.009423925,0.0
-1.0,-1.0,-1.0,-1.0,0.003563473,0.0
-1.0,-1.0,-1.0,-1.0,0.003563473,0.0
-1.0,-1.0,-1.0,-1.0,0.003563473,0.0
-1.0,-1.0,-1.0,-1.0,0.006236804,0.0
-1.0,-1.0,-1.0,-1.0,0.007619312,0.0
-1.0,-1.0,-1.0,-1.0,0.007619312,0.0
-1.0,-1.0,-1.0,-1.0,0.008366127,0.0
-1.0,-1.0,-1.0,-1.0,0.008785291,0.0
-1.0,-1.0,-1.0,-1.0,0.008785291,0.0
-1.0,-1.0,-1.0,-1.0,0.009028559,0.0
-1.0,-1.0,-1.0,-1.0,0.009028559,0.0
-1.0,-1.0,-1.0,-1.0,0.003954512,0.0
-1.0,-1.0,-1.0,-1.0,0.005751321,0.0
-1.0,-1.0,-1.0,-1.0,0.005751321,0.0
-1.0,-1.0,-1.0,-1.0,0.006937515,0.0
-1.0,-1.0,-1.0,-1.0,0.006937515,0.0
-1.0,-1.0,-1.0,-1.0,0.003372373,0.0
-1.0,-1.0,-1.0,-1.0,0.002050253,0.0
-1.0,-1.0,-1.0,-1.0,0.002050253,0.0
-1.0,-1.0,-1.0,-1.0,0.001519612,0.0
-1.0,-1.0,-1.0,-1.0,0.005390115,0.0
-1.0,-1.0,-1.0,-1.0,0.005390115,0.0
-1.0,-1.0,-1.0,-1.0,0.003079329,0.0
-1.0,-1.0,-1.0,-1.0,0.003079329,0.0
-1.0,-1.0,-1.0,-1.0,0.002064401,0.0
-1.0,-1.0,-1.0,-1.0,0.002064401,0.0
-1.0,-1.0,-1.0,-1.0,0.005916236,0.0
-1.0,-1.0,-1.0,-1.0,0.007652822,0.0
-1.0,-1.0,-1.0,-1.0,0.007652822,0.0
-1.0,-1.0,-1.0,-1.0,0.004155111,0.0
-1.0,-1.0,-1.0,-1.0,0.002606279,0.0
-1.0,-1.0,-1.0,-1.0,0.002606279,0.0
-1.0,-1.0,-1.0,-1.0,0.001264629,0.0
-1.0,-1.0,-1.0,-1.0,0.001264629,0.0
-1.0,-1.0,-1.0,-1.0,0.0006486359,0.0
-1.0,-1.0,-1.0,-1.0,0.0006486359,0.0
-1.0,-1.0,-1.0,-1.0,0.0003491496,0.0
-1.0,-1.0,-1.0,-1.0,0.0001959582,0.0
-1.0,-1.0,-1.0,-1.0,0.0001959582,0.0
-1.0,-1.0,-1.0,-1.0,0.0001139996,0.0
-1.0,-1.0,-1.0,-1.0,0.0001139996,0.0
