NoseWrinklerR,CheekRaiserR,LidTightenerR,UpperLipRaiserR,EyesClosedR,UpperLidRaiserR
-1.0,-1.0,-1.0,-1.0,0.03668962,4.203895e-45
-1.0,-1.0,-1.0,-1.0,0.03394695,2.802597e-45
-1.0,-1.0,-1.0,-1.0,0.03394695,2.802597e-45
-1.0,-1.0,-1.0,-1.0,0.03526802,2.802597e-45
-1.0,-1.0,-1.0,-1.0,0.03619354,1.401298e-45
-1.0,-1.0,-1.0,-1.0,0.03619354,1.401298e-45
-1.0,-1.0,-1.0,-1.0,0.03684263,0.0
-1.0,-1.0,-1.0,-1.0,0.03729822,0.0
-1.0,-1.0,-1.0,-1.0,0.03729822,0.0
-1.0,-1.0,-1.0,-1.0,0.03729822,0.0
-1.0,-1.0,-1.0,-1.0,0.03539612,0.0
-1.0,-1.0,-1.0,-1.0,0.03452577,0.0
-1.0,-1.0,-1.0,-1.0,0.03452577,0.0
-1.0,-1.0,-1.0,-1.0,0.03411683,0.0
-1.0,-1.0,-1.0,-1.0,0.03756565,0.0
-1.0,-1.0,-1.0,-1.0,0.03756565,0.0
-1.0,-1.0,-1.0,-1.0,0.0401266,0.0
-1.0,-1.0,-1.0,-1.0,0.0401266,0.0
-1.0,-1.0,-1.0,-1.0,0.09872593,0.0
-1.0,-1.0,-1.0,-1.0,0.1663577,0.0
-1.0,-1.0,-1.0,-1.0,0.1663577,0.0
-1.0,-1.0,-1.0,-1.0,0.2052779,0.0
-1.0,-1.0,-1.0,-1.0,0.2052779,0.0
-1.0,-1.0,-1.0,-1.0,0.216669,0.0
-1.0,-1.0,-1.0,-1.0,0.228476,0.0
-1.0,-1.0,-1.0,-1.0,0.228476,0.0
-1.0,-1.0,-1.0,-1.0,0.1992982,0.0
-1.0,-1.0,-1.0,-1.0,0.1992982,0.0
-1.0,-1.0,-1.0,-1.0,0.173549,0.0
-1.0,-1.0,-1.0,-1.0,0.173549,0.0
-1.0,-1.0,-1.0,-1.0,0.1573688,0.0
-1.0,-1.0,-1.0,-1.0,0.1049098,0.0
-1.0,-1.0,-1.0,-1.0,0.1049098,0.0
-1.0,-1.0,-1.0,-1.0,0.1021556,0.0
-1.0,-1.0,-1.0,-1.0,0.1021556,0.0
-1.0,-1.0,-1.0,-1.0,0.1107653,0.0
-1.0,-1.0,-1.0,-1.0,0.09209435,0.0
-1.0,-1.0,-1.0,-1.0,0.08367822,0.0
-1.0,-1.0,-1.0,-1.0,0.08367822,0.0
-1.0,-1.0,-1.0,-1.0,0.08245773,0.0
-1.0,-1.0,-1.0,-1.0,0.08245773,0.0
-1.0,-1.0,-1.0,-1.0,0.06018613,0.0
-1.0,-1.0,-1.0,-1.0,0.06018613,0.0
-1.0,-1.0,-1.0,-1.0,0.05205196,0.0
-1.0,-1.0,-1.0,-1.0,0.05630644,0.0
-1.0,-1.0,-1.0,-1.0,0.05630644,0.0
-1.0,-1.0,-1.0,-1.0,0.05178707,0.0
-1.0,-1.0,-1.0,-1.0,0.05178707,0.0
-1.0,-1.0,-1.0,-1.0,0.05593764,0.0
-1.0,-1.0,-1.0,-1.0,0.05593764,0.0
-1.0,-1.0,-1.0,-1.0,0.05195766,0.0
-1.0,-1.0,-1.0,-1.0,0.0460822,0.0
-1.0,-1.0,-1.0,-1.0,0.0460822,0.0
-1.0,-1.0,-1.0,-1.0,0.03982435,0.0
-1.0,-1.0,-1.0,-1.0,0.03982435,0.0
-1.0,-1.0,-1.0,-1.0,0.04335874,0.0
-1.0,-1.0,-1.0,-1.0,0.04784705,0.0
-1.0,-1.0,-1.0,-1.0,0.04784705,0.0
-1.0,-1.0,-1.0,-1.0,0.04564975,0.0
