H-Vector3X,H-Vector3Y,H-Vector3Z,H-QuaternionX,H-QuaternionY,H-QuaternionZ,H-QuaternionW
-1.043785,1.126202,0.03769131,0.003587395,-0.02755511,-0.6869488,0.7261745
-1.043785,1.126202,0.03769131,0.003587395,-0.02755511,-0.6869488,0.7261745
-1.043568,1.126185,0.03742766,0.004163861,-0.0274491,-0.6867378,0.726375
-1.04346,1.126114,0.03736977,0.00415346,-0.02760109,-0.6867834,0.7263261
-1.043161,1.126042,0.0374243,0.003974557,-0.02764437,-0.686844,0.7262682
-1.043072,1.126027,0.03737736,0.004166722,-0.02763632,-0.6869006,0.7262139
-1.043018,1.126028,0.03736289,0.004416168,-0.02781862,-0.6870469,0.7260671
-1.042983,1.126046,0.03723308,0.006035477,-0.02919737,-0.6872592,0.7258003
-1.042948,1.126038,0.03715399,0.007492632,-0.03081849,-0.6872357,0.725742
-1.042835,1.126072,0.03764579,0.01000357,-0.03589606,-0.6868343,0.7258583
-1.042808,1.126055,0.03781652,0.01182029,-0.0390403,-0.6865165,0.7259692
-1.042725,1.126065,0.03767376,0.01841518,-0.04648954,-0.6856651,0.7261978
-1.042637,1.126092,0.03762683,0.02245793,-0.05158561,-0.6849971,0.7263702
-1.042621,1.126073,0.03776005,0.02675417,-0.05792522,-0.6841781,0.7265187
-1.042619,1.126087,0.03783163,0.03190237,-0.06495327,-0.6833161,0.7265278
-1.042784,1.126211,0.03813063,0.05160707,-0.09284967,-0.6800016,0.7254748
-1.042784,1.126211,0.03813063,0.05160707,-0.09284967,-0.6800016,0.7254748
-1.043045,1.126258,0.03842409,0.06730783,-0.115781,-0.6767084,0.7239685
-1.043042,1.126307,0.03842939,0.07649744,-0.1281517,-0.6745415,0.7229933
-1.043513,1.126523,0.0394911,0.1032164,-0.1694004,-0.6667145,0.7184302
-1.043513,1.126523,0.0394911,0.1032164,-0.1694004,-0.6667145,0.7184302
-1.043831,1.126683,0.0403001,0.1213409,-0.1975814,-0.6604367,0.714186
-1.044053,1.126787,0.04059482,0.1309437,-0.2109668,-0.6569939,0.7118329
-1.044184,1.127279,0.04068002,0.1415782,-0.2242258,-0.6534319,0.7090172
-1.044739,1.127646,0.04178862,0.1703927,-0.2656189,-0.6409332,0.6997271
-1.045062,1.127713,0.04225224,0.179392,-0.279008,-0.6366135,0.6962013
-1.04532,1.127795,0.0425601,0.1887265,-0.2918037,-0.6321406,0.6925542
-1.045811,1.127992,0.0431651,0.2068352,-0.3165138,-0.6228247,0.684929
-1.046138,1.128093,0.04361062,0.2150334,-0.3284437,-0.6181744,0.680989
-1.047092,1.12841,0.04430887,0.2310731,-0.3508905,-0.6093224,0.6724637
-1.047092,1.12841,0.04430887,0.2310731,-0.3508905,-0.6093224,0.6724637
-1.048347,1.128725,0.04529975,0.253302,-0.3818521,-0.5959317,0.6594639
-1.04882,1.128805,0.04562451,0.2599145,-0.3910795,-0.5917168,0.6552652
-1.049226,1.128862,0.04595388,0.2662777,-0.3993571,-0.5875193,0.651484
-1.049491,1.128938,0.04626638,0.2727708,-0.4072732,-0.5831423,0.6478193
-1.050111,1.129195,0.04694034,0.2844892,-0.4219474,-0.5748647,0.6407473
-1.051064,1.129565,0.04758342,0.2940862,-0.4358248,-0.5678222,0.6333626
-1.051544,1.129749,0.04795836,0.2980638,-0.4421184,-0.5646106,0.6300035
-1.052247,1.131273,0.04759358,0.3071598,-0.4510503,-0.5601935,0.6232094
-1.052513,1.131374,0.04789843,0.3104155,-0.4552062,-0.5571065,0.621339
-1.053119,1.131552,0.0485342,0.3155777,-0.4618341,-0.5525604,0.6178973
-1.053477,1.131598,0.04879908,0.3172153,-0.4643528,-0.5510248,0.616541
-1.053908,1.131624,0.04899059,0.320562,-0.4672745,-0.5486031,0.6147595
-1.054006,1.131704,0.04905038,0.3219914,-0.4679825,-0.5477862,0.6142021
-1.054189,1.131814,0.0491683,0.3227026,-0.4682719,-0.5474571,0.6139017
-1.052145,1.13589,0.04802416,0.326799,-0.4663553,-0.5480386,0.6126737
-1.050794,1.139064,0.04597709,0.3316832,-0.4632831,-0.5490099,0.6115091
-1.049994,1.137073,0.04457745,0.3363219,-0.4595418,-0.5479725,0.6127276
-1.050719,1.131564,0.04662135,0.3290739,-0.4615852,-0.5461427,0.6167477
-1.049608,1.129833,0.05186532,0.3231265,-0.4632672,-0.5413715,0.6228081
-1.050078,1.129151,0.05127974,0.3224868,-0.462584,-0.5426824,0.6225064
-1.050711,1.129042,0.05147682,0.3207804,-0.4623538,-0.5438786,0.6225152
-1.051496,1.128968,0.05170308,0.3186973,-0.4614269,-0.5460293,0.62239
-1.051663,1.128877,0.0517254,0.3177908,-0.4608528,-0.5471021,0.6223369
-1.051969,1.128743,0.05172502,0.3154696,-0.459307,-0.5496829,0.6223864
-1.05192,1.128627,0.05166309,0.3146556,-0.4579212,-0.5508972,0.6227459
-1.051806,1.128481,0.05145444,0.3126256,-0.4541538,-0.5541596,0.623632
-1.051755,1.128421,0.05137868,0.3109217,-0.4518036,-0.5563707,0.624222
-1.051803,1.128227,0.05130516,0.3088123,-0.4484526,-0.5589281,0.6253997
-1.051422,1.127898,0.05082725,0.3060904,-0.4403058,-0.5636801,0.6282551
-1.051181,1.127869,0.05055647,0.3048282,-0.4362495,-0.5660489,0.6295674
-1.050988,1.127675,0.05018227,0.3002774,-0.4280303,-0.5721571,0.6318703
-1.051043,1.127614,0.04997011,0.297422,-0.4231539,-0.5758082,0.6331872
-1.050887,1.127528,0.04949294,0.2924991,-0.4130595,-0.5825203,0.6360004
-1.050717,1.127486,0.04924618,0.2902732,-0.408254,-0.5856959,0.6372053
-1.050746,1.127417,0.04896517,0.2876048,-0.4033761,-0.5895202,0.6379948
-1.051367,1.12714,0.04818018,0.2821999,-0.3923029,-0.5986879,0.6387759
-1.051642,1.127051,0.04751314,0.2805479,-0.3864388,-0.6033088,0.6387305
-1.051864,1.127021,0.04637079,0.2780513,-0.3761893,-0.6114892,0.6381616
-1.052132,1.126948,0.0460031,0.2758661,-0.3715152,-0.6158123,0.637691
-1.052988,1.126783,0.04534827,0.2707354,-0.3616269,-0.6246364,0.6369913
-1.053015,1.125751,0.04528236,0.2682586,-0.3573619,-0.6272154,0.6379113
-1.053063,1.125873,0.0453293,0.2635425,-0.3508326,-0.6327403,0.6380452
-1.053258,1.125772,0.04546048,0.2606904,-0.3481011,-0.635527,0.6379434
-1.053543,1.125436,0.04545158,0.2582402,-0.3449816,-0.6381475,0.6380185
-1.053542,1.125287,0.04518755,0.2559842,-0.3389118,-0.6417731,0.6385439
-1.05329,1.125373,0.04530048,0.2550995,-0.3370953,-0.6424008,0.6392279
-1.052934,1.125362,0.0459643,0.2518049,-0.3348249,-0.6429797,0.6411426
-1.052784,1.125304,0.04610243,0.2506562,-0.3334067,-0.6430768,0.6422334
-1.052005,1.125319,0.04611929,0.2504682,-0.3312363,-0.6420512,0.6444522
-1.051718,1.125348,0.04628736,0.2499857,-0.3308523,-0.6414468,0.6454379
-1.051534,1.125387,0.0464737,0.2491406,-0.3305637,-0.6410632,0.6462931
-1.051264,1.125439,0.04671131,0.2476554,-0.3290806,-0.6406069,0.6480708
-1.051056,1.125456,0.04666555,0.2473969,-0.3281153,-0.6403207,0.6489412
-1.050843,1.125519,0.04664263,0.2463894,-0.3264363,-0.6402306,0.6502588
-1.050809,1.125526,0.04663798,0.2457664,-0.325699,-0.6403298,0.6507664
-1.050768,1.125501,0.04641475,0.2451082,-0.3239617,-0.6406536,0.6515628
-1.050774,1.125477,0.04632425,0.244581,-0.3230963,-0.6409874,0.6518621
-1.050829,1.125459,0.04628555,0.2437142,-0.3221924,-0.6414858,0.6521438
-1.05088,1.125319,0.04610494,0.2415722,-0.3195286,-0.6429477,0.6528115
-1.05088,1.125319,0.04610494,0.2415722,-0.3195286,-0.6429477,0.6528115
-1.05088,1.125319,0.04610494,0.2415722,-0.3195286,-0.6429477,0.6528115
-1.05088,1.125319,0.04610494,0.2415722,-0.3195286,-0.6429477,0.6528115
-1.05088,1.125319,0.04610494,0.2415722,-0.3195286,-0.6429477,0.6528115
-1.051139,1.125269,0.04532205,0.2304471,-0.3029858,-0.651768,0.6559667
-1.051185,1.125255,0.0451382,0.2281904,-0.2991261,-0.6537367,0.6565678
-1.051362,1.125281,0.04496068,0.2220991,-0.2906941,-0.658345,0.6578382
-1.05153,1.125277,0.0448447,0.2185437,-0.2857944,-0.6610082,0.6585048
-1.051759,1.125123,0.044351,0.2118742,-0.274534,-0.6667479,0.6596878
-1.051882,1.124698,0.04397304,0.2089208,-0.268475,-0.6696776,0.6601555
-1.05152,1.125179,0.04120849,0.2067406,-0.2633268,-0.6658173,0.666787
-1.052833,1.12592,0.0399086,0.2030553,-0.2461834,-0.6831834,0.6568279
-1.053233,1.125811,0.03926218,0.2008259,-0.2394199,-0.6874249,0.655587
-1.053992,1.125008,0.03772518,0.1980535,-0.2266279,-0.6956331,0.6523109
-1.054498,1.124703,0.03703597,0.1969062,-0.2209148,-0.6998619,0.6500908
-1.055511,1.123955,0.03567369,0.1947949,-0.2105446,-0.7085268,0.6447604
-1.056154,1.123619,0.03495273,0.1940801,-0.2053306,-0.7131159,0.6415904
-1.057506,1.122981,0.03383131,0.1920871,-0.1963985,-0.7219501,0.6350737
-1.058058,1.122666,0.0335446,0.1904909,-0.1928186,-0.7258487,0.632201
-1.058879,1.122038,0.03283437,0.1879736,-0.1856452,-0.7327414,0.62713
-1.059428,1.121786,0.03255975,0.1866389,-0.1819194,-0.7361265,0.6246513
-1.059805,1.121503,0.03236051,0.1852767,-0.1787384,-0.7390555,0.6225128
-1.060232,1.121078,0.03232318,0.1822329,-0.1738447,-0.7436765,0.6192857
-1.060364,1.120965,0.03238359,0.1807116,-0.1718638,-0.7454882,0.6181048
-1.06058,1.120725,0.03237398,0.1781387,-0.1679844,-0.748326,0.6164871
-1.060503,1.120591,0.03236756,0.1772007,-0.1664976,-0.7490118,0.6163278
-1.059983,1.120612,0.03252937,0.1755551,-0.1649912,-0.7492248,0.6169448
-1.059736,1.120624,0.0327515,0.1743558,-0.164895,-0.749082,0.6174836
-1.059569,1.120589,0.03287919,0.1732778,-0.1647083,-0.7488865,0.6180738
-1.059177,1.12063,0.03271501,0.1723124,-0.1637816,-0.7484783,0.6190835
-1.059015,1.120744,0.03269635,0.1716287,-0.1632967,-0.7482625,0.619662
-1.058624,1.120807,0.03284404,0.1692482,-0.1622375,-0.74753,0.6214765
-1.058436,1.12082,0.03287482,0.1679516,-0.1612911,-0.7472299,0.6224349
-1.058279,1.120843,0.03289092,0.1665456,-0.1601394,-0.7470384,0.6233391
-1.058033,1.120792,0.03285891,0.1631778,-0.1573484,-0.7468733,0.6251359
-1.057988,1.120777,0.03282875,0.1613359,-0.1556707,-0.7468979,0.626004
-1.057812,1.120755,0.03272156,0.1574599,-0.1523207,-0.7469074,0.6278012
-1.057691,1.120736,0.03276393,0.1550457,-0.150639,-0.746803,0.6289309
-1.057388,1.120738,0.03287779,0.1498124,-0.1465529,-0.7463902,0.631649
-1.057276,1.120729,0.03292803,0.1469649,-0.1440339,-0.7460647,0.6332799
-1.056704,1.120725,0.03316434,0.1404816,-0.1380964,-0.7445463,0.6378443
-1.056134,1.120722,0.03318897,0.1373192,-0.1345819,-0.7430818,0.6409842
-1.054806,1.120716,0.03347521,0.1300374,-0.1267312,-0.7395715,0.6481231
-1.054214,1.120757,0.03377137,0.1252272,-0.1226008,-0.7377676,0.6519098
-1.053451,1.120682,0.03412375,0.1199315,-0.1179241,-0.7355115,0.6563028
-1.051733,1.120685,0.03461368,0.1090508,-0.1069179,-0.7305341,0.6655799
-1.050851,1.120747,0.03468227,0.1039995,-0.1008669,-0.7277981,0.6703135
-1.049149,1.120756,0.03547393,0.09103924,-0.08941251,-0.7221591,0.6798555
-1.048266,1.120822,0.03586595,0.08410385,-0.08334655,-0.7192583,0.6845784
-1.046276,1.121016,0.03591713,0.07183185,-0.07033029,-0.7129368,0.693985
-1.045343,1.121029,0.03592438,0.06545839,-0.06401253,-0.7097337,0.6984953
-1.044462,1.12108,0.03611678,0.05835325,-0.05787563,-0.7066756,0.7027482
-1.042741,1.121146,0.03647654,0.04414198,-0.04554346,-0.7004582,0.7108698
-1.041977,1.121197,0.03644164,0.03775385,-0.03942168,-0.6976287,0.7143772
-1.04078,1.12136,0.03671128,0.02435741,-0.02817985,-0.6925914,0.7203679
-1.040107,1.121393,0.03682676,0.01782501,-0.02291286,-0.6898742,0.7233471
-1.039423,1.125202,0.03908819,0.002582729,-0.009488672,-0.6890998,0.7245997
-1.038666,1.125113,0.0390318,-0.001994431,-0.00483346,-0.6845924,0.7289074
-1.038159,1.125075,0.03889802,-0.005986094,-0.0009953082,-0.6824383,0.7309182
-1.037353,1.125229,0.03869596,-0.01319742,0.004984379,-0.6789156,0.734081
-1.037064,1.125301,0.03867818,-0.01646036,0.007291824,-0.677408,0.7353873
-1.036705,1.125394,0.03842749,-0.02114686,0.01103511,-0.6752403,0.7372122
-1.036613,1.125397,0.03831053,-0.02299649,0.01230612,-0.6745234,0.7377927
-1.036509,1.125434,0.03819604,-0.02617222,0.01424682,-0.6735845,0.7385094
-1.036503,1.125443,0.03804074,-0.02684176,0.01489821,-0.6733722,0.7386661
-1.036624,1.125427,0.03774518,-0.02727962,0.01475716,-0.6733452,0.7386776
-1.036731,1.12541,0.03776929,-0.0285677,0.01358131,-0.6734662,0.738541
-1.036731,1.12541,0.03776929,-0.0285677,0.01358131,-0.6734662,0.738541
-1.03694,1.1253,0.03755803,-0.02839911,0.01266363,-0.6744544,0.7376616
-1.03694,1.1253,0.03755803,-0.02839911,0.01266363,-0.6744544,0.7376616
-1.037082,1.12525,0.03769174,-0.02896565,0.0117144,-0.6753834,0.7368047
-1.03718,1.125226,0.0377945,-0.02933785,0.01145273,-0.6759242,0.7362981
-1.037261,1.125161,0.03764023,-0.0288974,0.01144722,-0.6775532,0.7348168
-1.037261,1.125161,0.03764023,-0.0288974,0.01144722,-0.6775532,0.7348168
-1.037285,1.12503,0.03776191,-0.02903774,0.01159191,-0.6788621,0.7335999
-1.03724,1.125017,0.03764303,-0.02862382,0.0119752,-0.6792068,0.7332908
-1.03722,1.125018,0.03756021,-0.02826899,0.01210222,-0.6795461,0.7329882
-1.0372,1.124998,0.03758155,-0.02816531,0.01190209,-0.6798493,0.7327142
-1.037043,1.12495,0.03780808,-0.02843735,0.01155144,-0.6802462,0.7323408
-1.036948,1.124946,0.03781712,-0.02838102,0.01186755,-0.6804019,0.7321934
