H-Vector3X,H-Vector3Y,H-Vector3Z,H-QuaternionX,H-QuaternionY,H-QuaternionZ,H-QuaternionW
-1.40464,1.226151,-0.0335004,-0.003618985,-0.02674764,-0.7395514,0.6725588
-1.40463,1.226164,-0.03353715,-0.003484637,-0.02674252,-0.7394496,0.6726716
-1.404614,1.226152,-0.0335521,-0.003442347,-0.02680477,-0.7393308,0.6728001
-1.404614,1.226152,-0.0335521,-0.003442347,-0.02680477,-0.7393308,0.6728001
-1.404614,1.226152,-0.0335521,-0.003442347,-0.02680477,-0.7393308,0.6728001
-1.404614,1.226152,-0.0335521,-0.003442347,-0.02680477,-0.7393308,0.6728001
-1.404614,1.226152,-0.0335521,-0.003442347,-0.02680477,-0.7393308,0.6728001
-1.404614,1.226152,-0.0335521,-0.003442347,-0.02680477,-0.7393308,0.6728001
-1.404614,1.226152,-0.0335521,-0.003442347,-0.02680477,-0.7393308,0.6728001
-1.404614,1.226152,-0.0335521,-0.003442347,-0.02680477,-0.7393308,0.6728001
-1.404614,1.226152,-0.0335521,-0.003442347,-0.02680477,-0.7393308,0.6728001
-1.404614,1.226152,-0.0335521,-0.003442347,-0.02680477,-0.7393308,0.6728001
-1.404614,1.226152,-0.0335521,-0.003442347,-0.02680477,-0.7393308,0.6728001
-1.404614,1.226152,-0.0335521,-0.003442347,-0.02680477,-0.7393308,0.6728001
-1.40469,1.226205,-0.03336494,-0.003298372,-0.02676997,-0.7391834,0.672964
-1.404675,1.226198,-0.03336526,-0.003191411,-0.02682057,-0.7391755,0.6729712
-1.404675,1.226198,-0.03336526,-0.003191411,-0.02682057,-0.7391755,0.6729712
-1.404675,1.226198,-0.03336526,-0.003191411,-0.02682057,-0.7391755,0.6729712
-1.404675,1.226198,-0.03336526,-0.003191411,-0.02682057,-0.7391755,0.6729712
-1.404675,1.226198,-0.03336526,-0.003191411,-0.02682057,-0.7391755,0.6729712
-1.404511,1.226043,-0.03338632,-0.002625912,-0.02756643,-0.7389457,0.6731958
-1.40449,1.226042,-0.03336559,-0.002585113,-0.02780217,-0.7389055,0.6732304
-1.40449,1.226042,-0.03336559,-0.002585113,-0.02780217,-0.7389055,0.6732304
-1.40449,1.226042,-0.03336559,-0.002585113,-0.02780217,-0.7389055,0.6732304
-1.40449,1.226042,-0.03336559,-0.002585113,-0.02780217,-0.7389055,0.6732304
-1.40449,1.226042,-0.03336559,-0.002585113,-0.02780217,-0.7389055,0.6732304
-1.40449,1.226042,-0.03336559,-0.002585113,-0.02780217,-0.7389055,0.6732304
-1.40449,1.226042,-0.03336559,-0.002585113,-0.02780217,-0.7389055,0.6732304
-1.40449,1.226042,-0.03336559,-0.002585113,-0.02780217,-0.7389055,0.6732304
-1.40449,1.226042,-0.03336559,-0.002585113,-0.02780217,-0.7389055,0.6732304
-1.40449,1.226042,-0.03336559,-0.002585113,-0.02780217,-0.7389055,0.6732304
-1.40449,1.226042,-0.03336559,-0.002585113,-0.02780217,-0.7389055,0.6732304
-1.40449,1.226042,-0.03336559,-0.002585113,-0.02780217,-0.7389055,0.6732304
-1.403533,1.226049,-0.03428851,0.01998094,-0.05709261,-0.7334017,0.6770993
-1.403395,1.226047,-0.03439352,0.02258918,-0.06031716,-0.7327217,0.6774738
-1.403165,1.22599,-0.03461938,0.02846316,-0.06689388,-0.7311662,0.678315
-1.403047,1.225952,-0.03477775,0.03177577,-0.07046381,-0.7303115,0.678727
-1.402859,1.225824,-0.03496781,0.03524938,-0.07414085,-0.7293175,0.6792324
-1.402588,1.225775,-0.03526865,0.04235172,-0.08175418,-0.7274855,0.6799173
-1.40246,1.22575,-0.03535663,0.04593447,-0.08573586,-0.7264831,0.680266
-1.402128,1.225737,-0.03562817,0.05357412,-0.09412274,-0.7242721,0.6809558
-1.401953,1.225723,-0.03569964,0.05738038,-0.09850863,-0.7231025,0.6812683
-1.401593,1.225721,-0.03582831,0.06528762,-0.1077159,-0.7205533,0.6818636
