NoseWrinklerR,CheekRaiserR,LidTightenerR,UpperLipRaiserR,EyesClosedR,UpperLidRaiserR
-1.0,-1.0,-1.0,-1.0,0.02286493,0.0
-1.0,-1.0,-1.0,-1.0,0.02122409,0.0
-1.0,-1.0,-1.0,-1.0,0.01584944,0.0
-1.0,-1.0,-1.0,-1.0,0.01584944,0.0
-1.0,-1.0,-1.0,-1.0,0.03085153,0.0
-1.0,-1.0,-1.0,-1.0,0.03573651,0.0
-1.0,-1.0,-1.0,-1.0,0.03573651,0.0
-1.0,-1.0,-1.0,-1.0,0.02353607,0.0
-1.0,-1.0,-1.0,-1.0,0.02353607,0.0
-1.0,-1.0,-1.0,-1.0,0.02752649,0.0
-1.0,-1.0,-1.0,-1.0,0.02752649,0.0
-1.0,-1.0,-1.0,-1.0,0.02130261,0.0
-1.0,-1.0,-1.0,-1.0,0.02288757,0.0
-1.0,-1.0,-1.0,-1.0,0.02288757,0.0
-1.0,-1.0,-1.0,-1.0,0.01451473,0.0
-1.0,-1.0,-1.0,-1.0,0.03868116,0.0
-1.0,-1.0,-1.0,-1.0,0.03868116,0.0
-1.0,-1.0,-1.0,-1.0,0.04013565,0.0
-1.0,-1.0,-1.0,-1.0,0.04013565,0.0
-1.0,-1.0,-1.0,-1.0,0.04843692,0.0
-1.0,-1.0,-1.0,-1.0,0.05632739,0.0
-1.0,-1.0,-1.0,-1.0,0.05632739,0.0
-1.0,-1.0,-1.0,-1.0,0.049936,0.0
-1.0,-1.0,-1.0,-1.0,0.049936,0.0
-1.0,-1.0,-1.0,-1.0,0.05320431,0.0
-1.0,-1.0,-1.0,-1.0,0.05320431,0.0
-1.0,-1.0,-1.0,-1.0,0.04687603,0.0
-1.0,-1.0,-1.0,-1.0,0.05216058,0.0
-1.0,-1.0,-1.0,-1.0,0.05299082,0.0
-1.0,-1.0,-1.0,-1.0,0.05299082,0.0
-1.0,-1.0,-1.0,-1.0,0.05299082,0.0
-1.0,-1.0,-1.0,-1.0,0.05070745,0.0
-1.0,-1.0,-1.0,-1.0,0.04791974,0.0
-1.0,-1.0,-1.0,-1.0,0.04791974,0.0
-1.0,-1.0,-1.0,-1.0,0.05010579,0.0
-1.0,-1.0,-1.0,-1.0,0.05245878,0.0
-1.0,-1.0,-1.0,-1.0,0.05245878,0.0
-1.0,-1.0,-1.0,-1.0,0.03826787,0.0
-1.0,-1.0,-1.0,-1.0,0.03826787,0.0
-1.0,-1.0,-1.0,-1.0,0.07203048,0.0
-1.0,-1.0,-1.0,-1.0,0.04674798,0.0
-1.0,-1.0,-1.0,-1.0,0.04674798,0.0
-1.0,-1.0,-1.0,-1.0,0.04857038,0.0
-1.0,-1.0,-1.0,-1.0,0.04857038,0.0
-1.0,-1.0,-1.0,-1.0,0.0487921,0.0
-1.0,-1.0,-1.0,-1.0,0.05973912,0.0
-1.0,-1.0,-1.0,-1.0,0.05973912,0.0
-1.0,-1.0,-1.0,-1.0,0.05973912,0.0
-1.0,-1.0,-1.0,-1.0,0.05960899,0.0
-1.0,-1.0,-1.0,-1.0,0.05697859,0.0
-1.0,-1.0,-1.0,-1.0,0.05697859,0.0
-1.0,-1.0,-1.0,-1.0,0.05447942,0.0
-1.0,-1.0,-1.0,-1.0,0.04809399,0.0
-1.0,-1.0,-1.0,-1.0,0.04809399,0.0
-1.0,-1.0,-1.0,-1.0,0.05129085,0.0
-1.0,-1.0,-1.0,-1.0,0.05129085,0.0
-1.0,-1.0,-1.0,-1.0,0.04704371,0.0
-1.0,-1.0,-1.0,-1.0,0.04832105,0.0
-1.0,-1.0,-1.0,-1.0,0.04832105,0.0
-1.0,-1.0,-1.0,-1.0,0.04274352,0.0
-1.0,-1.0,-1.0,-1.0,0.04446568,0.0
-1.0,-1.0,-1.0,-1.0,0.03568456,0.0
-1.0,-1.0,-1.0,-1.0,0.03568456,0.0
-1.0,-1.0,-1.0,-1.0,0.0333255,0.0
-1.0,-1.0,-1.0,-1.0,0.0333255,0.0
-1.0,-1.0,-1.0,-1.0,0.03256707,0.0
-1.0,-1.0,-1.0,-1.0,0.03256707,0.0
-1.0,-1.0,-1.0,-1.0,0.03914466,0.0
-1.0,-1.0,-1.0,-1.0,0.03901966,0.0
-1.0,-1.0,-1.0,-1.0,0.03451755,0.0
-1.0,-1.0,-1.0,-1.0,0.03451755,0.0
-1.0,-1.0,-1.0,-1.0,0.03451755,0.0
-1.0,-1.0,-1.0,-1.0,0.03700842,0.0
