NoseWrinklerR,CheekRaiserR,LidTightenerR,UpperLipRaiserR,EyesClosedR,UpperLidRaiserR
-1.0,-1.0,-1.0,-1.0,5.370697e-16,0.001251814
-1.0,-1.0,-1.0,-1.0,3.318837e-16,0.0006050873
-1.0,-1.0,-1.0,-1.0,3.318837e-16,0.0006050873
-1.0,-1.0,-1.0,-1.0,2.095711e-16,0.0003093091
-1.0,-1.0,-1.0,-1.0,1.34767e-16,0.0001660078
-1.0,-1.0,-1.0,-1.0,1.34767e-16,0.0001660078
-1.0,-1.0,-1.0,-1.0,0.7574726,9.293699e-05
-1.0,-1.0,-1.0,-1.0,0.3852227,5.395037e-05
-1.0,-1.0,-1.0,-1.0,0.3852227,5.395037e-05
-1.0,-1.0,-1.0,-1.0,0.3852227,5.395037e-05
-1.0,-1.0,-1.0,-1.0,0.09559537,3.230491e-05
-1.0,-1.0,-1.0,-1.0,0.01538555,1.986114e-05
-1.0,-1.0,-1.0,-1.0,0.01538555,1.986114e-05
-1.0,-1.0,-1.0,-1.0,0.001053822,1.248671e-05
-1.0,-1.0,-1.0,-1.0,8.74199e-05,7.999923e-06
-1.0,-1.0,-1.0,-1.0,8.74199e-05,7.999923e-06
-1.0,-1.0,-1.0,-1.0,8.764248e-06,5.20741e-06
-1.0,-1.0,-1.0,-1.0,8.764248e-06,5.20741e-06
-1.0,-1.0,-1.0,-1.0,1.057335e-06,3.435123e-06
-1.0,-1.0,-1.0,-1.0,1.524847e-07,2.291413e-06
-1.0,-1.0,-1.0,-1.0,1.524847e-07,2.291413e-06
-1.0,-1.0,-1.0,-1.0,2.605673e-08,1.542779e-06
-1.0,-1.0,-1.0,-1.0,2.605673e-08,1.542779e-06
-1.0,-1.0,-1.0,-1.0,5.220854e-09,0.002218976
-1.0,-1.0,-1.0,-1.0,1.212367e-09,0.02628622
-1.0,-1.0,-1.0,-1.0,1.212367e-09,0.02628622
-1.0,-1.0,-1.0,-1.0,3.223485e-10,0.05981305
-1.0,-1.0,-1.0,-1.0,3.223485e-10,0.05981305
-1.0,-1.0,-1.0,-1.0,9.69441e-11,0.03938678
-1.0,-1.0,-1.0,-1.0,3.258652e-11,0.06060228
-1.0,-1.0,-1.0,-1.0,3.258652e-11,0.06060228
-1.0,-1.0,-1.0,-1.0,1.210338e-11,0.07775249
-1.0,-1.0,-1.0,-1.0,1.210338e-11,0.07775249
-1.0,-1.0,-1.0,-1.0,4.913558e-12,0.05739567
-1.0,-1.0,-1.0,-1.0,4.913558e-12,0.05739567
-1.0,-1.0,-1.0,-1.0,2.15808e-12,0.06248921
-1.0,-1.0,-1.0,-1.0,1.015751e-12,0.08225392
-1.0,-1.0,-1.0,-1.0,5.078653e-13,0.07609376
-1.0,-1.0,-1.0,-1.0,5.078653e-13,0.07609376
-1.0,-1.0,-1.0,-1.0,5.078653e-13,0.07609376
-1.0,-1.0,-1.0,-1.0,2.675987e-13,0.06817798
-1.0,-1.0,-1.0,-1.0,1.475275e-13,0.06134306
-1.0,-1.0,-1.0,-1.0,1.475275e-13,0.06134306
-1.0,-1.0,-1.0,-1.0,8.455227e-14,0.08107103
-1.0,-1.0,-1.0,-1.0,5.009222e-14,0.07156239
-1.0,-1.0,-1.0,-1.0,5.009222e-14,0.07156239
-1.0,-1.0,-1.0,-1.0,3.052453e-14,0.0700324
-1.0,-1.0,-1.0,-1.0,3.052453e-14,0.0700324
-1.0,-1.0,-1.0,-1.0,1.904951e-14,0.06949461
-1.0,-1.0,-1.0,-1.0,1.212999e-14,0.1019608
-1.0,-1.0,-1.0,-1.0,1.212999e-14,0.1019608
-1.0,-1.0,-1.0,-1.0,7.855616e-15,0.07977132
-1.0,-1.0,-1.0,-1.0,7.855616e-15,0.07977132
-1.0,-1.0,-1.0,-1.0,5.160136e-15,0.07097112
-1.0,-1.0,-1.0,-1.0,3.430002e-15,0.08153742
-1.0,-1.0,-1.0,-1.0,3.430002e-15,0.08153742
-1.0,-1.0,-1.0,-1.0,2.302687e-15,0.0492816
-1.0,-1.0,-1.0,-1.0,2.302687e-15,0.0492816
-1.0,-1.0,-1.0,-1.0,1.558705e-15,0.004565449
-1.0,-1.0,-1.0,-1.0,1.558705e-15,0.004565449
-1.0,-1.0,-1.0,-1.0,1.062384e-15,0.0004978211
-1.0,-1.0,-1.0,-1.0,7.282457e-16,6.358889e-05
-1.0,-1.0,-1.0,-1.0,5.015805e-16,0.002287477
-1.0,-1.0,-1.0,-1.0,5.015805e-16,0.002287477
-1.0,-1.0,-1.0,-1.0,5.015805e-16,0.002287477
-1.0,-1.0,-1.0,-1.0,3.468335e-16,0.003332065
-1.0,-1.0,-1.0,-1.0,2.406155e-16,0.002058623
-1.0,-1.0,-1.0,-1.0,2.406155e-16,0.002058623
-1.0,-1.0,-1.0,-1.0,1.67381e-16,0.003180772
-1.0,-1.0,-1.0,-1.0,1.166979e-16,0.00191141
-1.0,-1.0,-1.0,-1.0,1.166979e-16,0.00191141
-1.0,-1.0,-1.0,-1.0,8.151428000000001e-17,0.001178716
-1.0,-1.0,-1.0,-1.0,8.151428000000001e-17,0.001178716
-1.0,-1.0,-1.0,-1.0,5.702621e-17,0.0007429686
-1.0,-1.0,-1.0,-1.0,3.994579e-17,0.0004770372
-1.0,-1.0,-1.0,-1.0,3.994579e-17,0.0004770372
-1.0,-1.0,-1.0,-1.0,2.8010860000000004e-17,0.0003110842
-1.0,-1.0,-1.0,-1.0,2.8010860000000004e-17,0.0003110842
-1.0,-1.0,-1.0,-1.0,1.965886e-17,0.000205521
-1.0,-1.0,-1.0,-1.0,1.3807220000000001e-17,0.000137268
-1.0,-1.0,-1.0,-1.0,1.3807220000000001e-17,0.000137268
-1.0,-1.0,-1.0,-1.0,9.703244e-18,9.252061e-05
-1.0,-1.0,-1.0,-1.0,9.703244e-18,9.252061e-05
-1.0,-1.0,-1.0,-1.0,6.822473e-18,0.001560971
-1.0,-1.0,-1.0,-1.0,6.822473e-18,0.001560971
-1.0,-1.0,-1.0,-1.0,4.798939e-18,0.0521564
-1.0,-1.0,-1.0,-1.0,3.376706e-18,0.082467
-1.0,-1.0,-1.0,-1.0,3.376706e-18,0.082467
-1.0,-1.0,-1.0,-1.0,2.376638e-18,0.01627869
-1.0,-1.0,-1.0,-1.0,2.376638e-18,0.01627869
-1.0,-1.0,-1.0,-1.0,1.673157e-18,0.01569471
-1.0,-1.0,-1.0,-1.0,1.178122e-18,0.04679839
-1.0,-1.0,-1.0,-1.0,1.178122e-18,0.04679839
-1.0,-1.0,-1.0,-1.0,8.296903e-19,0.02599223
-1.0,-1.0,-1.0,-1.0,5.843837e-19,0.04806266
-1.0,-1.0,-1.0,-1.0,5.843837e-19,0.04806266
-1.0,-1.0,-1.0,-1.0,4.1164589999999994e-19,0.03790362
-1.0,-1.0,-1.0,-1.0,4.1164589999999994e-19,0.03790362
-1.0,-1.0,-1.0,-1.0,2.8999529999999997e-19,0.04987055
-1.0,-1.0,-1.0,-1.0,2.0430939999999997e-19,0.1720877
-1.0,-1.0,-1.0,-1.0,2.0430939999999997e-19,0.1720877
-1.0,-1.0,-1.0,-1.0,2.0430939999999997e-19,0.1720877
-1.0,-1.0,-1.0,-1.0,1.439513e-19,0.1699238
-1.0,-1.0,-1.0,-1.0,1.0142919999999999e-19,0.1126634
-1.0,-1.0,-1.0,-1.0,1.0142919999999999e-19,0.1126634
-1.0,-1.0,-1.0,-1.0,7.147112e-20,0.01068914
-1.0,-1.0,-1.0,-1.0,5.0363269999999997e-20,0.02845468
-1.0,-1.0,-1.0,-1.0,5.0363269999999997e-20,0.02845468
-1.0,-1.0,-1.0,-1.0,3.549006e-20,0.007695071
-1.0,-1.0,-1.0,-1.0,3.549006e-20,0.007695071
-1.0,-1.0,-1.0,-1.0,2.5009849999999998e-20,0.001277481
-1.0,-1.0,-1.0,-1.0,1.762486e-20,0.0003964122
-1.0,-1.0,-1.0,-1.0,1.762486e-20,0.0003964122
-1.0,-1.0,-1.0,-1.0,1.242061e-20,0.0002036569
-1.0,-1.0,-1.0,-1.0,1.242061e-20,0.0002036569
-1.0,-1.0,-1.0,-1.0,8.753239999999999e-21,0.0001281244
-1.0,-1.0,-1.0,-1.0,6.168775e-21,8.568766e-05
-1.0,-1.0,-1.0,-1.0,6.168775e-21,8.568766e-05
-1.0,-1.0,-1.0,-1.0,4.3474589999999996e-21,5.847335e-05
-1.0,-1.0,-1.0,-1.0,4.3474589999999996e-21,5.847335e-05
-1.0,-1.0,-1.0,-1.0,3.063875e-21,4.025174e-05
-1.0,-1.0,-1.0,-1.0,2.159286e-21,2.78486e-05
-1.0,-1.0,-1.0,-1.0,2.159286e-21,2.78486e-05
-1.0,-1.0,-1.0,-1.0,1.521782e-21,1.933544e-05
-1.0,-1.0,-1.0,-1.0,1.072493e-21,1.346104e-05
-1.0,-1.0,-1.0,-1.0,1.072493e-21,1.346104e-05
-1.0,-1.0,-1.0,-1.0,1.072493e-21,1.346104e-05
