L_Yaw,L_Pitch,L_Roll,R_Yaw,R_Pitch,R_Roll
85.46165,7.651482,0.2417446,95.09427,7.451525,2.377308
85.27467,7.667483,0.2380359,95.09408,7.46146,2.378391
85.46326,7.661355,0.240741,95.10512,7.461158,2.378506
85.46326,7.661355,0.240741,95.10512,7.461158,2.378506
85.94377,7.645213,0.2476157,95.56065,7.448136,2.382956
85.94377,7.645213,0.2476157,95.56065,7.448146,2.382955
86.14027,7.382539,0.2769858,95.76495,7.185612,2.356879
86.14029,7.382541,0.276988,95.76495,7.185601,2.356877
86.81937,7.925855,0.2277087,96.02199,7.747247,2.421578
84.1227,5.968731,0.1309401,93.28588,5.831032,1.980512
83.62125,5.867793,0.1379695,92.7827,5.730278,1.973256
75.03861,4.318612,0.3258503,84.63497,4.117665,1.825725
74.4081,3.786882,0.3150598,83.9985,3.595157,1.726274
61.17228,354.2266,1.82639,71.12787,353.9604,1.243651
56.72126,349.8205,2.564906,67.62373,349.511,1.002104
54.72188,348.6748,2.701798,65.66652,348.3607,0.9154495
53.69727,348.2735,2.649905,64.65797,347.9764,0.7865384
52.69883,347.8557,2.553377,63.67684,347.5841,0.6103372
54.41214,348.97,1.988742,64.71542,348.7804,0.3769321
53.87244,349.5416,1.638067,64.42721,349.3846,0.1488946
51.89925,348.7925,1.598237,62.48063,348.6554,359.9698
54.09203,350.2855,0.913151,64.00832,350.2229,359.717
54.07731,350.0374,0.5941625,63.34631,350.0166,359.4829
53.35566,349.6514,0.6267474,62.63591,349.6304,359.4518
52.70784,349.2394,0.6932581,62.00062,349.2133,359.4499
52.21325,348.4412,0.7614388,61.0754,348.4077,359.4684
52.41491,347.5447,0.7690188,61.58107,347.5341,359.2527
52.20182,344.9824,0.8518862,61.44334,345.0149,358.8154
51.82427,344.7371,0.8552405,61.07649,344.7723,358.7779
51.42354,344.0418,0.9448659,60.96369,344.0794,358.6818
51.16043,343.8993,0.992633,60.70756,343.9312,358.7043
51.23786,343.9548,0.8572413,61.03458,344.0092,358.541
51.08342,343.8423,0.8502454,60.88559,343.8995,358.5142
51.96229,345.1822,0.5003787,61.49538,345.2587,358.5146
51.8143,345.057,0.6011999,61.35337,345.1191,358.5925
51.77489,344.9985,0.6112424,61.31661,345.0598,358.5924
52.30044,344.8369,0.5145619,61.62056,344.91,358.5205
52.36327,344.7651,0.5760055,61.68685,344.8294,358.569
52.54957,344.3954,0.7168486,62.13534,344.4513,358.5761
56.64513,342.8682,359.9651,67.07296,343.1053,357.3308
56.83934,342.8039,359.9412,67.27048,343.0462,357.2952
72.03378,343.1585,356.6773,82.76975,343.9822,354.0972
72.25153,343.1201,356.7636,82.99128,343.9289,354.1744
82.6916,345.0183,354.4449,93.03999,346.1752,352.3617
89.83451,345.7344,353.0139,100.6704,347.2092,351.0029
90.84821,345.6653,353.0837,101.6892,347.1287,351.0577
96.12057,345.1479,352.3926,107.6978,346.8618,350.1437
97.00132,345.1761,352.3314,108.5751,346.9013,350.0899
98.03026,345.1989,352.2861,109.6013,346.9324,350.0506
100.3483,345.114,352.3462,111.9255,346.8376,350.0916
100.3014,345.7691,352.5694,111.8471,347.441,350.4549
99.85347,345.1503,353.2028,111.4274,346.7106,350.9449
101.4071,345.0368,353.1794,112.9857,346.6039,350.8987
102.1145,344.8197,353.3691,113.6055,346.339,351.0572
105.2692,345.3528,353.287,116.743,346.8835,351.0952
106.9403,345.242,353.2021,118.4165,346.791,350.99
115.9579,348.7774,351.4555,127.3581,350.6295,350.0241
119.1175,349.3943,351.306,130.4921,351.2687,350.0122
120.6846,349.2758,351.2103,132.0594,351.171,349.8952
123.5765,349.6232,350.9016,134.9285,351.5745,349.6696
124.9688,349.545,350.7673,136.318,351.5239,349.5231
125.7557,350.9438,350.5906,137.0564,352.9381,349.6463
127.0878,350.8854,350.4882,138.386,352.9006,349.5349
127.8612,351.4356,350.8319,139.1397,353.3745,349.9935
126.1379,351.2017,351.427,137.4247,353.0248,350.5314
127.2505,351.125,351.3736,138.5374,352.96,350.4642
129.2236,351.1525,351.2133,140.504,353.0187,350.3152
130.2087,351.1208,351.0919,141.4856,353.0111,350.1905
130.8362,350.8544,351.2535,141.7056,352.6695,350.3909
132.1962,351.5297,351.0118,141.5587,353.2269,350.6436
133.4875,351.3437,350.8929,142.8498,353.0624,350.4963
130.5252,351.4359,351.67,141.6656,353.1923,350.8652
130.9662,351.3985,351.6231,142.1059,353.1645,350.8121
130.677,351.2505,351.8137,141.9095,352.9895,350.9475
130.8476,351.2265,351.8098,142.0047,352.9583,350.9576
131.2099,351.2596,351.7715,142.3649,352.9982,350.9266
130.498,350.9105,351.9918,141.2779,352.5677,351.1663
129.9793,352.0041,352.0435,140.9062,353.6549,351.4041
130.0142,352.0567,352.054,140.9403,353.7046,351.4244
128.8914,357.3086,351.6795,139.3256,358.9277,352.2565
128.8987,357.3956,351.6807,139.3326,359.0131,352.273
127.929,8.697171,350.2168,139.2371,10.46897,353.0124
128.032,9.138344,350.2552,139.3575,10.89414,353.1383
131.8357,9.2133,349.396,135.5575,11.17366,354.2634
132.8633,9.772859,349.3435,135.1826,11.78135,354.5859
133.0126,10.14209,349.4843,135.3401,12.14466,354.7429
129.0587,11.41288,350.7892,140.0979,13.03007,354.2126
128.8322,11.92057,351.0998,140.1562,13.46004,354.5626
129.0063,12.58,351.3108,140.3668,14.06603,354.9043
129.1455,14.02566,351.7836,140.5145,15.39345,355.68
128.729,14.81493,352.1978,139.7472,16.09989,356.3181
129.1696,16.43093,352.8611,140.2927,17.56318,357.2973
128.2776,17.44371,353.2814,139.9466,18.43954,357.8624
128.4817,18.31119,353.58,140.214,19.23137,358.3422
128.4786,20.1212,354.2686,140.3568,20.86681,359.4135
