NoseWrinklerR,CheekRaiserR,LidTightenerR,UpperLipRaiserR,EyesClosedR,UpperLidRaiserR
-1.0,-1.0,-1.0,-1.0,0.006158896,0.0
-1.0,-1.0,-1.0,-1.0,0.006158896,0.0
-1.0,-1.0,-1.0,-1.0,0.006158896,0.0
-1.0,-1.0,-1.0,-1.0,0.005792997,0.0
-1.0,-1.0,-1.0,-1.0,0.005792997,0.0
-1.0,-1.0,-1.0,-1.0,0.00438213,0.0
-1.0,-1.0,-1.0,-1.0,0.00438213,0.0
-1.0,-1.0,-1.0,-1.0,0.004751007,0.0
-1.0,-1.0,-1.0,-1.0,0.003763109,0.0
-1.0,-1.0,-1.0,-1.0,0.003763109,0.0
-1.0,-1.0,-1.0,-1.0,0.6441758,0.0
-1.0,-1.0,-1.0,-1.0,0.6441758,0.0
-1.0,-1.0,-1.0,-1.0,0.7805169,0.0
-1.0,-1.0,-1.0,-1.0,0.7805169,0.0
-1.0,-1.0,-1.0,-1.0,0.2885062,0.0
-1.0,-1.0,-1.0,-1.0,0.1188783,0.0
-1.0,-1.0,-1.0,-1.0,0.1188783,0.0
-1.0,-1.0,-1.0,-1.0,0.036533,0.0
-1.0,-1.0,-1.0,-1.0,0.036533,0.0
-1.0,-1.0,-1.0,-1.0,0.01823307,0.0
-1.0,-1.0,-1.0,-1.0,0.01032431,0.0
-1.0,-1.0,-1.0,-1.0,0.01032431,0.0
-1.0,-1.0,-1.0,-1.0,0.009290503,0.0
-1.0,-1.0,-1.0,-1.0,0.009290503,0.0
-1.0,-1.0,-1.0,-1.0,0.005760553,0.0
-1.0,-1.0,-1.0,-1.0,0.005515562,0.0
-1.0,-1.0,-1.0,-1.0,0.005515562,0.0
-1.0,-1.0,-1.0,-1.0,0.005495888,0.0
-1.0,-1.0,-1.0,-1.0,0.005495888,0.0
-1.0,-1.0,-1.0,-1.0,0.005494078,0.0
-1.0,-1.0,-1.0,-1.0,0.00549389,0.0
-1.0,-1.0,-1.0,-1.0,0.00549389,0.0
-1.0,-1.0,-1.0,-1.0,0.005493868,0.0
-1.0,-1.0,-1.0,-1.0,0.005493868,0.0
-1.0,-1.0,-1.0,-1.0,0.005493865,0.0
-1.0,-1.0,-1.0,-1.0,0.005493865,0.0
-1.0,-1.0,-1.0,-1.0,0.005493865,0.0
-1.0,-1.0,-1.0,-1.0,0.005493866,0.0
