NoseWrinklerR,CheekRaiserR,LidTightenerR,UpperLipRaiserR,EyesClosedR,UpperLidRaiserR
-1.0,-1.0,-1.0,-1.0,0.0284301,0.0
-1.0,-1.0,-1.0,-1.0,0.02856313,0.0
-1.0,-1.0,-1.0,-1.0,0.02856313,0.0
-1.0,-1.0,-1.0,-1.0,0.01811664,0.0
-1.0,-1.0,-1.0,-1.0,0.01811664,0.0
-1.0,-1.0,-1.0,-1.0,0.02618288,0.0
-1.0,-1.0,-1.0,-1.0,0.02795048,0.0
-1.0,-1.0,-1.0,-1.0,0.02795048,0.0
-1.0,-1.0,-1.0,-1.0,0.02838754,0.0
-1.0,-1.0,-1.0,-1.0,0.02838754,0.0
-1.0,-1.0,-1.0,-1.0,0.0575866,0.0
-1.0,-1.0,-1.0,-1.0,0.05662995,0.0
-1.0,-1.0,-1.0,-1.0,0.05662995,0.0
-1.0,-1.0,-1.0,-1.0,0.05566093,0.0
-1.0,-1.0,-1.0,-1.0,0.05566093,0.0
-1.0,-1.0,-1.0,-1.0,0.04493465,0.0
-1.0,-1.0,-1.0,-1.0,0.04493465,0.0
-1.0,-1.0,-1.0,-1.0,0.04146947,0.0
-1.0,-1.0,-1.0,-1.0,0.03577978,0.0
-1.0,-1.0,-1.0,-1.0,0.03413116,0.0
-1.0,-1.0,-1.0,-1.0,0.03413116,0.0
-1.0,-1.0,-1.0,-1.0,0.03413116,0.0
-1.0,-1.0,-1.0,-1.0,0.02407642,0.0
-1.0,-1.0,-1.0,-1.0,0.01695499,0.0
-1.0,-1.0,-1.0,-1.0,0.01695499,0.0
-1.0,-1.0,-1.0,-1.0,0.01056256,0.0
-1.0,-1.0,-1.0,-1.0,0.0287824,0.0
-1.0,-1.0,-1.0,-1.0,0.0287824,0.0
-1.0,-1.0,-1.0,-1.0,0.02375843,0.0
-1.0,-1.0,-1.0,-1.0,0.02375843,0.0
-1.0,-1.0,-1.0,-1.0,0.01753279,0.0
-1.0,-1.0,-1.0,-1.0,0.01584819,0.0
-1.0,-1.0,-1.0,-1.0,0.01584819,0.0
-1.0,-1.0,-1.0,-1.0,0.005729042,0.0
-1.0,-1.0,-1.0,-1.0,0.005729042,0.0
-1.0,-1.0,-1.0,-1.0,0.001289174,0.0
-1.0,-1.0,-1.0,-1.0,0.0003288445,0.0
-1.0,-1.0,-1.0,-1.0,0.0003288445,0.0
-1.0,-1.0,-1.0,-1.0,9.43019e-05,0.0
-1.0,-1.0,-1.0,-1.0,9.43019e-05,0.0
-1.0,-1.0,-1.0,-1.0,3.013597e-05,0.0
-1.0,-1.0,-1.0,-1.0,3.013597e-05,0.0
-1.0,-1.0,-1.0,-1.0,1.063655e-05,0.0
-1.0,-1.0,-1.0,-1.0,4.114952e-06,0.0
-1.0,-1.0,-1.0,-1.0,4.114952e-06,0.0
-1.0,-1.0,-1.0,-1.0,1.725867e-06,0.0
-1.0,-1.0,-1.0,-1.0,1.725867e-06,0.0
-1.0,-1.0,-1.0,-1.0,7.785934e-07,0.0
-1.0,-1.0,-1.0,-1.0,3.727153e-07,0.0
-1.0,-1.0,-1.0,-1.0,3.727153e-07,0.0
-1.0,-1.0,-1.0,-1.0,1.894785e-07,0.0
-1.0,-1.0,-1.0,-1.0,1.894785e-07,0.0
-1.0,-1.0,-1.0,-1.0,1.01185e-07,0.0
-1.0,-1.0,-1.0,-1.0,1.01185e-07,0.0
-1.0,-1.0,-1.0,-1.0,5.638912e-08,0.0
-1.0,-1.0,-1.0,-1.0,3.305353e-08,0.0
-1.0,-1.0,-1.0,-1.0,1.976535e-08,0.0
-1.0,-1.0,-1.0,-1.0,1.976535e-08,0.0
-1.0,-1.0,-1.0,-1.0,1.976535e-08,0.0
-1.0,-1.0,-1.0,-1.0,1.213943e-08,0.0
-1.0,-1.0,-1.0,-1.0,7.471622e-09,0.0
-1.0,-1.0,-1.0,-1.0,4.77487e-09,0.0
-1.0,-1.0,-1.0,-1.0,4.77487e-09,0.0
-1.0,-1.0,-1.0,-1.0,3.10136e-09,0.0
-1.0,-1.0,-1.0,-1.0,3.10136e-09,0.0
-1.0,-1.0,-1.0,-1.0,2.042033e-09,0.0
-1.0,-1.0,-1.0,-1.0,2.042033e-09,0.0
-1.0,-1.0,-1.0,-1.0,1.359973e-09,0.0
-1.0,-1.0,-1.0,-1.0,9.144242e-10,0.0
-1.0,-1.0,-1.0,-1.0,9.144242e-10,0.0
-1.0,-1.0,-1.0,-1.0,0.002475508,0.0
-1.0,-1.0,-1.0,-1.0,0.002475508,0.0
-1.0,-1.0,-1.0,-1.0,0.00359725,0.0
-1.0,-1.0,-1.0,-1.0,0.002201837,0.0
-1.0,-1.0,-1.0,-1.0,0.002201837,0.0
-1.0,-1.0,-1.0,-1.0,0.001379143,0.0
-1.0,-1.0,-1.0,-1.0,0.001379143,0.0
-1.0,-1.0,-1.0,-1.0,0.0008808137,0.0
-1.0,-1.0,-1.0,-1.0,0.0005718318,0.0
-1.0,-1.0,-1.0,-1.0,0.0005718318,0.0
-1.0,-1.0,-1.0,-1.0,0.0003763769,0.0
-1.0,-1.0,-1.0,-1.0,0.0003763769,0.0
-1.0,-1.0,-1.0,-1.0,0.0002505976,0.0
-1.0,-1.0,-1.0,-1.0,0.0002505976,0.0
-1.0,-1.0,-1.0,-1.0,0.0001684654,0.0
-1.0,-1.0,-1.0,-1.0,0.0001141633,0.0
-1.0,-1.0,-1.0,-1.0,7.788347e-05,0.0
-1.0,-1.0,-1.0,-1.0,7.788347e-05,0.0
-1.0,-1.0,-1.0,-1.0,7.788347e-05,0.0
-1.0,-1.0,-1.0,-1.0,5.342937e-05,0.0
-1.0,-1.0,-1.0,-1.0,3.682291e-05,0.0
-1.0,-1.0,-1.0,-1.0,3.682291e-05,0.0
-1.0,-1.0,-1.0,-1.0,2.547573e-05,0.0
-1.0,-1.0,-1.0,-1.0,2.547573e-05,0.0
-1.0,-1.0,-1.0,-1.0,1.768145e-05,0.0
-1.0,-1.0,-1.0,-1.0,1.230428e-05,0.0
-1.0,-1.0,-1.0,-1.0,1.230428e-05,0.0
-1.0,-1.0,-1.0,-1.0,8.581075e-06,0.0
-1.0,-1.0,-1.0,-1.0,5.995412e-06,0.0
-1.0,-1.0,-1.0,-1.0,5.995412e-06,0.0
-1.0,-1.0,-1.0,-1.0,4.195088e-06,0.0
-1.0,-1.0,-1.0,-1.0,4.195088e-06,0.0
-1.0,-1.0,-1.0,-1.0,2.93907e-06,0.0
-1.0,-1.0,-1.0,-1.0,2.061224e-06,0.0
-1.0,-1.0,-1.0,-1.0,2.061224e-06,0.0
-1.0,-1.0,-1.0,-1.0,1.446799e-06,0.0
-1.0,-1.0,-1.0,-1.0,1.446799e-06,0.0
-1.0,-1.0,-1.0,-1.0,0.00131452,0.0
-1.0,-1.0,-1.0,-1.0,0.00131452,0.0
-1.0,-1.0,-1.0,-1.0,0.003580971,0.0
-1.0,-1.0,-1.0,-1.0,0.008716681,0.0
-1.0,-1.0,-1.0,-1.0,0.008716681,0.0
-1.0,-1.0,-1.0,-1.0,0.009999057,0.0
-1.0,-1.0,-1.0,-1.0,0.009999057,0.0
-1.0,-1.0,-1.0,-1.0,0.009394023,0.0
-1.0,-1.0,-1.0,-1.0,0.009142423,0.0
-1.0,-1.0,-1.0,-1.0,0.009142423,0.0
-1.0,-1.0,-1.0,-1.0,0.009038016,0.0
-1.0,-1.0,-1.0,-1.0,0.008995976,0.0
-1.0,-1.0,-1.0,-1.0,0.008995976,0.0
-1.0,-1.0,-1.0,-1.0,0.00898045,0.0
-1.0,-1.0,-1.0,-1.0,0.00898045,0.0
-1.0,-1.0,-1.0,-1.0,0.008976002,0.0
-1.0,-1.0,-1.0,-1.0,0.01248131,0.0
-1.0,-1.0,-1.0,-1.0,0.01248131,0.0
-1.0,-1.0,-1.0,-1.0,0.01138144,0.0
-1.0,-1.0,-1.0,-1.0,0.01138144,0.0
-1.0,-1.0,-1.0,-1.0,0.01063553,0.0
-1.0,-1.0,-1.0,-1.0,0.0101264,0.0
-1.0,-1.0,-1.0,-1.0,0.0101264,0.0
-1.0,-1.0,-1.0,-1.0,0.009777011,0.0
-1.0,-1.0,-1.0,-1.0,0.009777011,0.0
-1.0,-1.0,-1.0,-1.0,0.009536167,0.0
-1.0,-1.0,-1.0,-1.0,0.009536167,0.0
-1.0,-1.0,-1.0,-1.0,0.0126186,0.0
-1.0,-1.0,-1.0,-1.0,0.01390799,0.0
-1.0,-1.0,-1.0,-1.0,0.01390799,0.0
-1.0,-1.0,-1.0,-1.0,0.01187646,0.0
-1.0,-1.0,-1.0,-1.0,0.01187646,0.0
-1.0,-1.0,-1.0,-1.0,0.01073384,0.0
-1.0,-1.0,-1.0,-1.0,0.0100695,0.0
-1.0,-1.0,-1.0,-1.0,0.0100695,0.0
-1.0,-1.0,-1.0,-1.0,0.009671952,0.0
-1.0,-1.0,-1.0,-1.0,0.009671952,0.0
-1.0,-1.0,-1.0,-1.0,0.00942804,0.0
-1.0,-1.0,-1.0,-1.0,0.00942804,0.0
-1.0,-1.0,-1.0,-1.0,0.01568581,0.0
-1.0,-1.0,-1.0,-1.0,0.01568581,0.0
-1.0,-1.0,-1.0,-1.0,0.04316236,0.0
-1.0,-1.0,-1.0,-1.0,0.04316236,0.0
-1.0,-1.0,-1.0,-1.0,0.04662936,0.0
-1.0,-1.0,-1.0,-1.0,0.04429012,0.0
-1.0,-1.0,-1.0,-1.0,0.04429012,0.0
-1.0,-1.0,-1.0,-1.0,0.03820887,0.0
-1.0,-1.0,-1.0,-1.0,0.03820887,0.0
-1.0,-1.0,-1.0,-1.0,0.02134786,0.0
-1.0,-1.0,-1.0,-1.0,0.009603615,0.0
-1.0,-1.0,-1.0,-1.0,0.009603615,0.0
-1.0,-1.0,-1.0,-1.0,0.01239938,0.0
-1.0,-1.0,-1.0,-1.0,0.01239938,0.0
-1.0,-1.0,-1.0,-1.0,0.02585826,0.0
-1.0,-1.0,-1.0,-1.0,0.06748912,0.0
-1.0,-1.0,-1.0,-1.0,0.06748912,0.0
-1.0,-1.0,-1.0,-1.0,0.06620212,0.0
-1.0,-1.0,-1.0,-1.0,0.06620212,0.0
-1.0,-1.0,-1.0,-1.0,0.05412848,0.0
-1.0,-1.0,-1.0,-1.0,0.05412848,0.0
-1.0,-1.0,-1.0,-1.0,0.04884139,0.0
-1.0,-1.0,-1.0,-1.0,0.02740255,0.0
-1.0,-1.0,-1.0,-1.0,0.01749404,0.0
-1.0,-1.0,-1.0,-1.0,0.01749404,0.0
-1.0,-1.0,-1.0,-1.0,0.01054069,0.0
-1.0,-1.0,-1.0,-1.0,0.01054069,0.0
-1.0,-1.0,-1.0,-1.0,0.004262659,0.0
-1.0,-1.0,-1.0,-1.0,0.004262659,0.0
-1.0,-1.0,-1.0,-1.0,0.003123624,0.0
-1.0,-1.0,-1.0,-1.0,0.007041282,0.0
-1.0,-1.0,-1.0,-1.0,0.007041282,0.0
-1.0,-1.0,-1.0,-1.0,0.008263811,0.0
-1.0,-1.0,-1.0,-1.0,0.008263811,0.0
-1.0,-1.0,-1.0,-1.0,0.00868741,0.0
-1.0,-1.0,-1.0,-1.0,0.008849626,0.0
-1.0,-1.0,-1.0,-1.0,0.008849626,0.0
-1.0,-1.0,-1.0,-1.0,0.008917935,0.0
-1.0,-1.0,-1.0,-1.0,0.008917935,0.0
-1.0,-1.0,-1.0,-1.0,0.00894936,0.0
-1.0,-1.0,-1.0,-1.0,0.008965019,0.0
-1.0,-1.0,-1.0,-1.0,0.008965019,0.0
-1.0,-1.0,-1.0,-1.0,0.005129848,0.0
-1.0,-1.0,-1.0,-1.0,0.006624554,0.0
-1.0,-1.0,-1.0,-1.0,0.006624554,0.0
-1.0,-1.0,-1.0,-1.0,0.006624554,0.0
-1.0,-1.0,-1.0,-1.0,0.004416777,0.0
-1.0,-1.0,-1.0,-1.0,0.001642496,0.0
-1.0,-1.0,-1.0,-1.0,0.001642496,0.0
-1.0,-1.0,-1.0,-1.0,0.002289878,0.0
-1.0,-1.0,-1.0,-1.0,0.002589759,0.0
-1.0,-1.0,-1.0,-1.0,0.002589759,0.0
-1.0,-1.0,-1.0,-1.0,0.001143184,0.0
-1.0,-1.0,-1.0,-1.0,0.0005395887,0.0
-1.0,-1.0,-1.0,-1.0,0.0005395887,0.0
-1.0,-1.0,-1.0,-1.0,0.0002701703,0.0
-1.0,-1.0,-1.0,-1.0,0.0002701703,0.0
-1.0,-1.0,-1.0,-1.0,0.0001424295,0.0
-1.0,-1.0,-1.0,-1.0,0.0001424295,0.0
-1.0,-1.0,-1.0,-1.0,7.818844e-05,0.0
-1.0,-1.0,-1.0,-1.0,4.475471e-05,0.0
-1.0,-1.0,-1.0,-1.0,4.475471e-05,0.0
-1.0,-1.0,-1.0,-1.0,2.647657e-05,0.0
-1.0,-1.0,-1.0,-1.0,2.647657e-05,0.0
-1.0,-1.0,-1.0,-1.0,1.622598e-05,0.0
-1.0,-1.0,-1.0,-1.0,1.622598e-05,0.0
-1.0,-1.0,-1.0,-1.0,1.012126e-05,0.0
-1.0,-1.0,-1.0,-1.0,6.441764e-06,0.0
-1.0,-1.0,-1.0,-1.0,6.441764e-06,0.0
-1.0,-1.0,-1.0,-1.0,4.170088e-06,0.0
-1.0,-1.0,-1.0,-1.0,4.170088e-06,0.0
-1.0,-1.0,-1.0,-1.0,2.738185e-06,0.0
-1.0,-1.0,-1.0,-1.0,1.819528e-06,0.0
-1.0,-1.0,-1.0,-1.0,1.819528e-06,0.0
-1.0,-1.0,-1.0,-1.0,1.221182e-06,0.0
-1.0,-1.0,-1.0,-1.0,8.264356e-07,0.0
-1.0,-1.0,-1.0,-1.0,8.264356e-07,0.0
-1.0,-1.0,-1.0,-1.0,5.561698e-07,0.0
-1.0,-1.0,-1.0,-1.0,5.561698e-07,0.0
-1.0,-1.0,-1.0,-1.0,3.810522e-07,0.0
-1.0,-1.0,-1.0,-1.0,2.623387e-07,0.0
