L_Yaw,L_Pitch,L_Roll,R_Yaw,R_Pitch,R_Roll
350.4387,2.669932,2.155092,0.412045,2.265175,3.049881
350.4387,2.669932,2.155092,0.412045,2.265175,3.049881
350.1271,2.715769,2.120871,359.931,2.318736,3.009067
350.1968,2.588665,2.180353,0.0007319016,2.182658,3.050111
350.1968,2.588665,2.180353,0.0007319016,2.182658,3.050111
350.2658,2.581558,2.172569,0.06982841,2.177097,3.041349
350.2896,2.593825,2.180537,0.09363026,2.187683,3.051171
350.2896,2.593825,2.180537,0.09363026,2.187683,3.051171
350.1249,2.456443,2.191644,359.8686,2.050391,3.037325
349.9083,2.170727,2.204055,359.7385,1.759437,3.015867
349.9136,2.292425,2.191474,359.7433,1.882111,3.020698
350.0345,2.287794,2.202108,359.982,1.872147,3.040422
350.0345,2.287794,2.202108,359.982,1.872147,3.040422
350.0196,2.463822,2.137353,359.957,2.058153,3.000451
350.0187,2.467683,2.135745,359.9562,2.062219,2.999535
350.0187,2.467683,2.135745,359.9562,2.062219,2.999535
350.0106,2.618163,2.123909,359.8924,2.215318,3.005232
349.9737,2.51072,2.137124,359.705,2.112438,2.991014
349.9737,2.51072,2.137124,359.705,2.112438,2.991014
349.6041,2.312573,2.127022,359.4511,1.909178,2.962089
349.0913,357.2229,2.639744,358.9505,356.7824,2.742008
349.0913,357.2229,2.639744,358.9505,356.7824,2.742008
348.9045,354.0923,2.980357,358.8156,353.6256,2.628242
349.639,353.4432,3.119423,359.3746,352.9709,2.656229
349.639,353.4432,3.119423,359.3746,352.9709,2.656229
349.639,353.4432,3.119423,359.3746,352.9709,2.656229
349.639,353.4432,3.119423,359.3746,352.9709,2.656229
349.0771,355.2437,2.862576,359.2152,354.7781,2.699483
349.0771,355.2437,2.862576,359.2152,354.7781,2.699483
348.3402,355.5295,2.766273,357.99,355.089,2.603345
348.3403,355.5295,2.766273,357.99,355.089,2.603345
348.3403,355.5295,2.766273,357.99,355.089,2.603345
352.0226,355.1336,3.125215,1.404809,354.6678,2.88325
352.6234,352.5416,3.479352,2.459334,352.028,2.89187
352.6234,352.5416,3.479352,2.459334,352.028,2.89187
352.1272,348.6835,3.910968,2.192572,348.1264,2.757365
352.1272,348.6835,3.910967,2.192572,348.1264,2.757365
352.1272,348.6835,3.910967,2.192572,348.1264,2.757365
