L_Yaw,L_Pitch,L_Roll,R_Yaw,R_Pitch,R_Roll
354.9228,353.7185,0.8529894,5.732628,353.6075,0.2203954
354.9228,353.7185,0.8529894,5.732628,353.6075,0.2203954
354.6694,353.4945,0.8874195,4.887034,353.3747,0.245833
354.6694,353.4945,0.8874195,4.887034,353.3747,0.245833
354.4494,353.4995,0.896084,4.669103,353.3758,0.2547675
353.5782,353.5082,0.9314773,4.002499,353.3699,0.2817528
353.5782,353.5082,0.9314773,4.002499,353.3699,0.2817528
353.1392,353.515,0.9490221,3.564898,353.3688,0.299592
353.1392,353.515,0.9490194,3.564898,353.3688,0.299592
353.1392,353.515,0.9490194,3.564898,353.3688,0.299592
353.1392,353.515,0.9490194,3.564898,353.3688,0.299592
352.9174,353.745,0.9337224,3.133047,353.595,0.3259874
352.2747,353.7541,0.9593996,2.896894,353.5937,0.3355935
352.2901,353.5384,0.9383755,2.917998,353.3853,0.2841813
352.929,353.5054,0.9138526,3.15129,353.3626,0.271278
352.929,353.5054,0.9138526,3.15129,353.3626,0.271278
353.5935,353.2735,0.910836,4.024002,353.1425,0.2269643
353.5896,353.2689,0.9114918,4.020274,353.1378,0.2269365
353.5896,353.2689,0.9114918,4.020274,353.1378,0.2269365
353.3652,353.0441,0.94484,3.603772,352.9075,0.235069
353.1619,346.0108,1.721276,3.631792,345.8474,359.9529
353.0891,344.196,1.929889,3.634107,344.0252,359.8774
353.0891,344.196,1.929889,3.634107,344.0252,359.8774
353.2909,340.4261,2.531357,4.061924,340.2144,359.7367
353.4832,338.8292,2.867388,4.58022,338.5864,359.7171
354.6307,338.0924,3.038759,5.589449,337.8383,359.7403
354.7572,337.3967,3.210166,6.178473,337.126,359.6934
354.7572,337.3967,3.210166,6.178473,337.126,359.6934
355.2507,331.2142,4.118451,7.050738,330.8997,359.4083
355.2864,330.4054,4.332626,7.181259,330.0698,359.4278
355.9494,326.9028,4.77546,8.071466,326.5628,359.1284
355.9755,326.0831,4.928697,8.436655,325.7367,359.0084
355.9755,326.0831,4.928697,8.436655,325.7367,359.0084
355.9191,324.3838,5.233591,8.642564,324.0234,358.8551
355.8267,322.5826,5.547826,8.84877,322.2113,358.662
355.4396,320.9057,5.922436,9.006014,320.5151,358.4421
355.4396,320.9057,5.922436,9.006014,320.5151,358.4421
355.4818,319.3461,6.14818,9.128255,318.9561,358.2555
355.1574,317.2093,6.618699,9.272321,316.7974,358.024
356.347,314.9045,6.385064,11.00716,314.6101,357.0027
355.7428,309.3842,7.518613,12.04196,309.077,356.0462
355.7428,309.3842,7.518613,12.04196,309.077,356.0462
356.666,307.2373,7.436506,13.74359,307.0362,354.972
356.5606,306.3558,7.633724,14.02242,306.1628,354.6818
356.5606,306.3558,7.633724,14.02242,306.1628,354.6818
356.3877,305.1433,7.901643,14.38499,304.9615,354.2888
356.1854,303.7634,8.217978,14.83069,303.5952,353.8203
356.0572,303.0665,8.404039,15.36896,302.9233,353.3885
355.7979,300.7991,8.962507,16.031,300.6642,352.7155
355.5576,299.4714,9.269681,16.617,299.3673,352.0681
355.5576,299.4714,9.269681,16.617,299.3673,352.0681
355.5576,299.4714,9.269681,16.617,299.3673,352.0681
355.1473,297.9258,9.667829,17.26531,297.8587,351.2655
353.9994,296.8735,10.51818,16.95025,296.7363,351.1672
353.398,295.0381,11.02504,17.91012,294.9668,349.9391
353.398,295.0381,11.02504,17.91012,294.9668,349.9391
352.751,294.2426,11.45254,18.02154,294.1704,349.5117
351.1468,293.064,12.75943,18.17688,292.9147,349.0479
346.1565,291.5349,16.87412,14.83011,290.7971,351.2531
346.1565,291.5349,16.87412,14.83011,290.7971,351.2531
343.5863,290.3895,19.03052,14.46201,289.4409,351.1848
343.0974,289.8676,19.5114,14.79728,288.909,350.7903
341.5316,288.9561,20.93629,14.85253,287.8856,350.4991
338.765,289.1963,23.02283,11.89006,287.7122,352.7409
338.765,289.1963,23.02283,11.89006,287.7122,352.7409
337.4107,289.0803,24.03204,10.24094,287.4179,353.9017
336.5252,288.2584,24.84408,10.90427,286.5896,353.0866
335.8225,287.8471,25.53124,11.059,286.1304,352.8739
337.1584,285.8077,24.88328,16.8252,284.6255,347.6702
337.1584,285.8077,24.88328,16.8252,284.6255,347.6702
335.4936,285.1589,26.58686,18.49645,283.91,346.144
334.0907,284.6169,27.9223,18.91657,283.2816,345.5963
332.17,283.9344,29.8026,19.57551,282.4745,344.8311
332.17,283.9344,29.8026,19.57551,282.4745,344.8311
331.4966,283.446,30.52475,20.0223,281.9811,344.3062
330.6,283.2358,31.35073,19.19631,281.652,344.942
330.6,283.2358,31.35073,19.19631,281.652,344.942
330.3799,283.3622,31.5798,18.5862,281.6978,345.5612
331.7394,283.9734,30.21292,18.37714,282.3925,345.8884
331.5953,284.1746,30.33986,17.60064,282.5091,346.6621
333.2487,284.3089,28.84402,16.95837,282.7892,347.3156
334.6475,284.9151,27.41397,19.10355,283.6246,345.5323
334.6475,284.9151,27.41397,19.10355,283.6246,345.5323
335.684,285.3289,26.3001,18.7557,284.1244,345.8506
339.0319,285.3931,23.29541,18.78363,284.5439,345.8945
339.9669,286.0175,22.34705,18.07981,285.1909,346.6455
342.0934,287.5127,20.16876,16.76933,286.766,348.047
344.6566,289.2221,17.68513,17.2238,288.6959,348.0445
344.6566,289.2221,17.68513,17.2238,288.6959,348.0445
344.4481,293.1463,16.89822,11.73511,292.2411,352.8845
344.4481,293.1463,16.89822,11.73511,292.2411,352.8845
346.6552,303.8156,13.18938,6.134092,302.764,357.8066
349.7074,313.7188,9.52576,5.358562,312.9086,358.7286
349.9077,315.0875,9.12549,5.173221,314.3024,358.8661
352.125,321.3382,6.934575,5.150259,320.7603,359.1213
352.2966,324.0645,6.279444,5.110928,323.5406,359.0889
352.326,326.9077,5.784294,4.704115,326.4043,359.3598
352.6887,328.3696,5.280723,5.096861,327.9319,359.1703
352.6887,328.3696,5.280723,5.096861,327.9319,359.1703
354.1729,331.1243,4.063957,5.528018,330.8415,358.9798
355.3479,338.4415,2.713281,6.219747,338.2821,358.9826
355.3479,338.4415,2.713281,6.219747,338.2821,358.9826
356.6834,342.5493,1.716305,7.684389,342.5298,358.6202
356.9888,355.7483,0.2882248,7.251685,355.7929,359.2939
356.7765,358.5197,0.1513165,7.014863,358.5445,359.6531
355.7206,5.675258,359.7252,6.512147,5.66579,0.1791832
353.0667,11.9185,359.5256,3.930133,11.8017,1.025161
353.0667,11.9185,359.5256,3.930133,11.8017,1.025161
352.8994,13.40538,359.3173,3.826626,13.30021,1.108627
351.6132,15.93559,359.0081,2.66737,15.82485,1.301742
352.133,18.27902,358.3894,3.330003,18.25452,1.169199
354.2877,20.64233,357.7059,359.2833,20.59665,1.305487
354.2877,20.64233,357.7059,359.2833,20.59665,1.305487
351.6343,23.12039,357.3259,3.199887,23.20232,1.147998
353.511,25.54493,356.8093,358.6937,25.55305,0.885009
353.2738,26.80039,356.5291,358.5123,26.82606,0.7338613
348.6757,29.29114,355.4937,0.8838453,29.55202,0.7683315
348.6757,29.29114,355.4937,0.8838453,29.55202,0.7683315
347.2592,31.84163,354.4916,359.8004,32.21733,0.4226253
346.827,33.12246,354.0105,359.5516,33.55592,0.2845687
345.6176,35.5099,352.9617,358.7178,36.0729,359.906
347.6248,38.1208,352.6641,355.8875,38.46819,358.8472
347.6248,38.1208,352.6641,355.8875,38.46819,358.8472
343.743,40.53229,350.6184,357.7926,41.39666,359.1164
342.9954,41.87093,349.7253,357.341,42.8592,358.6807
342.4369,43.87077,348.4418,357.2651,45.04195,358.1193
341.7459,44.777,347.6384,356.8049,46.06596,357.6561
340.3116,46.53252,345.9943,355.8528,48.06242,356.7089
