L_Yaw,L_Pitch,L_Roll,R_Yaw,R_Pitch,R_Roll
346.3488,2.464584,355.7281,355.8692,3.052478,356.5104
346.3488,2.464584,355.7281,355.8692,3.052478,356.5104
346.3821,1.863872,355.7736,355.9092,2.453821,356.4707
346.7722,2.053406,355.7483,356.155,2.639103,356.4723
346.8547,2.058918,355.7482,356.1925,2.642136,356.4727
346.8547,2.058918,355.7482,356.1925,2.642136,356.4727
346.8547,2.058918,355.7482,356.1925,2.642136,356.4727
347.049,2.464292,355.7126,356.2224,3.038137,356.4933
347.039,2.456012,355.717,356.2123,3.029243,356.4963
347.0295,2.44633,355.7222,356.2028,3.018868,356.4998
345.7557,8.400424,355.0661,355.7264,9.043896,356.701
345.7557,8.400424,355.0661,355.7264,9.043896,356.701
345.7118,8.35384,355.0583,355.6812,8.999132,356.6852
345.7118,8.35384,355.0583,355.6812,8.999132,356.6852
345.7184,8.339835,355.054,355.6721,8.985018,356.6783
345.9059,5.765866,355.3535,355.8619,6.402149,356.6078
353.5439,5.625587,355.4311,2.83546,6.329501,356.6841
353.5366,5.304402,355.4688,2.823652,6.00443,356.6748
353.5366,5.304402,355.4688,2.823652,6.00443,356.6748
352.2996,3.684375,355.6231,1.602923,4.355221,356.592
352.2894,3.629721,355.6064,1.591873,4.303988,356.5667
352.4033,1.966514,355.7178,1.717055,2.640561,356.4391
352.8007,1.326892,355.7712,2.159277,2.006906,356.4024
352.8007,1.326892,355.7712,2.159277,2.006906,356.4024
352.8245,1.204779,355.7708,2.182464,1.886489,356.3821
353.4224,353.9135,356.5006,2.761838,354.54,356.0618
353.4464,353.2813,356.5574,2.699177,353.8981,356.0196
353.5727,352.0879,356.6766,2.790793,352.6924,355.9621
353.5571,351.9313,356.6997,2.778803,352.5341,355.9595
353.5571,351.9313,356.6997,2.778803,352.5341,355.9595
353.6401,350.625,356.8345,2.828369,351.2135,355.8988
353.9419,349.8566,356.8802,2.845084,350.4228,355.8298
353.9419,349.8566,356.8802,2.845084,350.4228,355.8298
353.9201,349.3175,356.8974,2.838066,349.8871,355.7621
353.9046,348.1696,357.0029,2.749322,348.7278,355.6895
353.9666,347.0779,357.0964,2.85328,347.6332,355.6132
353.9666,347.0779,357.0964,2.85328,347.6332,355.6132
355.4211,344.0714,357.3578,4.875574,344.6603,355.3711
356.0629,337.1254,357.9762,6.090413,337.6969,354.8273
356.0629,337.1254,357.9762,6.090413,337.6969,354.8273
356.1872,336.4917,358.0802,6.262665,337.056,354.8092
357.3096,335.1291,358.0993,7.630634,335.7214,354.567
356.8829,332.1158,358.4882,7.302196,332.6668,354.3996
356.8829,332.1158,358.4882,7.302196,332.6668,354.3996
357.3929,330.2039,358.5567,8.188766,330.7957,354.0464
357.7094,329.4582,358.5131,8.583823,330.0704,353.8427
357.002,328.7194,358.6737,7.568871,329.2793,353.9075
357.002,328.7194,358.6737,7.568871,329.2793,353.9075
356.5054,327.8452,358.7654,7.802358,328.4746,353.6864
355.8472,328.1055,358.8395,7.170508,328.7267,353.7908
356.6152,328.0943,358.6352,7.655557,328.7198,353.6412
356.7147,327.5104,358.6467,7.824241,328.145,353.5207
356.8745,326.7583,358.6431,7.998934,327.3994,353.3615
356.8752,326.4706,358.6721,8.035735,327.1128,353.324
356.8752,326.4706,358.6721,8.035735,327.1128,353.324
357.6437,326.5312,358.4456,8.532975,327.1792,353.1712
357.7475,327.3457,358.2963,8.424028,327.9945,353.2196
357.9604,327.1103,358.2481,8.462103,327.7469,353.1717
357.9451,326.8821,358.3135,8.474674,327.5125,353.1862
358.5042,326.0305,358.1732,9.39324,326.7264,352.7949
358.5042,326.0305,358.1732,9.39324,326.7264,352.7949
358.5354,325.6524,358.1747,9.470871,326.3536,352.7135
358.5664,325.4227,358.181,9.531106,326.1272,352.6673
358.7606,323.9279,358.2081,9.741232,324.6281,352.4095
357.9944,323.1062,358.4963,9.650443,323.8461,352.3341
358.9457,323.2251,358.1105,9.972892,323.947,352.1633
358.9457,323.2251,358.1105,9.972892,323.947,352.1633
358.9779,322.9663,358.082,10.0406,323.6974,352.0742
358.0776,323.015,358.341,9.753016,323.7886,352.1351
358.4347,322.6412,358.2269,9.768983,323.3904,352.0571
358.4347,322.6412,358.2269,9.768983,323.3904,352.0571
357.8971,320.1869,358.6295,9.506,320.9015,351.8902
357.8971,320.1869,358.6295,9.506,320.9015,351.8902
356.9645,319.8384,359.0195,9.025037,320.5479,352.0456
356.9465,319.6884,359.0281,9.033202,320.3997,352.0133
356.9465,319.6884,359.0281,9.033202,320.3997,352.0133
357.9039,319.3098,358.7295,9.871071,320.0513,351.6881
357.9347,319.0298,358.684,10.36671,319.8376,351.4223
357.8729,318.7972,358.7614,10.34996,319.5979,351.4312
358.0905,318.2964,358.723,10.44439,319.0858,351.3332
358.0924,318.1693,358.6828,10.47559,318.9703,351.2507
358.0968,318.0548,358.6866,10.50153,318.8579,351.2218
357.5828,317.9179,358.9204,9.909245,318.6742,351.4491
357.5771,317.8331,358.933,9.919876,318.5894,351.4371
357.5688,317.7602,358.9022,9.92783,318.5241,351.3828
357.5688,317.7602,358.9022,9.92783,318.5241,351.3828
357.8672,317.8225,358.6895,9.981982,318.5897,351.2782
357.8428,318.4331,358.6219,9.842842,319.1999,351.3747
357.8445,318.4272,358.5968,9.844798,319.1979,351.3488
357.0644,333.6972,357.3697,7.463709,334.4946,353.2997
356.4803,337.7285,357.1743,6.423941,338.4917,353.8584
356.497,337.8448,357.1248,6.431752,338.6142,353.8315
356.0201,338.203,357.2342,5.872588,338.9367,354.0247
356.0482,338.4521,357.2121,5.884069,339.1857,354.0487
356.1681,338.5136,357.1992,6.009998,339.2461,354.0587
356.1962,338.8841,357.1325,6.013111,339.6218,354.0609
356.1962,338.8841,357.1325,6.013111,339.6218,354.0609
356.6794,339.9081,356.8638,6.658827,340.7041,353.9122
355.9102,356.3566,355.201,5.213413,357.25,354.7628
355.2024,6.122133,354.055,4.424316,7.092512,355.0252
355.1196,7.510548,353.8503,4.595217,8.515773,354.9885
355.1298,8.363048,353.7311,4.625658,9.376086,355.0128
354.6181,9.276628,353.7305,4.440319,10.28662,355.1281
354.6181,9.276628,353.7305,4.440319,10.28662,355.1281
355.133,10.50726,353.4437,4.710144,11.53352,355.1343
354.7054,10.35927,353.5545,4.310251,11.35487,355.2454
354.7211,11.29615,353.4228,4.356713,12.30018,355.2751
354.8327,14.10864,353.1243,4.581767,15.12129,355.471
354.8327,14.10864,353.1243,4.581767,15.12129,355.471
354.4186,16.39325,352.931,4.693757,17.42507,355.6607
354.2754,21.56928,352.1746,4.773616,22.64798,355.7987
354.3411,22.81095,351.9553,4.933224,23.90613,355.8281
353.5882,32.28098,350.2397,4.81342,33.4964,355.8865
352.7663,33.60432,349.9418,4.973793,34.87503,355.9855
352.7663,33.60432,349.9418,4.973793,34.87503,355.9855
353.2041,32.41582,350.262,5.05543,33.63439,356.1121
353.2772,33.81852,350.0547,5.324048,35.04282,356.258
353.7881,36.73774,349.6025,6.363102,37.96892,356.7097
353.8316,38.03502,349.367,6.632113,39.27554,356.8416
354.5217,40.76877,349.121,7.159228,41.9664,357.1859
354.5309,42.00031,348.8137,7.414923,43.21846,357.25
353.5863,48.42301,346.893,9.045549,49.82548,357.7967
353.5863,48.42301,346.893,9.045549,49.82548,357.7967
353.4049,51.50094,346.1254,9.843242,52.92313,358.3
354.2042,53.3242,346.225,11.09087,54.65711,359.1611
354.2639,54.18964,346.0955,11.51404,55.50693,359.477
355.3036,53.59148,346.7194,12.2826,54.82326,359.8806
355.4848,54.85265,346.6803,13.00593,56.03409,0.5003858
355.4848,54.85265,346.6803,13.00593,56.03409,0.5003858
355.3541,56.34361,346.4382,13.71863,57.4919,1.163643
354.1524,58.55427,345.2494,14.32481,59.77687,1.681277
354.1333,58.93108,345.1342,14.53322,60.15105,1.830283
353.3106,59.41741,344.5343,14.08008,60.70461,1.626693
353.3106,59.41741,344.5343,14.08008,60.70461,1.626693
353.1242,59.51912,344.3988,13.55578,60.8226,1.35005
353.0857,59.86932,344.2902,13.74011,61.16969,1.497657
352,60.53235,343.5048,13.56326,61.91441,1.520726
351.359,61.06066,343.0499,12.39036,62.48556,0.915669
346.9042,63.54218,339.524,9.931362,65.37685,359.5018
346.9042,63.54218,339.524,9.931362,65.37685,359.5018
346.5988,64.15626,339.1522,10.1636,66.00558,359.7254
335.9029,69.86669,329.7217,6.574004,72.72813,357.7081
334.5189,71.09859,328.3088,7.348485,74.02412,358.5708
333.7014,71.72932,327.4517,7.771025,74.7009,359.0149
334.1966,71.94109,327.7809,8.799486,74.82097,359.8992
333.7507,72.37262,327.2765,9.309546,75.26274,0.3932289
