L_Yaw,L_Pitch,L_Roll,R_Yaw,R_Pitch,R_Roll
355.0871,14.11981,359.8232,5.920596,13.90921,2.791812
355.0871,14.11981,359.8232,5.920596,13.90921,2.791812
355.3538,14.06756,359.847,6.184432,13.85359,2.805009
0.3819637,7.527084,1.774786,11.00242,7.095503,3.747942
2.443499,2.855327,2.678697,12.80955,2.331203,3.933342
2.443499,2.855327,2.678697,12.80955,2.331203,3.933342
2.786431,2.022327,2.707568,13.13926,1.50224,3.834706
2.786431,2.022327,2.707568,13.13926,1.50224,3.834706
3.484557,1.592258,2.585821,13.83674,1.1009,3.638242
3.517492,1.815943,2.468416,13.86161,1.343916,3.544565
3.110438,0.888878,2.116485,13.84957,0.4748057,3.103878
3.461783,0.2993282,2.005503,13.82949,359.925,2.804201
3.461783,0.2993282,2.005503,13.82949,359.925,2.804201
3.384618,0.05821774,1.946633,14.12289,359.688,2.729515
3.384618,0.05821774,1.946633,14.12289,359.688,2.729515
3.224685,358.9792,1.924327,13.57869,358.6342,2.450134
3.224685,358.9792,1.924327,13.57869,358.6342,2.450134
0.04574572,355.9633,1.46614,10.22261,355.7176,1.459829
1.302298,352.7426,1.478481,11.54333,352.5426,0.8974814
1.302298,352.7426,1.478481,11.54333,352.5426,0.8974814
1.41283,353.3738,1.313177,11.63777,353.1922,0.7462014
1.078259,353.3399,1.155462,11.50687,353.1791,0.5336291
1.664077,351.7821,1.268197,12.1303,351.6269,0.35957
1.664077,351.7821,1.268197,12.1303,351.6269,0.35957
2.187384,350.1804,1.370537,12.70078,350.034,0.1655222
2.541623,344.7759,1.858371,13.07051,344.6252,359.7809
2.541623,344.7759,1.858371,13.07051,344.6252,359.7809
2.326553,343.7813,1.948267,13.11967,343.6299,359.6539
2.077862,343.463,2.038311,12.68031,343.2965,359.6831
2.077862,343.463,2.038311,12.68031,343.2965,359.6831
2.76562,339.8351,2.622225,13.59532,339.6291,359.5458
2.914846,337.9874,3.002488,13.88176,337.747,359.5449
3.934851,335.746,3.103058,15.52248,335.5455,359.0578
3.934851,335.746,3.103058,15.52248,335.5455,359.0578
