L_Yaw,L_Pitch,L_Roll,R_Yaw,R_Pitch,R_Roll
355.9148,358.1561,359.4349,6.603546,358.3758,359.5017
355.9148,358.1561,359.4349,6.603546,358.3758,359.5017
355.9148,358.1561,359.4349,6.603546,358.3758,359.5017
355.4649,357.9382,359.4743,5.968061,358.145,359.5139
355.4649,357.9382,359.4743,5.968061,358.145,359.5139
355.4403,358.1581,359.4521,5.748135,358.364,359.5295
355.4711,358.8239,359.3811,5.954412,359.039,359.5482
355.4435,358.827,359.3818,5.734742,359.0394,359.5555
355.4435,358.827,359.3818,5.734742,359.0394,359.5555
355.2422,358.3826,359.4359,5.739217,358.5893,359.5383
355.0111,358.3801,359.4446,5.109098,358.5774,359.5588
355.0111,358.3801,359.4446,5.109098,358.5774,359.5588
355.0082,358.385,359.4442,5.106109,358.5824,359.5591
354.7969,358.3804,359.4525,5.096692,358.5761,359.5592
354.7844,358.378,359.4532,5.097374,358.5737,359.5591
354.7844,358.378,359.4532,5.097374,358.5737,359.5591
354.7995,358.1662,359.4749,5.311447,358.3627,359.5439
354.799,358.1655,359.475,5.311943,358.362,359.5439
354.799,358.1655,359.475,5.311943,358.362,359.5439
355.2278,358.1637,359.4594,5.328926,358.3629,359.5434
355.2278,358.1637,359.4594,5.328926,358.3629,359.5434
355.01,358.6045,359.4211,5.304152,358.8064,359.561
355.4367,358.8252,359.3822,5.526454,359.0351,359.5623
355.4367,358.8252,359.3822,5.526454,359.0351,359.5623
355.0077,358.8309,359.3974,5.300508,359.0349,359.5698
355.0077,358.8309,359.3974,5.300511,359.0349,359.5698
354.816,358.3792,359.4519,4.915905,358.5728,359.5651
354.816,358.3792,359.4519,4.915905,358.5728,359.5651
353.9511,354.995,359.8393,4.70451,355.1527,359.4403
353.5109,348.7467,0.5176523,4.071981,348.8351,359.204
353.5109,348.7467,0.5176523,4.071981,348.8351,359.204
353.5059,348.7438,0.5181492,3.658303,348.8183,359.2175
353.5059,348.7438,0.5181492,3.658303,348.8183,359.2175
351.5515,344.3584,0.1541743,2.087421,344.5777,358.0209
351.5515,344.3584,0.1541743,2.087421,344.5777,358.0209
351.1425,344.0615,359.8817,1.686066,344.3406,357.6601
350.6219,342.7927,359.8424,1.235867,343.1004,357.3775
349.7646,340.9149,359.8845,0.4941156,341.2402,357.0753
349.7646,340.9149,359.8845,0.4941156,341.2402,357.0753
348.4378,338.4263,0.1237006,359.3453,338.7395,356.8546
348.0259,337.3378,0.07050053,359.0154,337.6803,356.5802
348.0259,337.3378,0.07050053,359.0154,337.6803,356.5802
347.7302,330.7055,0.6539472,359.3392,331.042,355.9024
347.3029,329.6569,0.7312387,359.0511,330.0027,355.7294
346.983,328.534,0.801815,358.871,328.8915,355.5305
346.983,328.534,0.801815,358.871,328.8915,355.5305
346.6887,327.7837,0.8510732,358.6695,328.1508,355.3823
346.3954,326.502,0.9858044,358.5477,326.8737,355.1964
346.104,325.3516,1.100169,358.4243,325.7308,355.0059
346.104,325.3516,1.100169,358.4243,325.7308,355.0059
345.8433,323.9266,1.212193,358.3806,324.3195,354.7405
345.0874,323.6531,1.40733,357.6714,324.0223,354.818
345.0874,323.6531,1.40733,357.6714,324.0223,354.818
344.822,322.9281,1.404341,357.5173,323.3184,354.5975
344.2759,321.5234,1.583383,357.2096,321.9158,354.3803
344.2759,321.5234,1.583383,357.2096,321.9158,354.3803
343.8361,318.7021,1.885133,357.0655,319.0847,354.0008
343.5282,317.6066,2.005804,356.9842,317.9983,353.7798
343.3409,317.8463,1.909341,356.4547,318.2272,353.8634
343.3409,317.8463,1.909341,356.4547,318.2272,353.8634
343.0893,317.7415,1.896133,356.2349,318.1331,353.7896
342.8288,316.7747,2.021376,356.1798,317.171,353.6109
342.8288,316.7747,2.021376,356.1798,317.171,353.6109
342.6025,315.8032,2.106122,356.1978,316.2145,353.3667
342.6025,315.8032,2.106122,356.1978,316.2145,353.3667
341.1489,307.2961,3.790645,357.8262,307.7298,351.5715
340.8265,305.7757,4.065534,358.1066,306.2279,351.0936
340.8265,305.7757,4.065534,358.1066,306.2279,351.0936
339.9742,305.2715,4.636911,357.1591,305.6139,351.5761
339.8646,305.6519,4.60486,356.912,305.9907,351.6845
339.7286,304.7357,4.773136,357.148,305.0851,351.3868
339.7286,304.7357,4.773136,357.148,305.0851,351.3868
341.4349,303.7766,3.691431,359.5691,304.3981,349.6354
341.5386,303.9965,3.489949,359.4817,304.6381,349.5808
341.4597,303.1902,3.55496,359.775,303.861,349.1959
341.4597,303.1902,3.55496,359.775,303.861,349.1959
341.3933,303.2814,3.522298,358.6822,303.8431,349.8471
341.4021,304.6488,3.348272,358.1202,305.191,350.3349
341.4021,304.6488,3.348272,358.1202,305.191,350.3349
341.797,304.8706,3.071638,358.3834,305.45,350.1876
