L_Yaw,L_Pitch,L_Roll,R_Yaw,R_Pitch,R_Roll
352.0121,340.6682,0.7772102,3.163895,340.7626,358.0553
352.0121,340.6682,0.7772102,3.163895,340.7626,358.0553
352.0111,340.6656,0.7775776,3.163277,340.76,358.0552
352.673,340.6684,0.7191449,3.426479,340.7681,358.033
352.673,340.6684,0.7191449,3.426479,340.7681,358.033
352.9193,341.1222,0.6479689,4.0441,341.2375,358.0036
352.9193,341.1222,0.6479689,4.0441,341.2375,358.0036
353.3712,341.578,0.558926,4.276401,341.6992,358.0068
353.3712,341.578,0.5589253,4.2764,341.6992,358.0068
353.6095,341.5788,0.538082,4.70943,341.7106,357.9706
353.6095,341.5788,0.538082,4.70943,341.7106,357.9706
353.6095,341.5788,0.538082,4.70943,341.7106,357.9706
352.9085,340.8956,0.6736424,3.849288,341.0053,358.0086
352.9062,340.8956,0.6738486,3.845399,341.0052,358.009
352.9062,340.8956,0.6738491,3.8454,341.0052,358.009
352.9062,340.8956,0.6738491,3.8454,341.0052,358.009
352.9056,340.6732,0.6982063,3.858855,340.7823,357.9966
352.9064,340.6758,0.6978655,3.851784,340.7847,357.9973
353.4733,340.55,0.6619635,4.420344,340.6703,357.9428
353.4733,340.55,0.6619615,4.420344,340.6703,357.9428
354.0134,337.2682,0.9774818,5.578391,337.402,357.6698
354.0134,337.2682,0.9774818,5.578389,337.402,357.6698
355.0428,333.875,1.271479,6.498275,334.0075,357.3923
355.2626,333.4205,1.30427,6.758658,333.5553,357.3416
355.2626,333.4205,1.30427,6.758658,333.5553,357.3416
351.9825,329.8037,2.633688,3.886184,329.7761,357.8363
351.9825,329.8037,2.633688,3.886184,329.7761,357.8363
351.9691,328.882,2.777495,3.987712,328.8487,357.7549
352.0026,329.0305,2.771118,4.008093,328.9962,357.7668
352.0101,328.7327,2.814532,4.053484,328.6972,357.7367
352.5397,328.1153,2.818247,4.864579,328.1003,357.5522
352.5397,328.1153,2.818247,4.864579,328.1003,357.5522
352.7378,326.3584,3.060138,5.302511,326.3387,357.3775
353.6559,324.9362,3.079336,6.42978,324.946,357.0681
353.6626,324.3322,3.1861,6.533175,324.3377,357.0079
353.6476,323.5718,3.301647,6.632792,323.5738,356.9316
353.6777,322.8923,3.422681,6.971783,322.899,356.8127
353.6777,322.8923,3.422681,6.971783,322.899,356.8127
353.6733,322.5112,3.483945,7.035397,322.5169,356.7619
354.9365,320.088,3.438098,8.736238,320.1663,356.0669
354.6862,312.876,4.474516,10.02464,312.9624,354.9235
354.751,311.9951,4.575119,10.34849,312.0952,354.6727
354.6393,310.8459,4.773704,9.90412,310.9059,354.631
354.6393,310.8459,4.773704,9.90412,310.9059,354.631
354.6833,310.3539,4.812866,10.10086,310.4247,354.4689
354.7389,309.6194,4.854608,10.45645,309.715,354.1722
354.7589,309.127,4.896879,10.64066,309.2338,354.0019
355.1448,308.7962,4.753474,11.24196,308.9498,353.6542
354.5967,308.1259,5.024948,11.76797,308.3248,353.2624
354.5967,308.1259,5.024948,11.76797,308.3248,353.2624
355.2061,306.6833,4.841701,12.06813,306.9096,352.7414
355.2061,306.6833,4.841701,12.06813,306.9096,352.7414
354.5345,305.5627,5.223516,12.81433,305.8533,352.1163
354.5609,305.058,5.213486,13.06263,305.3761,351.8334
354.4926,304.9447,5.052864,13.06029,305.3043,351.5403
354.4926,304.9447,5.052864,13.06029,305.3043,351.5403
354.4926,304.4759,5.092066,13.25066,304.8508,351.3278
355.1861,304.4221,4.690778,14.06206,304.8875,350.8314
355.1323,304.0857,4.74375,14.16901,304.5596,350.6891
355.1444,303.8651,4.706842,14.31972,304.3631,350.486
355.0573,303.9068,4.678808,14.25652,304.4135,350.4374
355.1097,303.202,4.645701,14.65228,303.7547,349.9894
355.3043,303.7139,4.379726,14.6062,304.2932,349.9736
355.3043,303.7139,4.379726,14.6062,304.2932,349.9736
355.1986,303.3209,4.480316,14.57411,303.8909,349.9012
355.1139,300.5806,4.929138,15.82109,301.2086,348.7754
355.4239,300.1952,4.813828,15.47806,300.7752,348.8954
355.4239,300.1952,4.813828,15.47806,300.7752,348.8954
354.408,300.6689,5.413908,15.19699,301.2152,349.1937
354.4521,300.4903,5.450365,15.349,301.0417,349.1043
354.9786,300.2856,5.158985,16.0398,300.9108,348.6575
355.2811,300.1276,5.013804,16.48728,300.7966,348.3792
355.2811,300.1276,5.013804,16.48728,300.7966,348.3792
355.4591,300.0407,4.92999,16.71146,300.7308,348.2411
355.6702,300.0381,4.768425,16.91511,300.7581,348.0894
355.3113,299.5887,5.028923,16.84012,300.2885,348.0358
355.4494,299.6713,4.94768,16.94152,300.3826,348.0085
355.4494,299.6713,4.94768,16.94152,300.3826,348.0085
355.6295,299.6654,4.850585,17.11704,300.3946,347.9163
356.5942,299.6665,4.302984,17.16627,300.3953,347.9168
356.4987,298.8541,4.530468,18.50248,299.7,347.0582
356.4987,298.8541,4.530468,18.50248,299.7,347.0582
7.244559,299.3869,358.0916,6.764973,298.9104,353.976
7.244559,299.3869,358.0916,6.764973,298.9104,353.976
356.5729,299.0421,4.463508,18.34613,299.874,347.1981
355.7616,299.4011,4.865228,17.34144,300.1347,347.8147
