L_Yaw,L_Pitch,L_Roll,R_Yaw,R_Pitch,R_Roll
83.29719,350.6922,4.270843,92.86786,350.075,3.231323
83.29719,350.6922,4.270843,92.86786,350.075,3.231323
82.86687,349.9298,4.343648,92.63425,349.3001,3.166584
82.86687,349.9298,4.343648,92.63425,349.3001,3.166584
82.89545,349.9865,4.338635,92.64514,349.3576,3.171011
82.88146,349.9893,4.345855,92.63135,349.3592,3.179729
82.8806,349.9465,4.363956,92.63168,349.314,3.190227
82.86797,349.9615,4.357368,92.61841,349.3299,3.18505
83.01977,349.9537,4.336924,92.63582,349.3329,3.169918
83.01977,349.9537,4.336924,92.63582,349.3329,3.169918
83.03074,349.9556,4.32452,92.7761,349.3309,3.152229
83.03591,349.9546,4.318044,92.78135,349.3311,3.14567
83.05019,349.8939,4.310937,92.79848,349.2721,3.130476
83.05019,349.8939,4.310937,92.79848,349.2721,3.130476
82.74285,349.9456,4.30207,92.53468,349.32,3.128489
82.74285,349.9456,4.30207,92.53468,349.32,3.128489
82.79729,349.7386,4.280807,92.59785,349.119,3.076992
82.79382,349.7476,4.254406,92.72441,349.1261,3.046898
82.82156,349.7461,4.237561,92.75233,349.1275,3.030016
82.82156,349.7461,4.237561,92.75233,349.1275,3.030016
83.11928,349.6928,4.207244,92.79194,349.0935,3.003217
83.47034,349.9749,4.143952,93.44354,349.3718,2.969268
83.47034,349.9749,4.143952,93.44354,349.3718,2.969268
83.90865,349.5204,4.175071,93.65387,348.9309,2.942788
84.04091,350.5063,4.057434,93.70579,349.9277,2.974361
83.99741,349.9474,4.133146,93.69384,349.3619,2.965867
83.99741,349.9474,4.133146,93.69384,349.3619,2.965867
83.98,349.9384,4.149724,93.67658,349.3503,2.9807
84.0549,349.9196,4.136992,93.6754,349.3376,2.968414
84.03554,349.6709,4.14123,93.73869,349.0879,2.932419
84.03554,349.6709,4.14123,93.73869,349.0879,2.932419
84.03648,350.5129,4.104995,93.57313,349.93,3.044876
83.94451,350.52,4.106784,93.64645,349.9288,3.042803
83.60404,350.4562,4.141618,93.56693,349.8471,3.050198
83.59915,350.2134,4.16926,93.56947,349.6032,3.03477
83.05035,350.5186,4.164663,92.90564,349.906,3.076531
82.99586,350.6104,4.164948,92.77518,349.9995,3.093459
82.99586,350.6104,4.164948,92.77518,349.9995,3.093459
83.0359,350.3195,4.216932,92.89687,349.701,3.093483
83.0393,350.2268,4.220545,92.90309,349.6091,3.08092
83.0393,350.2268,4.220545,92.90309,349.6091,3.08092
83.27164,350.1044,4.221098,92.95002,349.4984,3.071611
83.28681,350.0783,4.226581,93.03029,349.4688,3.069502
83.28681,350.0783,4.226581,93.03029,349.4688,3.069502
83.20322,350.106,4.230151,93.05881,349.4897,3.071092
83.23084,350.0656,4.225039,93.08778,349.4508,3.059018
82.94827,350.3057,4.206227,92.83662,349.687,3.074145
82.95611,350.0956,4.226932,92.85233,349.476,3.06348
83.03487,350.0727,4.223507,93.02084,349.4504,3.051885
83.03487,350.0727,4.223507,93.02084,349.4504,3.051885
83.15514,349.722,4.273699,92.99245,349.1041,3.056604
83.15514,349.722,4.273699,92.99245,349.1041,3.056604
83.16451,349.6851,4.361581,92.91344,349.058,3.1416
82.89184,349.8191,4.529499,92.64529,349.1622,3.323866
82.89184,349.8191,4.529499,92.64529,349.1622,3.323866
81.79415,349.2956,4.803263,91.62666,348.5961,3.500002
81.79415,349.2956,4.803263,91.62666,348.5961,3.500002
75.4849,347.1125,5.44782,85.00542,346.325,3.830585
66.74734,340.3074,6.859634,77.3185,339.3299,4.120072
62.58032,338.938,7.330332,73.24428,337.9026,4.314862
56.11028,336.339,8.222635,66.96782,335.2066,4.759645
49.54213,334.884,8.974449,61.30633,333.5108,5.156345
49.54213,334.884,8.974449,61.30633,333.5108,5.156345
47.39067,334.5832,9.199083,59.00378,333.2081,5.327803
41.13757,333.5191,9.893762,52.84892,332.0394,5.775384
41.13757,333.5191,9.893762,52.84892,332.0394,5.775384
37.01372,333.9275,10.08658,48.66786,332.401,6.01087
38.35329,336.3519,9.174172,48.87487,335.0743,5.62466
33.83247,335.4572,9.598886,44.4243,334.1237,5.865134
37.69631,335.0143,8.659288,48.01869,333.8867,4.881305
38.87462,336.6384,7.473074,49.34941,335.6576,3.902226
38.87462,336.6384,7.473074,49.34941,335.6576,3.902226
40.59261,338.2467,6.496898,50.97908,337.4171,3.189942
39.9907,338.0236,4.952256,50.50269,337.4908,1.562074
39.9907,338.0236,4.952256,50.50269,337.4908,1.562074
40.43599,337.2187,3.784295,50.66929,336.9304,0.3377653
40.43599,337.2187,3.784295,50.66929,336.9304,0.3377653
40.76741,337.8787,3.023714,51.18315,337.7398,359.6266
39.80609,337.6606,3.13652,50.23851,337.5063,359.695
38.01345,337.5789,3.531162,48.39308,337.3635,0.07874905
40.14723,338.3182,2.652296,50.78055,338.2753,359.2505
40.14723,338.3182,2.652296,50.78055,338.2753,359.2505
41.04945,338.5208,2.322044,52.0118,338.5576,358.8533
41.09512,338.4955,2.566802,52.06104,338.4893,359.0883
41.74779,338.4511,2.50563,52.61291,338.4585,359.0529
42.04337,338.5716,2.609153,52.8992,338.5598,359.1761
42.04337,338.5716,2.609153,52.8992,338.5598,359.1761
41.94607,338.5741,2.885941,52.72949,338.5089,359.4694
42.01999,338.5402,2.962222,52.80626,338.4622,359.5376
41.8985,338.7226,3.235349,52.50302,338.5907,359.887
42.21585,338.6959,3.187926,52.98962,338.578,359.785
42.00841,338.1816,3.352324,52.61726,338.0334,359.9209
42.00841,338.1816,3.352324,52.61726,338.0334,359.9209
42.00766,338.1689,3.368847,52.61752,338.0178,359.9346
41.9703,338.1281,3.343525,52.58316,337.9826,359.9019
41.94213,338.1302,3.361538,52.55493,337.9814,359.92
41.73804,338.4082,3.394834,52.43565,338.2515,359.9672
41.73804,338.4082,3.394834,52.43565,338.2515,359.9672
41.63587,338.7336,3.586837,52.31852,338.5409,0.211248
41.51737,338.4992,3.672494,52.1739,338.2917,0.2685227
41.51737,338.4992,3.672494,52.1739,338.2917,0.2685227
41.60369,338.8264,3.681319,52.18939,338.6132,0.3461667
42.4933,338.9688,3.531718,52.76653,338.7775,0.314566
43.0941,338.9657,3.399342,53.36722,338.7964,0.1835564
43.0941,338.9657,3.399342,53.36722,338.7964,0.1835564
48.31098,338.271,2.269482,58.94386,338.3283,358.8656
48.31098,338.271,2.269482,58.94386,338.3283,358.8656
55.68327,336.6142,0.3632948,67.1761,337.1149,356.5117
56.95414,336.5798,0.1757683,68.44661,337.1155,356.3212
67.04926,336.4134,358.1602,79.2055,337.4307,354.15
72.6534,335.7803,356.8537,84.95844,337.1029,352.7733
72.6534,335.7803,356.8537,84.95844,337.1029,352.7733
77.40458,336.0769,356.2293,89.66528,337.5194,352.2466
79.51894,336.2657,356.0443,91.75649,337.7398,352.1111
86.98689,336.6104,355.4432,99.17563,338.1954,351.6224
