L_Yaw,L_Pitch,L_Roll,R_Yaw,R_Pitch,R_Roll
83.15949,359.9412,2.012901,93.03623,359.6451,2.352034
83.15949,359.9412,2.012901,93.03623,359.6451,2.352034
82.93388,0.009771546,2.017051,92.71097,359.7127,2.366967
82.85394,0.1548622,2.027776,92.70944,359.8506,2.395893
82.85631,0.146482,2.041837,92.71188,359.8401,2.40851
82.85631,0.146482,2.041837,92.71188,359.8401,2.40851
82.78392,0.2731514,1.964231,92.57833,359.9801,2.350699
82.78392,0.2731514,1.964231,92.57833,359.9801,2.350699
82.78507,0.2800017,1.945857,92.57962,359.9899,2.333754
82.86833,0.2324722,1.964263,92.58018,359.9432,2.34709
82.86833,0.2324722,1.964263,92.58018,359.9432,2.34709
83.26888,0.1639036,1.962437,92.88609,359.8843,2.338519
83.34778,359.8635,2.004538,92.87653,359.5833,2.339314
83.34778,359.8635,2.004538,92.87653,359.5833,2.339314
83.2588,359.8489,2.02449,92.62635,359.5698,2.359012
82.59801,0.2358747,1.992923,92.52407,359.9312,2.37017
82.59801,0.2358747,1.992923,92.52407,359.9312,2.37017
82.59007,0.1868654,2.014038,92.51604,359.8793,2.382524
82.57063,0.1484724,2.015978,92.49699,359.8411,2.37782
82.26208,359.7142,2.056962,92.06776,359.4041,2.358027
82.66232,359.5555,2.096038,92.48405,359.2452,2.374367
82.66232,359.5555,2.096038,92.48405,359.2452,2.374367
83.021,359.5053,2.127533,92.95425,359.1907,2.397748
83.14487,359.5126,2.13457,92.95035,359.2027,2.408814
83.14487,359.5126,2.13457,92.95035,359.2027,2.408814
83.14484,359.5267,2.135863,92.95031,359.2164,2.412499
83.01456,359.5725,2.117308,92.83549,359.2625,2.401336
82.98653,359.3929,2.126902,92.74091,359.0846,2.38698
82.97023,359.0626,2.154875,92.82587,358.7488,2.366758
82.97023,359.0626,2.154875,92.82587,358.7488,2.366758
83.01109,359.1789,2.14832,92.86639,358.8645,2.380203
82.60248,359.6685,2.113533,92.82393,359.3366,2.412779
82.60248,359.6685,2.113533,92.82393,359.3366,2.412779
82.5648,0.2501415,2.06195,92.51096,359.9286,2.45235
82.71724,0.5055731,2.06063,92.65945,0.1805207,2.495234
82.77582,0.5941646,2.063068,92.7181,0.2673371,2.51293
82.90034,0.3962088,2.128842,92.62675,0.06671037,2.555347
82.81093,0.5630335,2.161794,92.76772,0.2139769,2.615525
82.81093,0.5630335,2.161794,92.76772,0.2139769,2.615525
82.99999,0.8435879,2.160984,92.55651,0.50464,2.66073
82.99999,0.8435879,2.160984,92.55651,0.50464,2.66073
83.02039,0.1436186,2.218099,92.77989,359.7893,2.621198
83.49484,0.2535529,2.215671,93.15621,359.9009,2.636331
83.49484,0.2535529,2.215671,93.15621,359.9009,2.636331
84.12232,359.7609,2.288402,93.94694,359.3939,2.643045
90.29829,354.2071,3.07549,99.87855,353.812,2.635418
91.10565,354.2692,3.257035,100.6838,353.8432,2.824964
91.10565,354.2692,3.257035,100.6838,353.8432,2.824964
92.59428,353.0448,3.613807,102.3155,352.5665,3.004432
93.23854,352.7647,3.821347,102.9776,352.2514,3.170902
93.23854,352.7647,3.821347,102.9776,352.2514,3.170902
93.22731,352.3691,4.009161,103.1039,351.818,3.299564
93.60843,352.3837,4.146712,103.2614,351.8161,3.434567
93.78063,352.376,4.204579,103.4333,351.7989,3.490399
93.6126,352.372,4.28619,103.5078,351.7708,3.572301
93.74686,352.305,4.480009,103.642,351.6714,3.752032
93.13177,352.3989,4.54402,103.1018,351.7468,3.826933
93.04128,351.842,4.764033,103.0168,351.1571,3.958818
92.84865,351.6861,4.851969,102.8276,350.9885,4.018236
92.84865,351.6861,4.851969,102.8276,350.9885,4.018236
92.86863,351.8135,4.833489,102.5479,351.1349,4.013898
92.85254,351.7069,4.824983,102.6266,351.0288,3.987484
92.65815,352.0028,4.693019,102.5668,351.3441,3.891252
