L_Yaw,L_Pitch,L_Roll,R_Yaw,R_Pitch,R_Roll
81.71928,2.631753,0.8940403,91.25059,2.46411,1.551871
81.71928,2.631753,0.8940403,91.25059,2.46411,1.551871
81.63798,3.27084,0.8340263,91.10254,3.105922,1.58727
81.63798,3.27084,0.8340263,91.10254,3.105922,1.58727
81.71287,3.299663,0.8259531,91.1909,3.136947,1.5826
81.71287,3.299663,0.8259531,91.1909,3.136937,1.582601
81.71287,3.299663,0.8259531,91.1909,3.136937,1.582601
81.85982,3.293022,0.8165733,91.59288,3.130472,1.555458
81.85349,3.279058,0.8184391,91.3553,3.120105,1.570942
81.9151,2.837734,0.8595081,91.48336,2.676538,1.544743
81.91511,2.837735,0.8595117,91.48338,2.676538,1.544745
81.90066,2.392679,0.9061937,91.35594,2.229913,1.535563
81.90066,2.392679,0.9061937,91.35594,2.229913,1.535563
81.90067,2.392666,0.9061953,91.47419,2.228082,1.527596
81.90067,2.392666,0.9061953,91.47419,2.228082,1.527596
90.81895,4.970254,0.01300449,101.0052,5.074363,0.9940352
98.4623,7.653557,359.1719,109.6216,7.949867,0.5138609
102.4196,8.182213,358.8218,113.604,8.591485,0.2667112
102.4196,8.182199,358.8218,113.604,8.591485,0.2667082
102.4196,8.182199,358.8218,113.604,8.591485,0.2667082
102.4196,8.182199,358.8218,113.6041,8.591491,0.2667052
102.4196,8.182199,358.8218,113.6041,8.591491,0.2667052
102.5103,7.430261,358.8964,113.6929,7.834076,0.2332583
102.3724,7.428903,358.9068,113.5541,7.828992,0.2424333
101.8345,7.932504,359.9317,113.0428,8.129786,1.36544
102.1522,7.694056,359.9369,113.3618,7.896665,1.338117
102.1522,7.694056,359.9369,113.3618,7.896665,1.338117
102.1522,7.694046,359.9369,113.3618,7.896665,1.338119
101.9623,5.120356,0.2160664,113.169,5.29234,1.245453
99.62486,4.15569,0.4582922,110.732,4.269839,1.340764
99.2057,4.182706,0.480805,110.3996,4.280108,1.359592
99.2057,4.182706,0.4808033,110.3996,4.280108,1.359592
99.21012,4.494357,0.4483698,110.4027,4.594815,1.371862
99.21012,4.494357,0.4483698,110.4027,4.594815,1.371862
99.21014,4.494349,0.4483705,110.4027,4.594814,1.371859
96.69936,4.60044,0.5877298,107.3668,4.679672,1.542823
82.36018,5.730791,1.272491,91.86356,5.499921,2.395707
68.33398,6.85878,1.371228,78.02016,6.313392,2.625236
68.33398,6.85878,1.371228,78.02016,6.313392,2.625236
64.12849,7.022355,1.500404,73.89667,6.37145,2.77556
64.12849,7.022347,1.500402,73.89672,6.371455,2.775556
59.90582,9.605777,1.437474,70.60606,8.869293,3.049499
59.9058,9.605779,1.437475,70.60606,8.869291,3.049498
59.18676,12.21198,1.212779,69.98641,11.45563,3.202548
59.34577,11.90555,1.231884,70.1273,11.15,3.156189
59.34577,11.90555,1.231884,70.1273,11.15,3.156189
59.56384,12.43287,1.168778,70.37563,11.68356,3.168315
59.56382,12.43287,1.168774,70.37563,11.68356,3.168318
71.10335,11.92412,0.560348,80.66563,11.47149,2.544943
85.34474,3.441671,0.5095046,94.75163,3.405033,1.308735
85.33782,3.437012,0.5104505,94.75021,3.400005,1.308628
85.33782,3.437013,0.5104473,94.75025,3.400007,1.308627
84.46385,3.913711,0.5196092,94.10657,3.850042,1.367797
84.46385,3.913711,0.5196092,94.10657,3.850042,1.367797
84.45763,3.908786,0.52053,94.1053,3.844787,1.367662
83.87655,357.2178,1.252044,94.69332,357.0683,1.067544
83.87454,357.2007,1.253963,94.6917,357.0511,1.066989
84.5364,356.3305,1.301442,95.78092,356.1871,0.9643999
84.5364,356.3305,1.301442,95.78092,356.1871,0.9643999
84.55577,357.172,1.212001,95.78051,357.0342,0.9967054
84.5593,357.1711,1.211863,95.78409,357.0334,0.9964465
84.56848,357.521,1.174685,95.78554,357.3857,1.009796
84.56847,357.521,1.174685,95.78554,357.3857,1.009796
80.09639,358.409,1.374031,91.28977,358.1682,1.326244
80.09639,358.409,1.374029,91.28976,358.1682,1.326243
80.11314,358.9866,1.312975,91.29545,358.7491,1.348227
79.55645,359.0069,1.346623,89.65653,358.7691,1.452595
80.92216,3.533822,0.7920307,90.11468,3.371017,1.604133
80.92216,3.533829,0.7920293,90.11469,3.371006,1.60413
80.92216,3.533829,0.7920293,90.11469,3.371006,1.60413
80.46506,4.84892,0.6869453,90.13479,4.673634,1.655163
80.52063,7.023708,0.4604605,90.17796,6.86307,1.741823
80.18288,7.034369,0.4814699,89.82851,6.863371,1.764243
80.18288,7.034368,0.4814719,89.82848,6.863368,1.764241
79.96966,6.94381,0.5046726,89.72172,6.764213,1.766976
79.96966,6.94381,0.5046726,89.72172,6.764213,1.766976
79.77864,6.88248,0.5234014,89.36044,6.698959,1.787386
79.77862,6.882468,0.5234023,89.36044,6.698963,1.787388
79.7747,6.585603,0.5540491,89.35656,6.400338,1.775295
80.41149,6.556931,0.5154456,89.89318,6.392687,1.74068
82.64191,8.460317,0.1723254,92.28976,8.37635,1.668214
82.64191,8.460317,0.1723254,92.28976,8.37635,1.668214
83.01292,10.85708,359.8989,93.40096,10.78275,1.696531
83.01292,10.85708,359.8989,93.40096,10.78275,1.696531
83.01292,10.85708,359.8989,93.40093,10.78277,1.696533
