L_Yaw,L_Pitch,L_Roll,R_Yaw,R_Pitch,R_Roll
80.80756,351.7018,353.3566,91.55382,353.0237,352.2941
80.80756,351.7018,353.3566,91.55382,353.0237,352.2941
80.80756,351.7018,353.3566,91.55382,353.0237,352.2941
80.80623,351.6768,353.3571,91.35684,352.9697,352.3147
79.63429,352.2332,353.4629,89.98265,353.4562,352.5163
79.63429,352.2332,353.4629,89.98265,353.4562,352.5163
79.60102,352.6038,353.3904,89.93267,353.8331,352.4956
79.60099,352.6425,353.3845,89.93179,353.8723,352.4969
79.60099,352.6425,353.3845,89.93179,353.8723,352.4969
79.16624,352.714,353.4575,89.69439,353.9529,352.5552
79.19,352.4858,353.4785,89.72882,353.7253,352.5427
79.19,352.4858,353.4785,89.72882,353.7253,352.5427
79.22459,352.5129,353.4364,89.76185,353.7596,352.5062
80.50313,353.0947,353.1713,91.01734,354.3968,352.3369
80.50313,353.0947,353.1713,91.01734,354.3968,352.3369
80.58517,352.6315,353.1892,91.11189,353.9377,352.2879
80.58517,352.6315,353.1892,91.11189,353.9377,352.2879
80.43428,353.8109,353.1041,90.92429,355.113,352.3749
79.92204,354.2653,353.131,90.40322,355.5495,352.465
81.18665,354.3987,352.9497,91.25007,355.6689,352.3643
81.18665,354.3987,352.9497,91.25007,355.6689,352.3643
80.52679,354.3091,353.052,91.00002,355.615,352.397
80.52679,354.3091,353.052,91.00002,355.615,352.397
80.74277,354.3502,353.025,91.40828,355.6926,352.3546
80.74277,354.3502,353.025,91.40828,355.6926,352.3546
80.73241,354.3514,353.0263,91.20789,355.6646,352.3795
81.0236,353.6982,353.0583,91.31537,354.9887,352.3443
81.0236,353.6982,353.0583,91.31537,354.9887,352.3443
80.99567,353.9234,353.0375,91.27899,355.2137,352.3562
80.16277,353.6047,353.1858,90.65926,354.8922,352.4262
80.16277,353.6047,353.1858,90.65926,354.8922,352.4262
79.91504,353.7954,353.1991,90.41192,355.0751,352.4644
79.91659,353.801,353.1983,90.41325,355.0809,352.4644
79.91659,353.801,353.1983,90.41325,355.0809,352.4644
79.91669,353.8026,353.1981,90.41157,355.0823,352.4647
80.56862,353.875,353.1008,91.05974,355.1798,352.3835
81.25904,353.7254,353.0235,91.93703,355.0834,352.2679
81.25904,353.7254,353.0235,91.93703,355.0834,352.2679
81.28462,353.4992,353.0446,91.9719,354.8573,352.2561
80.39056,353.6285,353.152,91.07761,354.9537,352.3739
80.38673,353.6349,353.1518,91.07362,354.96,352.3746
80.38673,353.6349,353.1518,91.07362,354.96,352.3746
80.07107,356.1042,352.9202,90.31982,357.3741,352.5433
79.145,356.6803,352.9821,89.38316,357.9171,352.6805
79.145,356.6803,352.9821,89.38316,357.9171,352.6805
79.145,356.6803,352.9821,89.38316,357.9171,352.6805
73.91212,357.5733,350.8794,84.09424,359.1612,350.7794
73.91212,357.5733,350.8794,84.09424,359.1612,350.7794
73.91212,357.5733,350.8794,84.09424,359.1612,350.7794
73.0833,357.8383,350.2977,83.45054,359.5647,350.2344
73.0833,357.8383,350.2977,83.45054,359.5647,350.2344
72.04929,358.39,349.7207,82.39634,0.2110222,349.7568
72.18073,358.2794,349.3054,82.50185,0.1860794,349.3496
71.23569,358.4937,348.9745,81.54586,0.4561731,349.0626
71.23569,358.4937,348.9745,81.54586,0.4561731,349.0626
66.28006,358.6308,348.8776,76.0099,0.4293438,349.0196
66.28006,358.6308,348.8776,76.0099,0.4293438,349.0196
64.07992,0.6031958,348.3862,74.19151,2.5355,348.7701
62.86205,0.7011108,347.9945,72.96124,2.700636,348.4013
62.86205,0.7011108,347.9945,72.96124,2.700636,348.4013
54.59185,2.401137,348.1215,64.72237,4.235921,348.711
50.47476,5.309842,347.6525,61.19816,7.299657,348.5599
48.38674,5.829613,347.2722,59.22327,7.904368,348.2324
48.38674,5.829613,347.2722,59.22327,7.904368,348.2324
46.20727,6.305034,346.9362,57.03281,8.41683,347.9569
44.86942,7.100607,346.4026,55.67324,9.291615,347.534
44.86942,7.100607,346.4026,55.67324,9.291615,347.534
43.5887,7.178267,345.5443,54.35813,9.534736,346.6988
43.5887,7.178267,345.5443,54.35813,9.534736,346.6988
43.17354,6.449585,344.9879,53.91788,8.936236,346.0534
41.98571,6.297819,344.5079,52.70552,8.875976,345.5504
41.98571,6.297819,344.5079,52.70552,8.875976,345.5504
41.02214,6.207954,343.9757,51.71401,8.88855,345.0063
40.34278,5.366765,343.5949,51.01094,8.13952,344.5059
39.17768,5.770036,343.2303,49.82027,8.598695,344.1857
39.17768,5.770036,343.2303,49.82027,8.598695,344.1857
38.3339,5.511739,342.8479,48.91983,8.403951,343.7639
38.10648,6.029891,342.3258,48.6911,9.027292,343.3121
37.43771,5.910435,342.0252,48.0036,8.964726,342.9924
37.43771,5.910435,342.0252,48.0036,8.964726,342.9924
38.28126,6.636597,341.3123,48.80661,9.827407,342.3979
38.4699,6.689112,340.828,48.86386,9.935265,341.9416
38.4699,6.689112,340.828,48.86386,9.935265,341.9416
37.92176,6.591812,340.4406,48.1404,9.844319,341.5602
37.32297,6.659652,340.0089,47.60838,10.02741,341.1197
37.32297,6.659652,340.0089,47.60838,10.02741,341.1197
