L_Yaw,L_Pitch,L_Roll,R_Yaw,R_Pitch,R_Roll
79.50155,2.371965,356.2212,89.1274,3.037748,356.9178
79.50155,2.371965,356.2212,89.1274,3.037748,356.9178
78.8395,2.804319,356.2086,89.08025,3.492613,356.9343
78.8395,2.804319,356.2086,89.08025,3.492613,356.9343
78.83948,2.804326,356.2086,89.08025,3.49261,356.9343
72.8227,358.0698,357.0651,82.90258,358.5645,357.0951
65.57987,351.4073,358.2127,75.00713,351.6795,357.3013
65.57987,351.4073,358.2127,75.00713,351.6795,357.3013
58.74443,349.6898,358.8549,68.66846,349.847,357.6523
53.90063,348.1689,359.3602,64.7112,348.251,357.8681
53.90063,348.1689,359.3602,64.7112,348.251,357.8681
53.89167,348.1594,359.3618,64.49884,348.2385,357.8833
53.89168,348.1594,359.3618,64.49882,348.2385,357.8833
53.89167,348.1594,359.3618,64.49882,348.2385,357.8833
53.89167,348.1594,359.3618,64.49882,348.2385,357.8833
53.69134,348.1627,359.3761,64.29456,348.2374,357.8984
53.69134,348.1627,359.3761,64.29456,348.2374,357.8984
53.67654,348.8185,359.3089,64.2681,348.889,357.9293
53.67158,348.8138,359.3098,64.26329,348.8842,357.9295
53.67158,348.8138,359.3098,64.26329,348.8842,357.9295
47.61168,346.2337,0.03282189,58.99898,346.1823,358.2101
46.01635,344.8773,0.2991531,57.77585,344.7851,358.2422
46.01634,344.8773,0.2991601,57.77585,344.7851,358.2422
46.01634,344.8773,0.2991601,57.77585,344.7851,358.2422
46.62744,344.8838,0.2515332,58.10557,344.815,358.2175
46.64232,344.8807,0.2507214,58.12061,344.8123,358.2162
46.75832,345.346,0.1922124,58.48855,345.2706,358.2084
46.75832,345.346,0.1922124,58.48855,345.2706,358.2084
47.61574,345.1975,0.1424827,58.99033,345.1521,358.1634
47.61574,345.1975,0.1424827,58.99033,345.1521,358.1634
41.75428,344.4671,0.1733913,53.19205,344.4312,358.0416
41.75428,344.4671,0.1733913,53.19205,344.4312,358.0416
41.63012,345.1381,0.09819695,53.03074,345.0995,358.0753
41.63012,345.1381,0.09819695,53.03074,345.0995,358.0753
41.5629,345.1575,0.06811846,52.96233,345.124,358.05
41.48652,345.306,0.07372084,53.21395,345.262,358.0502
41.48652,345.306,0.07372084,53.21395,345.262,358.0502
41.60376,345.4297,0.07987241,53.0199,345.3882,358.104
41.57669,345.4499,0.07618865,52.99182,345.4088,358.1044
41.57669,345.4499,0.07618865,52.99182,345.4088,358.1044
42.05601,345.4526,0.02880826,53.46302,345.4247,358.0585
42.06611,345.0667,0.06859472,53.45923,345.0417,358.043
42.06611,345.0667,0.06859472,53.45923,345.0417,358.043
42.03996,345.1915,0.07853372,53.42977,345.1628,358.0796
42.4598,345.5139,0.04187925,53.83002,345.491,358.1057
43.84101,346.6156,359.7933,54.68134,346.6304,358.0709
43.84101,346.6156,359.7933,54.68134,346.6304,358.0709
43.39277,347.084,359.5557,54.21146,347.1339,357.9279
43.56157,352.9073,358.8854,54.06788,352.9308,358.1417
43.56157,352.9073,358.8854,54.06788,352.9308,358.1417
43.36734,7.408293,357.2734,53.98348,7.406207,358.6166
44.96667,8.695894,356.979,55.56726,8.746433,358.5164
44.90874,11.71247,356.5205,56.12234,11.87087,358.489
44.90874,11.71247,356.5205,56.12234,11.87087,358.489
44.69432,13.53329,356.263,55.88324,13.69397,358.5191
44.52063,13.85767,356.1899,55.72522,14.02598,358.5122
44.47985,14.31461,356.0717,55.76652,14.50845,358.485
44.47985,14.31461,356.0717,55.76652,14.50845,358.485
44.58638,14.72738,355.7971,55.90402,14.97345,358.3205
44.0835,14.54796,355.7425,55.4073,14.80305,358.2561
44.0835,14.54796,355.7425,55.4073,14.80305,358.2561
44.68488,14.99185,355.5667,55.69929,15.23547,358.1749
44.02378,15.37986,355.4049,55.05186,15.63889,358.0947
43.72646,15.87994,355.1937,54.78183,16.16868,357.9867
43.72646,15.87994,355.1937,54.78183,16.16868,357.9867
44.00682,16.0357,355.2246,55.07351,16.32192,358.048
43.75313,15.94669,355.2678,54.65495,16.20093,358.0889
43.75313,15.94669,355.2678,54.65495,16.20093,358.0889
43.97064,15.68467,355.247,54.95539,15.96569,358.0395
44.29316,15.02572,355.3566,55.06243,15.27709,358.0443
44.29316,15.02572,355.3566,55.06243,15.27709,358.0443
44.55033,15.38772,355.3981,55.59842,15.66404,358.1615
44.64281,15.42133,355.3811,55.69514,15.70055,358.1588
44.64281,15.42133,355.3811,55.69514,15.70055,358.1588
43.78419,14.76038,355.4243,55.0179,15.0592,358.1116
43.79725,14.57691,355.4472,54.8688,14.85363,358.0995
43.79725,14.57691,355.4472,54.86879,14.85363,358.0995
43.79725,14.57691,355.4472,54.86879,14.85363,358.0995
43.83138,14.36452,355.4744,55.00565,14.65617,358.0998
43.82047,14.57929,355.4479,54.84686,14.84991,358.0984
43.82047,14.57929,355.4479,54.84686,14.84991,358.0984
44.07607,15.0892,355.3883,54.96291,15.33864,358.1416
44.40096,15.12224,355.4692,55.0477,15.32757,358.2119
44.40096,15.12224,355.4692,55.0477,15.32757,358.2119
44.43107,15.09998,355.516,55.07668,15.29737,358.2536
44.36002,14.80976,355.6874,55.60357,15.05922,358.412
44.4879,14.69777,355.8561,55.74968,14.92029,358.5604
44.4879,14.69777,355.8561,55.74968,14.92029,358.5604
44.81097,14.62909,356.1312,56.06877,14.80095,358.8166
