L_Yaw,L_Pitch,L_Roll,R_Yaw,R_Pitch,R_Roll
83.5491,353.9433,1.379384,93.11544,353.7529,0.8608231
83.5491,353.9433,1.379384,93.11544,353.7529,0.8608231
82.95164,354.1023,1.371317,92.92427,353.9031,0.8692208
82.96316,354.513,1.327013,92.92533,354.3161,0.8848515
82.96316,354.513,1.327013,92.92533,354.3161,0.8848515
82.96316,354.513,1.327013,92.92533,354.3161,0.8848515
82.96204,354.4732,1.331304,92.92512,354.2761,0.8833367
82.60558,354.7882,1.302854,92.49519,354.5886,0.9012429
82.59689,354.4803,1.336004,92.4941,354.2791,0.8895391
82.67849,354.3619,1.347499,92.61692,354.1609,0.8833266
82.67847,354.3619,1.3475,92.61692,354.1609,0.8833266
83.10614,354.3539,1.341938,92.86568,354.1592,0.8797556
83.10614,354.3539,1.341938,92.86568,354.1592,0.8797556
83.44131,354.3479,1.337514,92.9797,354.1585,0.8781134
83.44131,354.3479,1.337514,92.9797,354.1585,0.8781134
83.44365,354.4296,1.328711,93.00615,354.2405,0.8808473
83.47041,354.3737,1.334311,93.1788,354.1838,0.8762553
83.48493,354.4875,1.397366,93.1913,354.2852,0.9577144
83.11066,354.4726,1.399278,93.02846,354.2652,0.9536825
83.11066,354.4726,1.399278,93.02846,354.2652,0.9536825
83.35694,354.4153,1.398591,93.2292,354.2114,0.9460146
83.36172,354.4294,1.40394,93.23377,354.2244,0.9537796
84.12041,354.4328,1.393514,93.76463,354.2384,0.9478076
84.12041,354.4328,1.393514,93.76463,354.2384,0.9478076
84.68115,354.7408,1.352891,94.18337,354.5557,0.9546458
84.68114,354.7408,1.352891,94.18337,354.5557,0.9546458
84.68114,354.7408,1.352891,94.18337,354.5557,0.9546458
84.91218,354.7379,1.350055,94.29649,354.5563,0.9532728
84.91218,354.7379,1.350055,94.29649,354.5563,0.9532728
84.47383,354.5889,1.371998,94.27726,354.3985,0.9475477
84.47383,354.5889,1.371998,94.27726,354.3985,0.9475477
84.52521,354.5891,1.333,94.32869,354.4053,0.9091308
84.49128,354.5795,1.34579,94.20159,354.3938,0.9212115
84.49128,354.5795,1.34579,94.20159,354.3938,0.9212115
84.4334,354.8304,1.326223,94.11894,354.6446,0.9377133
84.43275,354.8191,1.327763,94.20799,354.6326,0.9361258
84.43275,354.8191,1.327763,94.20799,354.6326,0.9361258
84.77885,354.5484,1.351874,94.47843,354.365,0.9224798
84.77885,354.5484,1.351872,94.47844,354.365,0.9224779
84.78583,354.8179,1.32287,94.47914,354.6362,0.9327291
84.78583,354.8179,1.32287,94.47914,354.6362,0.9327291
84.50799,354.9462,1.313073,93.95855,354.7634,0.9443119
84.50799,354.9462,1.313073,93.95855,354.7634,0.9443119
84.50453,354.8234,1.326281,93.95821,354.6398,0.939642
83.74543,354.9208,1.326514,93.47189,354.7266,0.9492224
83.74545,354.9182,1.326795,93.47199,354.7241,0.949129
83.74545,354.9182,1.326795,93.47199,354.7241,0.949129
83.74545,354.9182,1.326795,93.47199,354.7241,0.949129
83.94299,354.972,1.318269,93.93067,354.779,0.9452639
83.94299,354.972,1.318269,93.93067,354.779,0.9452639
83.97367,354.965,1.318597,93.93083,354.7723,0.9450112
83.96072,354.5171,1.366811,93.73672,354.3231,0.9305432
83.95975,354.4833,1.370449,93.68105,354.2895,0.9299904
83.95975,354.4833,1.370449,93.68105,354.2895,0.9299904
83.95975,354.4833,1.370449,93.68104,354.2895,0.9299937
83.93522,354.3774,1.382171,93.68069,354.1826,0.9259511
83.93522,354.3774,1.382171,93.68069,354.1826,0.9259511
69.21532,344.5164,2.59113,79.57681,344.1885,0.643244
69.21532,344.5164,2.59113,79.57681,344.1885,0.643244
69.20767,344.5121,2.59269,79.56936,344.1841,0.6439919
62.96098,342.4933,2.906578,73.40614,342.1491,0.6516376
57.11843,341.3842,3.131562,68.81334,340.8738,0.69883
57.10174,341.3925,3.134518,68.79609,340.8814,0.7035044
53.78708,341.1821,3.195977,65.67363,340.6187,0.743462
53.74306,340.7862,3.252181,65.56068,340.2359,0.7368796
53.724,340.7999,3.2666,65.54063,340.2465,0.7540243
54.01216,340.5441,3.291362,65.62305,340.0286,0.7387492
54.01216,340.5441,3.291362,65.62305,340.0286,0.7387492
53.99162,340.543,3.273484,65.60265,340.0309,0.7209401
53.94922,340.3898,3.274749,65.46266,339.8985,0.700111
54.50664,339.3061,3.406245,66.2663,338.7928,0.6453714
54.3788,339.0738,3.436291,66.00828,338.5841,0.6396446
54.3788,339.0738,3.436291,66.00828,338.5841,0.6396446
54.41121,339.1058,3.43201,66.06605,338.6117,0.6401827
54.41121,339.1058,3.43201,66.06604,338.6117,0.640201
53.72173,339.1886,3.421069,65.52545,338.6661,0.6435957
53.35647,339.1945,3.419965,64.98009,338.7008,0.6481779
52.45275,339.2603,3.417792,64.20869,338.7383,0.6596059
52.45275,339.2603,3.417792,64.20869,338.7383,0.6596059
52.48783,339.9785,3.32515,64.19623,339.4553,0.6870734
52.48252,339.9837,3.331622,64.19048,339.4593,0.6945699
52.55958,340.0473,3.359781,64.20149,339.5269,0.7354553
52.55958,340.0473,3.359781,64.20149,339.5269,0.7354553
52.52708,340.0594,3.37444,64.16807,339.536,0.7524661
52.51088,340.0499,3.381867,64.15254,339.5252,0.7577132
52.26018,339.7703,3.411393,64.15848,339.2055,0.7370143
51.87793,339.8293,3.40283,63.5275,339.3054,0.7440761
52.18647,339.7668,3.419125,64.12228,339.194,0.7442158
52.18647,339.7668,3.419125,64.12228,339.194,0.7442158
52.17468,339.7771,3.415756,64.10969,339.2047,0.7431777
52.63316,339.7655,3.419142,64.0763,339.2793,0.7500321
52.6377,339.8267,3.454633,64.0445,339.338,0.7964416
52.62932,339.8332,3.457643,64.03562,339.3439,0.8007871
52.64207,340.0568,3.441681,64.05589,339.5606,0.8223527
52.66712,340.5745,3.382546,64.06649,340.0722,0.850195
52.66712,340.5745,3.382546,64.06649,340.0722,0.850195
52.6623,340.5741,3.364662,64.06174,340.0751,0.8325107
52.60486,340.1026,3.410518,64.05357,339.6048,0.8008249
52.54647,340.5176,3.333233,64.33935,339.9612,0.7911531
52.37288,340.0197,3.396983,64.04183,339.4895,0.7749347
52.82565,340.3884,3.349752,64.33614,339.8817,0.7881745
52.82565,340.3884,3.349752,64.33614,339.8817,0.7881745
52.82564,340.3884,3.349741,64.33611,339.8817,0.788168
52.69997,339.3859,3.47895,64.51172,338.8407,0.7476764
52.69998,339.3859,3.478949,64.5117,338.8407,0.7476783
53.15676,340.073,3.390141,64.71563,339.5637,0.7739969
52.84223,339.3602,3.482289,64.51171,338.8406,0.7476706
53.04313,340.053,3.39273,64.61647,339.5411,0.7737007
53.04313,340.053,3.39273,64.61647,339.5411,0.7737007
53.04311,340.053,3.392733,64.61646,339.5411,0.7737088
53.04311,340.053,3.392733,64.61646,339.5411,0.7737088
52.85216,338.8494,3.54899,64.49159,338.3422,0.7287827
53.51641,340.1944,3.374487,65.01649,339.6944,0.7772402
53.51641,340.1944,3.374487,65.01649,339.6944,0.7772402
53.51642,340.1944,3.374492,65.01648,339.6944,0.7772365
53.84366,340.2392,3.368623,65.25064,339.7547,0.778181
57.38832,336.5285,3.85428,69.01922,336.0677,0.6125173
70.03149,333.3356,4.235675,80.98137,332.9911,0.3880418
70.03149,333.3356,4.235675,80.98137,332.9911,0.3880418
82.394,333.0945,4.133939,93.49547,332.7236,0.2351374
82.394,333.0945,4.133939,93.49547,332.7236,0.2351374
91.33567,335.7964,3.622651,102.2989,335.4587,0.2347254
91.33563,335.7964,3.622649,102.2989,335.4587,0.2347206
100.9777,337.6419,3.204226,112.7731,337.4428,0.168301
100.9777,337.6419,3.204226,112.7731,337.4428,0.168301
105.0582,340.4156,2.773578,116.5071,340.2646,0.2303745
105.0582,340.4156,2.773582,116.5071,340.2646,0.2303745
105.409,340.3299,2.776963,117.0625,340.2028,0.2195523
105.7402,339.9186,2.820919,117.573,339.8069,0.1955387
105.7402,339.9186,2.820919,117.573,339.8069,0.1955387
105.8394,339.9294,2.817541,117.7822,339.8321,0.1934406
106.0168,340.3474,2.762329,117.7958,340.2402,0.2101385
106.0168,340.3474,2.762329,117.7958,340.2402,0.2101385
108.0127,340.5468,2.696219,119.8387,340.4667,0.1887813
108.0128,340.5468,2.696217,119.8387,340.4667,0.1887813
111.0667,340.4214,2.645883,123.0598,340.3896,0.1366316
111.6107,340.7633,2.59233,123.5852,340.7409,0.1432332
111.0672,340.4297,2.644883,123.0598,340.3979,0.1369753
111.0672,340.4297,2.644883,123.0598,340.3979,0.1369753
111.0672,340.4297,2.644883,123.0598,340.3979,0.1369744
110.7285,340.2825,2.670269,122.7289,340.2456,0.1356876
110.7285,340.2825,2.670269,122.7289,340.2456,0.1356876
