L_Yaw,L_Pitch,L_Roll,R_Yaw,R_Pitch,R_Roll
85.31586,354.9451,1.948344,94.84739,354.6422,1.654136
85.31586,354.9451,1.948344,94.84739,354.6422,1.654136
85.4134,354.9888,1.948722,94.90235,354.6869,1.658695
85.48785,355.0633,1.944456,94.95654,354.7621,1.664305
85.53748,355.0623,1.94721,95.14126,354.7581,1.674101
85.53748,355.0623,1.94721,95.14126,354.7581,1.674101
85.53591,355.0635,1.946993,95.13967,354.7595,1.674065
86.01879,355.3726,1.938534,95.46085,355.073,1.702528
86.14147,355.6684,1.912455,95.89523,355.364,1.736196
86.14147,355.6684,1.912455,95.89523,355.364,1.736196
86.49685,355.6637,1.931743,96.10943,355.3616,1.74755
86.54155,355.6628,1.934202,96.2507,355.3586,1.75498
86.54155,355.6628,1.934202,96.2507,355.3586,1.75498
86.48389,355.2565,1.975953,96.10284,354.9517,1.732566
86.48389,355.2565,1.975953,96.10284,354.9517,1.732566
86.45202,355.2571,1.974201,96.24824,354.9486,1.740219
86.45202,355.2571,1.974201,96.24824,354.9486,1.740219
86.54398,355.178,2.030303,95.95775,354.8688,1.766289
86.53967,355.2247,2.033421,96.39521,354.9045,1.801585
86.53967,355.2247,2.033421,96.39521,354.9045,1.801585
86.47704,355.1523,2.050987,95.93095,354.8387,1.786505
85.74712,355.1693,2.016829,95.4703,354.8498,1.770114
85.74712,355.1693,2.016829,95.4703,354.8498,1.770114
85.73903,355.1733,2.020309,95.46212,354.8533,1.774246
85.67663,354.927,2.038676,95.67386,354.6002,1.771895
85.6813,354.9103,2.014818,95.6789,354.5879,1.745477
85.6813,354.9103,2.014818,95.6789,354.5879,1.745477
85.6754,354.7355,2.033885,95.67593,354.4121,1.739079
85.98629,354.6451,2.061534,95.48773,354.3315,1.725486
85.6555,354.6446,2.042871,95.12129,354.3327,1.704585
85.6555,354.6446,2.042871,95.12129,354.3327,1.704585
85.65549,354.6446,2.042871,95.12129,354.3327,1.704585
85.98528,354.6463,2.061347,95.48775,354.3327,1.725531
85.86909,354.9297,2.023296,95.71464,354.6104,1.748308
85.86909,354.9297,2.023295,95.71461,354.6104,1.748309
