L_Yaw,L_Pitch,L_Roll,R_Yaw,R_Pitch,R_Roll
82.37466,359.071,1.463141,92.28248,358.8556,1.55828
82.37466,359.071,1.463141,92.28248,358.8556,1.55828
82.27227,359.3693,1.530358,92.1642,359.1382,1.676993
82.27227,359.3693,1.530358,92.1642,359.1382,1.676993
82.16314,359.3135,1.589958,92.13579,359.0695,1.723314
82.14524,359.3183,1.596456,92.11763,359.0732,1.731256
82.20561,359.3854,1.587843,92.09753,359.1435,1.743644
82.20561,359.3854,1.587843,92.09753,359.1435,1.743644
82.23856,359.2421,1.605798,92.12383,358.9993,1.742833
82.26134,359.4321,1.659603,92.1459,359.1772,1.82846
82.28042,359.5963,1.674314,92.16453,359.3364,1.871132
83.1317,359.6028,1.628932,92.9409,359.3648,1.83507
83.26037,359.4595,1.561743,93.36674,359.2281,1.731277
83.26037,359.4595,1.561743,93.36674,359.2281,1.731277
87.62053,355.2216,1.637293,97.21661,355.08,1.25182
87.62053,355.2216,1.637293,97.21661,355.08,1.25182
94.77862,348.6112,1.854023,104.9872,348.5307,0.4919159
94.77862,348.6112,1.854023,104.9872,348.5307,0.4919159
100.602,346.1325,1.681411,112.2606,346.1951,359.8834
102.4144,345.2017,1.653931,114.1241,345.2907,359.7158
102.8275,345.0897,1.6303,114.543,345.1856,359.6692
104.2048,344.7177,1.628623,115.8259,344.8149,359.6085
104.7033,344.6546,1.592063,116.3277,344.7603,359.5595
105.7433,344.5349,1.464777,117.3733,344.6678,359.4099
105.8819,344.4397,1.416068,117.6289,344.5856,359.3283
105.9307,344.5165,1.392772,117.5874,344.6562,359.3179
106.5159,344.4688,1.339976,118.1748,344.6198,359.2562
107.093,344.4453,1.278814,118.7527,344.6086,359.1914
108.2474,344.4627,1.129867,119.9048,344.6548,359.0493
114.6025,344.9642,0.626905,126.3341,345.2953,358.6578
115.2243,345.1567,0.6008754,126.9456,345.4904,358.6637
115.8187,345.2212,0.5641339,127.5362,345.5608,358.6413
116.6204,345.3694,0.5090412,128.3281,345.7144,358.6163
116.8264,345.501,0.5365834,128.5238,345.8311,358.6653
116.1595,345.8862,0.575379,127.8329,346.1943,358.7597
117.1335,346.1175,0.5432194,128.7952,346.4271,358.7764
117.1335,346.1175,0.5432194,128.7952,346.4271,358.7764
116.5922,346.4368,0.6460276,128.1768,346.7041,358.9384
116.5922,346.4368,0.6460276,128.1768,346.7041,358.9384
116.788,345.7988,1.117167,128.009,345.9358,359.3508
116.5843,345.8677,1.247455,128.0844,345.9938,359.4875
116.5843,345.8677,1.247455,128.0844,345.9938,359.4875
116.4539,344.9828,1.602315,127.6801,345.0168,359.7352
116.6806,345.2113,1.697263,127.8954,345.2231,359.8743
116.8371,345.4238,2.004925,128.348,345.3886,0.2264234
116.8371,345.4238,2.004925,128.348,345.3886,0.2264234
115.9934,344.8727,2.225536,127.1511,344.7668,0.3735709
116.2005,345.0588,2.309492,127.3487,344.9337,0.4932722
116.3151,345.1754,2.297588,127.6009,345.0594,0.501904
116.6131,345.3814,2.121735,127.8875,345.2945,0.3726904
119.6118,355.4185,0.9074274,130.3821,355.4934,0.6890656
120.2631,5.615205,359.8449,130.9824,5.824124,1.121986
120.3974,5.971956,359.8904,131.1237,6.166224,1.233341
119.7104,10.25516,359.5992,131.0258,10.40648,1.613969
119.7104,10.25516,359.5992,131.0258,10.40648,1.613969
119.6636,10.82574,359.6234,130.999,10.95899,1.750373
120.0694,12.53701,-0.002693855,131.4739,12.56446,2.461218
120.0991,11.74076,0.2497113,131.4957,11.72186,2.623025
120.49,12.1359,0.4958608,131.4743,12.0975,2.950374
120.49,12.1359,0.4958608,131.4743,12.0975,2.950374
120.767,13.403,0.7298005,131.8045,13.2977,3.428011
120.8503,12.2646,1.233987,131.8735,12.05737,3.812932
120.3117,13.57732,1.349078,131.4916,13.30482,4.193408
119.7227,18.84116,0.9137167,131.2258,18.57383,4.61523
119.9531,19.89328,1.231219,131.5249,19.54479,5.148353
119.9531,19.89328,1.231219,131.5249,19.54479,5.148353
120.0575,20.39449,1.353887,131.6638,20.01261,5.375234
120.6869,20.47956,1.809347,132.1728,20.0265,5.861468
120.7495,20.94346,2.001272,132.2664,20.4453,6.147543
120.6723,20.51036,2.597723,132.1666,19.89403,6.705874
120.323,20.62538,3.018353,131.297,19.99423,7.054772
120.0982,20.82783,3.490165,131.1639,20.08468,7.610894
120.0701,21.28892,3.702901,131.1639,20.49933,7.912393
119.6045,19.55789,4.2211,130.647,18.66518,8.18739
118.8611,19.595,4.186984,129.8461,18.70503,8.156294
118.8611,19.595,4.186984,129.8461,18.70503,8.156294
118.5679,20.25438,4.467882,129.5898,19.30188,8.563591
114.8101,16.64071,3.927166,125.0176,15.84407,7.268299
114.1489,16.5818,4.123734,124.3497,15.75276,7.45013
100.4738,3.323477,1.301858,110.4568,2.98335,2.726697
