L_Yaw,L_Pitch,L_Roll,R_Yaw,R_Pitch,R_Roll
91.5545,4.100325,358.8735,101.2388,4.334769,359.8731
91.5545,4.100325,358.8735,101.2388,4.334769,359.8731
91.82945,4.106634,358.8724,101.5754,4.345554,359.874
91.82944,4.106633,358.8724,101.5754,4.34554,359.874
91.8264,4.125978,358.8703,101.576,4.364948,359.8747
91.8264,4.125978,358.8703,101.576,4.364948,359.8747
91.63872,4.123285,358.8709,101.5752,4.359416,359.8745
91.63255,3.961706,358.8881,101.2264,4.195768,359.8679
91.63255,3.961706,358.8881,101.2264,4.195768,359.8679
91.74991,3.922642,358.892,101.2269,4.157999,359.8665
92.10538,3.927268,358.8909,101.8028,4.168489,359.8678
92.11982,4.16267,358.8659,101.8727,4.406804,359.8767
92.11982,4.16267,358.8659,101.8727,4.406805,359.8767
92.67883,4.172548,358.864,102.4133,4.425643,359.8784
92.67883,4.172548,358.864,102.4133,4.425643,359.8784
100.2195,3.017609,358.9776,110.7065,3.357668,359.8647
100.2195,3.017603,358.9776,110.7065,3.357668,359.8647
106.9368,3.064522,358.9711,118.1995,3.467312,359.9103
111.0495,5.638663,358.6998,122.3402,6.112563,0.0385884
111.5117,5.336116,358.2719,122.7931,5.899233,359.559
111.5117,5.336116,358.2719,122.7931,5.899233,359.559
111.5554,5.328342,358.2324,122.8363,5.899306,359.5187
111.5554,5.328342,358.2324,122.8363,5.899306,359.5187
111.4678,5.305215,358.1879,122.7468,5.883603,359.4693
111.4123,5.686738,358.1425,122.6921,6.269287,359.479
111.469,5.713531,358.1173,122.7498,6.301187,359.4604
111.5555,5.517692,358.1315,122.8365,6.105437,359.448
111.5555,5.517692,358.1315,122.8365,6.105437,359.448
111.3763,5.514713,358.1293,122.656,6.101153,359.4442
111.3088,5.532213,358.1317,122.589,6.117866,359.45
111.3088,5.532213,358.1317,122.589,6.117866,359.45
106.9055,9.954376,357.6583,118.1909,10.53783,359.5847
95.13074,11.45619,357.5396,105.6475,11.91252,359.6122
95.13183,11.44542,357.5254,105.6483,11.90467,359.5965
81.05355,11.35015,357.6697,90.95104,11.51825,359.678
69.563,7.145061,358.2802,79.67323,7.078601,359.6634
61.92691,3.876266,358.7432,72.54008,3.712633,359.6575
61.92691,3.876266,358.7432,72.54008,3.712633,359.6575
61.93026,3.878727,358.7429,72.5434,3.71525,359.6575
58.56421,2.774044,358.9126,69.73243,2.596535,359.6671
58.08469,2.252529,358.9754,68.98576,2.049593,359.6608
58.08469,2.252529,358.9754,68.98576,2.049593,359.6608
58.1096,2.769845,358.9203,68.97639,2.563489,359.68
58.02826,1.961384,359.0071,68.81857,1.75102,359.6529
58.02824,1.961384,359.0071,68.81857,1.75102,359.6529
52.72346,0.3474543,359.2636,64.02286,0.09037365,359.6851
52.72346,0.3474543,359.2636,64.02286,0.09037365,359.6851
48.92041,0.3328313,359.3294,60.24582,0.02078536,359.762
47.31535,2.543647,359.1241,58.63376,2.202889,359.879
47.31535,2.543647,359.1241,58.63377,2.202889,359.879
47.28974,4.73661,358.892,58.60062,4.39009,359.9605
47.28974,4.73661,358.892,58.60062,4.39009,359.9605
48.59257,5.925704,358.7426,59.89363,5.596405,359.9762
