L_Yaw,L_Pitch,L_Roll,R_Yaw,R_Pitch,R_Roll
84.30009,1.821031,356.2996,93.3243,2.367299,357.0355
84.30009,1.821031,356.2996,93.3243,2.367299,357.0355
83.94017,1.780247,356.2935,92.60093,2.300204,357
83.88487,1.777283,356.2949,92.83305,2.314605,357.0187
83.66145,1.325595,356.3337,92.625,1.858994,356.9936
83.66145,1.325595,356.3337,92.625,1.858994,356.9936
83.57223,1.332868,356.3351,92.62337,1.870514,357.0014
83.57223,1.332868,356.3351,92.62337,1.870514,357.0014
83.85104,1.311701,356.3596,92.72018,1.837426,357.0118
83.85104,1.311701,356.3596,92.72018,1.837426,357.0118
83.84818,1.315862,356.3847,92.71756,1.837657,357.0373
83.8336,1.310897,356.4276,92.7033,1.826158,357.079
83.8336,1.310897,356.4276,92.7033,1.826158,357.079
83.45447,1.19694,356.4204,92.5422,1.723594,357.0679
83.45447,1.19694,356.4204,92.5422,1.723594,357.0679
83.44744,1.192249,356.4121,92.53507,1.720238,357.059
83.85228,1.208794,356.476,92.68874,1.715753,357.1104
83.85228,1.208794,356.476,92.68874,1.715753,357.1104
83.85053,1.412362,356.4692,92.72824,1.921084,357.1352
83.9223,1.41645,356.473,92.87981,1.930304,357.1448
83.9223,1.41645,356.473,92.87981,1.930304,357.1448
83.9207,1.445738,356.4699,92.87809,1.959823,357.1458
83.9207,1.445738,356.4699,92.87809,1.959823,357.1458
83.92069,1.445755,356.4699,92.87809,1.959831,357.1458
83.81159,1.317545,356.4767,92.76243,1.829839,357.1337
83.91019,1.295108,356.4848,92.79475,1.803588,357.1346
83.91019,1.295108,356.4848,92.79475,1.803588,357.1346
83.91019,1.295108,356.4848,92.79475,1.803588,357.1346
83.91019,1.295108,356.4848,92.79475,1.803588,357.1346
83.91019,1.295108,356.4848,92.79475,1.803588,357.1346
84.37472,1.536354,356.4872,93.43761,2.058526,357.1838
84.33807,2.111952,356.4254,93.39776,2.638507,357.2043
83.6711,2.07024,356.3907,92.88658,2.603849,357.1718
83.73606,0.9137632,356.5139,92.95876,1.4399,357.1299
83.73606,0.9137632,356.5139,92.95876,1.4399,357.1299
83.7361,0.9137675,356.5139,92.95876,1.4399,357.1299
83.7361,0.9137675,356.5139,92.95876,1.4399,357.1299
84.8114,0.9769245,356.5707,93.60731,1.479864,357.1711
84.80435,1.133432,356.5541,93.6422,1.640277,357.1797
84.84236,1.703197,356.4976,93.73496,2.218259,357.2084
84.80038,1.066263,356.6327,93.74615,1.568379,357.2537
84.80038,1.066263,356.6327,93.74615,1.568379,357.2537
84.92567,1.098007,356.6344,93.72653,1.592734,357.2508
84.92464,1.07362,356.6274,93.72533,1.569691,357.2402
84.92464,1.07362,356.6274,93.72533,1.569691,357.2402
84.78922,1.062557,356.6151,93.6759,1.564224,357.2312
84.74781,1.354077,356.58,93.68558,1.861291,357.2408
84.71173,1.321795,356.5778,93.50224,1.820213,357.2246
84.71173,1.321795,356.5778,93.50224,1.820213,357.2246
84.72287,1.312064,356.5709,93.72466,1.824304,357.229
85.28599,2.066497,356.5271,94.26646,2.584825,357.293
85.32433,1.997996,356.5611,94.30458,2.511867,357.3158
85.32433,1.997996,356.5611,94.30458,2.511867,357.3158
85.41283,2.341404,356.559,94.3898,2.853171,357.3601
85.35369,2.341985,356.5835,94.24184,2.843315,357.3775
85.49891,2.222327,356.625,94.38647,2.718693,357.4
85.49891,2.222327,356.625,94.38647,2.718693,357.4
85.67164,2.123543,356.6786,94.55955,2.612868,357.4377
91.64687,354.6252,357.9583,100.6044,355.0119,357.6376
94.6241,349.9112,358.6474,103.6839,350.2154,357.6316
94.6241,349.9112,358.6474,103.6839,350.2154,357.6316
94.9383,349.7415,358.6949,104.0031,350.0404,357.6513
95.62241,351.3517,358.6383,104.0674,351.6284,357.8124
96.45014,350.7744,358.7888,104.9091,351.0356,357.8754
