L_Yaw,L_Pitch,L_Roll,R_Yaw,R_Pitch,R_Roll
93.85086,358.4629,1.080055,104.7609,358.2356,1.100933
93.85086,358.4629,1.080055,104.7609,358.2356,1.100933
94.04076,358.0031,1.119123,104.7756,357.7787,1.082807
94.05141,358.4573,1.071101,104.7784,358.2351,1.100093
94.05141,358.4573,1.071101,104.7784,358.2351,1.100093
94.05141,358.4573,1.071101,104.7784,358.2351,1.100093
94.00341,358.7992,1.037668,104.8349,358.577,1.110501
93.84992,358.4625,1.080141,104.761,358.2352,1.100911
93.84992,358.4625,1.080141,104.761,358.2352,1.100911
93.84512,358.2354,1.104113,104.7588,358.007,1.09231
94.05677,357.9999,1.118702,104.9711,357.7748,1.073471
94.46625,357.9925,1.099962,105.0012,357.778,1.07218
94.46625,357.9925,1.099962,105.0012,357.778,1.07218
94.46603,357.9922,1.100007,105.0014,357.7777,1.072154
94.46603,357.9922,1.100007,105.0014,357.7777,1.072154
94.04171,358.0038,1.119014,104.7732,357.7794,1.082943
94.04621,358.2301,1.095114,104.7755,358.0068,1.091515
94.04621,358.2301,1.095114,104.7755,358.0068,1.091515
94.04621,358.2301,1.095113,104.7755,358.0068,1.091515
94.04677,358.2312,1.094972,104.7753,358.0079,1.091564
94.0632,358.2307,1.094242,104.9758,358.0069,1.082105
94.0632,358.2307,1.094242,104.9758,358.0069,1.082105
94.04675,358.2303,1.095059,104.7755,358.007,1.091526
94.04668,358.2303,1.095061,104.7746,358.007,1.091569
94.04668,358.2303,1.095061,104.7746,358.007,1.091569
94.04133,358.0032,1.119089,104.7732,357.7788,1.082923
94.04133,358.0032,1.119088,104.7732,357.7788,1.082924
94.04161,358.0036,1.119037,104.7729,357.7792,1.08295
94.04161,358.0036,1.119037,104.7729,357.7792,1.08295
94.04171,358.0036,1.119032,104.7743,357.7792,1.082888
94.06335,358.6763,1.047654,104.787,358.4553,1.108099
94.06335,358.6763,1.047654,104.787,358.4553,1.108099
94.05552,358.6868,1.046932,104.7799,358.4656,1.108831
99.66191,356.0483,1.051831,110.0142,355.933,0.7649708
99.66191,356.0483,1.051831,110.0142,355.933,0.7649696
99.66191,356.0483,1.051831,110.0142,355.933,0.7649696
106.0022,354.5722,0.8895431,116.5698,354.5735,0.4012733
111.3329,353.2151,0.7597458,122.4681,353.3139,0.07322847
111.3329,353.2151,0.7597458,122.4681,353.3139,0.07322847
114.1381,352.5237,0.687725,125.1273,352.6666,359.9231
117.6714,352.3749,0.5195943,125.5534,352.5005,359.8966
122.4411,350.198,359.6179,133.9048,350.6316,358.4148
122.4411,350.198,359.6179,133.9048,350.6316,358.4148
123.268,349.9393,359.4912,134.7389,350.4028,358.2386
128.4594,349.3513,358.9087,136.337,349.7314,357.8953
128.4594,349.3513,358.9087,136.337,349.7314,357.8953
130.5964,349.2231,358.5536,138.6812,349.678,357.5083
128.3125,349.0553,358.7532,139.7981,349.6766,357.3066
129.4345,348.9122,358.4795,137.328,349.3488,357.3964
129.4345,348.9122,358.4795,137.328,349.3488,357.3964
127.4427,348.8448,358.6984,138.7796,349.4398,357.1683
127.9407,348.6664,358.6497,139.2835,349.2743,357.0849
126.9961,348.4666,358.7465,138.0878,349.0294,357.1656
126.9961,348.4666,358.7465,138.0878,349.0294,357.1656
127.3293,348.5878,358.4769,138.0325,349.1708,356.9427
126.9396,348.0691,358.3925,137.8569,348.674,356.7265
126.9396,348.0691,358.3925,137.8569,348.674,356.7265
126.2159,345.29,358.6546,137.4624,345.879,356.5091
126.1018,345.1084,358.6313,137.3606,345.7013,356.4471
126.4458,344.9369,358.5254,137.7115,345.553,356.309
126.4458,344.9369,358.5254,137.7115,345.553,356.309
126.3288,345.1865,358.4457,137.5806,345.8116,356.2592
126.3251,345.0851,358.2981,137.1931,345.7032,356.145
126.3251,345.0851,358.2981,137.1931,345.7032,356.145
126.8426,344.9232,357.9351,137.9105,345.622,355.7025
127.7265,344.5464,357.547,138.4049,345.2841,355.3198
127.3447,344.6934,357.4792,138.0104,345.4323,355.2621
127.3447,344.6934,357.4792,138.0104,345.4323,355.2621
128.127,344.4379,357.248,138.8009,345.2224,354.9868
128.212,344.435,357.1342,139.2899,345.2751,354.7862
128.212,344.435,357.1342,139.2899,345.2751,354.7862
127.7978,344.8962,357.0555,138.8509,345.7343,354.7675
127.7978,344.8962,357.0555,138.8509,345.7343,354.7675
127.1488,344.8773,357.1323,138.2068,345.6885,354.8245
127.1488,344.8773,357.1323,138.2068,345.6885,354.8245
128.2444,344.6116,356.8347,139.3096,345.4829,354.4808
128.2012,345.386,356.6654,139.028,346.2503,354.4673
128.2012,345.386,356.6654,139.028,346.2503,354.4673
128.1107,345.1351,356.5208,138.7449,345.9958,354.3168
127.7234,344.9259,356.4433,138.771,345.8362,354.1116
127.4365,344.7495,356.4001,138.0956,345.6165,354.1185
127.4365,344.7495,356.4001,138.0956,345.6165,354.1185
127.2535,345.3957,356.2985,138.6131,346.3469,353.95
127.2535,345.3957,356.2985,138.6131,346.3469,353.95
127.1037,345.2862,356.2622,138.0386,346.1891,353.9859
127.2244,345.3452,356.0522,138.439,346.3132,353.7225
127.2244,345.3452,356.0522,138.439,346.3132,353.7225
127.3928,345.3917,355.9533,138.4174,346.3521,353.6758
127.2709,345.4929,355.9728,138.2937,346.4429,353.7133
127.0783,345.6544,356.0068,137.898,346.5664,353.8203
127.0783,345.6544,356.0068,137.898,346.5664,353.8203
127.0732,345.8791,355.9793,137.678,346.7652,353.88
127.2524,346.1705,355.8883,137.843,347.0678,353.8459
126.9721,346.2573,355.9467,137.7692,347.1618,353.8847
126.9721,346.2573,355.9467,137.7692,347.1618,353.8847
126.8556,346.6179,355.9069,137.6381,347.5207,353.9146
126.8556,346.6179,355.9069,137.6381,347.5207,353.9146
126.9453,346.8062,355.8649,137.3055,347.6646,353.9976
126.6461,346.7371,355.8993,137.4285,347.6336,353.9567
126.6461,346.7371,355.8993,137.4285,347.6336,353.9567
126.8345,346.9323,355.8787,137.6113,347.8288,353.9921
126.7255,346.2294,355.9815,137.3326,347.0931,354.0291
126.7255,346.2294,355.9815,137.3326,347.0931,354.0291
126.5396,345.762,356.062,137.3749,346.6398,354.0014
126.843,347.0385,355.9268,137.6216,347.9183,354.1144
126.843,347.0385,355.9268,137.6216,347.9183,354.1144
127.0324,347.3377,355.9222,137.7993,348.2128,354.1764
128.0588,348.0122,355.7756,138.175,348.8436,354.2411
129.6507,353.6049,355.0917,140.57,354.6024,354.303
129.6507,353.6049,355.0917,140.57,354.6024,354.303
131.3711,0.6122438,354.2595,141.9435,1.658169,354.5418
131.4875,1.355915,354.3151,142.0657,2.378991,354.7331
131.9748,6.475341,353.794,142.1742,7.490056,355.0028
131.9748,6.475341,353.794,142.1742,7.490056,355.0028
132.027,7.202399,353.8595,142.2452,8.194089,355.1974
132.3341,6.768473,354.0633,142.4001,7.717044,355.3716
132.3341,6.768473,354.0633,142.4001,7.717044,355.3716
132.1271,7.400099,354.0858,142.3912,8.348257,355.4984
131.2027,8.369164,354.134,141.6933,9.297687,355.6956
131.1366,8.89024,354.1876,141.6439,9.800403,355.8448
131.1366,8.89024,354.1876,141.6439,9.800403,355.8448
131.0355,9.658805,354.1635,141.5602,10.56048,355.9541
130.7117,10.17813,354.1471,141.0594,11.05369,356.0339
130.4146,10.69644,354.1717,140.974,11.57186,356.1544
130.4146,10.69644,354.1717,140.974,11.57186,356.1544
129.6187,11.2773,354.2747,140.406,12.13161,356.3461
127.2142,18.75194,353.4023,137.8628,19.57887,356.61
127.2142,18.75194,353.4023,137.8628,19.57887,356.61
127.0732,19.38456,353.4362,137.7644,20.19464,356.768
126.9631,20.03649,353.4645,137.6999,20.83024,356.9253
127.2241,19.56409,353.6589,137.9517,20.33555,357.0715
127.2241,19.56409,353.6589,137.9517,20.33555,357.0715
127.1517,20.18995,353.6546,137.9233,20.95114,357.192
127.1374,20.53131,353.6688,137.9403,21.28386,357.2843
127.1374,20.53131,353.6688,137.9403,21.28386,357.2843
127.1296,19.06685,353.8885,138.0797,19.81639,357.3125
126.4271,19.42118,353.784,137.4099,20.17144,357.2911
126.3277,20.0223,353.74,137.353,20.76944,357.3702
126.3277,20.0223,353.74,137.353,20.76944,357.3702
126.4322,19.0271,353.93,137.4184,19.75673,357.4283
126.3291,19.66749,353.8523,137.3596,20.39934,357.4818
126.3291,19.66749,353.8523,137.3596,20.39934,357.4818
126.3068,19.61248,353.9087,137.3371,20.33385,357.5564
126.3018,19.50665,353.978,137.3368,20.21663,357.6342
126.367,18.97542,354.0961,137.3932,19.67322,357.6957
126.367,18.97542,354.0961,137.3932,19.67322,357.6957
126.3123,19.56206,354.0571,137.3791,20.25606,357.7768
126.4132,18.9497,354.2211,137.4632,19.62447,357.8666
