L_Yaw,L_Pitch,L_Roll,R_Yaw,R_Pitch,R_Roll
80.74947,343.9839,2.608841,91.51723,343.7166,0.5443907
80.74947,343.9839,2.608841,91.51723,343.7166,0.5443907
80.96535,343.7562,2.629773,91.94865,343.4897,0.5240738
80.96535,343.7562,2.629773,91.94862,343.4897,0.5240748
80.764,344.4372,2.555022,91.51434,344.1731,0.5622578
80.764,344.4372,2.555022,91.51434,344.1731,0.5622578
80.54672,344.4397,2.56073,91.28997,344.1734,0.5681967
80.54672,344.4397,2.56073,91.28997,344.1734,0.5681967
80.26984,343.5339,2.675443,90.85863,343.2596,0.5440057
80.26717,343.5367,2.675192,90.85578,343.2623,0.5441791
80.26717,343.5367,2.675192,90.85579,343.2623,0.5441799
80.26715,343.5367,2.675193,90.8558,343.2623,0.5441782
80.31951,344.4423,2.566676,91.06688,344.1737,0.5740992
80.31952,344.4423,2.566675,91.0669,344.1737,0.5741019
80.31952,344.4423,2.566675,91.0669,344.1737,0.5741019
78.93285,343.5567,2.709363,89.51846,343.2704,0.5797796
78.93288,343.5567,2.709353,89.51846,343.2704,0.5797805
78.67387,342.6538,2.824562,89.50716,342.3582,0.5445004
78.67315,342.6561,2.824302,89.50861,342.3605,0.5445578
78.67315,342.6561,2.824302,89.50861,342.3605,0.5445578
78.68704,342.6513,2.824505,89.71774,342.3541,0.5387845
78.68704,342.6513,2.824505,89.71774,342.3541,0.5387845
78.45155,342.4335,2.857203,89.49603,342.1326,0.5359613
78.45155,342.4335,2.857211,89.49603,342.1326,0.5359613
78.24799,342.4374,2.862257,89.47672,342.1328,0.5364857
78.24799,342.4374,2.86226,89.47674,342.1328,0.536483
78.24799,342.4374,2.86226,89.47674,342.1328,0.536483
79.12878,342.8717,2.785936,89.95338,342.5816,0.5414558
80.07832,343.7642,2.653379,91.0551,343.4882,0.5477234
80.07832,343.7642,2.653379,91.0551,343.4882,0.5477234
80.72026,343.7566,2.636547,91.29899,343.4877,0.5412496
80.7196,343.7573,2.636474,91.29936,343.4884,0.5412602
80.7196,343.7573,2.636487,91.29936,343.4884,0.5412594
80.72149,343.5314,2.66324,91.51463,343.2608,0.5266449
80.94734,343.5285,2.657294,91.73991,343.2602,0.5206364
80.94734,343.5285,2.657294,91.73991,343.2602,0.5206364
80.92329,343.3025,2.684864,91.52679,343.0323,0.5173745
80.92329,343.3025,2.684864,91.52679,343.0323,0.517379
81.14252,343.0749,2.705898,91.96232,342.8052,0.4968616
81.14252,343.0748,2.705898,91.96232,342.8052,0.4968616
80.93286,343.3024,2.684599,91.73976,343.0323,0.5117159
80.93286,343.3024,2.684598,91.73978,343.0323,0.511714
81.02721,343.4126,2.668856,91.64429,343.1443,0.5186355
81.02821,343.4142,2.668634,91.64774,343.1458,0.5186077
81.02821,343.4142,2.668634,91.64774,343.1458,0.518604
80.95422,343.755,2.63023,91.73721,343.4883,0.5296365
80.93524,342.8492,2.738707,91.95967,342.5763,0.4879191
80.93524,342.8492,2.738707,91.95967,342.5763,0.4879191
80.93524,342.8492,2.738707,91.95967,342.5763,0.4879191
80.93054,342.8547,2.738178,91.96194,342.5818,0.4880806
81.1487,342.8529,2.732288,92.17784,342.5822,0.4823347
81.16641,342.861,2.730824,92.38792,342.5911,0.477065
81.16641,342.861,2.730824,92.38793,342.5911,0.4770615
81.16641,342.861,2.730824,92.38793,342.5911,0.4770615
81.17132,342.8463,2.732449,92.38963,342.5764,0.4764316
80.88785,342.3963,2.794492,91.74306,342.1195,0.4757067
80.35076,341.0449,2.974154,90.87453,340.7547,0.4448743
80.35076,341.0449,2.974154,90.87455,340.7547,0.4448707
80.13993,341.047,2.979814,90.86673,340.7547,0.4450859
79.97501,341.4989,2.928986,91.06347,341.2074,0.4577978
79.97501,341.4989,2.928986,91.06347,341.2074,0.4577978
79.97501,341.4989,2.928979,91.06349,341.2074,0.457795
79.971,341.505,2.928344,91.06586,341.2135,0.4579724
79.92841,341.504,2.929646,90.42568,341.2141,0.4751084
79.92841,341.504,2.929654,90.42568,341.2141,0.4751103
79.92841,341.504,2.929654,90.42568,341.2141,0.4751103
80.43628,342.6269,2.77933,90.86947,342.3483,0.5080153
80.43628,342.6269,2.77933,90.86947,342.3483,0.5080153
80.48205,342.8534,2.750844,91.50399,342.5758,0.5000575
80.48208,342.8534,2.750841,91.50399,342.5758,0.5000575
80.4521,342.8537,2.751644,90.8683,342.5768,0.5170167
80.21413,342.6305,2.785061,90.64349,342.3503,0.5140935
80.21413,342.6305,2.785061,90.64349,342.3503,0.5140935
