L_Yaw,L_Pitch,L_Roll,R_Yaw,R_Pitch,R_Roll
83.29674,358.843,359.0285,92.77842,359.1045,359.229
83.29674,358.843,359.0285,92.77842,359.1045,359.229
83.31138,358.8242,359.0387,92.77789,359.0844,359.2367
83.26624,358.7917,359.0063,92.73136,359.0581,359.199
83.2385,358.7903,359.0454,92.70382,359.0502,359.2373
83.42174,358.7798,359.0302,92.70786,359.0418,359.2281
83.73876,358.6407,359.0209,93.3635,358.915,359.1874
83.74258,358.6325,359.0515,93.36754,358.9018,359.2162
83.75477,358.6344,359.0447,93.37963,358.9048,359.2098
82.94059,359.0193,359.0399,92.67683,359.279,359.2519
82.94059,359.0193,359.0399,92.67683,359.279,359.2519
82.93313,359.452,359.0221,92.66326,359.7116,359.2961
82.91957,359.452,359.0186,92.64972,359.7122,359.2928
82.91109,359.455,359.0035,92.64114,359.7177,359.2783
82.90558,359.4598,358.977,92.54718,359.7255,359.2564
82.90558,359.4598,358.977,92.54718,359.7255,359.2564
80.8688,358.5272,359.1713,90.4319,358.7372,359.3119
80.8688,358.5272,359.1713,90.4319,358.7372,359.3119
80.88459,358.5171,359.137,90.44764,358.7329,359.2763
80.95445,358.512,359.1499,90.48232,358.7249,359.2905
80.97434,358.2813,359.1843,90.81824,358.4958,359.2804
81.00231,357.6906,359.246,90.8569,357.8997,359.2575
81.00231,357.6906,359.246,90.8569,357.8997,359.2575
80.9965,358.3202,359.1817,90.84026,358.5347,359.2845
80.49914,357.9902,359.212,90.21524,358.1931,359.2716
80.47121,358.0354,359.2486,90.18724,358.2308,359.3153
80.47121,358.0354,359.2486,90.18724,358.2308,359.3153
80.44968,358.5359,359.2145,90.15749,358.7333,359.3535
80.32478,358.1017,359.2613,90.15584,358.2956,359.3336
80.29795,358.1194,359.2625,90.12892,358.3128,359.3379
80.7794,358.142,359.1911,90.54014,358.3521,359.2753
80.49426,358.1938,359.1537,90.15913,358.4035,359.2495
80.51738,358.4165,359.1877,90.17894,358.6181,359.316
80.51738,358.4165,359.1877,90.17894,358.6181,359.316
80.54066,358.4448,359.1954,90.20213,358.6449,359.3284
80.56816,358.6055,359.1749,90.2272,358.8076,359.3314
81.01756,358.6045,359.177,90.45425,358.8079,359.3419
81.01265,358.5649,359.2095,90.44957,358.7635,359.3674
81.01265,358.5649,359.2095,90.44957,358.7635,359.3674
83.93168,355.8837,359.3521,93.49063,356.1137,359.1312
94.20044,348.1336,359.7792,105.3994,348.4916,358.4261
101.9963,344.1402,359.9229,113.7565,344.601,358.0059
102.0125,344.0934,359.9177,113.7753,344.5561,357.9909
102.0125,344.0934,359.9177,113.7753,344.5561,357.9909
104.2706,344.1097,359.8461,116.042,344.6012,357.9402
104.9766,345.0933,359.7036,116.7015,345.6069,357.9582
105.3354,345.9311,359.6476,117.0229,346.4498,358.0331
105.3354,345.9311,359.6476,117.0229,346.4498,358.0331
105.254,345.9359,359.6315,116.9405,346.4569,358.0182
105.2678,345.938,359.6388,116.9543,346.4575,358.0258
105.3463,345.9294,359.6394,117.0337,346.4495,358.0252
105.3377,345.9649,359.581,117.0225,346.4961,357.9731
105.3377,345.9649,359.581,117.0225,346.4961,357.9731
105.4154,346.3234,359.5718,117.0849,346.8537,358.019
105.3974,346.3443,359.5813,117.0662,346.8723,358.0327
107.8694,354.1623,358.6538,119.2816,354.8183,358.2989
107.9008,359.6195,358.0927,119.2154,0.3395627,358.5251
107.9008,359.6195,358.0927,119.2154,0.3395627,358.5251
107.2477,4.390803,357.5552,118.5281,5.168571,358.6674
107.2991,4.421642,357.5104,118.5795,5.207549,358.6295
107.0573,7.71061,357.1862,118.3474,8.527987,358.777
106.7167,9.396555,357.0146,118.0198,10.22754,358.8483
106.7302,9.400865,357.0209,118.0336,10.23056,358.8554
106.4231,9.466469,357.0789,117.7261,10.2803,358.9215
106.4487,9.552934,357.0628,117.7546,10.36858,358.9225
106.4487,9.552934,357.0628,117.7546,10.36858,358.9225
106.6353,9.578161,357.0294,117.9441,10.40137,358.8985
106.652,9.713911,357.0679,117.9663,10.52702,358.9634
106.693,9.595789,357.078,118.0066,10.4081,358.9578
106.6757,9.439448,357.0716,117.9883,10.25338,358.9322
106.6757,9.439448,357.0716,117.9883,10.25338,358.9322
105.1686,7.116374,357.377,116.4473,7.875745,358.885
105.1866,7.064909,357.3923,116.4641,7.822288,358.89
95.61239,359.8916,358.3979,106.1858,0.4190533,358.7994
82.88781,358.5869,358.946,92.39771,358.8511,359.1156
82.86477,358.575,358.9521,92.37473,358.8384,359.1197
82.20096,357.3058,359.1183,92.04491,357.5493,359.0906
81.78551,357.7011,359.1192,91.79142,357.9404,359.1408
81.7645,357.6965,359.1475,91.7706,357.9309,359.1678
81.7645,357.6965,359.1475,91.7706,357.9309,359.1678
81.69472,357.7307,359.1707,91.47855,357.9545,359.2061
81.69472,357.7307,359.1707,91.47855,357.9545,359.2061
81.69472,357.7307,359.1707,91.47855,357.9545,359.2061
81.94614,357.1129,359.2271,91.67354,357.3336,359.1763
81.9477,357.1119,359.2271,91.67512,357.3324,359.1762
81.94067,357.7338,359.1621,91.65635,357.9607,359.2009
77.90026,359.9881,359.0626,88.23672,0.1707393,359.3903
65.94695,5.878033,358.8619,75.67989,5.804387,0.0255534
65.94695,5.878033,358.8619,75.67989,5.804387,0.0255534
53.47477,12.14463,358.6436,63.87743,11.78743,0.6974244
53.47477,12.14463,358.6436,63.87743,11.78743,0.6974244
48.20169,16.63205,358.3307,59.35807,16.22374,1.048869
48.14044,16.65623,358.3698,59.29764,16.24021,1.092021
46.31461,18.74158,358.1788,57.65045,18.30569,1.222953
46.27995,18.75174,358.1788,57.57232,18.3065,1.226085
46.27993,18.75174,358.1788,57.57232,18.3065,1.226081
45.77646,18.2232,358.2572,57.19039,17.79277,1.220078
45.77646,18.2232,358.2572,57.19039,17.79277,1.220078
45.75988,18.22037,358.2581,57.17384,17.78956,1.220594
45.67922,18.97447,358.1744,57.1071,18.53999,1.254194
45.67921,18.97446,358.1744,57.10711,18.53997,1.254198
45.75481,18.99195,358.1697,57.19278,18.56122,1.251673
45.75481,18.99195,358.1697,57.19278,18.56122,1.251673
46.134,18.09362,358.2595,57.53275,17.66938,1.201482
46.08998,17.75394,358.2998,57.48775,17.33032,1.189401
46.08999,17.75395,358.2997,57.48774,17.33032,1.189394
46.2532,17.5044,358.3224,57.29455,17.01926,1.184322
46.2532,17.5044,358.3224,57.29455,17.01926,1.184322
46.32982,17.49047,358.3213,57.29963,16.99397,1.183091
46.34922,17.45733,358.3244,57.36502,16.97021,1.179548
46.03151,16.48005,358.4459,57.39519,16.05514,1.141282
46.03151,16.48005,358.4459,57.39519,16.05514,1.141282
46.03151,16.48005,358.4459,57.39519,16.05514,1.141282
46.702,1.327082,0.04723292,57.74288,0.9143075,0.5432178
46.702,1.327082,0.04723292,57.74288,0.9143075,0.5432178
46.45639,347.5823,1.522123,57.93534,347.2029,0.003664931
46.43391,341.7135,2.192538,58.36344,341.33,359.7417
46.43393,341.7134,2.192541,58.36343,341.33,359.7417
46.95395,341.6498,2.182031,58.84602,341.2782,359.7207
46.87411,342.1357,2.127715,58.48069,341.7891,359.757
46.87411,342.1357,2.127715,58.48069,341.7891,359.757
47.04307,342.1388,2.121515,58.8999,341.7685,359.7399
47.03277,342.1409,2.121631,58.88944,341.7705,359.7404
46.8827,342.2977,2.108478,58.47619,341.951,359.7641
46.73477,342.4558,2.095108,58.35743,342.1028,359.7752
46.73476,342.4558,2.095105,58.35741,342.1028,359.7752
46.74347,342.7075,2.065471,58.35524,342.3536,359.786
46.74347,342.7075,2.065471,58.35524,342.3536,359.786
48.42332,343.9261,1.866933,59.75242,343.6096,359.7859
49.77592,343.8878,1.824593,60.93988,343.6017,359.7403
49.80058,343.8969,1.822693,60.96406,343.611,359.7398
50.02105,343.9013,1.814559,61.2738,343.6111,359.728
50.02105,343.9013,1.814559,61.2738,343.6111,359.728
50.19478,344.5497,1.734687,61.33544,344.2648,359.7534
50.2888,344.5848,1.727451,61.39492,344.3033,359.7528
50.2888,344.5848,1.727447,61.39491,344.3033,359.7528
50.75774,344.6485,1.704008,62.19992,344.3492,359.7243
50.75774,344.6485,1.704005,62.1999,344.3492,359.7243
50.99276,344.6389,1.696944,62.2005,344.3588,359.7246
50.99276,344.6389,1.696952,62.2005,344.3588,359.7246
50.75651,344.6377,1.70527,61.84763,344.3626,359.7382
50.58857,343.4904,1.841901,61.69478,343.2219,359.6953
50.57586,343.1298,1.883796,61.70026,342.8629,359.6797
50.57586,343.1298,1.883796,61.70026,342.8629,359.6797
