L_Yaw,L_Pitch,L_Roll,R_Yaw,R_Pitch,R_Roll
84.12965,4.330115,358.244,93.69763,4.540964,359.2358
84.12965,4.330115,358.244,93.69763,4.540964,359.2358
83.94069,4.273443,358.2585,93.52102,4.479425,359.2411
83.96595,4.151909,358.2841,93.54633,4.355139,359.2489
83.96595,4.151909,358.2841,93.54633,4.355139,359.2489
84.58977,3.794927,358.3211,93.95564,4.000683,359.2398
84.66541,4.010242,358.3004,93.95758,4.216369,359.2513
84.66541,4.010242,358.3004,93.95758,4.216369,359.2513
84.6338,3.997721,358.3073,93.9259,4.202887,359.256
84.43519,3.96058,358.2727,93.87569,4.173102,359.213
84.46033,3.975786,358.2871,93.90104,4.185763,359.2297
84.48653,3.665918,358.3208,93.93024,3.873969,359.2193
84.48653,3.665918,358.3208,93.93024,3.873969,359.2193
84.3343,3.678791,358.3149,93.88,3.887883,359.2134
84.3343,3.678791,358.3149,93.88,3.887883,359.2134
84.52375,3.789395,358.2927,93.9114,3.99876,359.2109
84.34476,3.78551,358.2987,93.75608,3.991569,359.2154
84.34476,3.78551,358.2987,93.75608,3.991569,359.2154
84.50047,3.41702,358.3391,93.72985,3.618399,359.2069
90.49152,1.616651,358.443,100.2381,1.924753,359.0663
90.49152,1.616651,358.443,100.2381,1.924753,359.0663
102.8997,356.5956,358.8064,112.873,357.0171,358.7702
102.8954,356.6136,358.8105,112.8685,357.0337,358.7773
111.1899,356.8013,358.7282,122.5242,357.3553,358.7808
114.5833,358.2143,358.5699,125.917,358.8157,358.8552
114.5833,358.2143,358.5699,125.917,358.8157,358.8552
114.8737,358.268,358.6317,126.2078,358.8562,358.9264
114.9883,358.3047,358.6168,126.3221,358.8951,358.919
115.4517,357.985,358.6438,126.7926,358.5764,358.904
115.4775,357.991,358.6313,126.8183,358.5848,358.8929
115.5448,357.7632,358.6456,126.8888,358.3563,358.8755
115.5492,357.7659,358.6454,126.8932,358.3587,358.8758
115.5492,357.7659,358.6454,126.8932,358.3587,358.8758
115.0362,358.1852,358.6007,126.3709,358.7786,358.8874
112.2604,7.02148,357.656,123.5453,7.691176,359.1895
112.2489,7.028417,357.6457,123.534,7.699897,359.181
112.2489,7.028417,357.6457,123.534,7.699897,359.181
108.478,14.00611,356.8681,119.8377,14.71295,359.3989
103.4281,13.97646,356.907,114.7507,14.61004,359.3951
103.3292,13.97907,356.8177,114.6513,14.62957,359.3079
103.3292,13.97907,356.8177,114.6513,14.62957,359.3079
96.92369,13.08351,356.9733,107.9526,13.63572,359.2879
96.94296,13.09896,356.9581,107.7452,13.66149,359.2773
96.94296,13.09896,356.9581,107.7452,13.66149,359.2773
96.96004,13.12104,356.9336,107.7631,13.68771,359.2574
96.88949,13.25904,356.9301,107.7622,13.82161,359.2743
96.86295,12.85824,356.9867,107.6503,13.41709,359.2717
82.45103,9.810607,357.5216,92.10555,10.03754,359.3075
82.38139,9.798332,357.541,92.03556,10.02223,359.3244
67.46565,0.09247397,358.8674,77.19575,0.0174049,359.2429
67.46565,0.09247397,358.8674,77.19575,0.0174049,359.2429
60.36113,356.9996,359.3538,70.70338,356.8506,359.2841
59.96053,357.0828,359.3697,70.30186,356.9294,359.3145
51.85445,356.4128,359.6249,63.21758,356.1686,359.4731
48.21017,356.3951,359.7003,59.59689,356.1001,359.5585
48.21017,356.3951,359.7003,59.59689,356.1001,359.5585
46.30101,359.6086,359.3878,57.647,359.2815,359.7157
46.04205,359.6863,359.3805,57.38786,359.3591,359.7238
45.94858,1.146679,359.2317,57.27919,0.8147429,359.787
46.76303,2.867077,359.038,58.07532,2.542434,359.8376
46.77499,2.879508,359.0441,58.08736,2.55343,359.8461
47.74345,5.94436,358.7463,59.04438,5.616033,359.9853
47.74345,5.94436,358.7463,59.04438,5.616033,359.9853
50.31957,11.14898,358.1508,61.64158,10.85081,0.1347685
53.24993,14.37631,357.7387,64.60786,14.1259,0.1919344
53.28291,14.40205,357.7253,64.64225,14.15366,0.1840478
53.34555,16.52594,357.4768,64.75801,16.27944,0.2590562
53.9366,16.64547,357.4428,65.34859,16.41176,0.2425964
53.9366,16.64547,357.4428,65.34859,16.41176,0.2425964
54.4071,16.32627,357.4472,65.80769,16.10661,0.1991282
72.0159,11.57997,357.7521,81.87164,11.56323,359.7898
72.0159,11.57997,357.7521,81.87164,11.56323,359.7898
83.94285,6.635417,358.1808,93.5077,6.844058,359.5215
83.95431,6.637746,358.1663,93.5192,6.848766,359.5075
87.66512,6.096189,358.1735,97.45456,6.378865,359.4478
87.66512,6.096189,358.1735,97.45456,6.378865,359.4478
87.81295,4.669796,358.2917,97.58947,4.9461,359.3615
87.70316,4.660429,358.2762,97.42027,4.935034,359.344
87.68232,5.101676,358.1984,97.33501,5.382563,359.3294
87.68232,5.101676,358.1984,97.33501,5.382563,359.3294
87.47556,5.093113,358.1652,97.09586,5.374934,359.2945
87.49981,5.087616,358.157,97.11996,5.370996,359.2855
87.49981,5.087616,358.157,97.11996,5.370996,359.2855
