L_Yaw,L_Pitch,L_Roll,R_Yaw,R_Pitch,R_Roll
81.79533,354.4474,355.0698,92.1504,355.3543,354.6488
81.79533,354.4474,355.0698,92.1504,355.3543,354.6488
81.79533,354.4474,355.0698,92.1504,355.3543,354.6488
81.80374,354.4596,355.0683,92.35767,355.3874,354.6441
81.52834,355.1118,355.0122,92.06945,356.0372,354.6807
81.52834,355.1118,355.0122,92.06943,356.0372,354.6807
81.52834,355.1118,355.0122,92.06943,356.0372,354.6807
81.29268,355.32,354.9994,91.83047,356.242,354.6966
81.29268,355.32,354.9994,91.83047,356.242,354.6966
81.27692,355.5432,354.9772,91.81078,356.4659,354.7066
81.27239,355.545,354.9772,91.80625,356.4676,354.7068
81.0556,355.5267,354.9868,91.59254,356.4456,354.7124
81.0556,355.5267,354.9868,91.59254,356.4456,354.7124
81.0556,355.5267,354.9868,91.59254,356.4456,354.7124
81.69336,355.5821,354.9587,91.82214,356.4699,354.7064
81.69336,355.5821,354.9587,91.82214,356.4699,354.7064
81.69337,355.5821,354.9587,91.82215,356.4699,354.7064
81.69337,355.5821,354.9587,91.82215,356.4699,354.7064
77.4848,356.1286,355.062,87.8263,356.9629,354.8618
75.74772,355.9867,355.1504,86.09412,356.7865,354.9221
75.74772,355.9867,355.1504,86.09412,356.7865,354.9221
75.69724,356.4277,355.1069,85.83762,357.206,354.949
75.69724,356.4277,355.1069,85.83762,357.206,354.949
75.31393,356.6045,355.0831,85.65809,357.4001,354.9326
75.31062,356.6095,355.0829,85.65479,357.4051,354.9333
75.09148,356.5914,355.0954,85.43633,357.3823,354.9423
75.09148,356.5914,355.0954,85.43633,357.3823,354.9423
75.09147,356.5914,355.0954,85.43635,357.3823,354.9423
74.89081,356.3479,355.1306,85.24025,357.1342,354.9417
74.89081,356.3479,355.1306,85.24025,357.1342,354.9417
74.89081,356.3479,355.1306,85.24025,357.1342,354.9417
74.89081,356.3479,355.1306,85.24025,357.1342,354.9417
79.1295,358.085,354.7542,89.43458,358.9629,354.8341
79.1295,358.085,354.7542,89.43458,358.9629,354.8341
79.34699,358.1061,354.7428,89.64967,358.9884,354.8269
79.34703,358.1061,354.7428,89.64967,358.9884,354.8269
79.13966,358.086,354.7537,89.64655,358.9861,354.8269
79.13966,358.086,354.7537,89.64655,358.9861,354.8269
79.14983,358.0869,354.7532,89.8511,359.0085,354.82
79.21362,357.4122,354.8218,89.91978,358.3319,354.7925
79.21362,357.4122,354.8218,89.91978,358.3319,354.7925
79.18994,357.6347,354.7993,89.8974,358.5554,354.8017
79.61395,357.4453,354.8015,89.72057,358.3084,354.7992
79.61665,357.4481,354.8011,89.72312,358.3113,354.7992
79.61665,357.4481,354.8011,89.72312,358.3113,354.7992
79.63509,357.2181,354.8245,89.7477,358.0812,354.7896
79.69418,356.7697,354.8688,90.21296,357.6754,354.7567
79.69418,356.7697,354.8688,90.21296,357.6754,354.7567
79.687,356.7679,354.8693,90.20776,357.6736,354.7568
78.93877,357.8401,354.7883,89.4491,358.7352,354.8253
73.00698,358.2082,355.029,83.54565,358.9791,355.0897
73.00698,358.2082,355.029,83.54565,358.9791,355.0897
65.42284,357.9305,355.4919,76.59451,358.5942,355.453
65.41688,357.9315,355.4922,76.58853,358.5951,355.4534
65.41688,357.9315,355.4922,76.58853,358.5951,355.4534
60.9131,358.9604,355.6755,72.12727,359.5184,355.7675
60.37127,359.7812,355.6229,71.57444,0.3257907,355.8309
60.37127,359.7812,355.6229,71.57444,0.3257907,355.8309
59.41985,2.184324,355.4208,70.59597,2.706076,355.9696
58.85485,2.705199,355.4014,70.02891,3.212576,356.0232
58.85485,2.705199,355.4014,70.02891,3.212576,356.0232
58.85485,2.705199,355.4014,70.02891,3.212576,356.0232
59.38655,2.63095,355.3723,70.55824,3.15228,355.9848
59.50326,2.650088,355.362,70.67406,3.174504,355.9774
59.50813,2.618356,355.3653,70.67923,3.142816,355.9762
59.50813,2.618356,355.3653,70.67923,3.142816,355.9762
59.50561,2.618706,355.3654,70.67671,3.14317,355.9763
60.39188,2.380789,355.3309,71.56034,2.928198,355.9101
60.39188,2.380787,355.3309,71.56035,2.928201,355.9101
60.39188,2.380787,355.3309,71.56035,2.928201,355.9101
60.39187,2.38079,355.3309,71.56035,2.928206,355.9101
61.14567,2.273865,355.2914,72.31115,2.840746,355.8573
61.14567,2.273865,355.2914,72.31115,2.840746,355.8573
59.69761,2.21854,355.3975,70.87175,2.747622,355.9518
60.77866,3.008213,355.2326,71.93894,3.566576,355.9023
60.77866,3.008213,355.2326,71.93896,3.566576,355.9023
60.77866,3.008213,355.2326,71.93896,3.566576,355.9023
60.77865,3.008217,355.2326,71.93893,3.566581,355.9023
61.43227,2.884045,355.2023,72.59019,3.459257,355.8561
61.43227,2.884045,355.2023,72.59019,3.459257,355.8561
61.43227,2.884038,355.2023,72.59021,3.459254,355.8561
60.89037,2.84134,355.244,72.05156,3.40238,355.8903
60.90741,2.619977,355.2682,72.07067,3.18115,355.8829
60.90741,2.619977,355.2682,72.07067,3.18115,355.8829
61.21597,2.646434,355.2442,72.37726,3.215655,355.8635
61.21597,2.646439,355.2442,72.37726,3.215666,355.8635
61.21597,2.646439,355.2442,72.37726,3.215666,355.8635
61.51236,3.951417,355.0736,72.66125,4.530574,355.8799
61.48344,3.967135,355.0737,72.63245,4.545522,355.8822
59.73731,359.0043,355.7519,70.95739,359.5325,355.8471
59.73731,359.0043,355.7519,70.95739,359.5325,355.8471
59.65153,352.5537,356.4357,71.03603,353.0835,355.5974
58.34126,349.428,356.8434,69.84934,349.9317,355.5381
58.34126,349.428,356.8434,69.84934,349.9317,355.5381
58.0819,347.9348,357.0101,69.65556,348.4359,355.4787
58.0819,347.9348,357.0101,69.65556,348.4359,355.4787
58.0819,347.9348,357.0101,69.65556,348.4359,355.4787
58.08312,347.9182,357.0117,69.65752,348.4193,355.4777
57.98847,347.421,357.0675,69.58607,347.9212,355.4576
58.2785,344.7542,357.3062,70.00673,345.269,355.2847
58.64112,343.618,357.3892,70.42939,344.1448,355.1894
58.64112,343.618,357.3892,70.42939,344.1448,355.1894
58.64903,342.932,357.4545,70.47683,343.4612,355.1455
58.64903,342.932,357.4545,70.4768,343.4612,355.1455
58.64903,342.932,357.4545,70.4768,343.4612,355.1455
58.0736,342.1823,357.5692,69.95022,342.701,355.1382
57.96768,342.1786,357.5775,69.84527,342.695,355.1456
57.96768,342.1786,357.5775,69.84527,342.695,355.1456
57.97271,341.9749,357.5967,69.86272,342.4921,355.1318
57.97271,341.9749,357.5967,69.86272,342.4921,355.1318
58.24517,341.7245,357.6003,70.14883,342.2488,355.0955
58.54344,341.5374,357.5959,70.45669,342.0692,355.0616
58.54344,341.5374,357.5959,70.45669,342.0692,355.0616
58.53973,341.627,357.5876,70.44743,342.1585,355.0678
58.53973,341.627,357.5876,70.44743,342.1585,355.0678
57.85902,341.4859,357.6521,69.78037,342.0023,355.1075
57.85902,341.4859,357.6521,69.78037,342.0023,355.1075
56.83566,341.6327,357.481,68.7464,342.1773,354.9673
56.83566,341.6327,357.481,68.7464,342.1773,354.9673
56.72897,341.6997,357.5064,68.63625,342.2373,355.0066
56.72897,341.6997,357.5064,68.63625,342.2373,355.0066
56.66208,342.1011,357.452,68.54464,342.6398,355.017
