L_Yaw,L_Pitch,L_Roll,R_Yaw,R_Pitch,R_Roll
84.62071,359.594,355.9645,93.62813,0.2189054,356.29
84.62071,359.594,355.9645,93.62813,0.2189054,356.29
84.62071,359.594,355.9645,93.62813,0.2189054,356.29
84.70702,358.766,356.0636,93.55103,359.3711,356.2791
84.71019,358.7592,356.0725,93.55433,359.3631,356.2869
84.71019,358.7592,356.0725,93.55433,359.3631,356.2869
84.17628,358.725,356.1047,93.18797,359.3289,356.304
84.20943,359.3056,356.0663,93.06999,359.8996,356.3551
84.19945,359.2873,356.0535,93.05985,359.8834,356.3397
84.19945,359.2873,356.0535,93.05985,359.8834,356.3397
84.19738,359.2663,356.0493,93.05777,359.8633,356.3323
84.1923,359.2332,356.1079,93.05331,359.8215,356.385
83.94548,358.9782,356.1394,93.21194,359.5917,356.3583
83.94548,358.9782,356.1394,93.21194,359.5917,356.3583
83.97016,358.7311,356.1491,93.23984,359.3459,356.3329
83.99428,358.6683,356.1697,93.26772,359.2807,356.3443
83.99428,358.6683,356.1697,93.26772,359.2807,356.3443
83.83273,358.6163,356.2074,92.83862,359.1985,356.3894
83.83273,358.6163,356.2074,92.83862,359.1985,356.3894
83.74151,356.8114,356.3655,92.84724,357.3918,356.2867
83.74151,356.8114,356.3655,92.84724,357.3918,356.2867
83.75929,356.4158,356.364,92.62178,356.9808,356.2429
83.65575,356.5467,356.3059,92.45607,357.1131,356.2081
83.65575,356.5467,356.3059,92.45607,357.1131,356.2081
83.60833,356.8141,356.2716,92.40835,357.3829,356.2125
83.465,356.833,356.286,92.35488,357.4049,356.2257
83.465,356.833,356.286,92.35488,357.4049,356.2257
83.42136,356.9747,356.2509,92.33583,357.5526,356.2102
83.4144,356.0909,356.3219,92.37654,356.6699,356.153
83.4144,356.0909,356.3219,92.37654,356.6699,356.153
83.60089,357.0371,356.1996,92.84472,357.6514,356.1565
83.61613,357.0467,356.1921,92.85982,357.662,356.1506
83.67549,357.1626,356.1538,92.86222,357.7789,356.1327
83.67549,357.1626,356.1538,92.86222,357.7789,356.1327
83.66706,357.3975,356.115,92.85006,358.0171,356.1291
83.41921,357.3177,356.1323,92.51544,357.9248,356.1389
83.41921,357.3177,356.1323,92.51544,357.9248,356.1389
83.45409,357.0922,356.0879,92.55463,357.709,356.0642
84.21167,357.2246,356.0268,93.09801,357.842,356.0331
84.29784,357.9288,355.9554,93.2673,358.5587,356.0607
84.29784,357.9288,355.9554,93.2673,358.5587,356.0607
84.30576,357.9548,355.9501,93.27508,358.5852,356.0595
84.28675,358.124,355.903,93.25211,358.7598,356.037
84.47245,357.9392,355.9171,93.24683,358.5617,356.0309
84.47245,357.9392,355.9171,93.24683,358.5617,356.0309
84.4763,357.704,355.9578,93.87228,358.3737,356.0176
84.73217,357.3584,355.9688,93.88794,358.0134,355.987
84.73217,357.3584,355.9688,93.88794,358.0134,355.987
84.72333,357.3428,355.9868,93.87936,357.9951,356.0023
84.72332,357.3428,355.9868,93.87939,357.9951,356.0022
84.72332,357.3428,355.9868,93.87939,357.9951,356.0022
84.69138,357.8297,355.9369,93.39759,358.4482,356.0365
84.60844,357.8787,355.9349,93.56637,358.5167,356.0331
84.26472,357.8031,355.9561,93.11774,358.4251,356.0457
84.26472,357.8031,355.9561,93.11774,358.4251,356.0457
84.69067,357.6257,355.928,93.6505,358.2678,355.9877
84.69978,357.605,355.919,93.65961,358.2487,355.9756
92.73598,356.1945,355.7699,101.5044,356.9526,355.6623
105.4175,344.3542,356.6071,116.0371,345.2308,354.7957
105.4175,344.3542,356.6071,116.0371,345.2308,354.7957
110.5232,342.9527,356.6701,122.267,344.0438,354.7012
110.5232,342.9527,356.6701,122.267,344.0438,354.7012
110.543,342.6049,356.701,122.3052,343.6936,354.6771
110.543,342.6049,356.701,122.3052,343.6936,354.6771
110.1847,342.1345,356.8033,121.9742,343.2078,354.6877
110.1716,342.3389,356.7919,121.9501,343.4121,354.7087
110.2815,342.3497,356.8055,122.0598,343.4207,354.7243
110.2815,342.3497,356.8055,122.0598,343.4207,354.7243
110.5457,342.7581,356.804,122.1495,343.7949,354.7855
110.5916,342.7225,356.8181,122.1979,343.7571,354.7918
110.5916,342.7225,356.8181,122.1979,343.7571,354.7918
110.901,342.6311,356.8686,122.67,343.6923,354.8245
