L_Yaw,L_Pitch,L_Roll,R_Yaw,R_Pitch,R_Roll
79.98624,2.877816,0.06534691,90.89729,2.765134,0.8522984
79.98624,2.877816,0.06534691,90.89729,2.765134,0.8522984
79.98624,2.877816,0.06534691,90.89727,2.765132,0.8522981
79.98624,2.877816,0.06534691,90.89727,2.765132,0.8522981
79.97092,2.877985,0.06533943,90.69417,2.764657,0.8522812
79.96155,3.103812,0.04170581,90.49163,2.990796,0.860915
79.96311,3.110182,0.04103763,90.49315,2.997292,0.8611631
79.96311,3.110182,0.04103763,90.49315,2.997292,0.8611631
79.97086,2.877985,0.06534083,90.69337,2.764649,0.8522806
79.97087,2.877985,0.06533805,90.69339,2.764649,0.8522809
79.97087,2.877985,0.06533805,90.69339,2.764649,0.8522809
79.97053,2.877989,0.06533784,90.69747,2.764653,0.8522804
79.96977,3.329131,0.0181152,90.69753,3.217736,0.8695841
79.96977,3.329131,0.0181152,90.69753,3.217736,0.8695841
79.97199,3.331373,0.01787931,90.69901,3.220048,0.8696721
79.97199,3.331373,0.01787931,90.69901,3.220048,0.8696721
79.97199,3.331373,0.01787931,90.69901,3.220048,0.8696721
79.96902,2.878378,0.06530024,90.69519,2.765159,0.8522989
79.97074,2.877217,0.06542071,90.69691,2.763889,0.8522508
80.18623,2.421125,0.1130197,90.91008,2.308637,0.8348785
83.87878,0.7913961,0.2798234,94.39503,0.7188384,0.7742817
83.87878,0.7913961,0.2798234,94.39503,0.7188384,0.7742817
91.50558,358.6298,0.4902945,102.2106,358.6349,0.6949025
98.97504,355.2718,0.8185741,110.0741,355.3278,0.5685575
98.97504,355.2718,0.8185726,110.0741,355.3278,0.5685578
98.97504,355.2718,0.8185726,110.0741,355.3278,0.5685578
104.8683,353.4307,0.9866999,116.2671,353.5316,0.4994895
108.688,347.6079,358.8087,120.2615,348.2668,357.2236
108.688,347.6079,358.8087,120.2615,348.2668,357.2236
108.8081,347.5916,358.7986,120.3828,348.2536,357.2122
108.6955,347.6071,358.808,120.2692,348.2662,357.2229
108.6955,347.6071,358.808,120.2692,348.2662,357.2229
108.6989,347.6463,358.8036,120.2708,348.3058,357.2245
110.117,347.6795,358.6621,121.6919,348.378,357.1023
110.117,347.6795,358.6621,121.6919,348.378,357.1023
110.4512,347.6894,358.6288,122.0267,348.397,357.0739
110.4994,346.9077,358.7044,122.1118,347.6091,357.0301
110.4994,346.9077,358.7044,122.1118,347.6091,357.0301
110.4994,346.9077,358.7044,122.1117,347.6091,357.0302
110.4994,346.9077,358.7044,122.1117,347.6091,357.0301
110.4994,346.9077,358.7044,122.1117,347.6091,357.0301
110.4994,346.9077,358.7044,122.1118,347.6091,357.0301
110.4994,346.9077,358.7044,122.1117,347.6091,357.0301
110.4902,347.1107,358.6844,122.0928,347.814,357.0413
110.4902,347.1107,358.6844,122.0928,347.814,357.0413
110.4994,346.9077,358.7044,122.1118,347.6091,357.0301
112.0557,345.9443,358.2104,123.7033,346.7624,356.3487
112.0551,346.1606,358.1761,123.6914,346.9828,356.349
112.0551,346.1606,358.1761,123.6914,346.9828,356.349
112.0438,346.3591,358.1572,123.67,347.1828,356.3608
112.0211,346.756,358.1194,123.6274,347.5826,356.384
112.0211,346.756,358.1194,123.6274,347.5826,356.384
112.0176,346.7557,358.1198,123.624,347.5823,356.3844
111.8013,351.7238,357.634,123.195,352.5921,356.646
111.8013,351.7238,357.634,123.195,352.5921,356.6461
111.8013,351.7238,357.634,123.195,352.5921,356.6461
110.9618,2.115532,356.6057,122.1028,3.070867,357.1135
110.152,11.0037,355.6331,121.2716,12.04354,357.4135
110.152,11.0037,355.6331,121.2716,12.04354,357.4135
110.0572,11.93826,355.524,121.185,12.98744,357.4407
110.148,12.57844,355.4118,121.3035,13.63676,357.4572
110.2621,12.04827,355.4843,121.4146,13.09871,357.457
110.2621,12.04827,355.4843,121.4146,13.09871,357.457
110.2956,12.10949,355.4815,121.4507,13.1593,357.4663
110.3722,11.87801,355.5037,121.5273,12.92585,357.4591
110.4809,11.94565,355.5218,121.6425,12.98812,357.4958
110.4809,11.94565,355.5218,121.6425,12.98812,357.4958
110.5449,12.0642,355.5352,121.712,13.10186,357.5327
110.5449,12.0642,355.5352,121.712,13.10186,357.5327
110.5613,12.35755,355.4521,121.7407,13.40541,357.5092
110.6202,12.35638,355.4771,121.8031,13.39877,357.5393
110.6149,12.36963,355.466,121.7984,13.41391,357.531
110.6822,11.66213,355.53,121.8571,12.70279,357.4924
110.6822,11.66213,355.53,121.8571,12.70279,357.4924
110.6773,11.65811,355.5309,121.8522,12.69856,357.4927
110.757,10.8391,355.6273,121.9235,11.87093,357.4696
110.757,10.8391,355.6273,121.9235,11.87093,357.4696
110.8005,11.0154,355.6336,121.9745,12.04275,357.5111
110.8836,10.9158,355.6679,122.0601,11.93706,357.5363
110.8836,10.9158,355.6679,122.0601,11.93706,357.5363
110.9451,10.74905,355.7094,122.1215,11.76407,357.5554
110.9792,10.77125,355.7404,122.1569,11.77998,357.5903
111.014,10.76843,355.821,122.1926,11.76185,357.669
111.014,10.76843,355.821,122.1926,11.76185,357.669
110.9224,10.64874,355.8516,122.099,11.63695,357.6805
101.4108,358.0616,358.1843,112.0233,358.6161,358.1604
101.4108,358.0616,358.1843,112.0233,358.6161,358.1604
101.3253,357.9466,358.1878,111.9384,358.5023,358.1427
90.12095,350.3849,0.3074122,101.0139,350.5,359.0647
81.08564,345.4872,1.839145,92.33921,345.308,359.7767
81.08564,345.4872,1.839145,92.33921,345.308,359.7767
74.0068,345.4218,2.715739,84.92436,345.0218,0.6604794
71.37418,345.4805,3.042111,82.78223,344.9821,0.9349111
71.37418,345.4805,3.042111,82.78223,344.9821,0.9349111
71.35321,346.007,3.072269,82.75842,345.4912,1.036632
71.30182,345.8592,3.103953,82.71449,345.3402,1.037568
71.30182,345.8592,3.103953,82.71449,345.3402,1.037568
71.47495,345.34,3.16279,82.76053,344.8267,1.030084
71.44753,345.2576,3.244606,82.73721,344.7304,1.093789
71.61403,345.2124,3.234264,82.73675,344.6952,1.095569
78.7863,350.5023,1.769035,89.69414,350.2273,0.4410667
78.7863,350.5023,1.769035,89.69414,350.2273,0.4410667
79.2572,351.8552,1.563184,90.30571,351.602,0.4145749
