L_Yaw,L_Pitch,L_Roll,R_Yaw,R_Pitch,R_Roll
82.11575,357.332,354.8654,91.74123,358.2399,354.7507
82.11575,357.332,354.8654,91.74123,358.2399,354.7507
82.11575,357.332,354.8654,91.74123,358.2399,354.7507
82.14385,357.1031,354.8875,91.97375,358.0308,354.717
82.14385,357.1031,354.8875,91.97375,358.0308,354.717
82.16049,356.8791,354.9104,91.99685,357.8058,354.7076
82.14406,356.878,354.9125,91.78125,357.7834,354.7325
82.14406,356.878,354.9125,91.78125,357.7834,354.7325
81.96963,356.6393,354.9606,91.80071,357.5561,354.7234
82.16256,356.6566,354.9348,91.81246,357.5618,354.7221
82.16256,356.6566,354.9348,91.81246,357.5618,354.7221
82.16259,356.6566,354.9348,91.81246,357.5618,354.7221
81.95895,356.6304,354.9629,91.80308,357.5486,354.7228
81.96658,356.6543,354.9593,91.80869,357.5723,354.7229
81.96658,356.6543,354.9593,91.80869,357.5723,354.7229
81.89671,357.3159,354.8943,91.73553,358.2376,354.7513
81.89671,357.3159,354.8943,91.73553,358.2376,354.7513
81.69196,357.3038,354.921,91.72839,358.2383,354.7522
81.69196,357.3038,354.921,91.72839,358.2383,354.7522
81.88063,357.5416,354.871,91.70978,358.4639,354.7609
81.88371,357.5416,354.8706,91.71149,358.4639,354.7607
81.88371,357.5416,354.8706,91.71149,358.4639,354.7607
81.88393,357.5423,354.8705,91.71144,358.4646,354.7607
81.18661,358.1783,354.8856,91.41591,359.1222,354.8143
81.18661,358.1783,354.8856,91.41591,359.1222,354.8143
81.16136,358.1768,354.8889,90.98905,359.0784,354.8642
72.95667,354.2327,356.3955,82.71247,354.789,355.781
72.95667,354.2327,356.3955,82.71245,354.789,355.781
71.05363,353.2053,356.7661,81.05,353.7096,355.9668
71.05363,353.2053,356.7661,81.05,353.7096,355.9668
70.39453,353.1698,356.8611,80.79668,353.6876,356.0004
70.18867,352.9315,356.915,80.19798,353.4035,356.0719
70.18867,352.9315,356.915,80.19798,353.4035,356.0719
70.18916,352.9333,356.9148,80.19723,353.4052,356.0721
70.18785,352.9367,356.9146,80.19581,353.4087,356.0724
70.18785,352.9367,356.9146,80.19581,353.4087,356.0724
70.19224,352.9322,356.9145,80.40225,353.4232,356.0446
70.19223,352.9321,356.9145,80.40225,353.4232,356.0446
69.96469,353.1576,356.9222,80.37491,353.6597,356.0569
69.96469,353.1576,356.9222,80.37491,353.6597,356.0569
69.1114,352.887,357.0702,79.53407,353.3564,356.1614
66.04675,352.0391,357.5941,76.30434,352.374,356.577
57.68818,348.714,359.166,68.71868,348.783,357.5437
57.68818,348.714,359.166,68.71868,348.783,357.5437
57.68818,348.714,359.166,68.71868,348.783,357.5437
53.50631,345.5912,0.1228708,65.10574,345.5233,357.9543
53.50631,345.5912,0.1228708,65.10574,345.5233,357.9543
53.38285,344.5677,0.2499796,64.76702,344.4952,357.9616
53.37803,344.3632,0.2724185,64.77293,344.2916,357.9518
53.23242,344.3733,0.293486,64.76176,344.2971,357.9537
53.23242,344.3733,0.293486,64.76176,344.2971,357.9537
53.26546,344.9818,0.2239089,64.86637,344.9058,357.9643
53.38658,344.9687,0.2069029,64.77271,344.8946,357.9782
53.38658,344.9687,0.2069029,64.77271,344.8946,357.9782
53.3866,344.9687,0.2069011,64.77271,344.8946,357.9782
53.38979,344.9684,0.2064608,64.76517,344.8942,357.9793
53.38979,344.9684,0.2064608,64.76517,344.8942,357.9793
53.38626,344.7729,0.2277062,64.76227,344.6995,357.9713
53.38589,344.959,0.2080489,64.7675,344.8848,357.9786
53.49365,344.5865,0.2311555,65.10549,344.5207,357.9108
53.49365,344.5865,0.2311555,65.10549,344.5207,357.9108
53.49364,344.5866,0.231155,65.10548,344.5207,357.9108
53.48151,344.5632,0.2354675,65.09844,344.497,357.9108
53.48151,344.5632,0.2354675,65.09844,344.497,357.9108
53.48152,344.5632,0.235467,65.09846,344.497,357.9108
53.38758,344.5695,0.249075,64.78371,344.4973,357.9591
53.38049,344.7643,0.2294861,64.78838,344.6911,357.9669
53.38049,344.7643,0.2294861,64.78838,344.6911,357.9669
53.38542,345.3869,0.1628063,64.75249,345.3108,357.9993
53.38543,345.3869,0.162805,64.7525,345.3108,357.9993
52.63352,352.9414,359.4819,63.99513,352.8268,358.4148
52.63352,352.9414,359.4819,63.99513,352.8268,358.4148
51.75951,6.208047,358.1872,62.83159,6.046296,359.0341
51.75592,6.205179,358.1881,62.82805,6.043225,359.0345
51.75592,6.205179,358.1881,62.82805,6.043225,359.0345
51.64402,6.191372,358.2072,62.71702,6.024488,359.0515
51.64402,6.191366,358.2072,62.717,6.024489,359.0515
51.64402,6.191366,358.2072,62.717,6.024489,359.0515
51.46124,6.247248,358.1841,62.5333,6.08682,359.038
51.4767,6.212581,358.1459,62.54782,6.060114,358.9933
51.52034,6.232193,358.0788,62.59218,6.092175,358.9312
51.50145,6.443231,358.058,62.57199,6.302441,358.9407
51.50145,6.443231,358.058,62.57199,6.302441,358.9407
51.48012,6.221346,358.0863,62.55231,6.079546,358.9372
51.52761,6.427817,358.0556,62.59808,6.288189,358.9361
51.52761,6.427817,358.0556,62.59808,6.288189,358.9361
51.49606,6.437954,358.0594,62.56667,6.296928,358.9414
51.10396,10.76833,357.6223,62.17001,10.61277,359.1294
51.10396,10.76833,357.6223,62.17,10.61276,359.1294
51.10396,10.76833,357.6223,62.17,10.61276,359.1294
51.09835,11.23001,357.5685,62.16622,11.07472,359.1429
51.28922,11.24434,357.5361,62.3558,11.09782,359.1128
51.28922,11.24434,357.5361,62.3558,11.09782,359.1128
51.28921,11.24434,357.5361,62.35579,11.09782,359.1128
51.08268,11.23984,357.5699,62.1507,11.08386,359.1457
51.08059,11.36607,357.5552,62.14918,11.21015,359.1495
51.08059,11.36607,357.5552,62.14918,11.21015,359.1495
51.32033,11.21261,357.5349,62.38657,11.06748,359.1069
51.32033,11.21261,357.5349,62.38655,11.06749,359.1069
51.32033,11.21261,357.5349,62.38655,11.06749,359.1069
51.32089,11.19508,357.5369,62.38704,11.04996,359.1064
50.98138,11.16872,357.5946,62.04979,11.00801,359.16
50.98138,11.16872,357.5946,62.04979,11.00801,359.16
50.91433,11.96662,357.5104,61.98736,11.80385,359.1925
51.01885,11.98633,357.4912,62.09126,11.82837,359.1762
51.01885,11.98633,357.4912,62.09127,11.82839,359.1762
51.01995,11.95008,357.4954,62.09214,11.79214,359.175
51.01995,11.95008,357.4954,62.09214,11.79214,359.175
50.66893,11.95257,357.5518,61.74365,11.77845,359.2316
50.66589,11.94954,357.5526,61.7406,11.77528,359.232
50.66589,11.94954,357.5526,61.7406,11.77528,359.232
50.87528,11.95693,357.5179,61.94855,11.79232,359.1985
64.12898,9.964913,355.6852,74.61144,10.31534,357.1794
64.12898,9.964913,355.6852,74.61144,10.31534,357.1794
64.12898,9.964913,355.6852,74.61144,10.31534,357.1794
81.34416,1.058823,354.4228,91.49759,2.053408,354.7727
81.34416,1.058823,354.4228,91.49759,2.053408,354.7727
106.9516,349.9811,353.0546,118.2991,351.7449,352.0093
106.969,350.016,353.05,118.3151,351.7797,352.0102
106.969,350.016,353.05,118.3151,351.7797,352.0102
107.4518,346.8713,353.3001,118.9268,348.6201,351.7966
107.4518,346.8713,353.3001,118.9268,348.6201,351.7966
107.4518,346.8713,353.3001,118.9268,348.6201,351.7966
107.4233,347.0681,353.2849,118.8895,348.8178,351.8107
107.4233,347.0681,353.2849,118.8895,348.8178,351.8107
107.495,346.5753,353.3229,118.9834,348.3228,351.775
107.495,346.5753,353.3229,118.9834,348.3228,351.775
107.495,346.5753,353.3229,118.9834,348.3228,351.775
107.495,346.5753,353.3229,118.9834,348.3228,351.775
107.495,346.5753,353.3229,118.9834,348.3228,351.775
107.4538,346.7774,353.3082,118.9331,348.5255,351.7904
107.4538,346.7774,353.3082,118.9331,348.5255,351.7904
107.4516,346.8736,353.3,118.9265,348.6223,351.7967
107.4516,346.8736,353.3,118.9265,348.6223,351.7967
107.4518,346.8713,353.3001,118.9268,348.6201,351.7966
107.4518,346.8713,353.3001,118.9268,348.6201,351.7966
107.4518,346.8713,353.3001,118.9268,348.6201,351.7966
107.4518,346.8713,353.3001,118.9268,348.6201,351.7966
107.3588,347.4647,353.2545,118.8077,349.216,351.8393
107.3588,347.4647,353.2545,118.8077,349.216,351.8393
107.3133,347.8552,353.223,118.7454,349.6086,351.8659
107.3133,347.8552,353.223,118.7454,349.6086,351.8659
107.3661,347.4618,353.2542,118.8151,349.2132,351.8387
107.3661,347.4618,353.2542,118.8151,349.2132,351.8387
107.3661,347.4618,353.2542,118.8151,349.2132,351.8387
107.4518,346.8713,353.3001,118.9268,348.6201,351.7966
107.3947,347.265,353.2696,118.8523,349.0155,351.8248
107.3947,347.265,353.2696,118.8523,349.0155,351.8248
107.4518,346.8713,353.3001,118.9268,348.6201,351.7966
107.3993,347.2661,353.2692,118.8568,349.0168,351.8246
107.4518,346.8713,353.3001,118.9268,348.6201,351.7966
107.4518,346.8713,353.3001,118.9268,348.6201,351.7966
108.6186,345.5019,355.0541,120.2102,346.9378,353.224
108.7147,345.3055,355.1656,120.3193,346.7218,353.3029
108.7147,345.3055,355.1656,120.3193,346.7218,353.3029
108.8465,345.2594,355.2857,120.4569,346.6532,353.4102
108.969,345.0723,355.4189,120.5927,346.4422,353.5121
109.0031,345.1105,355.4782,120.6266,346.468,353.5777
109.0031,345.1105,355.4782,120.6266,346.468,353.5777
109.0403,345.138,355.4793,120.6625,346.4949,353.5844
109.0288,345.1243,355.5076,120.6526,346.4759,353.6093
108.9119,345.0696,355.4904,120.5378,346.4256,353.5812
108.9119,345.0696,355.4904,120.5378,346.4256,353.5812
108.7548,346.6484,355.3576,120.3012,348.0131,353.6901
108.7431,346.6516,355.3585,120.2895,348.0159,353.6913
108.7431,346.6516,355.3585,120.2895,348.0159,353.6913
108.8353,345.8618,355.4239,120.4204,347.2221,353.6365
108.8489,345.663,355.4412,120.4441,347.0221,353.6232
108.8489,345.663,355.4412,120.4441,347.0221,353.6232
108.8489,345.663,355.4412,120.4441,347.0221,353.6232
108.7502,345.5215,355.4069,120.3511,346.8901,353.5606
108.6872,346.1938,355.3669,120.2548,347.5621,353.6274
108.6872,346.1938,355.3669,120.2548,347.5621,353.6274
108.7139,346.2361,355.353,120.2792,347.6064,353.6226
109.0057,343.2058,355.6421,120.7341,344.5527,353.4436
109.0038,342.5495,355.6615,120.7696,343.8995,353.3623
109.0038,342.5495,355.6615,120.7696,343.8995,353.3623
108.9907,342.558,355.6387,120.7552,343.9122,353.3419
108.9831,342.5688,355.6598,120.7477,343.9188,353.3647
108.9831,342.5688,355.6598,120.7477,343.9188,353.3647
108.9623,342.7671,355.644,120.7152,344.1179,353.3803
108.9623,342.7671,355.644,120.7152,344.1179,353.3803
108.8966,343.1424,355.6735,120.6294,344.4836,353.4663
108.8966,343.1424,355.6735,120.6294,344.4836,353.4663
108.8463,343.5277,355.6518,120.5573,344.8689,353.5042
108.8454,343.5312,355.6516,120.5562,344.8724,353.5045
108.8463,343.5278,355.6518,120.5574,344.8689,353.5042
108.8463,343.5278,355.6518,120.5574,344.8689,353.5042
108.8464,343.5277,355.6518,120.5573,344.869,353.5042
108.8464,343.5277,355.6518,120.5573,344.869,353.5042
108.9081,342.9334,355.6998,120.6533,344.2718,353.4587
