L_Yaw,L_Pitch,L_Roll,R_Yaw,R_Pitch,R_Roll
82.29346,337.3655,3.018806,94.09818,337.1391,359.4545
82.29346,337.3655,3.018806,94.09818,337.1391,359.4545
83.1649,337.3423,2.872854,94.38947,337.1423,359.4054
83.1649,337.3423,2.872854,94.38947,337.1423,359.4054
82.27708,337.6279,3.021387,94.0622,337.3961,359.5038
82.26131,337.6058,3.017342,94.04833,337.3753,359.4951
82.03819,338.5203,2.945511,93.37535,338.2819,359.6449
81.35895,339.0139,2.999811,92.66779,338.7523,359.7813
81.34057,339.0747,2.995473,92.64471,338.8126,359.7899
81.34057,339.0747,2.995473,92.64471,338.8126,359.7899
81.55769,339.0289,2.968848,92.65937,338.7733,359.7887
81.31757,338.8379,3.044812,92.63287,338.571,359.7989
81.07318,338.8488,3.095343,92.38917,338.5709,359.8503
81.04951,338.845,3.118323,92.36586,338.5629,359.872
81.04951,338.845,3.118323,92.36586,338.5629,359.872
80.79419,338.8327,3.161682,92.11176,338.5414,359.9117
80.76086,338.5715,3.194258,91.89436,338.2791,359.9321
80.7412,338.4942,3.207357,91.88064,338.2008,359.929
80.70169,337.8007,3.295839,91.88775,337.5037,359.8978
80.70329,337.8051,3.311782,92.09611,337.5049,359.8793
80.80008,337.7078,3.305687,91.98234,337.4114,359.8945
80.84789,337.7214,3.245899,92.02893,337.4354,359.8385
80.7323,337.6145,3.278347,92.13705,337.3238,359.8156
81.158,337.3712,3.234731,92.17064,337.0952,359.8003
81.158,337.3712,3.234731,92.17064,337.0952,359.8003
81.14693,337.2054,3.278232,92.17035,336.9247,359.8168
81.15285,337.2306,3.267305,92.17426,336.9512,359.8113
81.15245,337.4723,3.244057,92.37051,337.1928,359.7947
81.11731,337.4962,3.25607,92.33341,337.2142,359.8116
81.55598,337.4859,3.182669,92.33801,337.2191,359.8105
81.55598,337.4859,3.182669,92.33801,337.2191,359.8105
81.79116,337.4816,3.14099,93.00699,337.2244,359.6964
81.78995,337.4968,3.14619,93.00447,337.2383,359.7047
81.77053,337.4927,3.16717,92.9855,337.2306,359.7244
81.77923,337.5084,3.149122,92.99283,337.2492,359.71
81.79189,337.6146,3.120066,92.9968,337.3586,359.7039
