L_Yaw,L_Pitch,L_Roll,R_Yaw,R_Pitch,R_Roll
82.87793,349.9017,0.002683142,93.7869,350.0345,358.8967
82.87793,349.9017,0.002683142,93.7869,350.0345,358.8967
82.88043,350.5812,359.9308,93.76863,350.7179,358.9264
82.88043,350.5812,359.9308,93.76864,350.7179,358.9264
82.88041,350.5812,359.9308,93.76863,350.7179,358.9264
82.88074,350.5816,359.9308,93.76794,350.7183,358.9265
83.08594,350.8107,359.9035,93.7765,350.9453,358.9361
83.08594,350.8107,359.9035,93.7765,350.9453,358.9361
83.12434,351.0367,359.8792,94.16859,351.184,358.9414
82.68037,351.0305,359.8864,93.73311,351.1726,358.9463
82.68039,351.0305,359.8864,93.73314,351.1726,358.9463
82.71507,351.0311,359.8859,93.91453,351.178,358.9443
82.68581,350.3515,359.958,93.75493,350.4899,358.9168
82.68581,350.3515,359.958,93.75493,350.4899,358.9168
82.68763,350.3484,359.9583,93.75687,350.4866,358.9166
82.68763,350.3484,359.9583,93.75687,350.4866,358.9166
83.10105,349.6824,0.02253779,94.01977,349.8167,358.8844
83.1257,350.3597,359.9506,94.1909,350.5032,358.912
83.1257,350.3597,359.9506,94.1909,350.5032,358.912
83.1274,349.9063,-0.001553581,94.20752,350.0473,358.8921
82.89948,350.3554,359.9544,93.96915,350.4963,358.9144
83.04329,350.2422,359.9642,93.83553,350.3756,358.9109
83.04329,350.2422,359.9642,93.83553,350.3756,358.9109
82.88002,350.3571,359.9545,93.77253,350.4924,358.9167
82.99706,350.2433,359.9648,93.66543,350.3726,358.9129
82.99706,350.2433,359.9648,93.66543,350.3726,358.9129
79.10571,347.1216,0.3574724,89.92232,347.196,358.8226
79.1057,347.1216,0.357471,89.92232,347.196,358.8226
79.1057,347.1216,0.357471,89.92232,347.196,358.8226
70.35316,340.4161,1.24776,81.6158,340.3981,358.6332
61.61158,337.847,1.714187,73.75147,337.7128,358.653
56.81765,337.5283,1.849724,69.00042,337.3409,358.741
56.81765,337.5283,1.849724,69.00042,337.3409,358.741
53.29153,337.6691,1.906252,65.48027,337.4425,358.8306
53.29155,337.6691,1.906248,65.48028,337.4425,358.8306
53.28459,337.7638,1.895053,65.46646,337.537,358.8358
53.28457,337.7638,1.895058,65.46647,337.537,358.8358
53.42156,337.77,1.891436,65.60232,337.5448,358.8329
53.42156,337.77,1.891436,65.60232,337.5448,358.8329
54.06196,337.7796,1.876901,66.23892,337.5615,358.8182
48.10476,336.1504,2.903028,60.41995,335.7763,359.4835
47.89781,335.8433,2.98046,60.23934,335.4651,359.4901
47.89781,335.8433,2.98046,60.23934,335.4651,359.4901
47.14949,335.6141,3.059827,59.5137,335.2258,359.5139
48.2048,335.9268,2.978112,60.53927,335.5564,359.4772
48.20345,335.9753,2.996864,60.53423,335.6026,359.496
47.07119,335.6053,3.156234,59.43847,335.2101,359.5652
46.87392,335.4391,3.203449,59.25681,335.0399,359.573
47.05721,335.6494,3.22807,59.4227,335.2474,359.6139
47.05721,335.6494,3.22807,59.4227,335.2474,359.6139
46.95469,335.508,3.289868,59.33342,335.1031,359.6294
46.50715,335.3679,3.338472,58.89995,334.9568,359.6441
47.40121,334.8654,3.352868,59.83532,334.4761,359.5486
47.21234,334.6048,3.452119,59.67122,334.2072,359.5828
47.68176,334.4189,3.476296,59.35311,334.0953,359.6369
47.68176,334.4189,3.476296,59.35311,334.0953,359.6369
47.0013,335.4887,3.483055,58.65601,335.1307,359.8176
47.0013,335.4887,3.483055,58.65601,335.1307,359.8176
46.52518,335.363,3.616866,58.19192,334.9831,359.9211
47.43361,336.4836,3.44219,59.09859,336.1056,359.9308
47.56835,336.7242,3.499877,59.23655,336.3298,0.01872413
48.51194,336.1456,3.551224,60.22393,335.761,359.9588
48.51194,336.1456,3.551224,60.22393,335.761,359.9588
48.95636,336.0708,3.590868,60.70339,335.6815,359.9737
48.84118,335.9741,3.684243,60.59726,335.5694,0.04376413
48.82138,335.9283,3.724011,60.58172,335.5172,0.07257892
48.82138,335.9283,3.724011,60.58172,335.5172,0.07257892
48.82312,336.2927,3.741465,60.565,335.8689,0.1489062
48.8701,336.2164,3.790846,60.61898,335.785,0.1803846
48.56824,336.4122,3.858003,60.32072,335.9603,0.276715
48.43369,336.4772,3.913086,60.20325,336.0112,0.338993
48.39825,336.3483,3.97055,60.12663,335.8772,0.3753895
48.39825,336.3483,3.97055,60.12663,335.8772,0.3753895
48.51456,336.2659,3.934473,60.25042,335.8033,0.3215953
48.63475,336.2626,3.938038,60.33245,335.802,0.3292121
48.66102,336.2655,3.935566,60.4021,335.8025,0.3222984
48.74804,336.2817,3.899475,60.53907,335.8215,0.2839716
48.87275,336.337,3.864948,60.65875,335.882,0.262408
48.87275,336.337,3.864948,60.65875,335.882,0.262408
48.86414,336.4102,3.826934,60.32166,335.9809,0.2805124
49.03064,336.2034,3.820563,60.30174,335.7942,0.2638082
49.19354,336.2863,3.79435,60.45739,335.8802,0.2557747
48.5572,335.9168,3.885306,60.53269,335.4531,0.2048309
48.5572,335.9168,3.885306,60.53269,335.4531,0.2048309
48.47836,335.9206,3.876474,60.29063,335.4687,0.2225297
48.75765,336.0465,3.754071,60.46586,335.6216,0.1404767
52.6404,335.6622,3.2691,64.51815,335.3463,359.5776
52.6404,335.6622,3.2691,64.51815,335.3463,359.5776
52.76471,335.7284,3.215802,64.63608,335.4212,359.5403
58.9514,336.3853,2.396409,70.70664,336.2504,358.8608
67.93449,338.0294,1.243626,79.47565,338.1252,358.0374
68.18793,338.2063,1.159226,79.7142,338.3142,357.9928
75.89407,344.7971,359.7208,87.35511,345.1512,357.6523
76.07665,344.977,359.6862,87.52789,345.3342,357.6555
81.4767,349.4049,358.787,92.72009,349.9224,357.4824
83.3618,349.9688,358.6207,94.24818,350.5032,357.4438
83.3618,349.9688,358.6207,94.24818,350.5032,357.4438
83.42271,351.3025,358.4995,94.58576,351.8646,357.5063
83.29887,351.367,358.5164,94.32252,351.9137,357.5427
83.61348,351.495,358.5088,94.63357,352.041,357.56
83.59659,350.2473,358.6551,94.62801,350.7735,357.5244
83.12939,350.1759,358.7044,94.18652,350.6859,357.5628
83.12939,350.1759,358.7044,94.18652,350.6859,357.5628
83.60597,350.3284,358.6766,94.658,350.8408,357.5652
83.44143,349.6924,358.7641,94.33073,350.1779,357.5679
82.93036,349.8169,358.7877,94.00521,350.2986,357.6003
83.49026,349.9816,358.7691,94.55955,350.4637,357.6142
