L_Yaw,L_Pitch,L_Roll,R_Yaw,R_Pitch,R_Roll
79.77409,1.62168,0.7189316,89.62528,1.454395,1.17675
80.17259,1.371781,0.7100036,89.84373,1.21654,1.148792
80.17259,1.371781,0.7100036,89.84373,1.21654,1.148792
80.40339,1.361093,0.6910014,90.26026,1.212403,1.112944
80.40339,1.361093,0.6910014,90.26027,1.212403,1.112942
80.40339,1.361093,0.6910014,90.26027,1.212403,1.112942
80.40339,1.361093,0.6910014,90.26027,1.212403,1.112942
80.188,2.084479,0.6352215,90.05762,1.932657,1.158307
80.19658,1.661132,0.628469,90.06494,1.516737,1.078931
80.25922,1.658154,0.6542346,90.12746,1.509366,1.103805
80.49171,1.650394,0.613295,90.16534,1.51268,1.080935
80.49171,1.650394,0.613295,90.16534,1.51268,1.080935
80.49831,1.414286,0.637007,90.16496,1.275557,1.071778
80.4876,1.414015,0.6380462,90.16206,1.274904,1.072021
80.28899,1.422095,0.6560055,90.15383,1.275946,1.072829
80.28899,1.422095,0.6560055,90.15383,1.275946,1.072829
80.28899,1.422088,0.656005,90.15382,1.275953,1.072828
80.31059,1.44402,0.5334492,89.78473,1.318326,0.991966
80.27804,1.420788,0.5268462,89.75202,1.296482,0.981635
80.27149,1.397315,0.5227885,89.94262,1.274199,0.9554023
80.27149,1.397315,0.5227885,89.94262,1.274199,0.9554023
80.26449,1.392139,0.5198435,89.93556,1.269595,0.951635
80.47504,1.399055,0.4875472,90.15147,1.285435,0.9209434
80.47503,1.399045,0.4875457,90.15145,1.285428,0.9209453
80.47839,1.397632,0.4873745,90.15095,1.28412,0.9209417
80.46795,1.39554,0.4885787,89.9453,1.281616,0.9399834
80.46795,1.39554,0.4885787,89.9453,1.281616,0.9399834
80.06586,1.413128,0.5247984,89.9307,1.286027,0.9415103
80.06586,1.413128,0.5247984,89.9307,1.286027,0.9415103
80.0656,1.415585,0.5245694,89.93216,1.288487,0.9414694
80.47905,1.632697,0.4630102,90.15267,1.520486,0.9298675
80.47906,1.632711,0.4630067,90.15272,1.520486,0.9298679
80.6796,1.390944,0.4690151,90.36197,1.284123,0.9013062
80.90144,0.9074278,0.4980315,90.77298,0.8051883,0.8447077
80.90144,0.9074278,0.4980315,90.77298,0.8051883,0.8447077
80.90224,0.9052529,0.498176,90.77151,0.8030463,0.8447607
78.38321,0.5256386,0.7748747,87.81104,0.3382154,1.101844
78.38321,0.5256386,0.7748747,87.81105,0.3382152,1.101844
69.11211,354.3617,2.263655,78.55,353.8933,1.701665
69.11211,354.3617,2.263655,78.55,353.8933,1.701665
59.77882,349.0922,3.641912,69.27837,348.4423,2.321671
59.76912,349.0812,3.64396,69.26909,348.4308,2.322072
53.9604,346.8492,4.548481,63.53562,346.0872,2.842166
53.16495,346.5725,4.690348,62.75022,345.7914,2.935042
52.70339,345.92,4.718612,62.67569,345.1292,2.797317
51.44191,346.2658,4.792521,61.07671,345.4695,2.956604
51.44191,346.2658,4.792521,61.07671,345.4695,2.956604
51.99141,346.3807,4.691931,61.85151,345.5978,2.817208
49.71772,345.6497,4.894267,59.60875,344.8424,2.887776
48.54361,345.2974,4.991142,58.45023,344.4807,2.92058
43.94498,343.0361,5.890928,53.71233,342.1253,3.496944
43.94498,343.0361,5.890928,53.71233,342.1253,3.496944
41.40683,342.4821,6.131968,51.20202,341.5402,3.636658
42.08981,342.4729,5.680726,51.76089,341.6267,3.198223
39.99919,342.1447,6.056237,49.68445,341.2431,3.512047
39.99919,342.1447,6.056237,49.68445,341.2431,3.512047
40.54805,344.8175,5.487988,50.39024,343.9415,3.290042
42.48865,346.0806,4.762133,51.77105,345.3465,2.869086
43.99986,346.4995,4.270905,53.73016,345.8551,2.32704
43.99986,346.4995,4.270905,53.73016,345.8551,2.32704
43.88559,346.0999,4.29973,53.24783,345.4759,2.381951
44.04952,345.7288,4.321432,53.44521,345.1173,2.337044
44.04952,345.7288,4.321432,53.44521,345.1173,2.337044
45.17461,345.1967,4.069076,54.82811,344.6515,1.93767
45.17461,345.1967,4.069076,54.82811,344.6515,1.93767
45.5036,345.4512,3.893053,55.35797,344.9335,1.742507
45.46127,345.3905,3.943592,55.31814,344.8653,1.781658
45.45174,345.7965,4.03398,55.29841,345.25,1.928915
45.671,345.7219,4.066,55.71665,345.1711,1.894762
45.671,345.7219,4.066,55.71665,345.1711,1.894762
46.13221,345.412,4.023461,55.80618,344.8846,1.908594
46.24245,345.4025,4.177748,55.91595,344.8502,2.059406
46.24245,345.4025,4.177748,55.91595,344.8502,2.059406
46.47972,345.3798,4.139736,55.95661,344.8403,2.071909
46.47652,344.8824,4.232466,55.97405,344.3354,2.08735
46.04047,344.657,4.397152,55.73256,344.0774,2.164768
46.03648,344.5966,4.401808,55.73143,344.0171,2.15878
46.09256,344.7927,4.388366,55.78479,344.2122,2.173156
46.09256,344.7927,4.388366,55.78479,344.2122,2.173156
46.13102,344.7962,4.394024,56.02238,344.2108,2.124702
46.16354,344.8021,4.403001,56.05455,344.2152,2.134634
46.19833,344.8026,4.388133,56.08944,344.2181,2.120022
45.98045,344.8165,4.447422,55.86341,344.2193,2.182728
45.99361,344.8269,4.451591,55.87601,344.2288,2.188705
45.99361,344.8269,4.451591,55.87601,344.2288,2.188705
45.83455,345.3637,4.475178,55.68991,344.7507,2.295901
45.84077,345.6339,4.489895,55.69152,345.0142,2.350598
45.84077,345.6339,4.489895,55.69152,345.0142,2.350598
45.56147,345.5874,4.603891,55.41263,344.9466,2.45497
45.56147,345.5874,4.603891,55.41263,344.9466,2.45497
45.4121,344.3482,4.81403,55.49746,343.6873,2.42218
45.38492,344.3348,4.836841,55.47079,343.6703,2.442268
45.1538,344.331,4.952394,55.41448,343.6398,2.507154
45.11912,344.3076,4.992352,55.38072,343.6098,2.542251
45.10626,344.5309,5.002174,55.36206,343.8278,2.584608
44.40467,345.0685,5.163842,54.44683,344.3261,2.879613
44.39551,345.1237,5.195267,54.43469,344.3752,2.920671
44.41377,345.3848,5.193914,54.44196,344.6323,2.959613
44.41377,345.3848,5.193914,54.44196,344.6323,2.959613
45.07168,345.3347,5.042862,54.72183,344.6286,2.907046
45.26683,345.2921,4.983573,54.91944,344.5962,2.840961
45.26683,345.2921,4.983573,54.91944,344.5962,2.840961
45.59956,345.2506,4.913062,55.25471,344.5667,2.764043
46.22643,345.2342,4.873632,55.88272,344.557,2.722189
46.45737,345.2533,4.882851,56.30798,344.5659,2.680487
47.9352,345.2149,4.531439,57.59512,344.5938,2.380445
50.54654,344.8536,3.97022,60.03364,344.3429,1.821969
50.54654,344.8536,3.97022,60.03364,344.3429,1.821969
51.66197,344.7811,3.859539,61.15302,344.2889,1.700117
67.24657,342.3865,0.2465026,77.26002,342.6768,357.668
79.09895,341.5878,357.6143,89.73299,342.4654,354.8286
80.91985,341.4633,357.5026,91.5588,342.3626,354.6952
91.28824,341.3116,355.4785,103.0782,342.7862,352.4126
94.24268,342.5213,354.9329,105.9308,344.0972,352.0734
98.51835,342.0273,354.6723,110.2263,343.6637,351.7161
100.9455,341.3257,354.0992,112.675,343.0875,351.0116
105.2971,341.5844,353.7061,116.9905,343.4195,350.6639
109.6169,341.2652,353.1457,121.3071,343.2145,350.0533
109.6169,341.2652,353.1457,121.3071,343.2145,350.0533
111.783,340.7467,352.8632,123.4985,342.758,349.6913
115.6527,341.5335,352.1441,127.2774,343.6715,349.1148
117.7164,341.5495,351.7524,129.3225,343.7622,348.7393
121.4906,341.0952,351.6481,133.1123,343.318,348.5335
121.4906,341.0952,351.6481,133.1123,343.318,348.5335
119.2502,340.7046,352.7519,129.9579,342.5217,349.7917
122.1735,340.667,352.3564,132.8681,342.5541,349.4
119.0976,340.7797,353.513,129.3908,342.3535,350.6421
120.9736,342.2284,352.9172,131.1662,343.8969,350.2851
120.6768,342.4561,353.1775,131.0037,344.0795,350.5157
121.7053,342.3391,352.8779,132.028,344.0155,350.2017
121.7053,342.3391,352.8779,132.028,344.0155,350.2017
121.9897,343.6253,352.5558,131.7147,345.2687,350.2436
122.098,343.5377,352.5197,131.8256,345.1883,350.1931
122.098,343.5377,352.5197,131.8256,345.1883,350.1931
119.4949,343.4745,353.3951,129.5896,344.9947,350.9036
119.4949,343.4745,353.3951,129.5896,344.9947,350.9036
119.3582,343.6616,353.3864,129.2836,345.1587,350.9777
118.3888,343.348,353.6176,128.3923,344.8059,351.1309
118.1237,343.2727,353.5909,128.13,344.7364,351.0914
118.1166,342.0755,353.677,128.1681,343.5302,350.9966
118.1237,342.0002,353.5925,128.1027,343.4614,350.927
118.0554,341.9804,353.5959,128.0355,343.4414,350.9267
117.9146,341.96,353.653,127.9051,343.413,350.9762
117.6053,342.3529,353.7065,127.7478,343.8173,351.0265
117.6053,342.3529,353.7065,127.7478,343.8173,351.0265
117.7964,341.5335,353.703,127.76,342.9733,350.9742
117.7974,341.5247,353.6739,127.7606,342.9693,350.9441
118.1454,341.4514,353.5358,128.3392,342.9581,350.7195
118.1605,341.4824,353.55,128.3531,342.9863,350.7391
118.1992,341.538,353.5703,128.3894,343.0376,350.7692
118.688,341.5551,353.4142,128.4885,343.0282,350.7556
118.688,341.5551,353.4142,128.4885,343.0282,350.7556
118.7489,341.5579,353.3984,128.7389,343.0625,350.6743
119.5944,342.3816,353.0309,129.3597,343.9273,350.5089
119.6339,342.5165,353.0712,129.3939,344.0537,350.5721
119.6339,342.5165,353.0712,129.3939,344.0537,350.5721
119.6622,342.5594,353.0825,129.4207,344.094,350.5908
119.7674,342.6249,353.0499,129.901,344.2221,350.441
119.7222,342.013,353.1625,129.699,343.5618,350.5231
119.7714,342.0764,353.1512,129.7447,343.6261,350.5236
119.6992,342.2009,353.2529,129.8471,343.7562,350.5847
119.8313,342.354,353.3134,129.9733,343.8968,350.6718
119.9004,342.4497,353.329,130.0381,343.9883,350.7046
120.4439,342.5249,353.2198,130.588,344.0861,350.6153
120.4439,342.5249,353.2198,130.588,344.0861,350.6153
120.6243,342.9176,353.2197,130.6786,344.463,350.7101
