L_Yaw,L_Pitch,L_Roll,R_Yaw,R_Pitch,R_Roll
82.57658,0.9706586,358.8696,92.21883,1.139938,359.25
82.57658,0.9706586,358.8696,92.21883,1.139938,359.25
82.72103,1.235332,358.8617,92.57395,1.407482,359.2734
82.72103,1.235332,358.8617,92.57395,1.407482,359.2734
82.70564,1.724726,358.6785,92.56046,1.921007,359.1767
82.81024,1.948926,358.6844,92.55115,2.138353,359.2336
83.22252,2.130862,358.6544,92.77362,2.324875,359.2496
83.22252,2.130862,358.6544,92.77362,2.324875,359.2496
83.18104,2.164931,358.6537,93.04297,2.36559,359.2355
83.16077,2.856357,358.5128,93.01961,3.072085,359.2018
83.15589,3.084765,358.4847,93.01686,3.30196,359.2132
82.91731,3.376981,358.4451,92.78235,3.592966,359.2238
82.87922,3.454649,358.4219,92.74504,3.673449,359.2143
82.87922,3.454649,358.4219,92.74504,3.673449,359.2143
82.77972,3.288908,358.4063,92.22791,3.500084,359.2003
82.77972,3.288908,358.4063,92.22791,3.500084,359.2003
82.74227,3.255292,358.4157,92.19014,3.465377,359.204
82.67993,3.219978,358.4572,92.12756,3.423731,359.2392
81.39127,3.068691,358.4926,91.66918,3.275058,359.1974
74.01012,358.4827,359.3615,84.56513,358.5063,359.3684
74.01012,358.4827,359.3615,84.56513,358.5063,359.3684
64.05476,352.0804,0.8463191,74.1294,351.8354,359.9482
63.38831,351.5173,0.9326506,73.47749,351.266,359.9336
55.27703,347.8275,1.948196,66.69695,347.3886,0.2846635
54.55227,347.511,2.032658,65.93146,347.061,0.3093518
52.72657,346.3989,2.313685,64.15753,345.9167,0.3591739
52.72657,346.3989,2.313685,64.15753,345.9167,0.3591739
51.07238,346.781,2.095101,62.55891,346.3318,0.1282063
51.07238,346.781,2.095101,62.55891,346.3318,0.1282063
50.94029,347.0001,1.730647,61.6342,346.6309,359.8753
49.98536,346.6024,1.708168,60.69715,346.2441,359.7773
47.86036,344.8432,1.814862,58.65954,344.5052,359.5824
44.57308,344.1516,1.987537,56.00988,343.7824,359.5086
44.57308,344.1516,1.987537,56.00988,343.7824,359.5086
41.45762,343.0065,1.888307,52.9631,342.679,359.1733
41.38718,343.3958,1.636136,52.66771,343.1121,359.0081
39.38829,342.6557,1.716805,50.71391,342.3717,358.9355
40.17975,344.6263,1.117683,51.77338,344.4362,358.5508
40.17975,344.6263,1.117683,51.77338,344.4362,358.5508
39.91821,343.6112,0.7352982,51.18064,343.527,358.0531
40.89812,344.8592,0.1460184,51.65842,344.8517,357.7589
39.28436,344.314,0.2665628,50.07328,344.2945,357.7716
40.52699,344.908,359.7784,51.06567,344.9713,357.4278
39.0658,344.5031,0.02494,49.626,344.5298,357.5933
40.24317,344.8129,359.5414,50.98648,344.9551,357.1046
40.24317,344.8129,359.5414,50.98648,344.9551,357.1046
41.19522,345.6054,359.0817,51.66165,345.8153,356.8311
39.46863,345.2062,359.1967,49.95467,345.4022,356.8693
41.07802,345.127,358.6122,51.9821,345.4911,356.1653
42.28773,345.0843,358.1743,52.97567,345.529,355.7864
43.06988,345.5995,357.793,53.50493,346.1019,355.5468
43.06988,345.5995,357.793,53.50493,346.1019,355.5468
42.7654,344.2654,358.2396,53.26572,344.7143,355.7277
42.56886,343.9543,358.2421,53.08485,344.4079,355.6713
42.71732,343.8988,358.1578,53.45,344.3922,355.5122
43.56968,343.605,357.8744,54.09448,344.144,355.2543
43.56968,343.605,357.8744,54.09448,344.144,355.2543
43.49946,343.2464,357.7445,54.04116,343.8141,355.0587
43.47947,343.2108,357.7208,54.02571,343.7835,355.0278
43.49442,343.2333,357.6633,54.03859,343.8158,354.9758
43.05231,343.0067,357.8437,54.03662,343.5995,354.9836
43.04358,342.7762,357.887,54.0417,343.3652,354.9896
43.04358,342.7762,357.887,54.0417,343.3652,354.9896
43.06278,342.9152,357.9258,53.42129,343.4302,355.252
43.15249,343.0487,358.03,53.51152,343.5443,355.3774
42.66209,343.3108,358.2665,53.42506,343.7946,355.5228
42.62204,343.3527,358.262,53.38269,343.8365,355.5265
42.38461,343.3828,358.3609,53.14751,343.8459,355.6283
42.35931,343.4153,358.4246,53.12129,343.8664,355.6971
42.27992,343.4579,358.5232,53.04087,343.8906,355.8021
42.27992,343.4579,358.5232,53.04087,343.8906,355.8021
42.67626,343.7732,358.4084,53.42029,344.227,355.742
42.61632,343.6005,358.4794,53.3717,344.0448,355.7863
42.49772,343.5742,358.5381,53.25524,344.0083,355.8387
42.45759,343.5562,358.5768,53.21668,343.9836,355.8733
42.45759,343.5562,358.5768,53.21668,343.9836,355.8733
43.97474,343.3856,358.197,54.93864,343.9237,355.4167
43.9149,343.3742,358.2203,54.87975,343.9083,355.4372
