L_Yaw,L_Pitch,L_Roll,R_Yaw,R_Pitch,R_Roll
82.28128,355.8118,0.8070789,92.65945,355.6923,0.5825226
82.28128,355.8118,0.8070789,92.65945,355.6923,0.5825226
82.49772,355.5828,0.8311983,92.87856,355.4643,0.573788
82.50285,356.0364,0.7829418,92.87726,355.9205,0.5912608
82.5085,356.2632,0.7588398,92.87693,356.1486,0.5999917
82.5085,356.2632,0.7588398,92.87693,356.1486,0.5999917
82.50677,356.2634,0.7588287,92.87693,356.1487,0.5999951
82.50677,356.2634,0.7588287,92.87693,356.1487,0.5999951
82.50726,356.2631,0.7588601,92.87704,356.1484,0.5999835
82.50347,356.0365,0.7829342,92.87737,355.9205,0.5912623
82.4929,355.3564,0.8553263,92.87926,355.2366,0.5650592
82.49221,355.3557,0.8553985,92.87855,355.2359,0.5650325
82.25038,353.9963,1.00108,92.66373,353.8666,0.5124022
82.25038,353.9963,1.00108,92.66373,353.8666,0.5124022
82.22968,353.3157,1.07431,92.45458,353.182,0.4859904
82.22968,353.3157,1.074311,92.45456,353.182,0.4859892
82.23223,353.09,1.098652,92.66736,352.9551,0.4772199
82.24724,353.3154,1.07432,92.87498,353.1821,0.4859929
82.24724,353.3154,1.07432,92.87498,353.1821,0.4859929
82.24724,353.3154,1.07432,92.87498,353.1821,0.4859929
82.24743,353.3152,1.074352,92.87474,353.1818,0.4859836
82.24743,353.3152,1.074352,92.87474,353.1818,0.4859827
82.25661,353.0888,1.098754,93.08089,352.9545,0.4771972
82.25661,353.0888,1.098754,93.08089,352.9545,0.4771972
82.46151,353.087,1.098701,93.09497,352.9545,0.4771963
82.46653,353.3136,1.074262,93.09393,353.1824,0.4860046
82.46653,353.3136,1.074262,93.09393,353.1824,0.4860046
82.46653,353.3136,1.074262,93.09393,353.1824,0.4860046
82.46653,353.3136,1.074262,93.09393,353.1824,0.4860046
82.42516,352.8394,1.125483,92.66134,352.7048,0.4675348
82.4397,352.8601,1.123237,92.67529,352.7257,0.4683443
82.43493,352.6332,1.147777,92.67625,352.4975,0.4595068
82.21831,352.4079,1.172426,92.66947,352.2692,0.4506571
78.85883,356.6864,359.4438,88.6161,356.769,359.4769
78.85883,356.6864,359.4438,88.6161,356.769,359.4769
71.10075,353.6049,359.2466,81.93855,353.7238,358.8972
69.87048,352.5401,359.3888,80.73274,352.6514,358.8349
69.87048,352.5401,359.3888,80.73274,352.6514,358.8349
66.898,347.1241,359.9456,77.29,347.2235,358.5144
59.41,341.9483,0.3453217,70.57611,342.041,358.1015
49.32127,338.5516,1.20079,61.4173,338.4658,358.3261
49.32127,338.5516,1.20079,61.4173,338.4658,358.3261
47.84321,338.1144,1.611818,59.98035,337.9558,358.6283
46.66488,338.0226,1.97375,58.8177,337.795,358.9368
46.66488,338.0226,1.97375,58.8177,337.795,358.9368
44.16449,336.8644,2.80323,56.42312,336.5011,359.4836
45.45037,337.5428,3.295317,56.05299,337.2487,0.1277237
45.45559,337.4479,3.869174,56.30445,337.0232,0.6063512
45.45559,337.4479,3.869174,56.30445,337.0232,0.6063512
45.98227,338.7657,4.121266,57.05462,338.2386,0.9816779
43.24078,337.2998,5.136377,54.42644,336.6186,1.675618
38.74161,337.0432,6.629292,49.95929,336.0862,3.003291
38.72956,338.5431,6.64696,49.63555,337.5626,3.289539
36.65372,337.3336,7.644448,47.64497,336.1995,4.026631
36.1543,339.2146,7.739513,47.00853,338.0153,4.422864
37.60958,341.4431,7.305727,48.31292,340.2825,4.338711
36.8899,341.1463,7.705567,47.60673,339.9205,4.675805
36.99957,342.2668,7.793536,47.85281,340.9979,4.862134
36.64826,342.2082,7.971386,47.50213,340.9085,5.026453
37.92596,342.7285,7.602342,48.74806,341.502,4.740033
38.73421,342.71,7.401233,49.34234,341.5438,4.598478
38.71526,342.837,7.399546,49.31563,341.669,4.621445
38.74718,342.9873,7.392262,49.33856,341.818,4.643338
42.36582,346.1011,6.062893,52.99379,345.1361,3.762218
43.33961,346.429,5.673081,54.16766,345.5257,3.384488
43.33961,346.429,5.673081,54.16766,345.5257,3.384488
44.13967,346.7752,5.227383,54.96093,345.9469,3.020494
44.65158,347.1241,4.928398,55.45972,346.3442,2.793246
45.82416,347.0442,4.359059,56.43581,346.3736,2.302184
46.59502,347.5186,3.988621,57.1901,346.9063,2.026509
47.42579,348.0283,3.601892,58.00212,347.4767,1.741525
56.85542,350.7041,1.247185,67.29315,350.6431,359.8512
72.99752,359.3486,357.6805,83.49236,0.02356383,357.6711
75.21239,0.9613266,357.677,85.71136,1.609952,357.9614
83.22371,2.67094,356.7491,94.33759,3.555293,357.3034
84.44488,3.482686,356.8213,95.57053,4.337886,357.5313
86.9939,5.036395,356.9839,98.14838,5.83099,357.9924
88.00751,2.620433,357.6271,98.7246,3.292484,358.368
88.00751,2.620433,357.6271,98.7246,3.292484,358.368
87.94404,3.191552,357.8482,98.5207,3.773479,358.7017
88.29913,2.327116,358.2115,98.73326,2.805701,358.9757
89.53607,2.955522,358.3534,99.97736,3.398027,359.2293
90.82546,3.496635,358.3635,101.2732,3.928337,359.3376
89.94034,3.359894,358.665,100.2301,3.686272,359.6352
88.87482,4.118341,358.6599,98.96985,4.387519,359.7534
88.87482,4.118341,358.6599,98.96985,4.387519,359.7534
86.95068,3.084875,358.7712,97.0724,3.287892,359.7341
85.6076,2.716834,358.8617,96.14791,2.873562,359.8187
86.34306,3.043905,358.9292,96.8867,3.182798,359.9449
85.43061,1.414836,359.0565,95.9792,1.526188,359.8517
85.90175,1.511678,359.1016,96.45084,1.613138,359.9138
84.58364,0.9730883,359.1182,95.13631,1.058217,359.847
84.58364,0.9730883,359.1182,95.13631,1.058217,359.847
83.62248,0.1319813,359.1962,93.97985,0.1992686,359.7795
83.62248,0.1319813,359.1962,93.97985,0.1992686,359.7795
82.79296,359.9565,359.1898,92.94788,0.0183286,359.7248
81.53795,359.4134,359.1305,92.09867,359.491,359.6167
81.31945,359.4666,359.0629,91.87953,359.5557,359.56
80.7369,359.5592,358.9604,91.2967,359.6655,359.4763
80.7369,359.5592,358.9604,91.2967,359.6655,359.4763
80.52888,359.1183,359.1253,90.68797,359.202,359.5444
79.85018,359.3007,359.2941,90.21138,359.3584,359.7603
79.12794,359.4183,359.3809,89.48897,359.4583,359.8664
77.52393,359.7177,359.6039,87.88432,359.713,0.1398948
77.52393,359.7177,359.6039,87.88432,359.713,0.1398948
72.94214,3.282979,359.2765,83.31701,3.254657,0.3369873
59.62972,12.98,357.4075,70.44556,12.9792,359.9438
46.12234,19.30183,355.5008,57.83016,19.4388,359.1454
46.12234,19.30183,355.5008,57.83016,19.4388,359.1454
39.41625,22.66976,354.5534,51.34078,22.87231,358.8157
35.49863,23.57333,353.9766,47.50634,23.86622,358.4544
33.56738,23.96391,353.6031,45.61255,24.31945,358.1773
35.30712,23.5807,353.9554,47.32272,23.95148,358.5014
35.30712,23.5807,353.9554,47.32272,23.95148,358.5014
36.15972,22.72606,354.4927,47.96745,23.05034,358.8996
33.35627,23.28396,354.1254,45.21405,23.66574,358.6637
34.75613,22.15181,354.8128,45.86456,22.42045,359.0421
34.75613,22.15181,354.8128,45.86456,22.42045,359.0421
38.33954,22.56402,355.5763,48.57089,22.70609,359.679
36.60128,23.19098,355.3599,46.88083,23.35857,359.5871
37.85865,23.12927,355.9664,48.36182,23.26114,0.2508401
40.10173,22.50801,356.7061,50.55898,22.57788,0.8886262
40.853,21.95735,357.0873,51.50109,22.0043,1.249216
40.17248,22.3225,356.9241,50.84905,22.39111,1.161792
40.17248,22.3225,356.9241,50.84905,22.39111,1.161792
40.48943,21.98802,357.0195,51.36993,22.05913,1.273219
41.26762,21.80145,357.1839,52.13467,21.86086,1.414105
41.40688,20.69918,357.1784,52.21153,20.77861,1.231134
41.40688,20.69918,357.1784,52.21153,20.77861,1.231134
41.55839,19.81085,357.2385,52.52094,19.89509,1.205583
41.89017,19.85329,357.2143,52.85574,19.94111,1.190332
41.94123,19.28342,357.14,52.86843,19.38831,1.019408
42.24925,18.76117,357.1891,53.15329,18.8663,0.9833448
42.50218,18.60586,357.0719,52.9614,18.72469,0.7183421
43.41046,18.47013,357.1236,53.86121,18.58231,0.7432932
