L_Yaw,L_Pitch,L_Roll,R_Yaw,R_Pitch,R_Roll
98.80516,351.9854,355.5512,106.9923,353.0062,354.8922
98.80516,351.9854,355.5512,106.9923,353.0062,354.8922
98.80516,351.9854,355.5512,106.9923,353.0062,354.8922
98.09714,351.1859,355.8055,106.7165,352.1797,354.922
98.24858,350.9014,355.6752,106.8942,351.922,354.7456
98.03879,350.5814,355.6403,106.6817,351.6063,354.664
98.02938,350.5347,355.642,106.6734,351.5598,354.6586
98.22387,350.2253,355.607,106.8978,351.2602,354.574
98.24444,350.1332,355.4684,106.9177,351.1898,354.4233
98.28874,350.095,355.3915,107.1721,351.18,354.2868
98.66066,350.3107,355.2392,107.3229,351.4119,354.2247
98.64613,350.2585,355.1889,107.3328,351.3696,354.1609
98.64613,350.2585,355.1889,107.3328,351.3696,354.1609
98.64066,350.2579,355.1663,107.3269,351.3724,354.1385
98.63652,350.2422,355.1653,107.323,351.357,354.1351
98.63652,350.2422,355.1653,107.323,351.357,354.1351
98.95602,350.8172,355.0161,107.4121,351.9483,354.1289
98.95901,350.8248,355.0198,107.415,351.9552,354.1337
98.96527,350.8286,355.0258,107.4213,351.9581,354.1402
97.99334,350.2135,355.3598,106.6436,351.2839,354.3301
95.13799,347.2144,356.4735,103.6058,348.0333,355.0523
95.18667,347.2264,356.4588,103.6535,348.0493,355.0399
85.81,339.6646,359.8851,94.1757,339.8613,357.3519
85.81002,339.6646,359.8851,94.17571,339.8613,357.3519
78.56998,335.3552,2.427576,87.78834,335.2152,358.9719
78.60004,335.3564,2.418762,87.81828,335.2184,358.9635
76.97619,333.6809,3.079099,86.79256,333.4727,359.1841
76.49748,330.8278,3.55422,86.8374,330.6011,359.0451
76.49748,330.8278,3.55422,86.83741,330.6011,359.0451
69.44374,329.8632,4.577777,80.14999,329.4888,359.772
68.5938,329.6436,4.683942,79.32439,329.256,359.8293
65.31081,330.4839,5.294722,75.90821,329.9749,0.605688
64.5689,330.836,5.313912,75.12476,330.3153,0.6910688
62.95728,330.5032,5.532258,73.54774,329.9535,0.8364098
63.89788,332.2056,4.842464,73.57675,331.7473,0.7223314
64.10092,332.5884,4.318904,73.52982,332.208,0.3461812
63.28457,332.419,4.415853,72.72803,332.0269,0.4107481
62.63279,333.911,4.075718,71.46304,333.5477,0.5124558
61.89679,333.7669,4.129061,70.73804,333.3979,0.5405734
61.20451,333.6801,4.1856,70.58364,333.3018,0.3965681
60.61522,333.6305,4.202904,69.99826,333.2513,0.404714
60.77062,334.1062,3.714604,69.5965,333.796,0.1893739
61.02885,333.926,3.323327,69.40531,333.6769,359.9362
60.58895,333.8572,3.333435,68.97043,333.6079,359.935
60.69773,333.7906,3.164915,69.34736,333.5698,359.6639
60.04152,333.6723,3.157096,68.69996,333.4537,359.6364
59.9245,333.2992,3.15305,68.35729,333.0844,359.6583
59.47979,333.1087,3.159002,68.1932,332.9001,359.5367
59.18399,333.0363,3.141857,67.90299,332.8309,359.5074
59.64885,333.0321,2.789081,67.88313,332.8719,359.3367
59.36701,332.9509,2.840993,67.60737,332.7849,359.375
58.98705,333.4419,2.643678,67.44305,333.3011,359.1735
58.49838,334.0159,2.647643,66.90054,333.8666,359.2823
58.28855,333.9814,2.635899,66.69313,333.8344,359.2651
57.96321,334.469,2.555773,66.58799,334.3324,359.1784
57.82222,334.451,2.537047,66.44816,334.318,359.157
58.01225,334.4078,2.307749,66.40445,334.3037,359.0101
58.19591,334.3841,2.15902,66.85411,334.3092,358.7623
58.07013,334.3433,2.110724,66.73113,334.2754,358.7077
58.52176,334.5966,1.874765,66.90667,334.5545,358.6139
58.4041,334.8766,1.773705,67.55331,334.8724,358.2746
58.38216,334.8855,1.719917,67.53044,334.8889,358.2231
58.35867,334.9083,1.683724,67.50503,334.9166,358.1913
59.24216,335.6649,0.9324854,67.58034,335.7442,357.8469
58.488,335.9775,1.093457,67.04582,336.0358,357.9732
58.45242,335.9831,1.035612,67.00954,336.0492,357.917
59.13108,335.964,0.6489595,66.92649,336.0543,357.8006
60.50156,335.9574,0.005834594,68.37977,336.1458,357.1353
60.4784,335.9632,359.9505,68.3559,336.1584,357.0814
60.40518,335.1468,359.9543,68.34442,335.3461,356.943
60.37409,335.1576,359.9009,68.31229,335.3635,356.8919
60.39646,335.1797,359.8177,68.28641,335.3935,356.8292
60.56752,335.8653,359.537,68.70845,336.131,356.5634
60.56196,335.9455,359.4658,68.69722,336.2197,356.5054
60.60831,336.1208,359.313,69.18674,336.4449,356.226
60.62054,336.186,359.2489,69.19407,336.5181,356.1734
60.60043,335.6608,359.2635,69.25073,335.9966,356.0839
59.91098,335.7534,359.4118,68.53271,336.0602,356.252
59.94028,335.8024,359.3486,68.55804,336.1171,356.1978
59.96244,336.8801,359.1524,68.49818,337.2129,356.1892
59.96892,336.8838,359.1172,68.50404,337.2213,356.1551
60.01878,336.878,358.9876,68.55284,337.2334,356.0263
59.83484,336.8603,358.9922,68.5886,337.2295,355.9543
59.84686,336.8254,358.9577,68.60249,337.1998,355.9145
59.61655,337.2476,358.9414,68.12005,337.601,356.0441
59.64491,337.2844,358.9322,68.14603,337.6387,356.0409
59.23228,337.3039,359.0971,67.70571,337.6285,356.2153
59.26083,337.2938,359.1046,67.73495,337.6176,356.2211
59.29761,337.3219,359.1544,67.52229,337.6212,356.358
59.30482,337.0654,359.2271,67.79756,337.3745,356.3025
59.29785,337.082,359.2678,67.78996,337.3853,356.3453
60.01715,338.2993,358.4832,68.42881,338.6961,355.7641
59.7998,338.7226,358.6044,68.18892,339.0984,355.95
59.8785,338.9799,358.7158,68.01071,339.3224,356.1743
59.6077,338.9748,358.8251,67.98606,339.3179,356.2068
59.58461,338.9953,358.9081,67.96279,339.3267,356.2919
60.06918,338.722,358.8429,67.97973,339.0351,356.3299
60.29706,338.7329,358.8708,68.45486,339.062,356.2846
60.26279,338.7198,358.9605,68.42221,339.0372,356.3711
60.44975,339.8535,358.8234,68.56216,340.1854,356.4151
60.39011,339.6427,359.0119,68.51508,339.9517,356.5697
60.35086,339.5212,359.1221,68.48335,339.8156,356.66
59.64864,337.8383,359.6176,68.33551,338.1014,356.7331
59.60271,337.5796,359.6623,68.30583,337.8395,356.735
59.55307,337.4418,359.7464,68.26552,337.6915,356.7954
59.50864,337.3059,359.8055,68.23009,337.5489,356.8315
60.21289,337.251,359.6032,68.72818,337.5162,356.6916
60.18671,337.961,359.5832,68.64932,338.2241,356.7936
60.27936,338.0838,359.5356,68.73433,338.3518,356.7661
60.27954,337.3679,359.7228,68.7765,337.6149,356.8323
60.28682,337.394,359.7421,68.78234,337.6381,356.8556
60.31984,336.8486,359.8045,68.36929,337.0591,356.9803
60.33209,336.8596,359.8175,68.38099,337.0683,356.9948
60.36288,336.8591,359.8234,68.89723,337.096,356.8445
60.37026,337.0251,359.8235,68.39626,337.2314,357.0322
60.37027,337.0252,359.8235,68.39629,337.2314,357.0322
60.39307,337.2858,359.8525,68.89751,337.5149,356.9449
60.44167,337.3388,359.8498,68.94285,337.5677,356.9507
63.17907,338.4243,358.735,71.65476,338.8171,356.0127
66.97092,339.1456,357.6411,75.74348,339.7491,354.9587
67.30323,339.4452,357.774,76.061,340.0262,355.1382
71.80331,339.9907,356.7465,80.33557,340.7256,354.2752
72.36584,340.2025,356.7633,80.88749,340.9327,354.3251
78.9989,337.7293,355.691,88.24068,338.6965,352.7365
78.99889,337.7293,355.691,88.24068,338.6965,352.7365
82.37077,338.3946,355.2489,92.00864,339.4966,352.3214
85.13261,340.231,354.9746,94.31478,341.3262,352.4393
87.9455,341.9008,354.4483,97.74102,343.2025,352.0512
90.73162,342.438,354.4353,100.4999,343.7331,352.134
93.774,343.9525,354.0557,102.9935,345.2552,352.1049
97.68016,343.9204,353.9858,107.1733,345.2709,351.9921
99.23532,344.1252,353.9532,108.7188,345.4781,351.995
102.9321,346.0923,354.5301,112.1242,347.2989,352.9302
104.4077,345.9431,354.5406,113.6054,347.15,352.9161
107.4981,345.9127,354.4048,116.6936,347.1411,352.7777
108.3909,346.6652,354.3412,118.0075,347.9703,352.7557
109.9029,346.6711,354.2686,119.5173,347.9888,352.6855
112.6208,347.3724,354.137,122.2065,348.7177,352.659
113.9743,347.2674,354.0863,123.5621,348.6223,352.5914
114.9469,347.0013,354.2697,124.2601,348.2764,352.7624
116.0486,346.9097,354.2521,125.497,348.2046,352.7083
118.4314,346.8583,354.0544,127.8763,348.1855,352.5056
119.603,345.4153,354.0704,129.2306,346.7493,352.2816
120.7046,345.2991,353.9662,130.334,346.6517,352.1595
122.8712,343.4463,353.9867,132.1112,344.7114,351.9709
123.7937,343.4067,353.9181,133.0336,344.6829,351.897
124.8858,341.7315,353.9009,133.9482,342.9507,351.6551
124.1306,341.3868,354.0991,133.649,342.6462,351.7067
124.7062,341.4549,354.1867,133.7866,342.6313,351.8744
125.3839,341.3078,354.1142,134.4698,342.4969,351.779
126.0563,341.2013,354.0007,135.1445,342.4087,351.65
127.0937,341.2156,353.7969,136.0901,342.4431,351.4662
127.4436,341.0423,353.7971,136.2147,342.2307,351.4833
127.9409,340.7924,353.7948,136.7321,341.9828,351.4371
128.409,340.6816,353.687,137.2029,341.8889,351.3135
128.5347,341.8248,353.5364,136.5424,342.9457,351.4951
128.9117,341.7995,353.4856,136.9194,342.9274,351.4414
128.2934,341.9141,353.6398,136.9886,343.1302,351.4617
128.9682,341.7043,353.4612,137.6684,342.9484,351.2531
128.7439,341.8402,353.4811,137.429,343.0792,351.2936
128.671,341.8313,353.5916,137.1249,343.0125,351.4496
128.8959,341.8807,353.5891,137.3475,343.0616,351.4548
128.7453,341.9305,353.5879,136.9198,343.0667,351.5201
128.9919,341.8859,353.4965,137.1658,343.0371,351.4238
128.5497,341.823,353.4399,136.9505,343.008,351.3042
128.8271,341.8716,353.3453,137.0158,343.0355,351.2649
129.0838,341.9001,353.2833,137.2697,343.0721,351.2082
129.3537,341.6419,353.199,137.5252,342.8166,351.0891
129.5752,341.6408,353.1661,137.7459,342.8199,351.0566
129.5718,340.9525,353.3809,138.0048,342.1339,351.1087
129.7026,340.8958,353.4475,138.14,342.0686,351.1654
129.1212,340.7004,353.6556,137.3409,341.8017,351.3891
129.3322,340.6744,353.6523,137.5531,341.7764,351.3819
129.5395,340.6561,353.6798,137.7618,341.7545,351.4062
129.8169,339.1512,353.9119,138.3209,340.243,351.3477
129.9096,339.1248,353.9403,138.4156,340.213,351.3714
130.5128,341.1496,353.6323,138.9238,342.2959,351.3904
129.775,342.7962,353.6649,139.2972,344.1225,351.4029
129.8617,342.8594,353.6761,139.3812,344.1831,351.4248
129.6936,344.2856,353.5706,139.1299,345.6204,351.5441
129.6754,344.2922,353.5616,139.1112,345.6284,351.5364
129.6057,344.3256,353.6842,139.0434,345.6419,351.6623
129.0721,341.1771,354.1397,138.4156,342.3808,351.6754
129.0773,341.1994,354.0286,138.4167,342.4199,351.5704
128.1842,338.105,354.5328,136.7166,339.0919,351.791
128.1022,338.2452,354.5317,136.6398,339.233,351.809
128.1248,338.2816,354.5081,136.66,339.272,351.7916
128.7352,338.8716,354.3012,137.0051,339.858,351.7381
128.7277,338.9118,354.296,136.9955,339.899,351.7391
128.6842,339.6663,354.2115,136.893,340.6635,351.7815
129.0077,340.5775,354.0089,137.419,341.6464,351.6714
128.9847,340.5957,354.0022,137.3949,341.6653,351.6676
129.7934,341.3355,353.703,137.9346,342.4183,351.5433
129.7513,341.3817,353.7098,137.8905,342.4632,351.5569
129.8987,341.729,353.6409,137.7961,342.7874,351.5935
129.8795,341.7364,353.6484,137.7768,342.7937,351.602
129.8265,342.022,353.6367,137.7078,343.0822,351.6355
129.3387,341.9517,353.7403,137.4379,343.0278,351.6786
129.3015,341.9547,353.7355,137.4005,343.0314,351.6742
129.2933,341.6958,353.7653,137.4076,342.7676,351.6624
