L_Yaw,L_Pitch,L_Roll,R_Yaw,R_Pitch,R_Roll
79.96038,2.877341,0.06541398,90.48943,2.763335,0.8522295
79.96038,2.877341,0.06541398,90.48943,2.763335,0.8522295
80.17165,3.101646,0.04179208,90.49661,2.990978,0.8609222
79.95326,2.877409,0.06541153,90.2835,2.762712,0.8522058
79.95326,2.877409,0.06541153,90.2835,2.762712,0.8522058
80.16363,2.422375,0.112905,90.28803,2.308103,0.8348577
80.16363,2.422375,0.1129033,90.28805,2.308103,0.834857
79.95769,2.421332,0.1131515,90.48408,2.305326,0.8347509
79.7457,1.517417,0.2079423,90.47186,1.395202,0.8000506
79.74501,1.516593,0.208029,90.47102,1.394372,0.8000193
79.74501,1.516593,0.208029,90.47102,1.394372,0.8000193
79.74501,1.516593,0.208029,90.47101,1.394372,0.8000193
80.15882,1.058043,0.2558089,90.4883,0.9384389,0.7826465
80.17766,0.8321873,0.2794712,90.90074,0.7124842,0.7740389
80.17764,0.8321807,0.2794721,90.90074,0.7124842,0.7740389
80.17237,0.3782133,0.3270858,90.90106,0.2564388,0.7566677
76.45818,359.7302,0.3963247,87.20501,359.5602,0.7301505
76.45818,359.7302,0.3963247,87.20501,359.5602,0.7301505
69.95505,352.6324,1.147009,80.79643,352.3801,0.4549562
69.95505,352.6324,1.147009,80.79643,352.3801,0.4549562
69.05806,352.2235,1.190096,79.72658,351.9666,0.4389051
68.27972,352.6605,1.141498,79.42834,352.387,0.4552238
68.27972,352.6605,1.141498,79.42834,352.387,0.4552238
67.97222,352.2327,1.187359,78.82774,351.9624,0.4387459
60.25969,346.0389,0.3238778,71.34354,346.0427,358.3905
58.2091,344.9532,0.3756452,69.67772,344.9697,358.195
56.25135,343.8432,0.3488883,67.46968,343.8791,357.9931
54.63642,342.8416,0.2464238,65.91235,342.9158,357.6891
54.63642,342.8416,0.2464238,65.91235,342.9158,357.6891
47.62988,342.1127,1.239463,59.28821,341.9621,358.4784
46.22567,341.305,1.363286,57.939,341.1474,358.4273
46.70824,341.8521,1.088382,58.22891,341.7513,358.2381
45.88237,341.4393,1.14835,57.43087,341.3354,358.2098
44.47422,341.4579,1.079638,56.03444,341.3649,358.1126
43.08977,341.0314,1.19169,54.67637,340.9259,358.1332
43.08977,341.0314,1.19169,54.67637,340.9259,358.1332
42.43927,340.8483,1.212605,54.03877,340.7426,358.1147
41.78721,340.9733,1.086603,53.53053,340.896,357.9613
42.49824,341.2119,0.809713,54.07318,341.1909,357.7525
41.29319,340.9124,0.897207,52.88938,340.8808,357.7749
43.2915,341.3141,0.2224213,54.79213,341.4228,357.186
43.2915,341.3141,0.2224213,54.79213,341.4228,357.186
42.92618,341.2681,0.110304,54.5089,341.4078,357.0432
45.19786,341.265,359.446,56.55737,341.5432,356.4413
46.98931,341.3741,358.8698,57.92101,341.7468,355.9924
46.98931,341.3741,358.8698,57.92101,341.7468,355.9924
47.29561,341.788,358.7045,58.19746,342.1845,355.9052
47.29561,341.788,358.7045,58.19746,342.1845,355.9052
48.10407,341.9975,358.5254,58.99122,342.4247,355.7713
48.10407,341.9975,358.5254,58.99122,342.4247,355.7713
48.65485,341.6407,358.4636,59.56025,342.0883,355.6577
49.43583,341.7781,358.2972,60.33052,342.2531,355.522
51.11676,341.9601,358.0407,62.20079,342.5009,355.265
53.05052,343.1342,357.722,64.26015,343.7376,355.1118
53.05052,343.1342,357.722,64.26015,343.7376,355.1118
54.31458,344.0337,357.5071,65.47519,344.6605,355.0516
56.00071,344.2322,357.4377,67.14974,344.8681,355.0235
55.18518,345.365,357.6933,66.46812,345.9294,355.4121
57.441,345.526,357.7385,68.71328,346.0785,355.4895
63.4163,345.9051,357.2107,74.28247,346.5508,355.1204
63.4163,345.9051,357.2107,74.28247,346.5508,355.1204
64.83546,346.0073,357.3326,75.69894,346.6288,355.2596
79.64355,345.6699,355.4633,90.97192,346.8213,353.3571
82.9559,345.2502,355.6316,94.31409,346.3762,353.4579
84.65536,345.3217,355.8025,96.0144,346.4137,353.6391
85.87595,344.6038,356.1942,96.94003,345.5874,353.962
89.24657,344.5247,356.5162,100.3216,345.4501,354.2609
89.57827,344.2184,356.8838,100.2798,345.0257,354.6311
92.10086,343.9299,357.2889,103.2262,344.6987,354.9211
95.47095,344.2446,357.6126,106.5862,344.9475,355.3005
95.47095,344.2446,357.6126,106.5862,344.9475,355.3005
111.3662,344.5095,356.0997,122.5877,345.6099,353.914
111.3662,344.5095,356.0997,122.5877,345.6099,353.914
114.813,345.0503,356.1758,125.8394,346.1217,354.1002
115.6852,345.014,356.3352,126.7171,346.0566,354.2488
117.3211,343.795,356.5426,128.4279,344.8127,354.2566
117.2106,343.7809,356.8057,128.3254,344.739,354.5045
117.2106,343.7809,356.8057,128.3254,344.739,354.5045
116.5404,343.6598,356.9948,127.4694,344.5511,354.6881
114.6523,343.6692,357.3098,125.5842,344.485,354.9828
114.7489,343.7265,357.3091,125.6778,344.541,354.9929
114.5787,344.3001,357.2159,125.4789,345.1231,354.9962
113.0186,344.4115,357.364,124.2928,345.2298,355.1018
113.0186,344.4115,357.364,124.2928,345.2298,355.1018
112.6941,344.9812,357.4636,123.9415,345.7697,355.314
112.5756,345.3673,357.4014,123.7999,346.1613,355.3205
112.5756,345.3673,357.4014,123.7999,346.1613,355.3205
112.6727,345.666,357.3329,123.8888,346.4701,355.3133
112.8557,345.4154,357.4056,124.0905,346.2103,355.3549
112.6212,345.7015,357.4531,123.8434,346.4819,355.4586
112.5091,345.5552,357.4079,123.735,346.3453,355.3963
112.3349,345.6265,357.4567,123.5583,346.406,355.4583
111.4926,345.6201,357.7064,122.7222,346.3472,355.7101
110.9826,345.5337,357.8727,122.2209,346.2283,355.8765
110.9398,345.8637,357.7671,121.972,346.5585,355.8607
110.9398,345.8637,357.7671,121.972,346.5585,355.8607
114.7461,349.6519,357.0032,125.4032,350.4648,355.7458
114.7461,349.6519,357.0032,125.4032,350.4648,355.7458
114.4623,349.8491,357.0851,125.1147,350.6437,355.8632
114.2867,351.0348,356.9517,125.0702,351.8574,355.8951
114.3103,351.2296,356.9393,125.2853,352.0696,355.9042
113.6447,351.5052,357.052,124.6119,352.3162,356.0556
113.6447,351.5052,357.052,124.6119,352.3162,356.0556
113.1026,351.6895,357.0636,124.0657,352.4929,356.1013
113.1026,351.6895,357.0636,124.0657,352.4929,356.1013
112.7625,351.7943,357.1342,123.8806,352.5925,356.1776
99.92826,353.883,358.0383,110.703,354.3273,357.3411
99.71552,354.0397,358.0058,110.4871,354.4873,357.3387
98.97015,355.1318,358.0147,109.8984,355.5662,357.4964
93.34606,357.0482,358.3318,103.8884,357.3241,358.1267
93.34606,357.0482,358.3318,103.8884,357.3241,358.1267
92.69791,357.2486,358.2092,103.238,357.5435,358.043
79.13643,1.407101,358.7063,89.90174,1.387241,359.1136
76.84711,1.919317,358.6706,87.61694,1.894026,359.1748
76.84711,1.919317,358.6706,87.61694,1.894026,359.1748
74.80978,2.395437,358.3416,85.57331,2.425972,358.9468
72.17066,3.154868,358.057,82.94106,3.224419,358.809
73.20807,3.317621,357.8296,83.78,3.447005,358.63
70.40978,4.2116,357.3892,80.99348,4.406145,358.3522
55.93209,11.03279,356.4172,67.21263,11.17068,358.4027
55.93209,11.03279,356.4172,67.21263,11.17068,358.4027
52.95692,11.70321,355.6855,64.26508,11.96842,357.8196
51.40131,12.70873,355.2448,62.73596,13.03709,357.5524
48.94011,13.53487,354.5308,60.30802,13.99013,357.0151
46.14407,14.15923,353.8368,57.54045,14.73521,356.4604
47.59863,14.05043,353.7361,58.9859,14.68627,356.3637
47.20644,13.01564,353.6044,58.56984,13.72427,356.1081
47.20644,13.01564,353.6044,58.56984,13.72427,356.1081
48.4692,13.24647,353.5813,59.83344,13.99501,356.1392
50.46486,13.32295,354.0251,61.64893,14.00712,356.5816
49.94083,13.39446,354.0598,61.12869,14.07072,356.6301
49.09687,13.4606,353.9465,60.28701,14.15698,356.5318
43.99643,16.26533,353.2098,55.30622,16.98052,356.2134
43.99643,16.26533,353.2098,55.30622,16.98052,356.2134
43.76403,16.43395,353.3199,55.08471,17.12517,356.3563
43.75488,16.60649,353.1805,55.08511,17.3206,356.2546
43.75488,16.60649,353.1805,55.08511,17.3206,356.2546
47.07008,16.80943,353.3738,58.19341,17.49818,356.4776
47.64559,17.03173,353.3992,59.00367,17.74308,356.5681
47.64559,17.03173,353.3992,59.00367,17.74308,356.5681
48.00138,16.4332,353.4983,59.11898,17.10838,356.558
48.51043,16.59547,353.5981,59.63839,17.24915,356.6891
49.14089,16.6968,353.6755,60.05873,17.31168,356.7644
49.56084,16.76974,353.713,60.34991,17.35844,356.8032
49.73221,16.81528,353.7826,60.52433,17.39071,356.8807
50.25902,15.61139,354.2029,61.06227,16.14776,357.121
