L_Yaw,L_Pitch,L_Roll,R_Yaw,R_Pitch,R_Roll
80.56902,1.467207,1.323783,90.47311,1.224294,1.936749
80.13403,1.708637,1.291174,89.82991,1.467716,1.934557
80.13403,1.708637,1.291174,89.82991,1.467716,1.934557
80.13944,1.713633,1.290744,89.83531,1.472971,1.934854
80.13923,1.70804,1.291325,90.04381,1.462374,1.938192
80.16107,2.385518,1.220885,90.06077,2.144799,1.964687
80.12874,1.935443,1.267355,89.61797,1.700777,1.939663
80.12874,1.935443,1.267355,89.61797,1.700777,1.939663
80.12874,1.935443,1.267355,89.61797,1.700777,1.939663
79.61467,1.889564,1.503515,89.29784,1.608648,2.167464
79.14659,0.550498,1.634351,88.85054,0.2553979,2.106457
79.14658,0.5505051,1.63435,88.85049,0.2553928,2.106454
78.72022,0.5638861,1.626041,88.42011,0.2647195,2.099516
78.72022,0.5638861,1.626041,88.42011,0.2647195,2.099516
78.3047,1.033619,1.569829,88.42184,0.7227244,2.116903
78.3047,1.033619,1.569829,88.42184,0.7227244,2.116903
78.07948,1.043004,1.565098,87.99231,0.7350153,2.110017
77.40704,1.403998,1.515862,87.38068,1.089793,2.112919
77.56069,0.7942225,1.550911,87.47237,0.4841086,2.051891
77.56069,0.7942225,1.550911,87.47237,0.4841086,2.051891
77.35524,0.8245022,1.549203,87.26516,0.5148345,2.048476
77.15914,0.6714558,1.55774,87.06882,0.3625979,2.030544
76.90163,0.27917,1.512443,86.8138,359.9833,1.925331
76.3258,0.02391543,1.29859,86.23917,359.7687,1.670729
71.99289,354.2497,1.80149,81.57133,353.9548,1.329399
68.1634,345.9354,2.719882,77.57646,345.6187,1.000073
67.31744,345.3881,2.748246,76.75385,345.0743,0.935463
66.17487,345.0387,2.782234,75.62727,344.7236,0.910409
61.57409,345.0931,2.83321,71.22054,344.7484,0.9509038
61.57409,345.0931,2.83321,71.22054,344.7484,0.9509038
53.54464,344.0126,3.176595,63.68053,343.583,1.081276
53.54464,344.0126,3.176595,63.68053,343.583,1.081276
50.17791,340.0284,3.898602,60.92889,339.5327,1.096682
47.15415,339.1354,4.262372,57.9812,338.5865,1.276376
45.45298,338.225,4.400074,56.34841,337.6682,1.227276
45.45298,338.225,4.400074,56.34841,337.6682,1.227276
43.18138,338.755,4.39754,54.39033,338.144,1.237587
41.84315,340.5902,4.233685,52.62175,339.978,1.410897
40.51976,342.167,3.989149,51.22924,341.5475,1.397368
38.87093,341.4482,4.161703,49.625,340.8108,1.426132
38.25775,342.8088,4.035081,49.30014,342.1358,1.444901
37.44705,342.5227,4.117115,48.50671,341.84,1.468062
38.61814,344.6056,3.551703,49.18441,344.0036,1.277513
38.32415,344.6882,3.484039,48.88511,344.1027,1.202648
38.32415,344.6882,3.484039,48.88511,344.1027,1.202648
40.67926,344.967,2.794216,51.00478,344.5306,0.586527
40.0517,344.7865,2.858181,50.38597,344.342,0.6159962
40.07658,345.4824,2.670367,50.15435,345.0646,0.5708675
39.07998,345.2011,2.83114,49.17051,344.7602,0.6786718
39.07998,345.2011,2.83114,49.17051,344.7602,0.6786718
39.8677,345.5851,2.551196,49.9347,345.1993,0.4543401
40.34634,345.4386,2.416381,50.41762,345.0905,0.2952357
40.70834,345.6138,2.242631,50.98665,345.3017,0.1022957
40.70834,345.6138,2.242631,50.98665,345.3017,0.1022957
43.15147,346.4292,1.572712,53.59588,346.2513,359.5205
43.15147,346.4292,1.572712,53.59588,346.2513,359.5205
43.23832,346.502,1.580204,53.6795,346.3216,359.5415
44.19382,347.0191,1.439642,54.17859,346.8521,359.5779
44.3669,346.9809,1.482208,54.35329,346.8072,359.613
46.69639,348.5063,0.9546998,56.65606,348.4176,359.3173
46.69639,348.5063,0.9546998,56.65606,348.4176,359.3173
47.07008,348.6506,0.9012935,57.02461,348.5687,359.2901
48.02264,348.2241,0.9459524,57.94976,348.1414,359.284
48.48475,348.2493,0.9918028,58.41081,348.1576,359.3332
48.65904,348.1641,1.233385,58.59475,348.0217,359.5606
49.3658,346.9772,1.508705,59.77668,346.8097,359.5776
51.05601,347.0272,1.510599,61.47611,346.8589,359.5942
51.05601,347.0272,1.510599,61.47611,346.8589,359.5942
54.31998,347.5714,1.239002,64.71554,347.4422,359.4359
54.31998,347.5714,1.239002,64.71554,347.4422,359.4359
57.09925,348.1344,1.325584,67.47283,347.9806,359.625
69.58153,339.8531,0.4587037,79.95724,340.0492,357.5643
80.05979,333.3009,0.4281243,91.20998,333.6082,356.3873
90.73427,333.0619,359.831,102.7288,333.5979,355.6924
90.73427,333.0619,359.831,102.7288,333.5979,355.6924
94.00408,333.177,0.09104542,105.9919,333.6624,355.9723
100.4002,334.2326,359.3891,112.8766,334.9587,355.4425
106.5385,339.0723,358.945,118.6202,339.8404,355.8849
108.0944,339.0606,359.1938,120.1823,339.7803,356.1244
111.2697,343.7163,359.0155,123.0499,344.4174,356.7
112.7092,346.6602,358.9038,124.3273,347.3499,357.0438
115.8138,347.6245,359.3066,127.3894,348.2267,357.5712
119.0525,347.2263,359.4163,130.6467,347.8151,357.5967
119.0525,347.2263,359.4163,130.6467,347.8151,357.5967
120.6484,347.1107,359.3629,132.2468,347.7123,357.5207
123.0735,345.9994,359.5295,134.7277,346.5786,357.4953
125.8972,345.5184,359.6903,137.5775,346.076,357.5523
125.6741,345.3107,359.9646,137.0989,345.7879,357.8102
125.198,345.6706,0.4563604,136.2444,346.0093,358.3801
126.0599,345.6196,0.5257986,137.1094,345.9448,358.4365
124.5032,345.8831,1.12853,135.3449,346.0607,359.0804
125.2407,345.8233,1.173098,136.0855,345.9937,359.1125
120.972,347.1862,1.976738,131.3422,347.1428,0.1621947
118.9378,347.706,2.189518,129.5004,347.5926,0.4031989
118.9378,347.706,2.189518,129.5004,347.5926,0.4031989
118.2107,348.4,2.180886,128.7369,348.2694,0.497647
118.2461,348.4586,2.142255,128.7699,348.333,0.469568
116.3801,348.6924,2.278139,126.9066,348.5193,0.6388853
114.9186,348.9377,2.268425,125.4356,348.7497,0.6715346
114.9186,348.9377,2.268425,125.4356,348.7497,0.6715346
114.4045,349.188,2.161913,124.9121,349.0146,0.6128772
114.1756,349.4793,2.002758,124.8747,349.3351,0.4797425
113.2313,350.0454,1.831701,123.9111,349.9225,0.418316
113.2313,350.0454,1.831701,123.9111,349.9225,0.418316
113.1796,350.1767,1.648535,123.2385,350.0905,0.3785851
112.0367,350.6295,1.679488,122.0868,350.5287,0.5094833
112.0367,350.6295,1.679488,122.0868,350.5287,0.5094833
111.1919,350.6762,1.680817,121.0465,350.5726,0.5800269
110.2791,351.4705,1.613573,120.1121,351.3666,0.6512583
108.3062,351.4024,1.728758,118.1573,351.2671,0.7928668
100.4552,351.8136,1.840962,110.2993,351.5977,0.9890145
99.33366,352.6037,1.614161,109.1592,352.4145,0.9017046
91.48505,352.8941,1.323234,100.8815,352.7073,0.6811879
91.48505,352.8941,1.323234,100.8815,352.7073,0.6811879
80.32904,354.4041,0.3974107,89.93195,354.2909,0.02155328
75.46844,0.4665366,359.2611,85.70609,0.3935038,359.8125
72.99375,1.41205,358.5329,83.23475,1.453851,359.2648
72.99375,1.41205,358.5329,83.23475,1.453851,359.2648
63.05361,8.841345,356.9018,74.18345,8.97987,358.7978
60.41984,9.162589,356.4005,71.55954,9.390706,358.3684
58.90324,12.77977,355.7678,70.15085,13.05319,358.2852
58.42341,13.4921,355.5497,69.47562,13.79761,358.1821
58.42341,13.4921,355.5497,69.47562,13.79761,358.1821
55.79108,14.04155,355.0855,66.86909,14.42341,357.8346
53.8241,14.16313,354.3811,64.69293,14.67694,357.1817
53.8241,14.16313,354.3811,64.69293,14.67694,357.1817
51.40956,14.83527,353.7626,62.30912,15.45006,356.7041
45.56736,17.29161,352.5028,57.17789,18.11118,355.928
43.29619,17.31856,352.1022,54.90471,18.21455,355.5395
42.22197,17.56619,351.7143,53.84299,18.5316,355.2101
43.82936,18.04091,351.7306,55.30547,19.00108,355.2972
42.88619,18.23333,351.4445,54.37223,19.24373,355.0559
44.79789,17.61732,351.7408,55.38,18.50393,355.1298
44.16983,17.72406,351.631,54.75731,18.62807,355.042
45.65435,17.64694,351.98,56.23132,18.53397,355.3929
47.46758,18.08492,352.351,57.88011,18.92133,355.8116
47.46758,18.08492,352.351,57.88011,18.92133,355.8116
48.49434,17.99063,352.6867,58.87277,18.79645,356.1392
47.9374,18.35686,352.7132,58.33883,19.15149,356.2351
49.6739,18.68836,353.1027,59.88205,19.42395,356.6381
49.57304,17.0908,353.2515,60.35617,17.89333,356.6933
49.38826,17.26367,353.1238,60.18076,18.08599,356.6013
51.08809,17.41317,353.4312,61.88247,18.20312,356.941
51.96696,17.8228,353.4354,62.57339,18.6018,356.9838
51.96696,17.8228,353.4354,62.57339,18.6018,356.9838
53.61856,17.63426,353.7712,64.2112,18.37647,357.3026
53.79641,17.79685,353.761,64.39896,18.53807,357.3241
54.56323,18.08247,353.7926,64.96628,18.8027,357.355
58.22179,21.53448,354.1691,69.03848,22.19327,358.3587
58.22179,21.53448,354.1691,69.03848,22.19327,358.3587
58.70052,21.65607,354.2119,69.52679,22.30524,358.4256
61.96016,22.04735,354.8603,72.82317,22.60809,359.1503
63.51203,22.24708,355.1077,74.37995,22.76082,359.4324
65.64627,21.8365,355.7015,76.8694,22.25921,0.06297587
66.69102,21.92865,355.8911,77.92155,22.31537,0.2689037
76.40369,22.22885,358.4618,87.85998,22.25228,2.943992
78.85279,22.25252,359.0253,90.30647,22.17193,3.50122
94.67558,22.12185,3.287702,106.2247,21.42761,7.738673
97.35217,21.97273,3.802692,108.8787,21.18604,8.208629
98.77914,21.87557,4.092792,110.2922,21.03662,8.472062
100.9914,21.25178,4.604187,112.5769,20.29144,8.887691
100.9914,21.25178,4.604187,112.5769,20.29144,8.887691
103.9763,21.08306,5.302719,115.5313,19.99548,9.531388
109.4493,20.62915,6.560049,121.2952,19.26011,10.75193
112.406,20.35479,7.256674,124.2093,18.85784,11.36818
114.189,20.12162,7.722638,125.9638,18.54302,11.77537
114.189,20.12162,7.722638,125.9638,18.54302,11.77537
116.8993,19.87394,8.385514,128.633,18.17365,12.36475
120.742,20.24396,9.112032,132.4622,18.40446,13.11299
120.742,20.24396,9.112032,132.4622,18.40446,13.11299
122.3788,20.19738,9.446862,134.0749,18.2885,13.41966
122.5272,20.06672,9.494068,134.2121,18.11635,13.48752
122.5272,20.06672,9.494068,134.2121,18.11635,13.48752
124.1549,22.66788,10.75165,135.6656,20.50441,15.18187
124.9893,22.58857,11.02638,136.4811,20.37611,15.43018
123.3696,23.17943,10.58477,134.5401,21.11174,15.00351
123.9362,23.11866,10.76932,135.0938,21.01925,15.16931
123.4679,23.22804,10.58005,134.2701,21.24586,14.90466
121.6077,23.48773,9.895135,133.1759,21.39245,14.47781
121.8382,23.44567,9.893931,133.4032,21.35147,14.46762
120.2359,23.32759,9.260322,131.1134,21.50023,13.64314
120.3851,23.2797,9.228724,131.2603,21.45869,13.60284
118.7495,23.09637,8.630049,129.8412,21.30911,13.04965
118.7495,23.09637,8.630049,129.8412,21.30911,13.04965
117.0816,23.87924,7.875031,128.4579,22.15519,12.50172
117.0816,23.87924,7.875031,128.4579,22.15519,12.50172
116.6799,23.7549,7.681238,128.0539,22.06825,12.28764
115.7246,23.47394,7.292243,126.6951,21.9446,11.74008
115.7246,23.47394,7.292243,126.6951,21.9446,11.74008
115.3494,23.3335,7.137109,126.3128,21.83424,11.56014
115.0582,23.13853,6.928671,126.214,21.64732,11.36763
114.3127,22.19262,6.635892,125.6021,20.73359,10.9565
114.3127,22.19262,6.635892,125.6021,20.73359,10.9565
114.7735,21.82244,6.542624,125.6503,20.4881,10.68067
114.1244,21.5727,6.255212,124.9925,20.29322,10.35064
113.4154,21.29863,5.967204,124.273,20.07457,10.0151
112.2761,19.48191,5.561159,122.8271,18.39574,9.248469
111.5844,12.26296,5.695877,122.2447,11.16332,8.344903
112.6387,3.795995,6.357564,123.3495,2.647462,7.790688
112.6387,3.795995,6.357564,123.3495,2.647462,7.790688
109.0898,359.613,4.820823,119.8142,358.801,5.58689
109.0898,359.613,4.820823,119.8142,358.801,5.58689
105.6078,358.5116,3.385987,116.7173,357.9725,4.024859
94.28783,357.5317,1.244597,104.4734,357.3512,1.557859
94.28783,357.5317,1.244597,104.4734,357.3512,1.557859
