L_Yaw,L_Pitch,L_Roll,R_Yaw,R_Pitch,R_Roll
83.02666,0.4079089,2.896343,92.69884,359.8805,3.312624
83.02666,0.4079089,2.896343,92.69884,359.8805,3.312624
82.87105,359.6706,2.973289,92.57647,359.1362,3.284107
82.81567,359.6737,2.972689,92.57647,359.1362,3.284106
82.81567,359.6737,2.972689,92.57647,359.1362,3.284106
82.8112,359.5983,2.980642,92.64738,359.0569,3.281499
82.8302,359.7968,2.959745,92.65627,359.2571,3.289003
82.83022,359.7968,2.959744,92.65627,359.2571,3.289002
82.95379,359.5902,2.982204,92.73235,359.0531,3.281757
82.95379,359.5902,2.982204,92.73235,359.0531,3.281757
82.93777,359.3112,3.011695,92.72455,358.7721,3.271301
82.93777,359.3112,3.011694,92.72455,358.7721,3.271301
82.93777,359.3112,3.011694,92.72455,358.7721,3.271301
83.00739,359.3072,3.012446,92.73782,358.7715,3.271345
82.79845,359.4831,2.992776,92.7318,358.9367,3.277431
83.08364,359.5109,2.991218,92.74029,358.9802,3.279082
83.08364,359.5109,2.991218,92.74029,358.9802,3.279082
82.5565,359.5424,2.985253,92.34772,358.9999,3.277916
82.34637,359.5547,2.98283,92.0049,359.0157,3.276741
82.34637,359.5547,2.98283,92.0049,359.0157,3.276741
72.59598,350.0767,3.947638,81.87056,349.4856,2.862608
69.62819,345.7472,4.4345,79.50762,345.1268,2.700437
69.04453,345.2343,4.489986,79.19962,344.5913,2.680583
69.04453,345.2343,4.489986,79.19962,344.5913,2.680583
69.04455,345.2343,4.489985,79.19963,344.5913,2.68059
69.02366,345.2362,4.489361,79.02112,344.6084,2.67833
69.07393,345.6696,4.434599,79.05094,345.0415,2.691084
65.03407,344.6905,5.488615,75.04893,343.9,3.556808
64.18275,344.4801,5.599868,74.20729,343.6745,3.628073
56.99117,342.8967,5.904953,67.61747,342.0001,3.692606
56.99117,342.8967,5.904953,67.61747,342.0001,3.692606
49.82691,339.6046,6.760734,61.45826,338.4902,3.959912
49.82691,339.6046,6.760734,61.45826,338.4902,3.959912
47.62229,339.032,7.062991,59.29582,337.8723,4.133655
47.14651,338.4107,7.308694,58.6238,337.2673,4.241172
47.14651,338.4107,7.308694,58.6238,337.2673,4.241172
44.76707,337.7426,7.600488,56.29706,336.5587,4.384681
45.82961,337.1912,7.612488,56.82674,336.1158,4.314953
45.38109,336.4476,7.689721,56.12266,335.4207,4.257445
43.06651,335.8323,7.887939,53.85894,334.7824,4.327074
43.06651,335.8323,7.887939,53.85894,334.7824,4.327074
43.99264,335.0832,7.723458,54.48275,334.1202,4.041149
41.94836,334.6967,7.764605,52.47271,333.7314,3.997434
40.55542,334.6137,7.64921,51.32328,333.6364,3.819396
40.55542,334.6137,7.64921,51.32328,333.6364,3.819396
39.98624,335.6991,7.401324,50.64461,334.7378,3.763623
39.79256,335.4035,7.179862,50.15519,334.517,3.524725
39.79256,335.4035,7.179862,50.15519,334.517,3.524725
40.11959,336.6954,6.709702,50.60002,335.8345,3.240525
39.03596,336.4344,6.719473,49.53775,335.5762,3.198025
41.04019,336.6194,6.250609,51.39143,335.8487,2.782331
42.12849,337.5239,5.904895,52.39737,336.7949,2.595845
42.30196,337.4371,5.886432,52.57754,336.7122,2.56083
42.30196,337.4371,5.886432,52.57754,336.7122,2.56083
43.38725,337.4928,5.751842,53.89688,336.7773,2.394542
44.21593,337.5939,5.674973,54.37523,336.9093,2.393819
44.21593,337.5939,5.674973,54.37523,336.9093,2.393819
45.01361,337.8677,5.574543,55.35325,337.1844,2.305136
45.72541,337.9748,5.523756,56.00968,337.3008,2.279903
46.38768,337.8996,5.399089,56.67834,337.2474,2.142078
46.38768,337.8996,5.399089,56.67834,337.2474,2.142078
62.50499,338.0755,2.656126,73.47666,337.9515,359.354
62.50499,338.0755,2.656126,73.47666,337.9515,359.354
64.75149,338.4742,2.437466,75.29804,338.3717,359.2798
66.79616,338.5589,2.316906,77.33604,338.4756,359.1779
66.79616,338.5589,2.316906,77.33604,338.4756,359.1779
69.23435,338.5613,2.296865,79.77296,338.4813,359.1588
71.97506,337.3866,2.35658,82.69111,337.3112,359.0011
77.13712,337.155,1.978776,87.60547,337.1397,358.64
77.13712,337.155,1.978776,87.60547,337.1397,358.64
91.72587,334.3474,0.6148494,104.1811,334.8189,356.5538
91.72587,334.3474,0.6148494,104.1811,334.8189,356.5538
96.31459,334.2476,0.3572303,108.5324,334.7431,356.33
99.59449,334.3721,0.2482273,111.7982,334.8868,356.2464
99.59449,334.3721,0.2482273,111.7982,334.8868,356.2464
103.6989,335.1847,0.03383245,115.9957,335.7507,356.1553
103.6989,335.1847,0.03383245,115.9957,335.7507,356.1553
106.0938,335.6059,359.9398,118.1709,336.1549,356.1645
108.5717,335.6513,359.7926,120.284,336.1755,356.0824
108.5717,335.6513,359.7926,120.284,336.1755,356.0824
111.6082,337.1697,359.368,123.1795,337.7578,355.9349
114.8669,337.1807,359.2876,126.4358,337.7831,355.8593
122.1832,335.5023,357.292,134.4758,336.6583,353.4385
124.8304,336.0825,357.1441,137.0674,337.2614,353.3859
125.4517,336.5002,357.4815,137.6987,337.6037,353.7556
125.4517,336.5002,357.4815,137.6987,337.6037,353.7556
127.7657,336.3972,357.4343,140.0203,337.5123,353.6862
128.4455,336.6284,357.6543,140.1515,337.6036,354.0339
126.8989,337.8003,358.0878,138.3656,338.6483,354.672
126.8989,337.8003,358.0878,138.3656,338.6483,354.672
126.6421,338.5784,358.499,137.3019,339.2437,355.3532
128.056,338.6658,358.5941,138.7114,339.3131,355.4636
127.6802,338.91,359.0674,138.7144,339.5046,355.8819
125.9081,339.0004,359.7999,137.1456,339.4619,356.5636
125.9081,339.0004,359.7999,137.1456,339.4619,356.5636
126.2123,339.0757,359.8818,137.4456,339.5209,356.6593
125.2153,338.8879,0.3789403,136.1852,339.2113,357.1748
123.9996,338.338,0.8834485,134.4922,338.5308,357.6869
122.965,337.8245,1.304067,133.8091,337.9611,357.953
122.965,337.8245,1.304067,133.8091,337.9611,357.953
122.5943,338.0903,1.460079,133.2684,338.1852,358.1895
121.1826,338.1589,1.80935,131.9793,338.1914,358.5266
120.6143,338.5062,1.899313,131.3858,338.5169,358.6848
120.6143,338.5062,1.899313,131.3858,338.5169,358.6848
119.4383,339.3474,2.127264,129.6587,339.2859,359.1519
117.587,339.7617,2.502572,127.634,339.6219,359.6197
101.8027,344.7996,4.751607,111.8546,344.1092,2.596572
99.17095,346.2505,4.795304,109.1541,345.5306,2.901237
93.00552,347.3199,5.386669,102.4894,346.4685,3.731204
93.00552,347.3199,5.386669,102.4894,346.4685,3.731204
91.82135,347.7814,5.356118,101.2877,346.9286,3.779026
90.53255,348.2843,5.383148,99.97972,347.4202,3.890516
85.06593,350.6706,5.420818,94.52977,349.7695,4.317758
84.59814,350.9509,5.392193,94.45982,350.0327,4.313785
81.0233,352.246,5.468347,90.84758,351.296,4.613465
81.0233,352.246,5.468347,90.84758,351.296,4.613465
74.19152,355.3596,5.328272,83.5741,354.401,4.985504
74.19152,355.3596,5.328272,83.5741,354.401,4.985504
70.64873,356.7152,5.192338,80.0144,355.7606,5.072824
59.86715,4.93045,3.876696,69.78506,3.863497,5.002466
55.82216,9.913405,3.020338,66.34698,8.830784,4.930622
52.61761,11.26464,2.257466,63.20013,10.29649,4.43401
51.12903,11.89628,1.853645,61.74137,10.99012,4.156535
49.37767,11.23087,1.392647,59.6091,10.47303,3.622723
48.05706,11.76975,1.105741,58.31133,11.05332,3.438647
48.68766,11.54429,1.119722,58.613,10.88996,3.39704
49.60917,10.53138,1.329244,59.4017,9.902989,3.448567
47.3144,11.53259,0.7653472,57.14577,10.98384,3.067502
47.3144,11.53259,0.7653472,57.14577,10.98384,3.067502
49.70083,10.76689,1.322596,59.2396,10.20192,3.462127
47.54916,11.75167,0.9024505,57.12405,11.24145,3.214985
42.98868,13.66944,359.8043,52.73153,13.26768,2.461156
41.07277,14.40268,359.3552,50.85029,14.06417,2.147092
41.07277,14.40268,359.3552,50.85029,14.06417,2.147092
39.31766,15.08831,358.9171,49.12924,14.81188,1.836489
40.45923,14.13383,359.332,49.70147,13.84633,1.972743
39.72604,14.43079,359.1187,48.98189,14.17265,1.811664
40.63564,14.84568,359.3385,50.07485,14.58278,2.148098
42.14043,13.90073,359.731,51.43375,13.6223,2.365743
42.58296,13.67059,359.9813,52.24718,13.35857,2.690275
42.58296,13.67059,359.9813,52.24718,13.35857,2.690275
