L_Yaw,L_Pitch,L_Roll,R_Yaw,R_Pitch,R_Roll
84.26156,16.83642,358.8925,94.24063,16.92249,1.839154
84.26156,16.83642,358.8925,94.24063,16.92249,1.839154
84.00163,16.86599,358.8742,94.06182,16.94607,1.829355
84.00163,16.86599,358.8742,94.06182,16.94607,1.829355
83.6992,16.92925,358.8496,93.9693,16.99829,1.825992
83.6992,16.92925,358.8496,93.9693,16.99829,1.825992
84.00897,17.26565,358.8311,94.08445,17.34946,1.847974
84.04675,17.26445,358.8335,94.30912,17.34076,1.8612
84.04675,17.26445,358.8335,94.30912,17.34076,1.8612
84.04948,17.09593,358.852,94.30359,17.17086,1.853574
84.04949,17.09592,358.852,94.30358,17.17088,1.853573
84.04949,17.09592,358.852,94.30358,17.17088,1.853573
83.52597,9.061998,359.6776,93.68356,9.058985,1.484548
83.22551,1.571323,0.4463527,93.15841,1.502671,1.162817
83.22551,1.571323,0.4463527,93.15841,1.502671,1.162817
83.22552,1.571326,0.4463543,93.15841,1.502661,1.162816
83.62875,0.8104261,0.5495875,93.77081,0.7332922,1.169758
83.62875,0.8104261,0.5495875,93.77081,0.7332922,1.169758
83.62876,0.810433,0.5495878,93.77081,0.7332922,1.169758
83.2987,0.813574,0.5304567,92.89797,0.7409402,1.118676
83.2987,0.813574,0.5304567,92.89797,0.7409402,1.118676
79.28431,357.4498,0.6561674,89.17724,357.3465,0.7700057
74.72857,349.0995,1.296772,84.01601,348.9735,0.1317914
74.72857,349.0995,1.296772,84.01601,348.9735,0.1317914
74.72858,349.0995,1.296773,84.01603,348.9734,0.1317918
73.4723,348.915,1.241282,82.65888,348.8007,0.04196858
73.4723,348.915,1.241285,82.6589,348.8007,0.04197075
73.4723,348.915,1.241285,82.6589,348.8007,0.04197075
74.01467,349.4521,1.214173,83.04446,349.3362,0.08746336
70.06822,347.4274,1.378955,79.31615,347.3093,359.9153
70.06822,347.4274,1.378955,79.31615,347.3093,359.9153
69.52113,347.6262,1.348277,78.81059,347.5093,359.9116
68.88524,347.3972,1.42464,78.18298,347.2713,359.9491
69.31441,347.5759,1.416405,78.58562,347.4506,359.9672
69.13892,348.3524,1.349185,78.29499,348.2275,0.01709221
68.88145,348.2439,1.360872,78.04112,348.1186,0.0109887
68.31233,348.0344,1.353303,77.87108,347.9122,359.9642
68.31233,348.0344,1.353303,77.87108,347.9122,359.9642
67.84771,348.1233,1.338546,77.16833,348.0023,359.9634
67.65481,348.512,1.301338,77.31194,348.3915,359.978
67.30896,348.4138,1.361054,76.96952,348.2849,0.02006762
66.80788,348.3353,1.504912,76.36114,348.1847,0.1476576
66.80788,348.3353,1.504912,76.36114,348.1847,0.1476576
66.85973,348.1153,1.557066,76.45724,347.9601,0.1643617
66.66223,348.0384,1.640425,76.26253,347.8706,0.2334869
66.3572,348.0429,1.70333,76.19434,347.8629,0.2876765
66.90878,347.9907,1.730141,76.4138,347.8115,0.3154476
66.526,348.6007,1.718132,76.11954,348.4128,0.391207
66.526,348.6007,1.718132,76.11954,348.4128,0.391207
66.52,348.5715,1.764477,76.11446,348.3764,0.4319808
66.95955,348.5108,1.950513,76.44486,348.2891,0.6092081
66.60899,347.8929,2.080116,76.45805,347.6534,0.6325773
66.82957,347.8536,2.100646,76.82219,347.6113,0.6418554
66.82957,347.8536,2.100646,76.82219,347.6113,0.6418554
66.80482,347.8456,2.092174,76.86088,347.6043,0.6299809
66.85831,348.2188,2.068066,76.89986,347.9766,0.6639323
66.8876,348.2343,2.085749,76.92857,347.9886,0.6841633
66.8876,348.2343,2.085749,76.92857,347.9886,0.6841633
67.50794,348.2744,2.180085,77.2245,348.0178,0.7948884
67.50794,348.2744,2.180085,77.2245,348.0178,0.7948884
68.38665,348.2916,2.214142,77.93132,348.0345,0.8376386
68.67373,348.2477,2.294569,78.24133,347.9781,0.9101927
68.67373,348.2477,2.294569,78.24133,347.9781,0.9101927
69.42996,348.209,2.346454,78.72914,347.9368,0.9646217
70.60094,347.8695,2.397138,80.47928,347.5908,0.9468154
70.86707,347.8698,2.437718,80.74535,347.5843,0.9868959
76.88995,347.6487,2.419949,86.87237,347.3983,0.9403741
77.22899,347.6267,2.519408,87.21214,347.3598,1.034525
85.65666,344.327,2.779427,97.11557,344.12,0.7546417
85.65666,344.327,2.779427,97.11557,344.12,0.7546417
87.83913,344.1964,2.850256,99.01672,343.9739,0.8139558
90.29476,345.1169,2.875839,101.6554,344.8957,0.9680278
90.29476,345.1169,2.875839,101.6554,344.8957,0.9680278
92.01015,345.0079,2.977605,103.5426,344.7799,1.038852
93.93732,345.1668,3.051817,105.2371,344.92,1.141667
95.04822,344.7769,3.212493,106.7651,344.5191,1.210497
95.04822,344.7769,3.212493,106.7651,344.5191,1.210497
95.68859,344.7236,3.241616,107.4086,344.4611,1.227788
96.87254,344.8916,3.215266,108.295,344.6258,1.242126
97.52377,345.2758,3.18766,108.9323,345.0117,1.271898
98.76701,345.1966,3.209621,110.1798,344.9299,1.277223
100.5571,345.4076,3.193136,112.0359,345.1461,1.28326
101.0733,346.2466,3.075052,112.6402,346.0022,1.287022
101.547,346.2153,3.059061,113.1154,345.9746,1.264858
102.1115,346.456,2.996717,113.5659,346.2227,1.244886
102.1115,346.456,2.996717,113.5659,346.2227,1.244886
