L_Yaw,L_Pitch,L_Roll,R_Yaw,R_Pitch,R_Roll
81.80611,2.562214,5.493425,90.76053,1.659731,6.108644
81.84741,2.957551,5.453512,90.79437,2.058239,6.125411
81.84741,2.957551,5.453512,90.79437,2.058239,6.125411
82.46424,3.561512,5.346023,92.09157,2.622741,6.043345
82.46426,3.561504,5.34602,92.09157,2.622741,6.043345
82.32214,3.398477,5.372979,91.90654,2.45849,6.050982
82.31971,3.404373,5.372654,91.90398,2.463981,6.051479
82.31971,3.404373,5.372654,91.90398,2.463981,6.051479
82.16547,3.341913,5.391453,91.6982,2.401326,6.065952
81.73775,2.818257,5.475543,91.27905,1.861479,6.074813
81.73775,2.818257,5.475543,91.27905,1.861479,6.074813
81.97282,3.365652,5.405588,91.24135,2.442722,6.106894
81.97282,3.365652,5.405588,91.24135,2.442722,6.106894
81.90935,2.797271,5.463032,91.18673,1.869835,6.083042
82.1055,3.418224,5.389567,91.47601,2.490621,6.089379
82.1055,3.418224,5.389567,91.47601,2.490621,6.089379
82.06525,3.059071,5.425815,91.44133,2.128566,6.07424
81.66631,3.11565,5.454234,91.14164,2.163341,6.101372
81.66631,3.11565,5.454234,91.14164,2.163341,6.101372
71.15084,359.1798,6.605429,80.85229,357.908,6.686935
62.67326,355.4678,7.461854,72.12562,354.064,7.060654
62.67326,355.4678,7.461854,72.12562,354.064,7.060654
61.87486,355.2363,7.524031,71.6191,353.7883,7.077514
61.87486,355.2363,7.524031,71.61911,353.7883,7.077513
57.67095,352.2761,8.689066,67.45605,350.6759,7.726486
56.36934,352.1031,8.880316,66.15543,350.4742,7.889049
55.73556,352.0571,9.000076,65.51978,350.4087,7.99965
52.49656,348.9034,9.777143,62.70547,347.14,8.282336
52.49656,348.9034,9.777143,62.70547,347.14,8.282336
51.79124,348.1718,9.97746,62.02992,346.3909,8.370669
51.23818,348.1065,10.26252,61.47118,346.2768,8.638883
50.23362,347.4624,11.19712,59.94986,345.5886,9.524277
49.33509,347.1816,11.47505,59.43396,345.2,9.721564
49.33509,347.1816,11.47505,59.43396,345.2,9.721564
49.05194,346.7033,11.6593,58.9073,344.7558,9.860085
48.82841,346.7159,11.70558,58.6817,344.7606,9.908325
48.47446,346.6418,11.79826,58.35937,344.6673,9.987073
48.36602,346.6433,11.88737,58.24801,344.6539,10.07591
48.4668,346.5686,11.98736,58.18678,344.5978,10.1798
49.05947,346.5149,11.98799,58.64588,344.5749,10.18317
49.09948,346.4908,12.10398,58.68335,344.5323,10.29436
49.23541,346.4592,12.16745,59.16542,344.4208,10.3119
49.23541,346.4592,12.16745,59.16542,344.4208,10.3119
49.37849,345.8148,12.37752,59.41283,343.7406,10.41329
49.37849,345.8148,12.37752,59.41283,343.7406,10.41329
49.4537,345.8197,12.37805,59.64995,343.7107,10.39616
49.79792,346.0984,12.3683,59.92844,343.9939,10.43185
50.18575,346.0443,12.34913,60.31961,343.9438,10.4029
50.18575,346.0443,12.34913,60.31961,343.9438,10.4029
50.55053,345.6783,12.39882,60.70357,343.5776,10.39533
50.81075,345.697,12.39299,61.12351,343.5622,10.37417
51.11699,345.6698,12.36447,61.43216,343.5405,10.34085
51.54036,345.6561,12.3358,61.80129,343.542,10.3158
51.54036,345.6561,12.3358,61.80129,343.542,10.3158
52.20734,345.5395,12.4144,62.52768,343.4032,10.36497
52.5123,345.4732,12.44178,62.83525,343.3333,10.37981
57.5226,343.1892,12.28216,67.34516,341.2769,9.915295
58.64622,343.0164,12.3374,68.28277,341.1364,9.965863
58.64622,343.0164,12.3374,68.28277,341.1364,9.965863
61.03199,342.5749,12.19879,70.64233,340.7404,9.756097
61.55938,342.4581,12.18974,71.17687,340.6267,9.726397
67.53342,339.8749,11.75959,77.3951,338.1671,8.84414
68.1415,339.7452,11.75729,78.01215,338.0396,8.817894
71.46622,339.1103,11.38901,81.31618,337.4916,8.347201
77.49533,338.272,10.55377,87.95547,336.7538,7.253238
78.48144,338.1661,10.26593,88.95611,336.6983,6.946178
85.44458,338.4878,8.549706,95.77209,337.343,5.317693
85.44458,338.4878,8.549706,95.77209,337.343,5.317693
88.44135,338.7036,8.380311,98.84286,337.583,5.176201
90.80054,338.3868,8.134651,101.1486,337.3207,4.884032
93.51617,337.9943,7.705462,103.9653,337.0065,4.36738
93.51617,337.9943,7.705462,103.9653,337.0065,4.36738
94.63844,337.7744,7.549957,105.1064,336.8165,4.170001
101.6901,337.1902,6.264523,111.8627,336.4864,2.862658
101.6901,337.1902,6.264523,111.8627,336.4864,2.862658
108.2119,336.9832,4.883162,118.6924,336.5333,1.393306
109.4729,338.4451,4.4614,119.8306,338.0611,1.227803
110.5576,338.2901,4.274613,120.9268,337.9399,1.013529
