L_Yaw,L_Pitch,L_Roll,R_Yaw,R_Pitch,R_Roll
78.82495,346.1324,357.7775,90.0563,346.7139,355.7199
78.82495,346.1324,357.7775,90.0563,346.7139,355.7199
79.0626,345.4539,357.7865,90.32429,346.0477,355.6257
79.0626,345.4539,357.7865,90.32429,346.0477,355.6257
79.0626,345.4539,357.7865,90.32429,346.0477,355.6257
78.99717,346.1436,357.7337,90.04318,346.7203,355.7084
78.97774,346.3826,357.7197,90.01276,346.9579,355.7316
78.97774,346.3826,357.7197,90.01276,346.9579,355.7316
78.77984,346.1565,357.7839,90.00935,346.7363,355.7312
78.77984,346.1565,357.7839,90.00935,346.7362,355.7312
78.75134,346.3821,357.7655,89.78751,346.9465,355.776
78.75134,346.3821,357.7655,89.78751,346.9465,355.776
78.97916,345.938,357.7737,89.8398,346.495,355.7475
79.42222,346.4094,357.653,90.4528,347.0011,355.6724
79.44903,345.7295,357.7181,90.51267,346.3207,355.6324
79.44903,345.7295,357.7181,90.51267,346.3207,355.6324
79.86867,346.201,357.6015,90.71069,346.7939,355.6222
79.86867,346.201,357.6015,90.71069,346.7939,355.6222
79.86867,346.201,357.6015,90.71069,346.7939,355.6222
74.28217,343.9872,358.7544,85.2627,344.3542,356.3958
74.28217,343.9872,358.7544,85.2627,344.3542,356.3958
69.02545,340.1745,0.0509153,80.03378,340.3338,357.0887
64.63866,338.8913,0.1207365,75.73866,339.0618,356.8948
62.75258,338.3631,0.1005473,73.86346,338.5463,356.7715
62.75258,338.3631,0.1005473,73.86346,338.5463,356.7715
61.33573,338.2892,359.9129,72.06185,338.4954,356.6384
60.31684,337.9722,359.7145,71.48566,338.2406,356.2823
60.31684,337.9722,359.7145,71.48566,338.2406,356.2823
58.3675,337.2611,359.7368,69.59233,337.5397,356.1617
55.06842,336.0569,0.1949247,66.51696,336.2733,356.3555
55.06842,336.0569,0.1949247,66.51696,336.2733,356.3555
53.40223,335.5738,0.2231251,64.89378,335.7946,356.278
49.6514,334.1874,0.9915442,61.55402,334.2925,356.6927
48.10295,333.1839,1.217185,60.06489,333.2703,356.721
48.10295,333.1839,1.217185,60.06489,333.2703,356.721
47.71388,333.4138,1.031127,59.29585,333.526,356.6609
48.67769,333.157,0.5567807,60.05745,333.3647,356.1921
47.7181,332.7545,0.6697349,59.13956,332.9503,356.2137
47.7181,332.7545,0.6697349,59.13956,332.9503,356.2137
46.9092,333.0776,0.6909063,58.50782,333.2673,356.223
46.22144,332.7975,0.7818959,57.84984,332.9766,356.2487
46.13473,333.3225,0.6454207,57.50848,333.5069,356.2597
46.13473,333.3225,0.6454207,57.50848,333.5069,356.2597
46.86496,333.4481,0.2949792,58.217,333.6977,355.931
47.46463,333.6935,359.9535,58.56176,333.9905,355.7019
47.46463,333.6935,359.9535,58.56176,333.9905,355.7019
47.76922,333.5884,359.7594,59.10309,333.9374,355.414
48.59115,333.4121,359.4523,59.93301,333.8236,355.076
48.95992,333.2331,359.4159,60.31855,333.6545,355.0012
48.95992,333.2331,359.4159,60.31855,333.6545,355.0012
50.37037,333.5773,359.0491,62.12901,334.095,354.5679
51.32554,333.947,358.8827,63.04713,334.487,354.4698
51.32554,333.947,358.8827,63.04713,334.487,354.4698
52.54192,334.5401,358.6789,64.2095,335.1048,354.3741
54.52013,335.3631,358.2895,66.1022,335.9851,354.1405
54.52013,335.3631,358.2895,66.1022,335.9851,354.1405
57.47179,335.3679,357.8389,68.82578,336.0604,353.7618
60.16921,335.0303,357.6197,71.32464,335.7512,353.5463
62.30124,334.69,357.4649,73.48314,335.4445,353.323
62.30124,334.69,357.4649,73.48314,335.4445,353.323
65.08556,333.9189,357.146,76.55101,334.7744,352.7907
68.3631,333.6648,356.6608,80.04879,334.6467,352.1954
70.63316,333.9188,356.4431,82.29223,334.9356,352.0212
70.63316,333.9188,356.4431,82.29223,334.9356,352.0212
73.36958,333.7455,356.0802,85.0345,334.8362,351.6306
75.73649,332.8087,355.9921,87.88876,333.9909,351.229
75.73649,332.8087,355.9921,87.88876,333.9909,351.229
77.95022,332.6472,355.8742,90.11522,333.8551,351.0771
84.65398,331.1018,354.2507,96.2916,332.5726,349.4427
84.65398,331.1018,354.2507,96.2916,332.5726,349.4427
88.36244,331.0941,353.6057,99.96483,332.6881,348.8243
92.69164,330.5316,352.8764,104.1088,332.2355,348.0903
95.40236,330.7694,352.6182,106.777,332.5143,347.8895
95.40236,330.7694,352.6182,106.777,332.5143,347.8895
98.79877,330.8351,352.136,109.6956,332.5717,347.583
101.4898,330.7732,352.0051,112.3873,332.5327,347.4433
105.0035,331.1056,351.4993,116.7234,333.1445,346.7463
105.0035,331.1056,351.4993,116.7234,333.1445,346.7463
107.4792,332.2447,351.2912,118.8535,334.2567,346.8282
110.2346,331.8024,351.2572,121.4347,333.7785,346.782
110.2346,331.8024,351.2572,121.4347,333.7785,346.782
110.4551,331.7321,351.4405,121.6694,333.6736,346.9421
111.7964,331.7247,351.4153,123.0108,333.6714,346.9169
112.7755,331.6678,351.5055,123.9995,333.6002,346.9914
112.7755,331.6678,351.5055,123.9995,333.6002,346.9914
120.8019,333.982,349.0384,131.6779,336.3528,345.0922
121.3997,334.0804,349.1631,132.269,336.429,345.2266
121.3997,334.0804,349.1631,132.269,336.429,345.2266
121.4129,335.0664,349.3894,132.413,337.4172,345.5506
122.2964,335.5047,349.6998,133.1101,337.7575,345.97
123.0987,335.9662,350.2553,133.6317,338.0578,346.6563
123.0987,335.9662,350.2553,133.6317,338.0578,346.6563
124.1067,335.9153,350.6228,134.66,337.9464,347.0021
123.9669,336.5658,351.3842,135.1451,338.5944,347.6481
123.2828,336.8699,352.6128,134.0681,338.5869,349.0287
123.2828,336.8699,352.6128,134.0681,338.5869,349.0287
119.6427,336.0443,354.541,130.5774,337.4127,350.7488
119.6427,336.0443,354.541,130.5774,337.4127,350.7488
115.5898,335.9951,356.1758,127.0208,337.1097,352.1788
113.6688,336.1787,356.9997,124.6769,337.0864,353.1644
111.244,336.6032,357.8095,122.2366,337.3615,354.0422
108.7339,337.0236,358.4639,119.4818,337.6404,354.8374
108.7339,337.0236,358.4639,119.4818,337.6404,354.8374
105.7116,337.6562,359.2359,116.4235,338.1302,355.7137
91.02713,341.9063,2.82907,101.9331,341.5926,359.8202
91.02713,341.9063,2.82907,101.9331,341.5926,359.8202
89.48678,342.1867,3.202424,100.3703,341.8008,0.2447514
85.13602,343.0238,3.955606,95.96372,342.4927,1.153171
85.13602,343.0238,3.955606,95.96372,342.4927,1.153171
83.54753,343.3138,4.209178,94.35693,342.7321,1.460037
80.66196,344.1968,4.546459,91.6255,343.5384,1.900261
78.13805,344.8988,4.802452,88.42299,344.2043,2.458326
78.13805,344.8988,4.802452,88.42299,344.2043,2.458326
74.49519,347.04,5.079701,85.29941,346.2341,2.927589
64.18684,353.2099,6.423593,74.32365,351.9603,5.318374
59.94061,354.3038,6.8036,70.6835,352.9155,5.745661
59.94061,354.3038,6.8036,70.6835,352.9155,5.745661
57.38331,355.1295,6.839843,68.10736,353.72,5.936192
53.76414,356.485,6.781586,64.45576,355.0631,6.129688
53.76414,356.485,6.781586,64.45576,355.0631,6.129688
52.89567,357.1231,6.42126,63.16735,355.7979,5.963498
52.72786,357.3948,6.219623,63.20063,356.1033,5.780036
51.11218,358.0623,5.992946,61.3853,356.8152,5.706395
51.11218,358.0623,5.992946,61.3853,356.8152,5.706395
49.49681,359.5878,5.759468,59.74784,358.3571,5.715847
47.97296,0.1384769,5.648304,58.22419,358.9179,5.70483
46.26833,6.429696,4.922153,57.11573,5.207508,5.823441
46.26833,6.429696,4.922153,57.11573,5.207508,5.823441
44.76672,6.885782,4.856558,55.42678,5.665271,5.868377
43.92836,6.148067,4.83476,54.58789,4.943959,5.761734
43.92836,6.148067,4.83476,54.58789,4.943959,5.761734
43.67896,6.291902,4.738742,54.34495,5.103349,5.694773
43.2741,6.548371,4.523666,53.9491,5.39465,5.531304
43.2741,6.548371,4.523666,53.9491,5.39465,5.531304
44.9489,7.60991,4.143613,55.81905,6.532183,5.293818
45.16957,7.737909,3.820724,56.04918,6.718253,5.001773
46.06691,8.876589,3.321267,56.78572,7.9375,4.689532
46.06691,8.876589,3.321267,56.78572,7.9375,4.689532
47.95873,9.289468,2.910322,58.86571,8.432574,4.3254
50.52266,9.719069,2.437899,61.2483,8.962092,3.935508
53.56387,10.2779,2.069396,63.88463,9.60211,3.687431
53.56387,10.2779,2.069396,63.88463,9.60211,3.687431
56.72493,10.1665,1.902938,67.04474,9.521872,3.503761
59.44452,10.31247,1.677405,69.77084,9.713039,3.300673
59.44452,10.31247,1.677405,69.77084,9.713039,3.300673
61.72383,10.28091,1.530439,72.25852,9.728927,3.131439
64.7637,10.30072,1.290604,75.0807,9.802767,2.917727
67.25978,10.0514,0.9945098,77.79102,9.611694,2.570912
67.25978,10.0514,0.9945098,77.79102,9.611694,2.570912
69.79816,10.06458,0.5104969,80.33454,9.71181,2.098066
73.86345,11.4036,359.6232,84.41514,11.19182,1.428584
73.86345,11.4036,359.6232,84.41514,11.19182,1.428584
77.09171,11.8003,359.4144,88.05345,11.64255,1.255305
84.18472,13.8223,358.6783,95.13898,13.8688,0.8402422
89.63351,14.67276,358.3359,100.7545,14.79981,0.6339924
89.63351,14.67276,358.3359,100.7545,14.79981,0.6339924
92.34012,15.01503,358.178,103.3024,15.17545,0.5498798
93.82438,14.82713,358.121,104.9212,15.00632,0.4592855
95.84391,14.905,358.0515,106.944,15.09606,0.4053141
95.84391,14.905,358.0515,106.944,15.09606,0.4053141
99.37324,14.62508,357.8763,110.1067,14.88649,0.2206406
104.3634,13.37734,357.9727,115.3386,13.67258,0.1063903
104.3634,13.37734,357.9727,115.3386,13.67258,0.1063903
107.1388,13.17376,357.7273,118.0351,13.54084,359.8367
109.7431,13.0573,357.7906,120.7625,13.42902,359.8627
110.4188,12.92892,357.7924,121.4321,13.3024,359.8389
110.4188,12.92892,357.7924,121.4321,13.3024,359.8389
112.9274,12.61592,357.6852,123.7694,13.04214,359.6972
114.6672,12.4103,357.7474,125.5005,12.82879,359.7186
114.6672,12.4103,357.7474,125.5005,12.82879,359.7186
116.2386,12.29563,357.755,127.15,12.72032,359.6998
117.3604,11.97538,357.8025,128.0844,12.40955,359.7168
118.1242,11.67461,357.874,129.0499,12.09001,359.7204
118.1242,11.67461,357.874,129.0499,12.09001,359.7204
118.7031,11.56461,357.942,129.6238,11.96978,359.7662
118.7031,11.56461,357.942,129.6238,11.96978,359.7662
119.2457,11.60346,358.1095,130.1478,11.98067,359.9313
119.1417,11.47488,358.3247,129.9653,11.81821,0.1256811
119.1417,11.47488,358.3247,129.9653,11.81821,0.1256811
119.0007,10.59409,358.4615,129.8465,10.92492,0.1194274
