L_Yaw,L_Pitch,L_Roll,R_Yaw,R_Pitch,R_Roll
81.44059,359.123,359.1876,92.17358,359.2337,359.434
81.44059,359.123,359.1876,92.17358,359.2337,359.434
81.44059,359.123,359.1876,92.17358,359.2337,359.434
81.44376,358.8952,359.2115,92.17881,359.0047,359.4252
81.65009,358.8989,359.2094,92.19035,359.0069,359.4252
81.65009,358.8989,359.2094,92.19035,359.0069,359.4252
81.44403,358.8969,359.2113,92.17832,359.0066,359.4253
81.44403,358.8969,359.2113,92.17832,359.0066,359.4253
81.444,358.8969,359.2113,92.17832,359.0066,359.4253
79.94408,357.5182,359.3687,90.88204,357.6064,359.3802
79.91489,357.5182,359.369,90.47604,357.5973,359.3829
79.91489,357.5182,359.369,90.47604,357.5973,359.3829
79.90862,357.2917,359.3928,90.27183,357.3653,359.3754
79.90862,357.2917,359.3928,90.27183,357.3653,359.3754
79.84318,357.7199,359.3485,90.20068,357.7935,359.3925
79.84318,357.7199,359.3485,90.20068,357.7935,359.3925
79.7084,357.5162,359.371,90.46431,357.5971,359.3829
79.31924,357.5124,359.3748,90.41737,357.5961,359.3833
79.31924,357.5124,359.3748,90.41737,357.5961,359.3833
79.31924,357.5124,359.3748,90.41737,357.5961,359.3833
57.24242,349.8,2.454154,68.00726,349.2831,1.238326
54.25897,348.8459,3.228498,65.05395,348.2035,1.818552
49.41718,347.5386,4.265414,60.25727,346.7288,2.588185
47.79142,347.1449,4.83014,58.9608,346.2264,3.012436
47.79142,347.1449,4.83014,58.9608,346.2264,3.012436
47.18335,346.6197,5.16632,58.22904,345.6801,3.234949
46.13449,347.1878,5.368817,56.96483,346.2253,3.51428
46.13449,347.1878,5.368817,56.96483,346.2253,3.51428
43.49793,346.71,5.853022,54.34414,345.6673,3.89923
43.09207,347.5071,5.968168,53.90061,346.4425,4.11061
42.36686,348.0461,6.11452,53.34704,346.9419,4.289033
42.36686,348.0461,6.11452,53.34704,346.9419,4.289033
42.27207,347.7051,6.24907,52.85954,346.6258,4.422259
46.45151,347.7971,5.625572,57.44304,346.8634,3.731165
46.45151,347.7971,5.625572,57.44304,346.8634,3.731165
46.30589,348.0812,5.65805,57.27202,347.1457,3.801144
45.6753,347.9479,5.832366,56.64498,346.9821,3.946721
46.00445,347.735,5.90875,57.16829,346.7556,3.947416
46.00445,347.735,5.90875,57.16829,346.7556,3.947416
45.79594,346.9596,6.037001,56.99482,345.9692,3.951503
45.78483,347.0008,6.078715,57.14081,345.9907,3.970984
45.78483,347.0008,6.078715,57.14081,345.9907,3.970984
46.20609,347.024,6.043051,57.56139,346.0201,3.940789
46.47485,347.0366,6.001479,57.67038,346.0491,3.9317
47.66148,347.0501,5.791852,58.85905,346.102,3.727918
47.66148,347.0501,5.791852,58.85905,346.102,3.727918
48.02243,346.7799,5.775809,59.23443,345.8322,3.667949
49.07975,346.6967,5.650006,60.11245,345.7813,3.561203
49.07975,346.6967,5.650006,60.11245,345.7813,3.561203
49.92217,346.608,5.571985,60.76177,345.7112,3.503018
50.66512,346.3926,5.521413,61.90208,345.481,3.337607
51.0924,346.4765,5.486642,62.49413,345.5482,3.276232
51.0924,346.4765,5.486642,62.49413,345.5482,3.276232
52.0903,346.9738,5.260094,63.47879,346.07,3.118162
54.05565,346.7933,4.934412,65.45659,345.9557,2.760968
56.15893,346.687,4.700932,67.56516,345.8965,2.51008
56.15893,346.687,4.700932,67.56516,345.8965,2.51008
58.43816,346.6001,4.405001,69.85135,345.8682,2.201321
60.71561,346.0068,4.071863,71.60697,345.3614,1.885841
60.71561,346.0068,4.071863,71.60697,345.3614,1.885841
60.80187,345.9706,4.055289,71.8986,345.3124,1.821708
64.47477,344.3023,3.571286,75.66111,343.7668,1.072089
64.47477,344.3023,3.571286,75.66111,343.7668,1.072089
67.63815,342.4614,3.250338,78.73003,342.0301,0.4944859
68.95604,342.3017,3.050853,80.05824,341.9099,0.2659799
74.29845,341.8619,2.220288,85.42547,341.6415,359.3614
74.29845,341.8619,2.220288,85.42547,341.6415,359.3614
77.17384,341.5967,1.72682,88.31652,341.4718,358.8228
85.46954,341.6261,359.9421,96.58289,341.8916,357.0789
85.46954,341.6261,359.9421,96.58289,341.8916,357.0789
89.77522,341.4692,359.1444,100.8888,341.8838,356.2663
92.38821,342.1732,358.6482,103.4503,342.6667,355.8951
94.56612,342.262,358.3376,105.818,342.8248,355.5672
94.56612,342.262,358.3376,105.818,342.8248,355.5672
96.73785,342.4716,358.0489,107.9724,343.0841,355.3276
98.86172,342.7369,357.7594,109.8769,343.3822,355.1382
101.2291,343.2715,357.3536,112.5871,344.0253,354.7669
101.2291,343.2715,357.3536,112.5871,344.0253,354.7669
109.3182,345.3736,355.687,120.5063,346.4724,353.5211
110.5478,345.6853,355.5987,121.7194,346.7953,353.4968
110.5478,345.6853,355.5987,121.7194,346.7953,353.4968
111.9298,345.9857,355.4973,122.9018,347.0908,353.4885
113.1136,346.7613,355.3245,124.0429,347.8906,353.453
113.947,347.1099,355.2195,124.6679,348.2307,353.4471
113.947,347.1099,355.2195,124.6679,348.2307,353.4471
114.5578,346.0902,355.3453,125.3304,347.199,353.4293
113.6095,340.8204,357.0982,124.7005,341.7064,354.1049
113.6095,340.8204,357.0982,124.7005,341.7064,354.1049
114.5722,339.1555,358.3448,125.5874,339.8347,355.0414
115.0922,339.0245,358.6079,126.1202,339.6634,355.2735
