L_Yaw,L_Pitch,L_Roll,R_Yaw,R_Pitch,R_Roll
81.06451,350.4053,4.339448,91.14849,349.7361,3.333088
81.06451,350.4053,4.339448,91.14849,349.7361,3.333088
81.06447,350.406,4.339362,91.14871,349.7367,3.333112
81.06447,350.406,4.339362,91.14871,349.7367,3.333112
81.28589,350.3987,4.34607,91.16155,349.7407,3.333555
82.09362,349.6689,4.455807,91.78305,349.0173,3.328776
82.09362,349.6689,4.455807,91.78305,349.0173,3.328776
81.98732,348.3141,4.621035,91.71963,347.6522,3.289317
81.55373,348.3368,4.607075,91.7092,347.6528,3.289067
81.55373,348.3368,4.607075,91.7092,347.6528,3.289067
81.55491,348.3337,4.607482,91.70762,347.6499,3.288949
81.98106,348.3152,4.620751,91.71712,347.6531,3.289274
81.98106,348.3152,4.620751,91.71712,347.6531,3.289274
81.98206,348.3062,4.621897,91.71839,347.6439,3.289058
81.98206,348.3062,4.621897,91.71839,347.6439,3.289058
82.38184,347.8373,4.690977,92.13535,347.1708,3.286748
82.32128,346.932,4.804771,92.5208,346.2368,3.271532
82.32127,346.932,4.804771,92.52079,346.2368,3.271531
82.32127,346.932,4.804771,92.52079,346.2368,3.271531
82.13262,346.3729,4.872139,92.40741,345.6703,3.253985
76.14451,344.3453,4.967739,86.44765,343.6461,3.03722
76.14451,344.3453,4.967749,86.44768,343.6461,3.037217
76.14451,344.3453,4.967749,86.44768,343.6461,3.037217
60.82191,340.6629,4.853972,71.96008,339.9659,2.403195
55.83715,340.9593,4.557459,67.73184,340.1593,2.216619
55.88417,341.5045,4.484361,67.74781,340.7061,2.232485
55.88417,341.5045,4.484361,67.74781,340.7061,2.232485
56.01661,338.8487,5.938142,56.8647,339.9362,3.006911
49.44997,338.887,6.088048,61.49095,337.8444,3.253363
49.44997,338.887,6.088048,61.49095,337.8444,3.253363
48.20263,338.4963,6.365548,60.27401,337.4083,3.438546
51.30952,337.0442,6.805325,55.26396,337.5244,3.70692
47.20171,337.292,7.075825,57.34111,336.5008,3.935319
47.20171,337.292,7.075825,57.34111,336.5008,3.935319
