L_Yaw,L_Pitch,L_Roll,R_Yaw,R_Pitch,R_Roll
84.3772,20.8105,356.1318,95.22362,21.26883,359.5246
84.3772,20.8105,356.1318,95.22362,21.26883,359.5246
84.3772,20.8105,356.1318,95.22362,21.26883,359.5246
82.28407,20.85601,356.2151,93.34455,21.2583,359.5977
82.28407,20.85601,356.2151,93.34455,21.2583,359.5977
82.2841,20.85602,356.2151,93.34455,21.2583,359.5977
82.2841,20.85602,356.2151,93.34455,21.2583,359.5977
81.80527,20.86462,356.2346,93.19624,21.25892,359.6035
81.80525,20.86462,356.2346,93.19626,21.25893,359.6035
81.80525,20.86462,356.2346,93.19626,21.25893,359.6035
82.11372,21.17258,356.0803,93.52871,21.58939,359.5174
81.94571,21.18991,356.0863,93.36126,21.59986,359.5257
81.94571,21.18991,356.0863,93.36126,21.59986,359.5257
84.11758,21.1624,355.9861,95.36891,21.6256,359.436
81.82191,21.16845,356.1205,93.23476,21.56598,359.5529
81.91939,21.16307,356.1382,93.33198,21.55685,359.5694
81.91939,21.16307,356.1382,93.33198,21.55685,359.5694
83.79996,21.12208,356.0735,94.65766,21.55472,359.5244
84.39185,20.44742,355.9067,95.25338,20.91858,359.273
84.39185,20.44742,355.9067,95.25338,20.91858,359.273
85.08996,8.867786,357.2076,95.70785,9.2671,358.8388
85.08996,8.867786,357.2076,95.70785,9.2671,358.8388
84.58508,1.729619,358.0255,94.88512,2.053175,358.639
84.04816,1.566923,358.0473,94.54804,1.886788,358.6353
83.72041,1.653219,358.0389,94.41962,1.974706,358.6389
83.72041,1.653219,358.0389,94.41962,1.974706,358.6389
83.76192,1.642449,358.0166,94.45771,1.968148,358.6151
83.76192,1.642449,358.0166,94.45771,1.968148,358.6151
83.79091,1.518694,358.0107,94.48592,1.847637,358.5864
84.40427,1.40732,358.0526,94.70671,1.724591,358.6154
84.40427,1.40732,358.0526,94.70671,1.724591,358.6154
84.70539,1.798897,358.017,95.00271,2.123409,358.6345
84.54102,1.802303,358.1109,94.84119,2.110838,358.7187
84.54102,1.802303,358.1109,94.84119,2.110838,358.7187
84.2728,1.693909,358.1427,94.56757,1.995422,358.7303
84.32242,356.3638,358.7298,94.69231,356.6304,358.5476
84.32242,356.3638,358.7298,94.69231,356.6304,358.5476
84.61933,356.2503,358.7268,94.9702,356.5216,358.5255
85.4837,357.3708,358.5674,96.01353,357.6739,358.5243
85.4837,357.3708,358.5674,96.01353,357.6739,358.5243
85.48096,357.5971,358.5438,96.00593,357.9016,358.5333
85.48096,357.5971,358.5438,96.00593,357.9016,358.5333
85.78497,357.7469,358.5325,96.49895,358.0624,358.525
85.55598,359.196,358.3709,95.85641,359.5058,358.5794
85.29485,358.8926,358.4333,95.9933,359.2045,358.5685
85.29485,358.8926,358.4333,95.9933,359.2045,358.5685
85.49267,357.5085,358.5789,96.21036,357.8133,358.5039
85.49267,357.5085,358.5789,96.21036,357.8133,358.5039
92.86714,356.4109,358.3401,103.378,356.8521,358.1404
92.86714,356.4109,358.3401,103.378,356.8521,358.1404
93.09182,356.0212,358.4737,103.608,356.4446,358.2003
93.88113,355.8765,358.8037,104.4095,356.2507,358.4813
93.88113,355.8765,358.8037,104.4095,356.2507,358.4813
94.30997,357.3493,358.8136,104.819,357.7116,358.6879
94.54422,357.1161,358.8662,105.0554,357.4731,358.697
94.54422,357.1161,358.8662,105.0554,357.4731,358.697
94.77316,359.7896,358.6025,105.017,0.1674338,358.8265
94.52579,359.8457,358.684,105.1512,0.2074654,358.8742
94.03505,359.5977,358.802,104.6702,359.9319,358.9487
94.03505,359.5977,358.802,104.6702,359.9319,358.9487
93.65411,359.7483,358.7388,104.0992,0.08298581,358.9204
93.20178,0.04574274,358.7199,103.8275,0.3765464,358.9187
93.20178,0.04574274,358.7199,103.8275,0.3765464,358.9187
93.41111,0.01606034,358.7458,104.0369,0.3425926,358.9386
93.41611,0.5070836,358.6419,104.0377,0.8437033,358.9065
93.38689,0.2939424,358.6642,104.0227,0.6258401,358.8968
93.38689,0.2939424,358.6642,104.0227,0.6258401,358.8968
93.63393,0.2889518,358.6804,104.2697,0.6179115,358.9116
93.77033,0.1099005,358.743,104.574,0.4302803,358.9239
94.33845,359.9526,358.8664,104.964,0.2529907,359.0335
94.54329,359.8863,359.0001,105.1695,0.1634554,359.1529
94.54329,359.8863,359.0001,105.1695,0.1634554,359.1529
96.78712,358.5464,359.188,107.4222,358.8289,359.1474
102.7035,356.0032,359.206,113.5173,356.3791,358.8045
102.7035,356.0032,359.206,113.5173,356.3791,358.8045
103.4675,355.8282,359.4969,114.3203,356.1555,359.0545
104.3322,356.3128,359.8146,115.0506,356.5775,359.4524
105.0196,356.2251,0.05079138,115.7404,356.4474,359.668
105.0196,356.2251,0.05079138,115.7404,356.4474,359.668
105.4855,356.7116,0.09072553,115.9557,356.9265,359.792
