L_Yaw,L_Pitch,L_Roll,R_Yaw,R_Pitch,R_Roll
86.06624,6.165298,358.0787,95.38442,6.325422,359.9776
86.06624,6.165298,358.0787,95.38442,6.325422,359.9776
85.63319,6.437079,358.0517,95.15389,6.597818,0.00723928
85.62201,6.733412,358.0196,95.37888,6.89897,0.03750376
85.62201,6.733412,358.0196,95.37888,6.89897,0.03750376
85.64149,6.714555,358.0312,95.39799,6.878433,0.0457866
86.01981,6.739613,358.0358,95.56862,6.901283,0.05590418
85.97623,6.731342,357.9893,95.52483,6.90082,0.008630139
85.85243,6.714663,357.9747,95.17915,6.882181,359.9919
85.85245,6.71466,357.9747,95.17918,6.882191,359.9919
85.5438,6.720051,357.9884,95.311,6.892716,0.004543967
84.96227,6.709082,357.9479,94.72921,6.888742,359.9627
84.63992,6.720387,357.9053,94.40567,6.906896,359.9243
84.93696,6.685337,357.7125,94.72659,6.91276,359.7299
84.93696,6.685339,357.7125,94.7266,6.912751,359.7299
83.87524,5.444697,357.571,93.19273,5.709312,359.3361
83.87524,5.444697,357.571,93.19273,5.709312,359.3361
83.16543,5.374743,357.4384,92.48418,5.661728,359.1931
75.41875,2.910283,357.607,84.31386,3.157556,358.8501
73.40442,2.716051,357.4915,82.29744,2.983513,358.7059
61.89228,355.1842,358.3541,71.60027,355.4971,357.9853
59.47973,354.7965,358.3583,69.19311,355.1142,357.9239
48.58997,351.3385,358.9215,59.77356,351.6808,357.7134
45.14296,349.4317,359.0908,56.64155,349.7925,357.4646
42.41071,348.8848,359.116,53.92971,349.2516,357.3784
40.90642,347.5575,359.2366,52.48144,347.9344,357.2136
39.50809,347.1693,359.1564,51.09915,347.5697,357.0553
36.57443,346.194,359.0951,48.20998,346.6281,356.791
35.00558,346.1688,359.107,46.64222,346.5994,356.8003
31.78065,345.5652,359.0356,43.44602,346.0223,356.6051
30.57076,347.0184,358.6901,42.15965,347.5013,356.5892
29.02122,346.7217,358.6444,40.62286,347.2196,356.4834
27.52839,347.343,358.4373,38.38373,347.8376,356.5041
25.95283,347.1111,358.442,36.81777,347.609,356.4641
26.09937,346.7521,357.9514,36.81897,347.3359,355.936
24.49019,346.4348,358.1003,35.22531,346.9972,356.0214
21.47078,346.0935,358.1046,32.22085,346.6611,355.9603
19.93678,348.3082,357.8506,30.59976,348.8549,356.1931
18.78743,349.3219,357.3356,28.75525,349.8797,356.0074
17.59586,349.1063,357.234,27.56911,349.6846,355.8696
19.50561,349.8161,356.3928,29.09183,350.4852,355.2568
18.48986,349.6019,356.3892,28.08206,350.2746,355.217
20.65119,352.1885,355.6419,30.0428,352.9066,355.0501
20.94847,351.9989,355.386,30.39331,352.7744,354.7617
20.19328,351.8552,355.3902,29.64123,352.632,354.7419
19.75257,351.7323,355.2629,29.22559,352.5367,354.5968
19.1345,351.6277,355.3403,28.611,352.4209,354.6556
18.70295,351.2883,355.38,27.9677,352.0594,354.665
17.48815,350.9646,355.6236,26.97919,351.7259,354.8005
17.0775,350.7056,355.7902,26.57743,351.4433,354.9213
16.61628,350.6432,355.9059,26.11947,351.363,355.0248
16.48601,350.6222,355.8693,25.77308,351.3277,355.0222
