L_Yaw,L_Pitch,L_Roll,R_Yaw,R_Pitch,R_Roll
88.62531,2.236383,359.4764,98.35509,2.24871,0.5198361
88.84076,2.952254,359.4008,98.5957,2.967079,0.5954142
88.84076,2.952254,359.4008,98.59572,2.967079,0.5954138
88.84342,2.518884,359.4464,98.81535,2.531869,0.5496162
88.63831,2.521304,359.4464,98.58653,2.533491,0.5497873
88.63392,2.528408,359.4456,98.58215,2.540223,0.5504956
88.63941,2.52129,359.4464,98.81609,2.532505,0.5496835
88.63938,2.52129,359.4464,98.81609,2.532505,0.5496835
95.25282,3.738941,359.3111,104.9361,3.785853,0.6816758
102.0305,5.431278,359.1251,112.3287,5.5067,0.8635595
102.0305,5.431279,359.1251,112.3287,5.5067,0.8635595
102.0288,5.706618,359.0959,112.3304,5.784629,0.8930194
102.0288,5.706625,359.0959,112.3304,5.784628,0.8930213
102.0286,5.715277,359.0949,112.3126,5.794131,0.8940323
102.0286,5.715276,359.0949,112.3126,5.794131,0.8940323
101.7834,5.707939,359.096,111.6605,5.802544,0.8949202
101.7834,5.707931,359.096,111.6606,5.802541,0.894922
91.68349,4.588744,359.2252,101.7515,4.618382,0.7695571
91.68348,4.588745,359.2252,101.7515,4.618378,0.769556
91.68346,4.588744,359.2252,101.7515,4.618379,0.7695571
88.66721,1.793593,359.5229,98.83801,1.803393,0.4730251
88.64313,1.793754,359.5229,98.6,1.804301,0.4731207
88.64871,2.222796,359.4778,98.59807,2.234355,0.5183269
88.64873,2.222796,359.4778,98.59807,2.234355,0.5183269
88.64871,2.222796,359.4778,98.59807,2.234355,0.5183269
89.08028,2.235293,359.476,98.81621,2.24918,0.5198858
89.08145,2.522478,359.4458,99.0449,2.536064,0.5500578
89.08145,2.522478,359.4458,99.0449,2.536064,0.5500578
89.08199,2.525311,359.4455,99.04504,2.538924,0.5503591
89.08259,2.525655,359.4455,99.04509,2.539271,0.5503948
89.08259,2.525655,359.4455,99.04509,2.539271,0.5503948
89.55295,1.952209,359.5052,99.27762,1.96691,0.4902111
89.55295,1.952209,359.5052,99.27763,1.96691,0.4902111
89.97913,1.372883,359.5657,99.51018,1.387935,0.4293733
89.55793,1.227016,359.5815,99.51785,1.238544,0.4136823
89.56144,1.22128,359.582,99.52133,1.232943,0.4130943
89.55837,1.229818,359.5811,99.51759,1.241358,0.4139771
89.55835,1.229818,359.5811,99.51759,1.241358,0.4139771
89.56252,1.938844,359.5067,99.51981,1.952407,0.4886873
89.56251,1.938845,359.5067,99.51979,1.952406,0.4886861
89.09369,2.249464,359.4745,98.8239,2.263462,0.5213881
89.5435,2.246153,359.4744,99.50966,2.260479,0.5210735
89.5435,2.246153,359.4744,99.50966,2.260483,0.5210739
89.24429,2.516845,359.4462,99.01343,2.531931,0.5496224
89.24429,2.516845,359.4462,99.01343,2.531931,0.5496224
89.24783,1.66388,359.5359,99.00795,1.67662,0.4597038
89.10323,2.799413,359.4166,98.60781,2.816014,0.5795134
89.10322,2.799413,359.4166,98.60781,2.816014,0.5795134
88.41006,2.805007,359.4168,98.3621,2.817037,0.5796208
88.41011,2.811286,359.4161,98.3622,2.823258,0.5802755
88.41006,2.805007,359.4168,98.36211,2.817037,0.5796212
89.07346,2.813452,359.4152,99.04299,2.827723,0.580746
89.07346,2.813452,359.4152,99.04298,2.827741,0.5807465
89.10067,2.808027,359.4157,99.06046,2.822695,0.5802168
89.09657,2.81521,359.415,99.05637,2.829633,0.5809473
101.6417,3.994669,359.2774,111.2477,4.077393,0.7124277
104.0799,3.967989,359.2777,113.8527,4.056819,0.710261
104.0799,3.967989,359.2777,113.8527,4.056819,0.7102614
104.2556,2.872609,359.3929,114.4122,2.93466,0.5920044
104.6439,2.587461,359.4226,114.5116,2.656623,0.5627446
104.644,2.587472,359.4226,114.5116,2.656627,0.5627444
104.6692,2.878915,359.3919,115.3893,2.923138,0.5907922
104.6692,2.878901,359.3919,115.3894,2.923137,0.5907924
105.375,2.578382,359.4228,115.4959,2.641746,0.5611765
105.3707,3.136217,359.3641,115.5002,3.20621,0.6205943
105.3707,3.136207,359.3641,115.5002,3.20621,0.6205943
109.038,3.915924,359.2782,120.0917,3.963891,0.7004535
109.038,3.915924,359.2782,120.0917,3.963891,0.7004535
109.7134,4.158209,359.252,120.3165,4.234454,0.7290091
109.7134,4.158209,359.252,120.3165,4.234454,0.7290087
109.0585,4.213916,359.2467,120.2585,4.256448,0.7313299
109.0754,4.157458,359.2527,119.9099,4.219284,0.7274114
109.0754,4.157458,359.2527,119.9099,4.219285,0.7274069
108.5887,3.670458,359.3046,119.4117,3.726815,0.6754555
108.5887,3.670458,359.3046,119.4117,3.726815,0.6754555
108.1659,3.634463,359.3088,118.5564,3.70973,0.673655
107.1263,2.849564,359.3925,117.7021,2.904942,0.5888762
107.1166,2.847759,359.3927,117.6923,2.902852,0.5886584
105.5714,2.846321,359.3944,116.1105,2.898818,0.5882286
104.7596,4.551337,359.2154,115.1051,4.627035,0.7704728
104.7542,4.543797,359.2162,115.0996,4.61935,0.7696601
102.4651,5.712603,359.0948,113.2243,5.772208,0.8917006
102.4651,5.712603,359.0948,113.2243,5.772218,0.8917056
102.2156,5.709899,359.0953,112.543,5.787706,0.8933496
102.2157,5.709906,359.0953,112.543,5.787706,0.8933477
99.64068,4.595144,359.216,109.4421,4.668291,0.7748344
99.64068,4.595145,359.216,109.4421,4.668292,0.7748314
98.15247,3.460454,359.3373,108.1177,3.511771,0.6527854
95.98128,1.43451,359.5528,105.413,1.468422,0.4378298
96.01514,1.435737,359.5526,105.447,1.471251,0.4381261
93.34222,1.419658,359.5572,103.388,1.440736,0.4349223
93.14597,0.5493596,359.6488,103.1772,0.5658114,0.3430353
93.14595,0.5493597,359.6488,103.1772,0.5658215,0.3430374
92.25753,0.2462602,359.6815,102.0395,0.2610683,0.3110412
92.25755,0.2462671,359.6815,102.0395,0.2610685,0.3110403
91.13926,0.2472864,359.6826,100.8935,0.2599675,0.3109243
91.13579,0.2302782,359.6844,100.8924,0.2428618,0.3091264
91.13579,0.2302782,359.6844,100.8924,0.2428717,0.3091296
91.16063,359.9457,359.7143,101.1247,359.9564,0.2790498
91.16064,359.9457,359.7143,101.1246,359.9564,0.2790507
91.59199,359.9453,359.7138,101.1401,359.9585,0.2792726
91.60442,0.5360199,359.6518,101.5574,0.5498249,0.3413578
91.60442,0.5360199,359.6518,101.5574,0.5498249,0.3413583
92.02506,0.5329457,359.6517,101.8062,0.5486314,0.3412327
92.02506,0.5329458,359.6517,101.8062,0.5486316,0.3412322
92.03649,0.249786,359.6814,102.0403,0.262958,0.31124
92.03649,0.249786,359.6814,102.0403,0.2629583,0.3112374
92.23988,0.2489345,359.6813,102.2522,0.2624232,0.3111829
92.26401,0.2595047,359.6801,102.2703,0.2731154,0.3123047
92.26399,0.2595046,359.6801,102.2703,0.2731154,0.3123047
92.44067,0.8298128,359.6201,102.4635,0.8461841,0.372476
92.44067,0.8298128,359.6201,102.4635,0.8461841,0.372476
