L_Yaw,L_Pitch,L_Roll,R_Yaw,R_Pitch,R_Roll
89.51632,4.558645,359.2307,99.26711,4.581098,0.765616
89.51632,4.558645,359.2307,99.26711,4.581098,0.765616
89.49191,4.558952,359.2307,99.26704,4.581103,0.7656161
89.49191,4.558952,359.2307,99.26704,4.581102,0.7656175
89.49191,4.558952,359.2307,99.26704,4.581102,0.7656175
89.48417,4.822299,359.2029,99.05381,4.846699,0.7936908
88.58444,4.83272,359.2027,98.13839,4.852123,0.7942641
88.58444,4.832721,359.2027,98.13839,4.852123,0.7942641
79.46181,359.7442,359.748,88.50742,359.7299,0.2552797
70.84344,356.5054,0.09775993,80.78278,356.509,359.9167
70.84346,356.5054,0.09776197,80.78278,356.509,359.9167
62.8137,355.1445,0.2497463,73.48871,355.1579,359.774
62.8137,355.1445,0.2497463,73.48869,355.1579,359.774
60.17744,352.3439,0.5501349,71.593,352.3621,359.4769
59.81036,352.1003,0.576567,71.23479,352.1199,359.451
59.77525,352.0946,0.5772157,71.19983,352.1139,359.4504
59.58138,349.5497,0.8517981,71.09189,349.5831,359.1777
59.58138,349.5497,0.851796,71.09187,349.5831,359.1777
59.58138,349.5497,0.8517981,71.09188,349.5831,359.1777
59.58138,349.5497,0.8517981,71.09188,349.5831,359.1777
59.67464,350.5697,0.7412369,71.14783,350.5976,359.2875
59.7431,351.3349,0.6587389,71.19085,351.3586,359.3694
59.74171,351.3426,0.6579127,71.18923,351.3663,359.3702
59.85454,352.6107,0.521942,71.26461,352.6276,359.5053
61.877,353.8344,0.3895579,72.77724,353.8562,359.6361
61.877,353.8344,0.3895579,72.77724,353.8562,359.6361
63.15815,353.9424,0.376798,73.89954,353.9657,359.6477
66.37262,353.942,0.3735414,76.94414,353.9653,359.6477
66.37262,353.942,0.3735414,76.94411,353.9653,359.6477
66.37315,353.9205,0.3758197,76.94361,353.9441,359.6454
66.37314,353.9205,0.3758166,76.9436,353.9441,359.6454
32.06558,344.9957,356.8217,43.49211,345.8735,354.3701
31.19286,344.6334,356.876,42.63883,345.508,354.3489
30.36062,344.2478,356.9067,41.82729,345.1242,354.2998
30.02312,343.8319,356.6404,41.07473,344.7357,354.0227
29.27355,343.4579,356.7061,40.34638,344.3565,354.0124
28.46316,344.1173,356.6987,39.52277,344.9917,354.1628
27.65601,343.7782,356.845,38.73629,344.6319,354.2385
27.95068,343.695,356.5522,38.38463,344.5439,354.0653
27.13757,343.356,356.6156,37.58997,344.1994,354.0635
26.33221,343.0632,356.6658,36.80076,343.9028,354.0574
22.02628,339.5329,357.6991,33.39141,340.3349,354.1549
21.26807,339.2126,357.7606,32.6573,340.0096,354.1477
19.90272,338.3881,357.8971,31.30139,339.1753,354.1144
22.60677,338.4959,357.1717,33.141,339.3471,353.6262
21.34596,338.0293,357.4489,31.91881,338.8413,353.8057
20.92521,339.485,357.3515,31.378,340.2631,354.0604
20.43513,339.23,357.4301,30.90635,339.9981,354.0873
21.71389,339.9887,356.976,31.93285,340.7854,353.8786
21.33734,339.6007,357.234,31.58572,340.3607,354.0577
22.96451,339.2971,356.8667,32.79726,340.0815,353.7524
22.94675,339.43,356.8417,32.77486,340.2121,353.7641
22.24548,339.5234,357.0016,32.55593,340.3181,353.8236
22.05411,339.4803,357.0312,32.36793,340.2708,353.8444
21.6524,340.3398,357.0179,31.91245,341.1079,354.0269
21.67947,340.3513,357.0094,31.93858,341.1211,354.0212
21.19055,340.8949,357.2592,31.42215,341.6105,354.3772
20.83144,342.2836,356.9865,30.50394,342.9723,354.5051
20.06903,347.8187,356.9983,29.50737,348.4288,355.4646
20.61326,343.8638,357.5975,30.46527,344.4511,355.3278
20.55952,341.1625,358.0287,30.5511,341.7266,355.2428
20.66587,340.594,357.9718,30.68969,341.1761,355.0828
20.74362,340.4547,357.8269,30.7734,341.0627,354.915
21.07762,340.5985,357.4616,31.32286,341.2876,354.5116
21.20192,340.492,357.377,31.45186,341.2004,354.3979
21.2964,340.6436,357.2644,31.5351,341.3685,354.3161
21.49214,340.9542,357.09,31.7197,341.7042,354.2007
21.57597,341.1512,357.0475,31.79125,341.9054,354.1958
21.09789,340.7075,357.1297,31.31841,341.4647,354.1656
20.55314,340.0477,357.2534,31.24075,340.8408,354.0298
20.72914,340.4725,357.2488,31.38964,341.2584,354.1093
20.52995,340.3407,357.3324,31.00287,341.1036,354.2001
20.66378,340.2004,357.2211,31.15479,340.993,354.0422
20.75927,340.4531,357.1024,31.23219,341.2615,353.9744
21.00002,341.5885,356.8802,31.37666,342.4071,353.998
21.13711,341.8972,356.8163,31.49501,342.7217,353.9935
29.29681,347.0669,354.6984,38.92017,348.067,353.1064
35.61722,352.9691,353.0776,44.9963,354.129,352.7279
35.83825,353.2424,353.1534,45.21448,354.3864,352.8474
36.35001,353.789,353.2239,45.7283,354.9156,353.0044
36.61476,354.0734,353.2332,45.9892,355.1946,353.0601
36.10428,353.7275,353.5853,45.89732,354.8491,353.2557
36.36095,354.1093,353.6263,46.14918,355.2184,353.3612
35.58912,353.8136,353.8502,45.14264,354.8576,353.5367
36.23311,353.0226,354.059,45.32012,353.993,353.5991
36.41798,353.3653,354.1578,45.50123,354.3159,353.7509
36.82195,354.1904,354.2719,45.90097,355.1134,353.9936
37.10124,354.6283,354.2354,46.17398,355.5516,354.0269
40.64246,358.3671,353.6479,50.0073,359.3707,354.1563
45.27161,5.415846,352.6993,55.3207,6.566385,354.6328
45.68315,5.810233,352.8279,55.74271,6.93189,354.8291
46.78086,6.612124,352.9668,56.86083,7.69727,355.1075
47.36603,6.943809,353.1168,57.45655,7.997761,355.3141
47.2022,5.219931,353.8831,56.97171,6.134215,355.6953
47.54176,4.317959,354.2018,57.30931,5.191578,355.8099
48.05683,4.639421,354.3157,57.83104,5.489088,355.9772
46.84792,2.950769,354.8063,56.50806,3.726109,356.0887
47.18292,3.133504,354.9814,56.84728,3.876911,356.2922
42.91619,1.81112,355.3524,52.447,2.486964,356.377
39.58752,0.6965485,355.5057,48.76772,1.328609,356.2967
39.70481,0.989952,355.5693,48.88685,1.608094,356.4063
39.79953,359.4573,355.7553,48.97188,0.08207735,356.2641
39.81966,359.7687,355.675,48.99133,0.4023216,356.2344
39.79539,359.9526,355.6721,48.96733,0.5843116,356.2609
39.04972,359.6986,355.7408,48.67138,0.3606354,356.27
38.95321,359.843,355.6617,48.57412,0.5162629,356.2161
38.36729,0.5092305,355.4822,48.19822,1.213728,356.1779
38.22888,0.9146259,355.2848,48.05917,1.646877,356.0525
38.2248,0.2950855,355.33,48.05232,1.036008,355.9599
38.57064,0.09195082,355.2704,48.16641,0.8333072,355.8372
38.54632,0.1653779,355.2245,48.14173,0.9130226,355.8044
40.81541,0.4332692,355.2956,50.00099,1.136012,355.9013
40.86711,0.4629039,355.2884,50.05268,1.166419,355.8989
50.74438,8.982962,354.8617,60.86324,9.695332,357.2926
50.85707,9.326165,354.8253,60.98379,10.03935,357.3286
50.94643,9.34571,354.8391,61.07393,10.05623,357.3456
50.88253,9.383593,354.8715,60.7918,10.07516,357.37
50.9739,9.406363,354.9041,60.8842,10.09207,357.4062
51.18499,9.476844,354.9283,61.10418,10.15766,357.4414
51.33651,9.591094,354.9161,61.25911,10.27224,357.4499
52.23955,9.097418,355.0455,61.90982,9.755106,357.4413
52.9064,9.355089,355.0737,63.27187,10.0387,357.5674
53.18977,9.625434,355.0403,63.56362,10.31059,357.5839
59.88935,14.43068,355.1264,70.41986,15.05965,358.6884
60.28989,14.79038,355.2124,70.83887,15.3983,358.8409
61.19757,15.64943,355.3163,71.79179,16.22412,359.1077
60.22166,15.6482,355.1987,70.77999,16.23322,358.9746
60.73251,15.98566,355.2738,71.30944,16.5517,359.1132
