L_Yaw,L_Pitch,L_Roll,R_Yaw,R_Pitch,R_Roll
81.27762,341.8098,3.188671,90.35818,341.5732,0.7407289
81.27762,341.8098,3.188671,90.35818,341.5732,0.7407289
81.27762,341.8098,3.188671,90.35818,341.5732,0.7407289
81.1786,341.5971,3.242827,90.26638,341.3579,0.7606956
82.07854,346.6951,2.34867,90.50802,346.5858,0.7896352
81.91984,346.5617,2.324579,90.9883,346.4577,0.5636762
81.90054,345.9632,2.361276,90.86993,345.8598,0.545063
81.75082,345.9081,2.380369,90.72243,345.8024,0.5550683
82.60841,345.7665,2.118303,91.33588,345.7214,0.3499311
82.4629,345.7898,2.151336,91.18949,345.7395,0.3862416
82.54946,345.8084,2.115998,91.7467,345.7653,0.2180337
82.29651,345.8615,2.163588,91.49171,345.8103,0.2737628
82.5956,346.4663,2.004019,91.82738,346.4435,0.1917764
82.40002,345.9753,2.132514,91.60902,345.934,0.257999
82.15424,345.9644,2.284482,91.36404,345.8997,0.4062501
82.18015,346.5336,2.218518,91.36071,346.4774,0.4290485
82.18015,346.5336,2.218518,91.36071,346.4774,0.4290485
80.77969,346.0522,2.676936,90.42013,345.8998,0.6781778
77.83559,345.278,3.612957,87.42223,344.9378,1.503528
73.65938,344.4933,4.792046,84.15601,343.9041,2.29568
73.3018,344.4911,4.828418,83.79832,343.8956,2.331132
72.85764,344.4973,4.919591,83.35324,343.8856,2.422219
60.41748,334.6202,9.397161,69.56155,333.4861,5.78393
59.79122,334.644,9.408065,68.93323,333.508,5.799015
50.09364,335.7856,11.57509,59.39645,334.2625,8.092492
40.58356,336.3719,13.72761,51.63223,334.131,9.919855
38.85128,337.5876,13.57423,48.74735,335.5567,10.23851
37.87434,337.5861,13.63068,47.7687,335.5462,10.29468
35.76512,337.5614,13.74653,45.65744,335.5027,10.40646
34.72649,337.6444,13.80276,44.61061,335.5764,10.47785
34.8334,337.8571,13.36996,44.77555,335.8417,10.05259
37.86067,337.0511,12.50246,47.28058,335.3146,9.182593
36.68443,337.1592,12.52201,46.09567,335.4184,9.221596
35.46789,337.1429,12.35524,44.62756,335.4767,9.116051
34.50054,337.3705,12.02525,43.65244,335.7499,8.825901
33.85956,338.7085,10.65217,43.41439,337.19,7.562509
34.96967,341.8512,9.226204,44.19995,340.4988,6.689521
34.29681,342.2091,6.48492,43.55344,341.271,4.026475
37.7646,342.9308,4.427543,46.37561,342.3439,2.24265
36.98695,342.9985,3.919986,45.59812,342.4836,1.749938
39.4858,343.1058,2.254068,48.43644,342.8656,0.03949932
38.77168,343.1163,1.977745,47.72197,342.9171,359.7679
38.99673,344.2362,1.266256,47.93897,344.1424,359.2293
42.54878,344.1787,0.2724907,51.11413,344.265,358.3276
41.40724,344.0169,0.2645821,49.97936,344.1061,358.2947
43.62111,344.5695,359.7019,52.47306,344.7804,357.7596
43.91094,344.9869,359.5369,53.24509,345.2591,357.5481
43.57507,344.894,359.5995,52.91375,345.1576,357.5941
43.02186,345.105,359.6845,52.35641,345.3548,357.7062
42.79085,344.9936,359.7455,52.13062,345.2352,357.7476
42.58793,345.3282,359.7444,51.20682,345.535,357.9644
42.33455,345.1434,359.791,50.96092,345.3455,357.9818
42.26546,345.0443,359.7976,50.89582,345.2466,357.9729
42.17826,344.8706,359.7976,51.27549,345.096,357.8329
42.1652,344.8452,359.7933,51.26346,345.0716,357.8243
42.18341,344.8535,359.7873,51.28953,345.0812,357.8177
42.6718,344.7979,359.7462,51.79,345.0388,357.7668
42.66567,344.7832,359.7944,51.78479,345.0171,357.8119
42.8947,344.8023,359.7902,51.78186,345.0287,357.8686
42.9191,344.857,359.7894,51.80392,345.0828,357.8765
42.74953,345.2144,359.8597,52.31377,345.4555,357.8305
42.74992,345.2317,359.8762,52.31353,345.4698,357.8497
42.72603,345.2605,359.9031,52.29688,345.4943,357.879
42.69397,345.9158,359.9041,51.76973,346.1232,358.0951
42.71572,345.9671,359.8971,51.78946,346.1748,358.0965
42.47726,346.5395,359.9045,51.75339,346.7478,358.1354
42.47581,346.5385,359.9063,51.752,346.7466,358.1369
42.46213,345.929,359.9729,51.76861,346.132,358.1083
42.27115,346.1802,0.003370511,51.54585,346.373,358.1809
42.27604,346.1643,0.01790973,51.55145,346.3549,358.1926
42.25964,345.2681,0.1026629,51.58028,345.4533,358.1374
42.27198,345.2536,0.08961537,51.59316,345.441,358.1221
42.03023,345.227,0.1582644,51.12437,345.3915,358.2408
42.28174,345.2088,0.1058459,51.13797,345.3751,358.2454
42.1704,342.4659,359.9024,51.15455,342.6931,357.6041
42.27019,342.6657,0.1163765,51.24629,342.8585,357.8478
42.36175,341.3204,0.1189661,51.39924,341.532,357.6272
42.12586,341.5805,0.1727687,51.14372,341.7788,357.7229
42.12886,341.5865,0.1867823,51.14651,341.7827,357.7377
42.09798,341.6754,0.2210886,51.11809,341.8656,357.7841
42.08483,341.7171,0.2377406,51.1029,341.9043,357.8074
42.09925,341.9636,0.2038791,51.57835,342.1754,357.6703
42.09375,341.9996,0.2230022,51.57103,342.208,357.6954
42.33598,341.4643,0.2340509,51.83146,341.6783,357.6256
42.54937,341.4622,0.1683756,51.83178,341.6785,357.6255
42.54937,341.4622,0.1683697,51.83176,341.6785,357.6255
42.33468,341.7508,0.2043506,51.57111,341.9552,357.7157
42.33468,341.7508,0.2043506,51.5711,341.9552,357.7157
42.31271,342.0376,0.1810232,51.31242,342.2325,357.8052
42.07462,342.321,0.2248085,51.29362,342.5147,357.8217
42.07462,342.321,0.2248085,51.29361,342.5147,357.8217
42.07945,342.3192,0.2235033,51.29925,342.5134,357.8199
42.4414,343.2319,359.969,51.61467,343.453,357.7215
42.31616,343.3871,0.03237275,51.48273,343.5965,357.8098
42.20555,343.1866,0.1570831,51.38251,343.3795,357.8994
42.42007,342.951,0.2089434,51.64585,343.1436,357.901
42.46411,342.1228,0.3128467,51.70119,342.3051,357.8827
42.46502,342.1411,0.3337543,51.70135,342.3199,357.9064
42.44295,342.7154,0.2847925,51.67824,342.8979,357.9402
42.44046,342.7185,0.2970965,51.67567,342.8991,357.9529
42.22332,342.1626,0.4272175,51.69284,342.3346,357.9334
42.22678,342.1844,0.4140002,51.45433,342.3471,357.9943
42.21972,342.2318,0.4162067,51.44491,342.3936,358.0045
42.21145,342.2464,0.4196625,51.43647,342.4075,358.0102
42.22595,342.938,0.3359581,51.40617,343.106,358.0387
42.23847,342.904,0.3442793,51.42038,343.0712,358.0413
42.45207,342.8939,0.2914054,51.42286,343.063,358.0497
42.46752,342.8986,0.2952289,51.43824,343.0671,358.0542
42.72466,342.9212,0.20882,52.17292,343.1269,357.8336
42.75708,342.4979,0.241315,52.22589,342.7018,357.7997
42.76345,342.4772,0.2432615,52.23334,342.6812,357.7981
42.7555,342.4225,0.2846194,52.22472,342.6207,357.8303
42.75213,342.3994,0.2991629,52.22264,342.5956,357.8405
42.04265,342.437,0.4992455,51.27618,342.5823,358.1118
43.01782,343.5941,0.0847446,52.18019,343.8058,357.8899
43.02353,343.6236,0.08089197,52.18453,343.8354,357.8909
46.20589,349.4681,358.5226,54.54044,349.9116,357.414
46.21406,349.4803,358.5286,54.54831,349.9228,357.4218
48.50777,351.8633,357.6367,57.49466,352.5138,356.6853
48.58074,352.0048,357.602,57.56433,352.6589,356.6733
49.66735,352.4145,357.2503,58.8687,353.1534,356.325
50.11877,352.4781,357.2252,59.31806,353.2281,356.3064
50.31241,352.1542,357.2992,59.51911,352.8967,356.3271
50.94605,351.3285,357.4076,60.18444,352.062,356.3022
51.41132,351.0672,357.4328,60.65605,351.8,356.2847
52.26553,350.0811,357.6879,60.86746,350.7429,356.5959
51.53258,350.1889,358.1255,60.10944,350.749,357.0467
53.3246,350.184,358.0623,61.93173,350.7538,356.9738
54.36806,350.1929,357.98,62.97399,350.7747,356.894
55.51003,350.2394,357.9162,64.11407,350.8302,356.838
59.33542,344.4567,358.148,68.35973,345.0523,356.146
77.70928,340.9703,354.2584,88.33601,342.49,351.5399
80.57663,341.4366,354.7475,91.19225,342.8632,352.1071
89.41649,340.7013,353.2773,101.2285,342.6567,350.3926
93.81963,340.6434,353.3634,105.6434,342.5855,350.483
95.84038,340.7055,353.453,107.6638,342.6289,350.5831
100.5948,337.9855,353.7187,112.6293,339.89,350.3923
102.7381,337.9421,353.8281,114.7806,339.8264,350.4883
104.9002,337.8348,353.9023,116.9541,339.7072,350.5361
108.9384,339.3998,354.0174,120.8771,341.2325,350.9008
111.1243,339.3436,354.1094,123.0707,341.1596,350.9775
115.3955,339.4517,354.1789,127.3356,341.2556,351.0474
117.5374,339.311,354.2132,129.4888,341.1114,351.0498
121.2787,339.9812,354.4919,133.1903,341.7218,351.4167
123.1195,339.6913,354.3937,135.0473,341.4572,351.2586
124.9719,339.4859,354.1114,136.9026,341.3109,350.9407
128.4143,339.563,353.744,140.3246,341.4574,350.6021
130.0055,339.6405,353.6477,141.9064,341.5519,350.5259
130.4903,340.5934,353.9855,142.3104,342.4094,350.9831
131.8605,340.582,353.868,143.6766,342.421,350.8669
131.591,340.4955,354.394,142.7603,342.0998,351.4838
128.3551,342.4359,355.2554,139.3364,343.8303,352.6108
130.7511,342.3015,355.06,141.7338,343.7338,352.3937
129.181,342.4691,355.6353,139.6704,343.7133,353.0795
130.2735,342.4,355.5151,140.7632,343.6662,352.9491
128.0961,341.9382,356.4353,137.6322,342.9007,354.004
126.9452,341.6314,356.8771,136.7608,342.5315,354.3048
129.3484,340.9434,356.6404,139.1966,341.8919,353.9495
122.0098,347.3036,358.1661,132.0678,347.918,356.2508
120.0906,350.1739,358.8301,130.136,350.6008,357.2839
120.667,350.1913,358.8569,130.7123,350.6133,357.3134
121.2265,350.2019,358.8394,131.2712,350.6267,357.2981
125.3238,350.1412,357.6504,135.213,350.8157,356.1731
126.9448,342.9995,357.9622,136.0239,343.605,355.7399
127.7673,342.7979,357.8376,136.8267,343.4216,355.5923
127.9716,342.7806,357.728,137.03,343.421,355.4816
125.9878,343.5137,358.1751,134.9841,344.0518,356.0379
126.0954,343.4117,358.0465,135.0945,343.9702,355.8947
126.1683,343.2992,357.9232,135.1709,343.8777,355.7549
125.9735,343.2747,357.97,135.1556,343.8572,355.7419
125.4478,343.242,358.1313,134.8996,343.8136,355.8121
125.5576,343.0385,358.1812,135.0017,343.6058,355.8372
125.4368,343.09,358.2455,134.8793,343.6465,355.9092
125.1443,342.3604,358.424,134.6357,342.8932,355.9697
125.1443,342.3604,358.424,134.6357,342.8932,355.9697
125.6317,341.9429,358.4479,135.1808,342.4847,355.9215
125.8008,341.7605,358.4886,135.3632,342.2997,355.9341
125.6528,341.8407,358.6165,135.2127,342.3587,356.0738
125.5865,341.8975,358.6677,135.1424,342.4064,356.1346
125.5013,341.9684,358.7254,135.0542,342.4673,356.2036
125.3868,341.9552,358.8659,135.1721,342.4479,356.2714
125.8486,341.632,358.7602,135.1975,342.1179,356.2513
125.8126,341.6957,358.8036,135.1586,342.1739,356.3048
125.9805,342.3331,358.7296,135.3001,342.8223,356.3318
125.9765,342.3223,358.732,135.2969,342.8116,356.3323
125.971,342.6082,358.7036,135.2739,343.1004,356.3501
125.971,342.6082,358.7036,135.2739,343.1004,356.3501
125.7464,342.6089,358.7715,135.2764,343.1029,356.3495
125.7437,342.6103,358.7722,135.2737,343.1041,356.3503
125.7402,342.6139,358.7729,135.2699,343.107,356.3515
125.4856,343.0561,359.0227,135.2065,343.5175,356.6133
125.6721,342.5861,359.0419,135.2364,343.0375,356.6131
125.6695,342.5905,359.0422,135.2334,343.0418,356.6141
125.6794,342.59,359.0393,135.2315,343.0411,356.6147
125.6794,342.59,359.0393,135.2315,343.0411,356.6147
126.3616,342.8874,358.8078,135.9089,343.3831,356.4323
126.3633,343.1841,358.7762,135.8859,343.6829,356.4503
126.3633,343.1841,358.7762,135.8858,343.6829,356.4503
126.3639,343.1843,358.776,136.1193,343.6983,356.3836
126.3639,343.1843,358.776,136.1193,343.6983,356.3836
126.3677,342.6098,358.8352,136.1635,343.1181,356.3488
125.7179,342.5842,359.0286,135.0125,343.0213,356.6772
