L_Yaw,L_Pitch,L_Roll,R_Yaw,R_Pitch,R_Roll
82.73123,8.431558,0.07757652,91.99753,8.337748,1.606629
82.73123,8.431558,0.07757652,91.99753,8.337748,1.606629
82.61322,8.395254,0.1443547,91.82764,8.28264,1.674054
82.61322,8.395254,0.1443547,91.82764,8.28264,1.674054
82.91959,7.185525,0.1913147,91.93633,7.078471,1.560197
83.20033,7.316191,0.1200107,92.21985,7.218623,1.510434
83.26933,7.335317,0.09404169,92.2893,7.24153,1.487813
83.3681,7.375611,0.05537892,92.17265,7.289331,1.464468
82.54859,6.836728,0.09714546,91.77759,6.726917,1.411347
82.52895,6.841128,0.09745356,91.7579,6.730794,1.412242
82.38694,7.211533,0.07104637,91.8177,7.096285,1.432559
82.37637,7.240635,0.08551353,91.80898,7.122636,1.451585
82.32454,7.294867,0.07805995,91.75828,7.17734,1.453191
82.29659,7.323504,0.06621588,91.73098,7.207516,1.446166
81.98839,7.407681,0.0687416,90.97698,7.288491,1.476971
81.92416,7.431038,0.07007422,90.91322,7.31135,1.481963
81.76936,7.420916,0.03622165,90.75903,7.306533,1.447185
81.845,6.571393,0.09982986,90.59721,6.460368,1.396717
81.73539,6.573607,0.09375502,90.48733,6.465233,1.391037
81.20671,6.16726,0.127133,89.95899,6.057907,1.365088
80.83186,6.080259,0.102844,89.58283,5.975588,1.327775
67.76215,0.8060018,0.9202442,75.96673,0.4243404,1.397879
67.06488,0.5696199,0.8616351,75.26965,0.19873,1.306144
51.09109,344.2394,3.278425,62.35059,343.6596,1.193508
49.99974,343.1011,3.435598,61.03548,342.5475,1.170959
47.94769,342.4706,3.471193,59.02208,341.922,1.078005
47.22901,342.1212,3.52488,57.9181,341.6118,1.092313
46.04117,341.7873,3.669182,56.75048,341.2582,1.16913
46.29249,344.649,3.350329,56.42767,344.1251,1.309677
50.15914,344.9882,2.977015,59.21695,344.5874,1.078906
47.71497,343.9563,3.551136,56.81678,343.4812,1.477687
49.50048,345.3123,3.209016,58.36182,344.8633,1.362833
50.28547,348.9308,2.474833,58.85134,348.5138,1.19625
49.13435,348.5005,2.554651,57.71307,348.0767,1.209816
50.03817,350.8524,1.988135,58.62766,350.493,0.9772375
48.93521,350.5258,2.118694,57.53242,350.1508,1.056974
50.63204,351.3716,1.588197,59.05344,351.0969,0.6825608
50.26132,351.1649,1.331459,58.94989,350.9579,0.3474787
49.42479,351.0139,1.309334,58.11706,350.8119,0.3024825
50.10844,350.3979,0.9721504,58.87764,350.2876,359.8674
49.59455,350.3059,1.072751,58.3661,350.1821,359.9527
50.00949,350.0322,1.085091,58.56948,349.9194,359.9695
49.28155,349.8053,1.425874,57.84749,349.6451,0.2723348
51.48593,349.2957,1.083534,60.13984,349.2315,359.847
51.56573,349.4145,1.132172,59.98243,349.3453,359.9618
51.4158,349.2288,1.281087,59.83775,349.1403,0.08148783
52.07599,350.013,1.128271,60.96175,349.9574,359.941
52.06775,349.952,1.214477,60.95531,349.884,0.01665001
52.31168,349.8197,1.306388,60.99178,349.7405,0.1338814
52.16758,350.33,1.314596,61.0309,350.2441,0.1718598
52.30983,350.227,1.339205,61.17585,350.1385,0.1800621
52.59306,350.2019,1.301439,61.24819,350.1209,0.1868397
52.71415,350.1803,1.312019,61.36984,350.098,0.1940116
53.46146,349.8526,1.172634,62.37332,349.808,359.9537
53.46548,349.5309,1.198954,62.39059,349.4848,359.9314
53.48346,349.5376,1.181476,62.40825,349.4942,359.9152
53.27744,349.547,1.226588,62.41468,349.4958,359.9128
53.25011,349.5338,1.256319,62.38776,349.4782,359.94
53.15759,349.5331,1.300689,62.31813,349.4704,359.9785
53.14476,349.5512,1.31006,62.30478,349.4868,359.9907
53.14357,350.1515,1.297835,62.27804,350.0836,0.06882384
53.14494,350.16,1.325371,62.27607,350.0877,0.09793758
52.70677,350.1787,1.423635,61.81923,350.0836,0.2009864
