L_Yaw,L_Pitch,L_Roll,R_Yaw,R_Pitch,R_Roll
83.58511,358.5708,355.3744,93.45803,359.3623,355.5376
83.58511,358.5708,355.3744,93.45803,359.3623,355.5376
83.81384,358.3594,355.3871,93.48238,359.1353,355.5285
83.79766,358.5855,355.3637,93.46178,359.3625,355.5374
83.79769,358.5855,355.3637,93.46178,359.3625,355.5374
83.79769,358.5855,355.3637,93.46178,359.3625,355.5374
84.04761,358.1477,355.3996,93.50577,358.9077,355.5193
84.04761,358.1477,355.3996,93.50577,358.9077,355.5193
84.2549,358.3896,355.3652,93.91544,359.1742,355.5132
84.2549,358.3896,355.3652,93.91544,359.1743,355.5132
84.46717,358.4048,355.3546,94.1303,359.1942,355.5057
84.46719,358.4048,355.3546,94.13031,359.1942,355.5057
84.33582,357.2601,355.481,93.80584,358.0201,355.4747
84.33582,357.2601,355.481,93.80584,358.0201,355.4747
84.33582,357.2601,355.481,93.80585,358.0201,355.4747
83.89879,357.2291,355.5028,93.58471,357.9998,355.4825
84.28316,357.938,355.4119,93.74359,358.7014,355.5025
84.03905,358.3747,355.3759,94.12152,359.1933,355.506
84.24,358.6161,355.3417,94.31683,359.4402,355.5075
84.24,358.6161,355.3417,94.31683,359.4402,355.5075
84.02374,358.601,355.3524,94.10075,359.4205,355.515
84.02373,358.601,355.3524,94.10074,359.4205,355.515
83.60831,358.5713,355.3733,94.08624,359.4184,355.5154
83.60831,358.5713,355.3733,94.08624,359.4184,355.5154
83.64515,357.8935,355.4437,93.94141,358.7199,355.4956
83.65317,357.8939,355.4434,94.14783,358.7386,355.4885
83.65317,357.8939,355.4434,94.14783,358.7386,355.4885
83.45592,357.6527,355.4773,93.95457,358.4921,355.4867
84.1013,357.4702,355.4689,93.56792,358.2267,355.4917
84.1013,357.4702,355.4689,93.56792,358.2267,355.4917
84.1013,357.4702,355.4689,93.56792,358.2267,355.4917
83.86932,357.6812,355.4565,93.54427,358.4537,355.5011
83.86932,357.6812,355.4565,93.54427,358.4537,355.5011
79.14037,359.6183,355.4662,88.81372,0.298975,355.7673
79.1207,359.6223,355.4667,88.79396,0.3030544,355.7684
79.1207,359.6223,355.4667,88.79396,0.3030544,355.7684
78.02114,0.2180283,355.4564,88.1134,0.9156868,355.8204
77.77948,0.4275393,355.4457,87.66183,1.099839,355.8478
77.79807,0.2016016,355.4695,87.68315,0.8736554,355.8394
77.79807,0.2016016,355.4695,87.68315,0.8736554,355.8394
74.59248,3.313482,355.6039,84.50137,3.916158,356.5071
74.49963,3.566943,355.6653,84.46289,4.165702,356.6233
74.48076,3.725107,355.7956,83.97672,4.268875,356.7777
75.10848,3.071568,355.9432,85.23233,3.663745,356.8736
74.80651,3.380208,355.9166,84.93373,3.972272,356.9017
74.68317,3.201839,356.0176,84.81226,3.784328,356.994
74.68317,3.201839,356.0176,84.81226,3.784328,356.994
73.99731,3.698985,356.1127,84.13338,4.257002,357.1753
72.50473,4.81737,356.0921,82.65665,5.353212,357.3362
71.6019,5.641142,356.0711,81.76833,6.167742,357.4615
71.6019,5.641142,356.0711,81.76833,6.167742,357.4615
64.06355,6.655349,355.3894,74.07425,7.174071,356.9138
63.02044,7.496695,355.2072,73.04909,8.033985,356.8813
62.08988,8.220585,354.938,72.32433,8.811954,356.7664
60.96324,8.862674,354.762,71.21447,9.474973,356.7081
60.96324,8.862674,354.762,71.21447,9.474973,356.7081
59.89926,8.10789,354.8654,70.14557,8.72033,356.7302
59.17443,8.55776,354.7652,69.42782,9.179891,356.7119
57.71972,9.365789,354.4222,67.99451,10.03534,356.5198
46.34974,11.87551,352.3312,57.56844,12.8351,354.9466
41.12366,14.83404,351.0147,52.65217,15.97047,354.1455
38.92258,15.59726,350.2386,50.48356,16.86811,353.5399
38.92258,15.59726,350.2386,50.48356,16.86811,353.5399
38.22351,15.78189,350.0236,49.79201,17.09049,353.3665
38.4606,16.25263,349.8767,49.86186,17.57136,353.3004
38.4606,16.25263,349.8767,49.86186,17.57136,353.3004
38.96719,15.12845,350.0605,50.51266,16.48433,353.3646
39.8871,14.46863,350.2292,50.34244,15.65505,353.2324
38.95372,14.76601,350.097,49.42207,15.97072,353.1579
39.62239,15.08051,350.2531,50.54829,16.33889,353.4678
40.04177,15.34734,350.3066,50.75303,16.57165,353.5258
40.04177,15.34734,350.3066,50.75303,16.57165,353.5258
40.82931,15.60289,350.5039,51.55183,16.80587,353.7734
40.59611,15.71093,350.5176,51.32497,16.90957,353.808
42.39293,16.0847,350.9742,52.70808,17.16326,354.2235
41.92766,16.26458,350.9073,52.25153,17.35188,354.1906
42.22205,16.79972,350.9635,53.49815,17.99434,354.5608
43.61749,17.08111,351.434,54.64947,18.17104,355.0149
43.61749,17.08111,351.434,54.64947,18.17104,355.0149
44.18878,16.17251,351.7433,54.76088,17.1838,355.0776
44.45898,15.77219,351.9,54.98011,16.76369,355.1641
44.44542,15.7665,351.9326,54.96666,16.75233,355.1953
44.40991,16.10055,351.9359,55.15575,17.1018,355.2981
44.42153,16.00003,351.98,55.16222,16.99513,355.322
44.52893,15.30318,352.1663,55.2344,16.27821,355.388
44.51997,15.341,352.2041,55.23844,16.30912,355.427
44.26793,14.61231,352.3338,54.73285,15.54001,355.3651
44.26793,14.61231,352.3338,54.73285,15.54001,355.3651
44.48596,14.06555,352.5147,54.92601,14.97053,355.4409
44.58658,14.19472,352.547,55.02978,15.0899,355.4809
44.7601,13.74472,352.6867,55.17929,14.61714,355.5099
44.7601,13.74472,352.6867,55.17929,14.61714,355.5099
45.78381,13.40429,352.956,55.96936,14.22377,355.6702
46.01636,12.34829,353.2666,56.15994,13.13089,355.7852
46.36091,11.79116,353.4418,56.48379,12.55582,355.8575
48.43696,2.357172,354.7392,58.38318,3.090009,355.7434
48.56146,1.105967,354.9385,58.50079,1.823167,355.7237
48.56146,1.105967,354.9385,58.50079,1.823167,355.7237
48.61395,0.4672978,355.0256,58.55518,1.179541,355.6996
48.40285,1.648561,354.8507,58.33676,2.362947,355.6537
48.39249,0.3700001,354.9005,58.3204,1.094937,355.4821
47.40756,0.9824724,354.7398,57.30866,1.706927,355.3861
47.12424,1.386638,354.5382,56.99787,2.130465,355.2012
46.95897,359.9876,354.5632,56.45119,0.7051502,354.9868
