Yaw,Pitch,Roll
264.4412,6.298463,273.4309
264.4412,6.298463,273.4309
264.4412,6.298463,273.4309
264.4412,6.298463,273.4309
264.4412,6.298463,273.4309
264.4412,6.298463,273.4309
264.4412,6.298463,273.4309
264.4412,6.298463,273.4309
264.4412,6.298463,273.4309
264.4412,6.298463,273.4309
264.4412,6.298463,273.4309
264.4412,6.298463,273.4309
264.4412,6.298463,273.4309
264.4412,6.298463,273.4309
264.4412,6.298463,273.4309
264.708,6.205244,273.5095
264.7285,6.141495,273.5133
264.7253,6.124787,273.4875
264.7253,6.124787,273.4875
264.7057,6.116114,273.5803
264.6429,6.048178,273.8097
264.6429,6.048178,273.8097
264.522,5.896605,274.363
264.111,5.522619,276.3527
263.2667,4.842109,278.0904
263.2667,4.842109,278.0904
262.1664,3.98351,280.3704
261.5162,3.630243,281.57
259.9565,2.998016,283.3053
259.0378,2.615324,284.0615
256.9708,2.125897,285.7816
255.8271,1.920585,286.5038
253.3238,1.524982,287.7728
250.3617,1.228842,289.6153
248.6169,1.042486,290.6804
244.6115,0.6203828,293.057
242.4559,0.3077527,294.3303
242.4559,0.3077527,294.3303
237.8701,359.7319,297.2747
235.4094,359.5894,298.7511
230.3319,359.4508,301.5876
227.7271,359.4397,302.901
227.7271,359.4397,302.901
220.0057,359.4538,306.3495
214.8244,0.2370253,307.9715
209.6545,0.8204302,309.0984
209.6545,0.8204302,309.0984
204.8392,1.525988,309.8812
200.1321,2.617672,310.1942
195.6555,3.85855,310.2329
195.6555,3.85855,310.2329
193.5583,4.593949,310.324
187.9234,6.656855,310.5514
187.9234,6.656855,310.5514
186.3278,7.502676,310.6566
182.0368,9.462708,311.1361
182.0368,9.462708,311.1361
180.8479,10.17597,311.2448
178.2373,12.22737,311.2259
177.5873,12.88365,311.2324
177.5873,12.88365,311.2324
176.4615,15.5925,311.2559
176.4032,16.18058,311.3489
176.438,16.65661,311.3637
176.438,16.65661,311.3637
176.5378,17.08619,311.2657
176.8464,17.92481,310.8159
176.8464,17.92481,310.8159
177.1494,18.47852,310.1882
177.3724,18.81243,309.6024
177.485,19.0917,308.8546
177.485,19.0917,308.8546
177.2855,19.53888,308.1742
177.076,20.06009,307.8519
177.076,20.06009,307.8519
176.7005,20.16544,307.4115
176.2195,20.49328,307.2146
175.8685,20.76955,307.0259
175.6297,20.91115,306.559
175.5298,20.76757,305.9007
175.5298,20.76757,305.9007
175.8855,20.24386,304.3093
176.0391,20.15054,303.6775
176.1369,19.85916,303.067
176.165,19.59759,302.4574
176.165,19.59759,302.4574
175.5479,18.90897,299.6973
174.9573,18.5318,298.4787
174.9573,18.5318,298.4787
174.6546,18.3118,297.7987
174.3439,18.02825,296.9865
173.8413,17.13975,295.1177
173.5933,16.16949,292.9947
173.6143,15.0359,290.571
173.6143,15.0359,290.571
173.7467,14.36324,289.2256
174.3843,12.80027,286.3405
174.3843,12.80027,286.3405
175.4531,11.34712,283.1365
176.9737,9.974057,279.7065
178.9747,8.496332,276.0934
182.3062,6.773473,270.5548
183.3912,6.167593,268.5854
184.5584,5.380857,266.4684
185.9863,4.360186,264.3149
189.4369,2.537353,260.5306
189.4369,2.537353,260.5306
194.9547,1.051024,255.4282
200.8103,0.1609331,249.9763
202.819,0.05708588,248.3116
207.1511,0.03649712,244.9819
207.1511,0.03649712,244.9819
209.3192,0.1172924,243.4308
211.4239,0.3221126,242.2303
213.4187,0.5671677,241.1238
213.4187,0.5671677,241.1238
217.4007,0.9679607,239.0335
225.5557,2.201929,235.6617
228.9855,3.151553,234.7272
230.7013,3.573073,234.3036
234.3325,4.363948,233.858
236.0758,4.761171,233.8359
236.0758,4.761171,233.8359
237.7052,5.218043,233.7962
239.259,5.648913,233.7314
242.0373,6.488151,233.6072
247.4222,7.813948,233.4702
248.5988,8.14517,233.5982
248.5988,8.14517,233.5982
249.6315,8.509272,233.7544
250.604,8.872972,233.8766
253.0592,9.694257,234.3598
253.884,9.90757,234.4241
255.2976,10.22047,234.5576
256.6239,10.39144,234.8205
257.2126,10.44289,235.0779
257.2126,10.44289,235.0779
258.558,10.38135,235.7095
260.4337,10.34344,236.5085
260.876,10.348,236.7979
261.8506,10.17076,237.4621
262.347,10.0717,237.8132
262.7387,10.06957,238.1185
263.1526,10.04854,238.4288
263.3835,10.0898,238.7409
263.7031,10.09635,239.1105
264.4294,10.01615,240.0042
264.7405,9.946764,240.3981
265.4397,9.80393,241.4039
265.6738,9.790443,241.8292
265.8693,9.811587,242.2493
266.0239,9.849883,242.6676
266.3644,9.813882,243.4141
266.5862,9.733356,243.7648
266.7843,9.672957,244.1139
267.1396,9.580027,245.1661
267.1396,9.580027,245.1661
267.6706,9.315286,246.848
267.7953,9.331287,246.9218
267.8691,9.356647,247.047
267.8691,9.356647,247.047
267.9178,9.362998,247.1271
268.4664,9.277852,247.847
268.7039,9.317945,248.248
269.0358,9.334847,248.6565
269.5836,9.286882,249.0904
271.8989,9.793529,250.7216
272.7656,10.23071,251.394
275.043,11.00768,253.0365
276.2526,11.40783,253.8723
277.5776,11.81273,254.7679
279.0028,12.27991,255.8497
280.4576,12.7677,257.0324
283.5357,13.49793,259.4819
285.2301,13.72344,260.841
290.1931,14.68173,265.5303
291.9444,14.84787,267.3478
295.424,15.21128,271.2545
298.8429,15.56333,275.0742
298.8429,15.56333,275.0742
300.5301,15.74981,277.0257
302.3618,15.59972,279.0875
307.5902,15.50525,284.5647
309.2452,15.47673,286.2551
312.5018,15.01773,289.7332
315.9031,14.24137,293.0171
315.9031,14.24137,293.0171
319.0079,13.57761,295.8407
321.767,12.38964,298.1812
324.0893,11.10992,299.8919
324.0893,11.10992,299.8919
325.7137,10.03639,301.127
327.0393,8.554797,303.7462
327.0393,8.554797,303.7462
327.4465,7.57987,304.433
327.5064,6.671301,304.6573
327.5064,6.671301,304.6573
327.524,5.915467,304.7161
327.6032,5.057918,304.8759
328.0929,4.408643,305.1884
328.0929,4.408643,305.1884
328.8545,4.057771,305.4197
329.8082,3.598562,305.3474
330.7876,3.470183,305.1147
330.7876,3.470183,305.1147
331.4716,3.044232,304.7617
331.7455,2.597788,304.5663
332.1295,1.907836,304.2397
332.2111,1.621587,304.1389
332.1151,1.066473,303.9451
331.7136,0.5040275,303.7207
331.7136,0.5040275,303.7207
331.3871,0.2079285,303.6234
330.7109,359.5113,303.5795
329.8506,359.0968,303.5701
328.9456,358.6635,303.2546
328.9456,358.6635,303.2546
328.2971,358.3084,302.938
328.2971,358.3084,302.938
327.5519,358.0258,302.4392
327.5519,358.0258,302.4392
327.3175,358.0602,302.2105
327.3175,358.0602,302.2105
327.2074,358.0029,302.0639
327.1832,357.858,301.834
327.1958,357.8792,301.7368
327.1163,357.8809,301.6729
327.1163,357.8809,301.6729
327.1649,357.9009,301.6303
327.1798,357.9842,301.6369
326.9092,358.4282,301.6793
326.5365,358.8184,301.7149
325.2085,359.9839,301.6089
324.2118,0.6804727,301.4114
321.2963,2.151838,300.8267
317.2937,3.493626,299.9177
317.2937,3.493626,299.9177
312.4996,4.828124,298.7656
306.9996,6.253863,297.1435
306.9996,6.253863,297.1435
297.6003,8.544181,294.4395
297.6003,8.544181,294.4395
290.3999,9.858062,292.7195
282.356,11.23459,290.6978
282.356,11.23459,290.6978
272.9713,13.35635,288.0793
268.6643,13.49708,286.6967
259.1971,14.19572,283.9067
249.2659,14.59365,281.0276
244.2576,14.61863,279.5889
