Yaw,Pitch,Roll
263.5393,1.263281,277.2477
263.5393,1.263281,277.2477
263.517,1.277645,277.2418
263.5054,1.295428,277.235
263.5139,1.303991,277.2453
263.515,1.322567,277.2533
263.5088,1.327675,277.2661
263.5182,1.318963,277.2651
263.5182,1.318963,277.2651
263.5262,1.325364,277.2332
263.515,1.336895,277.2313
263.5101,1.334063,277.2318
263.5076,1.335484,277.2341
263.4971,1.345874,277.2381
263.4814,1.359907,277.2498
263.472,1.36403,277.2849
263.472,1.36403,277.2849
263.4578,1.390024,277.3193
263.4342,1.387759,277.4181
263.4342,1.387759,277.4181
263.4315,1.389079,277.7535
263.3977,1.506377,278.1929
263.0281,1.966037,281.1544
263.0281,1.966037,281.1544
262.0088,2.521254,286.6219
262.0088,2.521254,286.6219
261.5755,2.694249,288.6656
260.728,3.001824,292.7843
259.7803,3.423733,296.8046
258.652,3.976199,300.9507
258.652,3.976199,300.9507
257.4073,4.356835,304.9266
256.7797,4.634253,306.8094
255.4198,5.292353,310.0876
254.7708,5.607828,311.4632
253.7578,6.235588,314.5172
253.1595,6.955266,317.1487
253.1595,6.955266,317.1487
252.973,7.189481,318.3032
252.849,7.417238,319.4034
253.0057,8.02681,322.9709
253.2477,8.371284,325.4669
253.2477,8.371284,325.4669
253.5374,8.495291,328.0416
253.8714,8.68217,330.5376
254.1537,8.926008,332.9121
254.1537,8.926008,332.9121
254.2889,8.990882,334.1398
254.7885,9.28778,337.6402
255.1227,9.580602,339.7386
255.1227,9.580602,339.7386
255.504,9.966111,341.4421
255.6388,10.10934,342.0377
255.8773,10.46788,343.2077
256.0396,10.80434,344.3052
256.0396,10.80434,344.3052
256.0488,11.0821,345.3955
256.1997,11.35561,346.0177
256.1781,11.7405,347.2603
256.1536,11.91424,347.8905
256.1536,11.91424,347.8905
256.1011,12.09318,348.5451
256.365,13.14328,351.1662
256.3959,13.35511,351.7568
256.4359,13.33256,352.5403
256.4999,13.77256,353.2744
256.6949,13.86257,354.1474
256.6983,13.50024,354.2576
256.7707,13.90684,354.9236
256.7707,13.90684,354.9236
256.8049,13.5539,354.9997
256.8978,13.6964,355.8291
256.9993,13.8498,356.5652
257.0197,13.94826,356.9075
257.1783,14.80709,358.7135
257.4279,14.85994,359.5479
257.4986,15.03633,359.8114
257.5234,15.09697,359.9859
257.6291,15.25915,0.3063526
257.7495,15.33325,0.5887558
257.7891,15.41424,0.7457739
257.7891,15.41424,0.7457739
257.9163,15.72587,1.282873
257.9163,15.72587,1.282873
257.8387,16.05909,1.869838
257.8387,16.05909,1.869838
257.7673,16.45263,2.630804
257.7412,16.61921,3.128107
257.7254,16.72098,3.384384
257.7496,16.80368,3.688987
257.7496,16.80368,3.688987
257.8012,16.88432,3.998456
257.9485,17.01443,4.635991
258.2518,17.11306,5.570829
258.3266,17.06738,5.684081
258.3674,17.0399,5.758729
258.3484,17.05318,5.808283
258.1805,17.21097,5.824484
258.1805,17.21097,5.824484
258.1861,17.3545,5.234457
258.1181,17.68715,4.521863
258.1797,17.82828,3.897796
258.204,18.00388,2.225984
258.1124,18.01071,1.107683
257.6169,18.09688,357.484
257.3303,18.02732,355.4224
257.3303,18.02732,355.4224
257.0957,17.85117,353.2348
256.9005,17.63194,350.8902
256.7287,17.14113,346.2201
256.8125,16.59783,340.9883
