Yaw,Pitch,Roll
266.5766,0.1701369,270.7525
266.5766,0.1701369,270.7525
266.5766,0.1701369,270.7525
266.5766,0.1701369,270.7525
266.5766,0.1701369,270.7525
266.5766,0.1701369,270.7525
266.5766,0.1701369,270.7525
266.2557,0.1117471,270.962
266.239,0.1122508,270.9756
266.239,0.1122508,270.9756
266.239,0.1122508,270.9756
266.239,0.1122508,270.9756
266.1842,0.1300776,270.9763
266.1855,0.1463233,270.9678
266.1926,0.1505136,270.951
266.1926,0.1505136,270.951
266.1926,0.1505136,270.951
266.2054,0.1226293,270.9274
266.2054,0.1226293,270.9274
266.2086,0.1163421,270.9295
266.2086,0.1163421,270.9295
266.2086,0.1163421,270.9295
266.2086,0.1163421,270.9295
266.2086,0.1163421,270.9295
266.2086,0.1163421,270.9295
266.2086,0.1163421,270.9295
266.2086,0.1163421,270.9295
266.2086,0.1163421,270.9295
266.2086,0.1163421,270.9295
266.2086,0.1163421,270.9295
266.2086,0.1163421,270.9295
266.2086,0.1163421,270.9295
266.2086,0.1163421,270.9295
266.2086,0.1163421,270.9295
266.2792,0.08507516,274.6427
266.351,0.1159784,275.9395
266.351,0.1159784,275.9395
266.4056,0.1416088,277.3867
266.422,0.1785295,278.5261
266.422,0.1785295,278.5261
266.3871,0.2664689,280.1846
266.3871,0.2664689,280.1846
266.3452,0.2929806,281.2284
266.3255,0.3142825,281.7454
266.308,0.3822766,283.0709
266.3171,0.4427936,283.9092
266.3026,0.5184304,284.9407
266.3051,0.545491,285.6146
266.3671,0.6860082,287.0973
266.4543,0.8477736,288.4042
266.4543,0.8477736,288.4042
266.4449,0.9311768,289.9833
266.4449,0.9311768,289.9833
266.3589,0.9667243,293.959
266.3964,0.9517009,294.8585
266.3964,0.9517009,294.8585
266.3647,0.9299114,295.8152
266.336,0.9421988,296.7762
266.2501,0.9103318,297.7497
266.2501,0.9103318,297.7497
266.1674,0.8417708,298.6602
266.054,0.7393339,299.4417
265.9866,0.6814691,299.8363
265.9866,0.6814691,299.8363
265.8851,0.6204409,300.2281
265.5613,0.4195396,301.3098
265.3165,0.3093732,301.9429
265.0956,0.2093406,302.4899
265.0956,0.2093406,302.4899
264.9119,0.1208603,303.0172
264.7582,0.002281283,303.5905
264.7582,0.002281283,303.5905
264.6194,359.924,304.1226
264.5704,359.8817,304.6225
264.5482,359.8372,304.8809
264.5009,359.7501,305.3482
264.5009,359.7501,305.3482
264.481,359.7361,305.8079
264.4883,359.7093,306.2563
264.5148,359.6708,306.6628
264.5148,359.6708,306.6628
264.5159,359.641,306.8834
264.5129,359.627,307.1194
264.4697,359.5812,307.7549
264.4697,359.5812,307.7549
264.4341,359.5575,308.1607
264.3836,359.6047,308.5539
264.3383,359.6031,308.7126
264.3383,359.6031,308.7126
264.2934,359.6115,308.8383
264.2693,359.5927,308.8528
264.3305,359.5072,308.5171
264.3305,359.5072,308.5171
264.402,359.477,307.9616
264.4942,359.4758,306.6049
264.6402,359.4019,304.8512
264.7393,359.369,303.8438
264.9829,359.3109,301.5398
264.9829,359.3109,301.5398
265.4468,359.2513,297.297
265.588,359.1744,295.7031
265.588,359.1744,295.7031
265.7354,359.0858,294.0873
266.1336,358.9107,289.3577
266.1336,358.9107,289.3577
266.2447,358.7159,287.8022
266.5582,358.0071,283.2372
266.6617,357.7822,281.7585
266.6617,357.7822,281.7585
266.7736,357.6065,280.288
267.0169,357.3144,277.3786
267.6364,356.7064,272.2499
267.6364,356.7064,272.2499
268.0756,356.5939,270.1884
268.2796,356.611,269.2694
268.4855,356.6201,268.4488
269.0893,356.5907,266.1581
269.4438,356.7181,264.6962
269.4438,356.7181,264.6962
269.5856,356.7869,263.9752
269.8499,356.8774,262.4486
269.9654,356.9065,261.6486
269.9654,356.9065,261.6486
270.4995,356.421,259.985
270.9587,356.5774,258.3298
271.1328,356.5783,257.4536
271.1328,356.5783,257.4536
271.44,356.6915,256.2388
271.7886,356.8723,254.8271
272.3769,357.5064,251.3368
272.5395,357.6324,250.5319
272.5395,357.6324,250.5319
272.7193,357.7704,249.6443
272.8239,357.9471,248.6591
272.7675,358.6664,245.2775
272.8684,358.8155,244.4436
272.9918,358.9442,243.8425
272.9918,358.9442,243.8425
273.0971,359.0759,243.3553
273.2867,359.2914,242.2146
273.2867,359.2914,242.2146
273.5364,359.3516,241.0622
273.837,359.2942,240.3271
274.15,359.2822,239.7784
274.3687,359.3729,239.0781
274.5548,359.5237,238.1899
274.6311,359.6159,237.6772
274.6311,359.6159,237.6772
274.8115,359.799,236.5204
274.9666,0.1814972,234.5985
275.0478,0.3079867,233.9429
275.2206,0.5334352,232.7687
275.2558,0.6793226,232.243
275.259,0.8271971,231.7339
275.259,0.8271971,231.7339
275.2597,0.9731284,231.2021
275.2295,1.157436,230.1219
275.2609,1.221781,228.9798
275.1457,1.312025,227.2807
275.1487,1.33928,227.0216
275.261,1.397353,223.6618
275.261,1.397353,223.6618
275.3062,1.541908,225.4402
275.4108,1.66332,225.5692
275.6863,2.039042,225.8235
275.6863,2.039042,225.8235
275.8707,2.276785,226.0459
276.1185,2.549094,226.3871
276.6772,3.17906,227.2612
276.6772,3.17906,227.2612
277.2681,3.894208,228.2334
278.1371,4.591112,229.2671
278.1371,4.591112,229.2671
279.0132,5.298505,230.2909
279.9591,6.069259,231.3022
280.9726,6.862718,232.4217
283.4788,8.474288,235.4347
284.1136,8.891607,236.2014
284.1136,8.891607,236.2014
284.7646,9.297198,236.9344
285.3914,9.69658,237.6657
285.3914,9.69658,237.6657
286.618,10.4672,239.1701
287.8738,11.11959,240.7164
289.0165,11.7251,242.2135
290.6035,12.45734,244.5622
291.1775,12.64396,245.4613
291.7457,12.81445,246.4202
291.7457,12.81445,246.4202
293.3782,13.29141,249.6125
294.649,13.52258,252.7207
295.0004,13.52449,253.7096
295.3239,13.50026,254.7097
295.6028,13.42412,255.6677
295.8412,13.3411,256.5994
296.262,13.10413,258.3788
296.439,12.98039,259.2036
296.9253,12.61421,260.8822
297.5062,12.44274,262.6797
297.5062,12.44274,262.6797
298.1839,12.26072,264.4998
298.5699,12.15609,265.389
299.7928,11.83711,267.8622
300.207,11.72218,268.5724
300.207,11.72218,268.5724
