Yaw,Pitch,Roll
264.8494,0.5829138,280.165
264.8494,0.5829138,280.165
264.8494,0.5829138,280.165
264.8494,0.5829138,280.165
264.8494,0.5829138,280.165
264.8494,0.5829138,280.165
264.8494,0.5829138,280.165
264.8494,0.5829138,280.165
264.8494,0.5829138,280.165
264.8494,0.5829138,280.165
264.8494,0.5829138,280.165
264.8494,0.5829138,280.165
264.8494,0.5829138,280.165
264.8494,0.5829138,280.165
264.8494,0.5829138,280.165
264.8494,0.5829138,280.165
264.8494,0.5829138,280.165
264.8494,0.5829138,280.165
264.8494,0.5829138,280.165
264.8494,0.5829138,280.165
264.8494,0.5829138,280.165
264.8494,0.5829138,280.165
263.9917,0.7261095,284.9034
263.7514,0.6180758,285.9767
263.7514,0.6180758,285.9767
263.4429,0.5038781,286.9777
262.994,0.3956453,288.2992
262.469,0.1424284,289.6309
262.469,0.1424284,289.6309
261.8799,359.9317,291.1501
261.2267,359.6702,293.0894
261.2267,359.6702,293.0894
260.4336,359.4654,294.9228
259.5594,359.2695,296.4379
258.6042,359.2578,298.0315
258.6042,359.2578,298.0315
257.5918,359.0111,299.7757
256.6248,358.9586,301.3755
256.6248,358.9586,301.3755
255.7574,359.0616,302.7155
254.9405,359.2338,303.9954
254.1835,359.2099,305.4396
254.1835,359.2099,305.4396
253.6139,359.2213,306.8983
253.1295,359.3805,308.4583
252.7096,359.6442,310.3937
252.7096,359.6442,310.3937
252.2424,359.8345,312.4102
251.6845,359.9425,314.4378
251.6845,359.9425,314.4378
251.1811,0.2451294,316.3931
250.6725,0.5761788,318.2479
250.2185,0.9386551,319.8705
250.2185,0.9386551,319.8705
249.7166,1.203976,321.2608
249.1939,1.489171,322.5572
249.1939,1.489171,322.5572
248.7253,1.838285,323.8117
248.267,2.146754,325.1091
247.7669,2.372157,326.4398
247.7669,2.372157,326.4398
247.3633,2.730072,327.7492
246.9935,3.150033,331.1392
246.9935,3.150033,331.1392
246.7553,3.513246,331.5596
246.4344,3.839155,332.6757
246.4344,3.839155,332.6757
246.1161,4.098641,333.5533
245.9051,4.398163,334.3095
245.616,4.706307,335.0286
245.3483,4.954671,335.7829
245.3483,4.954671,335.7829
245.1835,5.453296,336.5229
244.7899,6.08182,337.3789
244.7899,6.08182,337.3789
244.4152,6.629939,338.346
244.1297,7.261747,339.3287
244.1297,7.261747,339.3287
243.7554,7.923861,340.2811
243.392,8.469789,341.1739
243.0422,9.022564,341.9446
243.0422,9.022564,341.9446
242.5715,9.7793,343.0151
242.5715,9.7793,343.0151
242.5715,9.7793,343.0151
242.1109,10.31521,343.4286
241.6112,10.57035,343.25
241.3136,10.81629,342.55
241.3136,10.81629,342.55
241.0616,11.10528,341.6454
241.0616,11.10528,341.6454
240.5537,11.50366,339.9299
240.3392,11.89946,338.346
240.3392,11.89946,338.346
239.8825,12.2945,336.5482
239.2594,12.70008,334.4145
238.4914,13.31076,331.8425
238.4914,13.31076,331.8425
237.3974,14.20588,328.6651
235.9074,15.23953,324.9184
235.9074,15.23953,324.9184
234.1695,16.26275,321.12
232.2915,17.04487,317.3583
230.3873,17.73018,313.2925
230.3873,17.73018,313.2925
228.4432,18.15458,308.9514
228.4432,18.15458,308.9514
225.5934,18.1351,301.7678
223.9425,17.75351,296.6164
223.9425,17.75351,296.6164
222.6106,17.19712,291.5729
221.7791,16.27074,286.71
