Yaw,Pitch,Roll
273.9867,359.6096,278.0747
273.9867,359.6096,278.0747
273.9867,359.6096,278.0747
273.9867,359.6096,278.0747
273.9867,359.6096,278.0747
273.9867,359.6096,278.0747
273.9867,359.6096,278.0747
273.9867,359.6096,278.0747
273.9867,359.6096,278.0747
273.9867,359.6096,278.0747
273.9867,359.6096,278.0747
273.9867,359.6096,278.0747
273.9867,359.6096,278.0747
273.9867,359.6096,278.0747
273.9867,359.6096,278.0747
273.9867,359.6096,278.0747
273.9867,359.6096,278.0747
273.9867,359.6096,278.0747
273.9867,359.6096,278.0747
273.9867,359.6096,278.0747
273.9867,359.6096,278.0747
273.9867,359.6096,278.0747
273.9867,359.6096,278.0747
273.9867,359.6096,278.0747
273.9867,359.6096,278.0747
270.8841,0.2892546,281.08
270.8841,0.2892546,281.08
270.9486,0.2682106,282.0063
270.9865,0.2678571,282.3099
271.0176,0.2579806,282.6125
271.0941,0.2446701,283.2355
271.0941,0.2446701,283.2355
271.1973,0.2538124,284.1099
271.2419,0.2637777,284.4028
271.3133,0.2700308,285.0144
271.3535,0.2689106,285.3343
271.4341,0.2791117,286.0214
271.4341,0.2791117,286.0214
271.4688,0.275828,286.4052
271.5923,0.2040728,287.249
271.7132,0.1017391,288.1328
271.8535,0.06071357,289.0265
271.9956,0.01295175,289.9618
271.9956,0.01295175,289.9618
272.0694,359.9751,290.4549
272.1871,359.9001,291.4194
272.2388,359.8626,291.9175
272.3325,359.8033,292.9444
272.4118,359.7357,294.0855
272.4118,359.7357,294.0855
272.4811,359.5912,295.7721
272.4811,359.5912,295.7721
272.5206,359.4913,296.9291
272.5341,359.4155,297.4402
272.5641,359.2107,298.9137
272.5641,359.2107,298.9137
272.5829,359.1703,299.4002
272.5834,359.1226,300.1317
272.5681,359.1087,300.4584
272.5702,359.053,301.0837
272.5874,358.981,301.4741
272.5991,358.8707,302.1427
272.6298,358.776,302.716
272.6298,358.776,302.716
272.669,358.7412,303.1047
272.7647,358.6757,303.5587
272.8463,358.6379,303.9263
272.8463,358.6379,303.9263
272.9265,358.6709,304.1326
272.9977,358.6627,304.2602
273.0862,358.5973,304.4125
273.1771,358.5531,304.5108
273.1771,358.5531,304.5108
273.2805,358.4996,304.567
273.3528,358.4185,304.5557
273.3907,358.3713,304.5471
273.4702,358.3372,304.4683
273.4702,358.3372,304.4683
273.562,358.2913,304.4558
273.6478,358.2687,304.4284
273.7186,358.2729,304.364
273.7186,358.2729,304.364
273.7827,358.2527,304.2737
273.7827,358.2527,304.2737
273.8396,358.204,304.1318
273.8613,358.1639,303.99
273.9373,358.1233,303.6045
274.0354,358.0946,302.9631
274.0904,358.047,302.4948
274.2576,358.0403,301.0193
274.2576,358.0403,301.0193
274.3854,358.0041,298.7935
274.5948,358.0368,296.2323
274.6089,358.0034,293.6682
274.5544,357.9431,290.9581
274.5544,357.9431,290.9581
274.5172,357.7814,288.6285
274.5806,357.6357,286.7788
274.6513,357.6032,286.0646
274.793,357.629,284.4501
274.793,357.629,284.4501
274.9562,357.7349,282.3358
275.0972,357.8972,279.9103
275.1644,357.9735,278.6321
275.1644,357.9735,278.6321
275.3455,358.06,276.2289
275.4625,358.157,273.9944
275.4688,358.207,271.651
275.4752,358.225,270.4747
275.4119,358.2982,268.5227
275.3289,358.3625,266.2369
275.3289,358.3625,266.2369
275.3122,358.3624,264.0682
275.3641,358.3438,262.1499
275.3641,358.3438,262.1499
275.454,358.3383,260.6185
275.5229,358.3536,259.9397
275.7162,358.3739,258.6749
275.939,358.4324,257.5454
276.1517,358.4958,256.6321
276.1517,358.4958,256.6321
276.3595,358.5686,255.8401
276.5725,358.6205,255.0466
276.5725,358.6205,255.0466
276.8052,358.6611,254.2469
277.0317,358.676,253.5996
277.1627,358.6675,253.3086
277.4228,358.6488,252.7616
277.7582,358.6739,252.2398
277.7582,358.6739,252.2398
277.9379,358.7132,252.0091
278.3263,358.8071,251.6692
278.6746,358.8902,251.5185
278.9768,358.9703,251.4001
278.9768,358.9703,251.4001
279.2428,358.9997,251.246
279.4879,359.0143,251.1527
279.4879,359.0143,251.1527
279.6008,359.0008,251.1187
279.6008,359.0008,251.1187
279.6008,359.0008,251.1187
279.6008,359.0008,251.1187
